simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ
0,0.13640556486586197,1.0606018056124555,0.9241962407465936,čaqXá-ci,namí-ci,pací-ci,čaqXá-ci,namí-ci,paví-ci,pací-ci,áa-či,paá-ci,paá-ci,áa-či,paá-ci,áa-či,paá-ci,pía,paá-ci,aa-ci,múa,áa-či,paá-ci,aa-ci,múa,pía
1,0.3212448130151806,1.0606018056124555,0.7393569925972749,pací-ci,pací-ci,namí-ci,namí-ci,čaqXá-ci,paví-ci,čaqXá-ci,pía,paá-ci,paá-ci,paá-ci,áa-či,paá-ci,múa,áa-či,aa-ci,paá-ci,áa-či,áa-či,pía,paá-ci,múa,aa-ci
2,0.3212448130151806,1.0606018056124555,0.7393569925972749,pací-ci,čaqXá-ci,pací-ci,čaqXá-ci,namí-ci,namí-ci,paví-ci,aa-ci,áa-či,áa-či,paá-ci,múa,paá-ci,múa,pía,pía,áa-či,paá-ci,paá-ci,aa-ci,paá-ci,paá-ci,áa-či
3,0.17783714150210406,1.0096137581740383,0.8317766166719343,pací-ci,namí-ci,čaqXá-ci,namí-ci,čaqXá-ci,pací-ci,paví-ci,áa-či,pía,paá-ci,múa,paá-ci,áa-či,paá-ci,paá-ci,paá-ci,paá-ci,múa,pía,áa-či,áa-či,aa-ci,aa-ci
4,0.3212448130151806,1.0606018056124555,0.7393569925972749,namí-ci,čaqXá-ci,paví-ci,namí-ci,pací-ci,čaqXá-ci,pací-ci,paá-ci,paá-ci,áa-či,áa-či,múa,paá-ci,aa-ci,pía,aa-ci,áa-či,múa,paá-ci,áa-či,paá-ci,paá-ci,pía
5,0.22882518894052128,1.0606018056124555,0.8317766166719343,namí-ci,paví-ci,pací-ci,namí-ci,čaqXá-ci,čaqXá-ci,pací-ci,múa,paá-ci,paá-ci,áa-či,pía,áa-či,pía,múa,áa-či,paá-ci,paá-ci,paá-ci,aa-ci,aa-ci,áa-či,paá-ci
6,0.03762743164839488,0.5799151714181009,0.542287739769706,namí-ci,pací-ci,čaqXá-ci,namí-ci,čaqXá-ci,pací-ci,paví-ci,paá-ci,paá-ci,áa-či,paá-ci,múa,aa-ci,pía,áa-či,áa-či,paá-ci,aa-ci,paá-ci,paá-ci,pía,múa,áa-či
7,0.3212448130151806,1.0606018056124555,0.7393569925972749,čaqXá-ci,namí-ci,čaqXá-ci,pací-ci,pací-ci,paví-ci,namí-ci,áa-či,pía,múa,áa-či,aa-ci,aa-ci,múa,paá-ci,pía,paá-ci,paá-ci,paá-ci,áa-či,paá-ci,paá-ci,áa-či
8,0.5475156378007415,1.3792922544726758,0.8317766166719343,čaqXá-ci,čaqXá-ci,namí-ci,pací-ci,namí-ci,pací-ci,paví-ci,paá-ci,aa-ci,paá-ci,áa-či,áa-či,paá-ci,áa-či,paá-ci,pía,áa-či,múa,pía,paá-ci,paá-ci,múa,aa-ci
9,0.17783714150210383,1.009613758174038,0.8317766166719343,čaqXá-ci,namí-ci,pací-ci,čaqXá-ci,pací-ci,namí-ci,paví-ci,paá-ci,áa-či,pía,pía,paá-ci,paá-ci,paá-ci,paá-ci,múa,múa,aa-ci,áa-či,áa-či,paá-ci,áa-či,aa-ci
