simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,fB,mZ,fZ,mF,mM,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mFB,mFeB,mFyB,fFB,fFeB,fFyB
0,0.13065964736155,1.2902390666013077,1.1595794192397577,gisoni,gisoni,gisoni,pangi,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,makhuni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,maawa,tata,leemba,tata,maawa,daada,maawa,daada,leemba,leemba,daada,leemba,daada,leemba,daada,maawa,maawa,daada,daada,daada,daada,daada,daada,daada,leemba,maawa,maawa,maawa
1,0.16051868453834928,1.2731235521740478,1.1126048676356985,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,makuni,makhuni,makuni,gisoni,gisoni,gisoni,yaaya,makhuni,gisoni,gisoni,tata,maawa,maawa,daada,leemba,maawa,daada,daada,leemba,leemba,daada,leemba,maawa,maawa,tata,daada,daada,daada,daada,leemba,maawa,maawa,daada,leemba,maawa,daada,daada,daada
2,0.0967164775724263,1.261115336428524,1.1643988588560976,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,makuni,gisoni,gisoni,maawa,leemba,daada,daada,maawa,tata,leemba,daada,leemba,maawa,daada,maawa,maawa,leemba,maawa,daada,leemba,daada,leemba,daada,daada,daada,maawa,daada,maawa,tata,daada,daada
3,0.10073330965270588,1.233189560609192,1.1324562509564862,gisoni,gisoni,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,maawa,tata,leemba,daada,daada,maawa,daada,daada,daada,daada,leemba,daada,leemba,maawa,daada,daada,maawa,daada,leemba,daada,maawa,maawa,leemba,tata,daada,maawa,maawa,leemba
4,0.10503703427778577,1.2186548104551551,1.1136177761773693,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,pangi,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,daada,tata,daada,daada,tata,maawa,daada,leemba,leemba,daada,maawa,leemba,daada,daada,daada,maawa,maawa,daada,daada,leemba,maawa,leemba,daada,maawa,daada,maawa,maawa,leemba
5,0.10602197607494968,1.2752756714469355,1.1692536953719859,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,daada,leemba,leemba,maawa,maawa,daada,daada,tata,leemba,daada,daada,leemba,daada,leemba,daada,maawa,daada,leemba,daada,maawa,maawa,daada,tata,maawa,daada,maawa,daada,maawa
6,0.1252004520722989,1.2276663403797912,1.1024658883074923,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,pangi,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,makuni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,maawa,maawa,daada,daada,leemba,leemba,daada,maawa,daada,daada,maawa,daada,leemba,daada,leemba,leemba,daada,tata,maawa,tata,daada,daada,leemba,daada,maawa,maawa,daada,maawa
7,0.10091968179818145,1.2505959003954605,1.149676218597279,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,makhuni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,maawa,tata,maawa,daada,daada,daada,leemba,daada,leemba,maawa,leemba,leemba,daada,maawa,maawa,tata,daada,leemba,maawa,leemba,daada,daada,daada,daada,maawa,daada,daada,maawa
8,0.11078825813599935,1.2836712991898516,1.1728830410538522,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,yaawa,gisoni,makhuni,daada,maawa,tata,tata,maawa,maawa,leemba,maawa,leemba,daada,maawa,daada,daada,leemba,leemba,daada,daada,daada,maawa,leemba,maawa,maawa,daada,daada,daada,daada,leemba,daada
9,0.07990259592675986,1.2254334772810587,1.1455308813542988,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,galeengi,yaawa,gisoni,gisoni,makuni,pangi,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makhuni,gisoni,gisoni,pangi,gisoni,gisoni,yaawa,gisoni,gisoni,gisoni,gisoni,gisoni,yaaya,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,gisoni,makuni,gisoni,gisoni,maawa,daada,daada,daada,daada,leemba,daada,daada,maawa,tata,maawa,maawa,maawa,daada,maawa,tata,leemba,leemba,daada,leemba,leemba,daada,maawa,leemba,daada,maawa,daada,daada
