simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,meZ,myZ,feZ,fyZ,mMBS,mMBD,fMBS,fMBD,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,fF,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.17441604792151594,0.6365141682948128,0.46209812037329684,kikii,kikii,kikii,kikii,kikii,kikii,ura,kikii,kikii,"do'ora(na), hari",kikii,kikii,kikii,hari,kikii,kikii,kikii,kikii,kikii,kikii,"do'ora(na), hari",do'ora(na),kikii,kikii,kikii,hari,ama(na),abebwau,abebwau,ama(na),abebwau,ama(na),abebwau,ama(na),ama(na),ama(na)
1,0.10936727228771925,0.6365141682948128,0.5271468960070935,ura,kikii,hari,kikii,kikii,kikii,do'ora(na),kikii,kikii,kikii,"do'ora(na), hari",kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,hari,"do'ora(na), hari",kikii,kikii,kikii,kikii,ama(na),ama(na),ama(na),abebwau,abebwau,abebwau,abebwau,ama(na),ama(na),ama(na)
2,0.04644355620923718,0.45056120886630463,0.40411765265706745,"do'ora(na), hari","do'ora(na), hari",kikii,hari,kikii,kikii,kikii,hari,ura,kikii,do'ora(na),kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,ama(na),ama(na),abebwau,ama(na),ama(na),ama(na),abebwau,abebwau,ama(na),abebwau
3,0.1173777561317636,0.6931471805599453,0.5757694244281817,kikii,kikii,kikii,kikii,do'ora(na),hari,kikii,kikii,kikii,kikii,kikii,ura,kikii,kikii,kikii,kikii,"do'ora(na), hari",kikii,kikii,kikii,kikii,kikii,kikii,hari,kikii,"do'ora(na), hari",abebwau,ama(na),ama(na),ama(na),ama(na),abebwau,ama(na),abebwau,abebwau,ama(na)
4,0.07567111245376568,0.6365141682948128,0.5608430558410471,kikii,kikii,"do'ora(na), hari",hari,kikii,kikii,kikii,kikii,kikii,ura,kikii,kikii,kikii,kikii,hari,kikii,kikii,kikii,kikii,"do'ora(na), hari",kikii,kikii,kikii,do'ora(na),kikii,kikii,ama(na),abebwau,abebwau,ama(na),ama(na),ama(na),ama(na),abebwau,abebwau,ama(na)
5,0.10536342019444589,0.6365141682948128,0.5311507481003669,hari,kikii,kikii,ura,kikii,kikii,do'ora(na),kikii,kikii,kikii,hari,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,"do'ora(na), hari",kikii,kikii,kikii,"do'ora(na), hari",kikii,kikii,abebwau,ama(na),ama(na),ama(na),abebwau,ama(na),ama(na),ama(na),abebwau,abebwau
6,0.1862254107589928,0.6931471805599453,0.5069217698009525,kikii,kikii,kikii,kikii,kikii,kikii,kikii,hari,"do'ora(na), hari",kikii,do'ora(na),kikii,"do'ora(na), hari",kikii,kikii,kikii,kikii,kikii,hari,kikii,kikii,kikii,kikii,kikii,kikii,ura,abebwau,ama(na),abebwau,ama(na),ama(na),abebwau,ama(na),ama(na),ama(na),abebwau
7,0.15325152544639542,0.45056120886630463,0.2973096834199092,kikii,kikii,kikii,kikii,"do'ora(na), hari",hari,kikii,kikii,kikii,kikii,kikii,kikii,"do'ora(na), hari",do'ora(na),kikii,hari,kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,ura,kikii,ama(na),abebwau,ama(na),abebwau,ama(na),ama(na),abebwau,abebwau,ama(na),ama(na)
8,0.15403270679109893,0.6931471805599453,0.5391144737688464,kikii,hari,kikii,kikii,kikii,kikii,kikii,kikii,kikii,ura,"do'ora(na), hari",kikii,kikii,kikii,kikii,kikii,kikii,"do'ora(na), hari",hari,do'ora(na),kikii,kikii,kikii,kikii,kikii,kikii,ama(na),ama(na),ama(na),ama(na),abebwau,abebwau,ama(na),abebwau,ama(na),abebwau
9,0.15531307099532443,0.6365141682948128,0.48120109729948835,"do'ora(na), hari",kikii,kikii,kikii,hari,kikii,"do'ora(na), hari",kikii,kikii,kikii,kikii,kikii,kikii,kikii,kikii,ura,kikii,kikii,hari,kikii,do'ora(na),kikii,kikii,kikii,kikii,kikii,ama(na),abebwau,ama(na),ama(na),abebwau,abebwau,ama(na),ama(na),abebwau,ama(na)
