simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,feB,fyB,feZ,mFZD,mFBD,mMBD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fFBD,fMBD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,mZ,myZ,fB,fZ,fyZ,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.052956870259540434,0.9333939009080585,0.8804370306485181,maŋan(hi),kutta,muguni,maŋan(hi),maŋan(hi),gangan(a),gangan(a),muguni,gadha,gangan(a),muguni,maŋan(hi),maŋan(hi),muguni,maŋan(hi),muguni,muguni,maŋan(hi),maŋan(hi),gangan(a),gadha,maŋan(hi),gangan(a),gangan(a),gangan(a),muguni,gangan(a),gangan(a),gangan(a),gangan(a),gangan(a),maŋan(hi),muguni,maŋan(hi),muguni,maŋan(hi),muguni,gangan(a),gangan(a),kutta,gadha,muguni,gangan(a),gangan(a),muguni,maŋan(hi),wupa,maŋan(hi),gadha,muguni,muguni,muguni,gangan(a),gangan(a),muguni,muguni,maŋan(hi),waŋgubaya,gangan(a),gangan(a),maŋan(hi),gadha,maŋan(hi),muguni,waŋgubaya,gadha,maŋan(hi),wupa,maŋan(hi),muguni,maŋan(hi),galŋa,bibi,bibi,bibi,galŋa,bibi,yabu,yaŋa,bibi,bibi,galŋa,galŋa,yaŋa,galŋa,galŋa,galŋa,bibi,bibi,galŋa,galŋa,galŋa,bibi,bibi,bibi,galŋa,galŋa,bibi,yabu
1,0.13676681813765934,1.0372396480801829,0.9004728299425235,gangan(a),gadha,maŋan(hi),gangan(a),maŋan(hi),gangan(a),gangan(a),maŋan(hi),muguni,kutta,maŋan(hi),maŋan(hi),maŋan(hi),maŋan(hi),muguni,muguni,muguni,maŋan(hi),gadha,maŋan(hi),muguni,maŋan(hi),maŋan(hi),maŋan(hi),gangan(a),muguni,gadha,muguni,muguni,muguni,muguni,gadha,gangan(a),wupa,muguni,kutta,maŋan(hi),muguni,muguni,gadha,maŋan(hi),muguni,waŋgubaya,gangan(a),muguni,maŋan(hi),gangan(a),muguni,gangan(a),maŋan(hi),gangan(a),maŋan(hi),gangan(a),wupa,gangan(a),gangan(a),gangan(a),waŋgubaya,maŋan(hi),maŋan(hi),gangan(a),gangan(a),gangan(a),maŋan(hi),gangan(a),gadha,muguni,gangan(a),gangan(a),muguni,muguni,galŋa,galŋa,bibi,yaŋa,bibi,galŋa,bibi,galŋa,bibi,bibi,bibi,bibi,bibi,yaŋa,bibi,bibi,galŋa,bibi,yabu,galŋa,galŋa,galŋa,galŋa,bibi,galŋa,yabu,galŋa,galŋa
2,0.11120965235491909,0.9358175479329578,0.8246078955780387,maŋan(hi),muguni,maŋan(hi),gadha,muguni,maŋan(hi),muguni,gangan(a),maŋan(hi),gangan(a),gangan(a),maŋan(hi),wupa,maŋan(hi),muguni,gadha,gangan(a),wupa,gangan(a),gangan(a),maŋan(hi),gangan(a),gangan(a),gadha,muguni,gangan(a),gangan(a),kutta,maŋan(hi),gangan(a),gadha,waŋgubaya,maŋan(hi),gangan(a),gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),gangan(a),gadha,muguni,muguni,gangan(a),gangan(a),maŋan(hi),gangan(a),maŋan(hi),muguni,muguni,maŋan(hi),gangan(a),muguni,gadha,gangan(a),muguni,maŋan(hi),maŋan(hi),muguni,muguni,muguni,muguni,gangan(a),maŋan(hi),maŋan(hi),kutta,muguni,muguni,maŋan(hi),muguni,waŋgubaya,muguni,bibi,bibi,bibi,yabu,bibi,galŋa,bibi,galŋa,galŋa,galŋa,yaŋa,galŋa,yabu,bibi,bibi,galŋa,bibi,galŋa,bibi,galŋa,bibi,galŋa,galŋa,bibi,galŋa,yaŋa,galŋa,bibi
3,0.15517901298174197,1.1230949749502237,0.9679159619684817,muguni,muguni,gangan(a),muguni,gangan(a),gangan(a),gangan(a),gangan(a),muguni,maŋan(hi),muguni,maŋan(hi),maŋan(hi),gangan(a),gangan(a),waŋgubaya,gangan(a),maŋan(hi),maŋan(hi),gangan(a),gangan(a),gadha,maŋan(hi),gadha,gangan(a),gangan(a),muguni,maŋan(hi),maŋan(hi),muguni,gadha,gadha,gangan(a),kutta,muguni,maŋan(hi),muguni,gangan(a),gangan(a),muguni,maŋan(hi),muguni,gangan(a),waŋgubaya,muguni,muguni,gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),muguni,muguni,muguni,maŋan(hi),kutta,muguni,maŋan(hi),gangan(a),maŋan(hi),gangan(a),maŋan(hi),gadha,gangan(a),maŋan(hi),wupa,gadha,maŋan(hi),maŋan(hi),muguni,wupa,muguni,yabu,galŋa,galŋa,galŋa,galŋa,bibi,yabu,bibi,galŋa,galŋa,galŋa,bibi,bibi,galŋa,galŋa,bibi,galŋa,bibi,bibi,bibi,bibi,yaŋa,bibi,galŋa,bibi,bibi,yaŋa,galŋa
4,0.10633379011867616,1.011949427571039,0.9056156374523628,muguni,muguni,gangan(a),gadha,waŋgubaya,gangan(a),gangan(a),gangan(a),gangan(a),wupa,gangan(a),maŋan(hi),gangan(a),muguni,gangan(a),maŋan(hi),muguni,muguni,wupa,maŋan(hi),gangan(a),waŋgubaya,gangan(a),gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),gadha,muguni,muguni,maŋan(hi),maŋan(hi),gangan(a),maŋan(hi),muguni,gadha,muguni,maŋan(hi),maŋan(hi),gangan(a),muguni,muguni,maŋan(hi),gangan(a),maŋan(hi),maŋan(hi),muguni,gadha,maŋan(hi),muguni,muguni,gangan(a),maŋan(hi),gangan(a),muguni,muguni,muguni,maŋan(hi),kutta,gadha,maŋan(hi),kutta,muguni,muguni,gangan(a),maŋan(hi),gangan(a),gangan(a),gadha,maŋan(hi),gangan(a),yaŋa,galŋa,galŋa,galŋa,bibi,bibi,bibi,bibi,bibi,yabu,galŋa,galŋa,yabu,galŋa,galŋa,bibi,bibi,galŋa,galŋa,yaŋa,bibi,galŋa,bibi,bibi,bibi,bibi,galŋa,galŋa
5,0.12466544486178233,1.1932409224189569,1.0685754775571745,gangan(a),muguni,gangan(a),maŋan(hi),maŋan(hi),gangan(a),waŋgubaya,gangan(a),muguni,gangan(a),gangan(a),gadha,maŋan(hi),muguni,maŋan(hi),gangan(a),muguni,maŋan(hi),gangan(a),muguni,maŋan(hi),maŋan(hi),maŋan(hi),gangan(a),muguni,muguni,maŋan(hi),kutta,muguni,gangan(a),maŋan(hi),muguni,muguni,gangan(a),wupa,maŋan(hi),waŋgubaya,maŋan(hi),gangan(a),gangan(a),gangan(a),gadha,gadha,maŋan(hi),gadha,gadha,kutta,maŋan(hi),muguni,maŋan(hi),muguni,wupa,gangan(a),gangan(a),muguni,muguni,maŋan(hi),gangan(a),maŋan(hi),maŋan(hi),muguni,muguni,maŋan(hi),gangan(a),gadha,gangan(a),muguni,maŋan(hi),muguni,muguni,gangan(a),yabu,bibi,bibi,galŋa,bibi,bibi,galŋa,galŋa,galŋa,bibi,yabu,galŋa,bibi,galŋa,bibi,galŋa,yaŋa,galŋa,galŋa,galŋa,galŋa,bibi,yaŋa,bibi,bibi,bibi,galŋa,bibi
6,0.14077867002898903,1.1187578778913714,0.9779792078623823,maŋan(hi),muguni,maŋan(hi),gangan(a),gadha,wupa,maŋan(hi),maŋan(hi),wupa,muguni,gangan(a),maŋan(hi),muguni,muguni,maŋan(hi),gadha,kutta,maŋan(hi),muguni,gadha,muguni,muguni,gangan(a),gangan(a),gangan(a),muguni,muguni,gangan(a),maŋan(hi),maŋan(hi),muguni,maŋan(hi),gangan(a),gangan(a),waŋgubaya,gadha,waŋgubaya,muguni,gangan(a),gangan(a),muguni,muguni,gadha,muguni,maŋan(hi),maŋan(hi),gangan(a),gadha,maŋan(hi),muguni,maŋan(hi),gangan(a),gangan(a),muguni,gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),muguni,kutta,gangan(a),gangan(a),gangan(a),muguni,maŋan(hi),gangan(a),gangan(a),gangan(a),maŋan(hi),maŋan(hi),muguni,bibi,bibi,galŋa,bibi,bibi,galŋa,galŋa,galŋa,galŋa,galŋa,bibi,bibi,galŋa,galŋa,bibi,galŋa,bibi,yabu,yaŋa,galŋa,bibi,galŋa,bibi,yabu,yaŋa,bibi,bibi,galŋa
7,0.1312707544120214,1.0612378948704508,0.9299671404584294,gangan(a),muguni,maŋan(hi),muguni,wupa,maŋan(hi),muguni,gangan(a),maŋan(hi),muguni,gadha,waŋgubaya,gangan(a),waŋgubaya,muguni,gangan(a),gangan(a),muguni,maŋan(hi),muguni,muguni,maŋan(hi),maŋan(hi),muguni,muguni,gangan(a),gangan(a),gangan(a),gangan(a),maŋan(hi),muguni,wupa,maŋan(hi),gadha,maŋan(hi),gadha,kutta,maŋan(hi),muguni,maŋan(hi),gangan(a),gangan(a),maŋan(hi),gangan(a),gangan(a),gadha,maŋan(hi),muguni,gangan(a),gadha,gangan(a),muguni,gangan(a),maŋan(hi),gangan(a),maŋan(hi),maŋan(hi),muguni,muguni,gangan(a),maŋan(hi),maŋan(hi),gadha,maŋan(hi),gangan(a),muguni,muguni,gangan(a),kutta,muguni,maŋan(hi),yaŋa,galŋa,bibi,bibi,bibi,galŋa,bibi,bibi,galŋa,galŋa,galŋa,bibi,galŋa,galŋa,bibi,yaŋa,bibi,bibi,galŋa,bibi,bibi,galŋa,yabu,galŋa,galŋa,yabu,bibi,galŋa
8,0.113676432223357,0.9314477394389571,0.8177713072156001,muguni,waŋgubaya,maŋan(hi),muguni,kutta,gadha,muguni,gangan(a),gadha,maŋan(hi),maŋan(hi),waŋgubaya,gadha,gangan(a),muguni,gangan(a),muguni,maŋan(hi),gangan(a),muguni,gangan(a),muguni,gadha,kutta,maŋan(hi),maŋan(hi),gangan(a),gangan(a),maŋan(hi),gangan(a),gangan(a),gangan(a),muguni,muguni,maŋan(hi),muguni,muguni,maŋan(hi),gangan(a),muguni,gangan(a),wupa,maŋan(hi),muguni,muguni,muguni,maŋan(hi),gangan(a),maŋan(hi),gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),maŋan(hi),maŋan(hi),gangan(a),gangan(a),gangan(a),maŋan(hi),gadha,muguni,maŋan(hi),gangan(a),gadha,muguni,muguni,maŋan(hi),gangan(a),wupa,gangan(a),muguni,bibi,bibi,bibi,galŋa,galŋa,bibi,bibi,yaŋa,galŋa,bibi,yabu,yaŋa,galŋa,yabu,galŋa,galŋa,bibi,galŋa,galŋa,galŋa,bibi,bibi,bibi,galŋa,bibi,galŋa,bibi,galŋa
9,0.1565544214186746,0.8418334498020941,0.6852790283834195,maŋan(hi),gangan(a),maŋan(hi),gangan(a),maŋan(hi),waŋgubaya,gangan(a),muguni,gangan(a),muguni,gangan(a),maŋan(hi),maŋan(hi),muguni,gadha,maŋan(hi),maŋan(hi),gangan(a),muguni,gangan(a),gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),muguni,gangan(a),muguni,waŋgubaya,muguni,gangan(a),kutta,gangan(a),gadha,muguni,muguni,muguni,muguni,muguni,maŋan(hi),gadha,maŋan(hi),muguni,gadha,maŋan(hi),gangan(a),gangan(a),wupa,gadha,gangan(a),gangan(a),muguni,kutta,muguni,maŋan(hi),muguni,gangan(a),gangan(a),maŋan(hi),maŋan(hi),maŋan(hi),maŋan(hi),gadha,muguni,maŋan(hi),gangan(a),maŋan(hi),gangan(a),gangan(a),muguni,wupa,muguni,bibi,galŋa,galŋa,bibi,galŋa,bibi,galŋa,yabu,yaŋa,bibi,galŋa,bibi,yabu,galŋa,galŋa,bibi,galŋa,bibi,bibi,galŋa,galŋa,yaŋa,bibi,bibi,bibi,galŋa,bibi,galŋa
