simulation_number,mutual_information,entropy,conditional_entropy,meB,fZ,feB,myB,meZ,myZ,fyB,feZ,fyZ,mB,mZ,fB,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFBS,mFeBS,mFyBS,mFBeS,mFByS,fFBS,fFeBS,fFyBS,fFBeS,fFByS,mFBD,mFeBD,mFyBD,mFBeD,mFByD,fFBD,fFeBD,fFBeD,fFByD,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mF,mM,fF,fM,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.1759857855832958,1.4011769518923378,1.225191166309042,wror,tarbúr,stʌrʌ xor,tarbúr,mèranai tèrpir,stʌrʌ xor,ploranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke ror,mèranaiyé tèrprā,tarbúr,xor,kaká loer,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,kaká loer,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,xor,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,tarbúr,wɑṛuke ror,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke xor,mèranai tèrpir,tarbúr,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,tarbúr,mèranai tèrpir,kaká loer,wror,tarbúr,mèranaiyé tèrprā,tarbúr,tarbúr,tarbúr,kaká loer,lɑlɑ,mèranai tèrpir,kaká loer,tarbúr,kaká loer,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,tarbúr,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,wɑṛuke xor,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,lɑlɑ,mèranaiyé tèrprā,ploranaiyé tèrprā,akâ,mama,mama,tror,mama,tror,tror,mor,akâ,akâ,tror,akâ,tror,tror,mama,akâ,akâ,tror,mama,tror,plar,mor,tror,plar,mama,tror,tror,tror
1,0.2428825415095106,1.3735396303426488,1.1306570888331382,wɑṛuke xor,stʌrʌ xor,wror,ploranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,lɑlɑ,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,tarbúr,mèranaiyé tèrprā,kaká loer,tarbúr,kaká loer,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,kaká loer,wɑṛuke ror,tarbúr,tarbúr,tarbúr,ploranaiyé tèrprā,stʌrʌ xor,ploranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,xor,tarbúr,mèranai tèrpir,kaká loer,kaká loer,tarbúr,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,xor,tarbúr,tarbúr,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,tarbúr,kaká loer,ploranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke ror,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,wror,mèranai tèrpir,mèranai tèrpir,tarbúr,mèranaiyé tèrprā,mèranai tèrpir,tarbúr,wɑṛuke xor,mèranai tèrpir,ploranaiyé tèrprā,ploranaiyé tèrprā,lɑlɑ,tarbúr,akâ,tror,mama,plar,plar,tror,akâ,tror,akâ,tror,tror,mama,akâ,mama,tror,akâ,tror,mama,mor,tror,tror,tror,mama,mama,mor,akâ,tror,tror
2,0.1964390959449056,1.442068181225073,1.2456290852801675,mèranaiyé tèrprā,tarbúr,kaká loer,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,lɑlɑ,mèranai tèrpir,mèranaiyé tèrprā,wror,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,mèranaiyé tèrprā,wror,mèranai tèrpir,mèranai tèrpir,kaká loer,mèranaiyé tèrprā,wɑṛuke ror,kaká loer,kaká loer,wɑṛuke xor,ploranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranai tèrpir,xor,ploranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,kaká loer,tarbúr,mèranaiyé tèrprā,tarbúr,kaká loer,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,stʌrʌ xor,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,mèranai tèrpir,lɑlɑ,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,tarbúr,tarbúr,tarbúr,mèranaiyé tèrprā,mèranai tèrpir,stʌrʌ xor,tarbúr,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,xor,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,kaká loer,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,wɑṛuke ror,ploranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke xor,tror,plar,tror,tror,akâ,tror,mor,mor,mama,mama,plar,tror,mama,tror,akâ,akâ,tror,mama,tror,tror,tror,mama,akâ,tror,akâ,akâ,mama,tror
3,0.23282778446676833,1.31994550100933,1.0871177165425616,tarbúr,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,wror,tarbúr,lɑlɑ,wɑṛuke ror,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,xor,tarbúr,mèranai tèrpir,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,kaká loer,mèranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke xor,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,kaká loer,kaká loer,wɑṛuke xor,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,stʌrʌ xor,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,xor,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,lɑlɑ,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,wɑṛuke ror,stʌrʌ xor,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,kaká loer,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,tarbúr,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,kaká loer,tarbúr,tarbúr,wror,kaká loer,tarbúr,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,kaká loer,akâ,tror,tror,plar,tror,tror,tror,tror,mama,mama,mor,tror,tror,tror,mama,mama,mama,akâ,mor,akâ,akâ,plar,tror,mama,tror,akâ,akâ,tror
4,0.2395507184575154,1.3749148325161522,1.1353641140586368,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,lɑlɑ,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,wɑṛuke ror,mèranaiyé tèrprā,tarbúr,tarbúr,stʌrʌ xor,mèranaiyé tèrprā,kaká loer,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,mèranai tèrpir,xor,mèranaiyé tèrprā,tarbúr,tarbúr,tarbúr,tarbúr,mèranaiyé tèrprā,tarbúr,wɑṛuke ror,mèranaiyé tèrprā,ploranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,stʌrʌ xor,tarbúr,tarbúr,wɑṛuke xor,tarbúr,wror,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,tarbúr,wror,mèranai tèrpir,mèranai tèrpir,wɑṛuke xor,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,ploranaiyé tèrprā,mèranaiyé tèrprā,xor,mèranai tèrpir,tarbúr,mèranai tèrpir,kaká loer,tarbúr,tarbúr,kaká loer,ploranaiyé tèrprā,mèranai tèrpir,kaká loer,kaká loer,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,kaká loer,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,lɑlɑ,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,mama,mama,akâ,akâ,akâ,tror,plar,mama,tror,akâ,mor,mor,tror,tror,akâ,tror,plar,tror,akâ,mama,mama,tror,tror,tror,tror,tror,tror,mama
5,0.2631368085139265,1.428014620052705,1.1648778115387786,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,xor,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,kaká loer,kaká loer,mèranaiyé tèrprā,tarbúr,wror,tarbúr,mèranai tèrpir,tarbúr,tarbúr,kaká loer,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,tarbúr,kaká loer,mèranai tèrpir,xor,wɑṛuke xor,lɑlɑ,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,kaká loer,stʌrʌ xor,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,wɑṛuke xor,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,wror,wɑṛuke ror,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,tarbúr,stʌrʌ xor,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,kaká loer,tarbúr,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,mèranai tèrpir,tarbúr,tarbúr,tarbúr,kaká loer,mèranai tèrpir,wɑṛuke ror,kaká loer,mèranaiyé tèrprā,lɑlɑ,ploranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,akâ,plar,tror,tror,akâ,akâ,tror,tror,tror,mama,tror,tror,mama,plar,tror,tror,tror,mama,mama,mama,tror,mama,tror,mor,mor,akâ,akâ,akâ
6,0.24409236591346062,1.3998722411965299,1.1557798752830692,stʌrʌ xor,ploranaiyé tèrprā,kaká loer,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,wɑṛuke ror,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,wɑṛuke xor,mèranai tèrpir,tarbúr,tarbúr,tarbúr,kaká loer,tarbúr,ploranaiyé tèrprā,ploranaiyé tèrprā,lɑlɑ,xor,mèranai tèrpir,tarbúr,tarbúr,wɑṛuke xor,lɑlɑ,wɑṛuke ror,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,tarbúr,tarbúr,mèranai tèrpir,xor,ploranaiyé tèrprā,tarbúr,tarbúr,kaká loer,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,stʌrʌ xor,kaká loer,mèranaiyé tèrprā,tarbúr,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,wror,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,kaká loer,tarbúr,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,kaká loer,tarbúr,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,wror,mor,tror,tror,tror,akâ,mama,akâ,akâ,mor,mama,plar,tror,mama,tror,mama,tror,mama,akâ,akâ,plar,akâ,tror,mama,tror,tror,tror,tror,tror
7,0.23508585488512312,1.311818900902298,1.076733046017175,kaká loer,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,tarbúr,tarbúr,ploranaiyé tèrprā,tarbúr,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,ploranaiyé tèrprā,wɑṛuke xor,tarbúr,mèranai tèrpir,kaká loer,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,tarbúr,mèranai tèrpir,tarbúr,xor,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,wɑṛuke ror,tarbúr,ploranaiyé tèrprā,kaká loer,mèranai tèrpir,stʌrʌ xor,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,xor,tarbúr,tarbúr,mèranaiyé tèrprā,stʌrʌ xor,ploranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,mèranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,kaká loer,mèranai tèrpir,lɑlɑ,mèranai tèrpir,wɑṛuke ror,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,kaká loer,mèranai tèrpir,tarbúr,mèranai tèrpir,tarbúr,lɑlɑ,wror,wɑṛuke xor,mèranaiyé tèrprā,mèranaiyé tèrprā,wror,ploranaiyé tèrprā,mèranaiyé tèrprā,tror,akâ,akâ,tror,plar,mama,mama,tror,akâ,mama,tror,mor,tror,tror,tror,akâ,mama,akâ,tror,mama,mor,plar,tror,tror,tror,tror,mama,akâ
8,0.2842102226837038,1.4482417450954745,1.1640315224117708,mèranaiyé tèrprā,mèranai tèrpir,ploranaiyé tèrprā,lɑlɑ,stʌrʌ xor,mèranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,lɑlɑ,mèranai tèrpir,kaká loer,tarbúr,kaká loer,mèranai tèrpir,tarbúr,ploranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,ploranaiyé tèrprā,kaká loer,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,kaká loer,wror,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,tarbúr,tarbúr,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,wror,mèranai tèrpir,wɑṛuke ror,mèranai tèrpir,kaká loer,mèranai tèrpir,mèranaiyé tèrprā,tarbúr,wɑṛuke ror,mèranaiyé tèrprā,xor,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,xor,kaká loer,kaká loer,tarbúr,tarbúr,mèranaiyé tèrprā,mèranaiyé tèrprā,ploranaiyé tèrprā,tarbúr,stʌrʌ xor,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,kaká loer,mèranai tèrpir,tarbúr,tarbúr,wɑṛuke xor,mèranaiyé tèrprā,tarbúr,tarbúr,mèranai tèrpir,mèranaiyé tèrprā,ploranaiyé tèrprā,wɑṛuke xor,mèranaiyé tèrprā,kaká loer,mèranai tèrpir,tarbúr,mèranaiyé tèrprā,mor,mama,tror,tror,akâ,mama,akâ,tror,mama,tror,tror,tror,tror,plar,tror,mama,akâ,mor,akâ,plar,mama,akâ,tror,tror,akâ,tror,tror,mama
9,0.2565104801303255,1.3484818221972605,1.091971342066935,wɑṛuke ror,ploranaiyé tèrprā,tarbúr,ploranaiyé tèrprā,tarbúr,tarbúr,tarbúr,mèranai tèrpir,wror,tarbúr,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,kaká loer,stʌrʌ xor,mèranaiyé tèrprā,wɑṛuke ror,wror,mèranaiyé tèrprā,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,xor,tarbúr,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,kaká loer,tarbúr,mèranaiyé tèrprā,stʌrʌ xor,mèranai tèrpir,ploranaiyé tèrprā,kaká loer,mèranaiyé tèrprā,tarbúr,wɑṛuke xor,tarbúr,mèranaiyé tèrprā,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,kaká loer,tarbúr,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,mèranai tèrpir,kaká loer,mèranaiyé tèrprā,mèranai tèrpir,mèranaiyé tèrprā,kaká loer,xor,mèranaiyé tèrprā,ploranaiyé tèrprā,mèranai tèrpir,lɑlɑ,mèranaiyé tèrprā,tarbúr,mèranaiyé tèrprā,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,tarbúr,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,mèranai tèrpir,kaká loer,wɑṛuke xor,ploranaiyé tèrprā,tarbúr,tarbúr,tarbúr,mèranai tèrpir,ploranaiyé tèrprā,mèranaiyé tèrprā,mèranaiyé tèrprā,kaká loer,ploranaiyé tèrprā,mèranaiyé tèrprā,tarbúr,tarbúr,lɑlɑ,mèranai tèrpir,mèranaiyé tèrprā,mèranaiyé tèrprā,mama,mama,tror,plar,mama,tror,tror,tror,tror,mama,akâ,mama,akâ,tror,mor,akâ,akâ,tror,mor,tror,tror,tror,tror,akâ,mama,akâ,tror,plar
