simulation_number,mutual_information,entropy,conditional_entropy,meZ,mFZD,mFBD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,feZ,fFZD,fFBD,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,mB,mZ,myZ,mMZD,mMZS,mMeZS,mMyZS,mMeZD,mMyZD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fyZ,fMZD,fMZS,fMeZS,fMyZS,fMeZD,fMyZD,fMZyS,fMZeD,fMZyD,meB,myB,feB,fyB,mMBD,mMBS,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fMBD,fMBS,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mM,fM,mF,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.6193017806440275,1.7911482321015089,1.1718464514574813,phupi zād bahin,chota bhai,phupi zād bhāi,phupi zād bhāi,khalērā bhā'i,phupi zād bahin,chachāzād bahin,māmūzād bhāi,phupi zād bhāi,khalērā bhā'i,bhā'i,khalēri bahen,phupi zād bhāi,chachāzād bhā'i,chachāzād bahin,chachāzād bhā'i,bahen,mamerī bahin,māmūzād bhāi,chachāzād bhā'i,chachāzād bahin,khalēri bahen,māmūzād bhāi,phupi zād bhāi,khalēri bahen,khalēri bahen,chachāzād bahin,chachāzād bhā'i,chachāzād bhā'i,phupi zād bahin,phupi zād bhāi,bahen,mamerī bahin,mamerī bahin,khalēri bahen,chachāzād bhā'i,mamerī bahin,bara bhai,chachāzād bhā'i,mamerī bahin,khalērā bhā'i,phupi zād bahin,khalērā bhā'i,bhā'i,phupi zād bhāi,māmūzād bhāi,bājī,khalērā bhā'i,phupi zād bhāi,mamerī bahin,mamerī bahin,phupi zād bhāi,chota bhai,phupi zād bahin,mamerī bahin,phupi zād bahin,māmūzād bhāi,chachāzād bhā'i,khalēri bahen,chachāzād bhā'i,bara bhai,khalērā bhā'i,chachāzād bahin,chachāzād bahin,māmūzād bhāi,bahen,māmūzād bhāi,khalēri bahen,mamerī bahin,bahen,phupi zād bahin,māmūzād bhāi,chachāzād bahin,phupi zād bhāi,khalēri bahen,khalēri bahen,chachāzād bahin,māmūzād bhāi,chachāzād bhā'i,māmūzād bhāi,khalērā bhā'i,khalērā bhā'i,phupi zād bahin,khalēri bahen,mamerī bahin,khalērā bhā'i,chachāzād bahin,bājī,phupi zād bahin,phupi zād bahin,khāla,bāp,bāp,phuphī,mamu,khāla,māṇ,mamu,phuphī,mamu,khāla,khāla,khāla,tāyā,mamu,phuphī,phuphī,chachā,phuphī,tāyā,mamu,mamu,khāla,phuphī,māṇ,chachā
1,0.5414140690549534,1.7906835678690276,1.2492694988140742,mamerī bahin,māmūzād bhāi,bahen,khalērā bhā'i,khalēri bahen,chachāzād bhā'i,bara bhai,mamerī bahin,mamerī bahin,bara bhai,chachāzād bhā'i,phupi zād bahin,phupi zād bahin,phupi zād bhāi,chachāzād bhā'i,phupi zād bhāi,phupi zād bhāi,mamerī bahin,khalēri bahen,phupi zād bahin,khalēri bahen,phupi zād bahin,bahen,phupi zād bhāi,chachāzād bahin,māmūzād bhāi,māmūzād bhāi,mamerī bahin,māmūzād bhāi,chachāzād bahin,māmūzād bhāi,chachāzād bahin,khalērā bhā'i,bahen,phupi zād bhāi,māmūzād bhāi,phupi zād bahin,phupi zād bahin,chachāzād bhā'i,chota bhai,bhā'i,chachāzād bahin,chota bhai,khalēri bahen,mamerī bahin,phupi zād bhāi,bahen,phupi zād bahin,māmūzād bhāi,māmūzād bhāi,phupi zād bhāi,mamerī bahin,phupi zād bahin,khalēri bahen,chachāzād bahin,chachāzād bhā'i,chachāzād bhā'i,phupi zād bahin,khalērā bhā'i,bhā'i,chachāzād bhā'i,khalēri bahen,khalēri bahen,khalērā bhā'i,khalērā bhā'i,chachāzād bahin,phupi zād bahin,māmūzād bhāi,khalērā bhā'i,bājī,phupi zād bhāi,chachāzād bahin,phupi zād bhāi,khalērā bhā'i,māmūzād bhāi,khalērā bhā'i,mamerī bahin,khalēri bahen,chachāzād bahin,mamerī bahin,chachāzād bhā'i,khalērā bhā'i,mamerī bahin,khalēri bahen,chachāzād bhā'i,khalēri bahen,chachāzād bhā'i,chachāzād bahin,phupi zād bhāi,bājī,mamu,khāla,mamu,bāp,phuphī,mamu,mamu,mamu,khāla,khāla,phuphī,khāla,chachā,māṇ,phuphī,bāp,tāyā,khāla,phuphī,māṇ,phuphī,tāyā,khāla,mamu,chachā,phuphī
2,0.5553208798228386,1.7369947351325572,1.1816738553097186,māmūzād bhāi,khalēri bahen,khalēri bahen,khalēri bahen,mamerī bahin,khalēri bahen,phupi zād bhāi,chachāzād bahin,bara bhai,māmūzād bhāi,phupi zād bahin,chachāzād bhā'i,bara bhai,khalēri bahen,mamerī bahin,phupi zād bahin,khalēri bahen,mamerī bahin,chachāzād bhā'i,chachāzād bhā'i,chota bhai,khalērā bhā'i,bahen,chachāzād bahin,chachāzād bahin,phupi zād bhāi,phupi zād bhāi,phupi zād bhāi,chachāzād bhā'i,mamerī bahin,khalērā bhā'i,phupi zād bhāi,māmūzād bhāi,bājī,chachāzād bahin,bhā'i,māmūzād bhāi,bahen,chachāzād bahin,mamerī bahin,māmūzād bhāi,chota bhai,chachāzād bhā'i,māmūzād bhāi,phupi zād bahin,mamerī bahin,chachāzād bahin,phupi zād bhāi,māmūzād bhāi,khalērā bhā'i,mamerī bahin,khalēri bahen,khalērā bhā'i,khalēri bahen,phupi zād bhāi,chachāzād bhā'i,phupi zād bahin,phupi zād bahin,chachāzād bhā'i,khalērā bhā'i,phupi zād bahin,khalērā bhā'i,chachāzād bhā'i,mamerī bahin,māmūzād bhāi,phupi zād bahin,khalērā bhā'i,phupi zād bhāi,phupi zād bahin,phupi zād bhāi,bhā'i,chachāzād bhā'i,khalērā bhā'i,khalēri bahen,bahen,phupi zād bahin,mamerī bahin,chachāzād bhā'i,bājī,khalēri bahen,mamerī bahin,phupi zād bahin,khalērā bhā'i,māmūzād bhāi,māmūzād bhāi,phupi zād bhāi,bahen,chachāzād bahin,chachāzād bahin,chachāzād bahin,khāla,khāla,bāp,mamu,mamu,phuphī,phuphī,māṇ,chachā,khāla,tāyā,mamu,phuphī,bāp,tāyā,chachā,mamu,phuphī,mamu,māṇ,khāla,phuphī,khāla,mamu,phuphī,khāla
3,0.5574970005183932,1.8064668574722837,1.2489698569538905,māmūzād bhāi,khalērā bhā'i,phupi zād bhāi,mamerī bahin,khalērā bhā'i,mamerī bahin,phupi zād bhāi,chota bhai,bājī,māmūzād bhāi,bara bhai,bahen,khalērā bhā'i,phupi zād bahin,chachāzād bahin,phupi zād bahin,khalēri bahen,māmūzād bhāi,chachāzād bahin,khalērā bhā'i,chachāzād bhā'i,chachāzād bhā'i,khalēri bahen,chachāzād bhā'i,chachāzād bhā'i,phupi zād bhāi,phupi zād bhāi,khalēri bahen,phupi zād bahin,phupi zād bhāi,khalēri bahen,mamerī bahin,khalērā bhā'i,chachāzād bahin,bara bhai,khalēri bahen,bahen,mamerī bahin,khalēri bahen,bhā'i,khalērā bhā'i,chachāzād bahin,phupi zād bhāi,māmūzād bhāi,khalēri bahen,chachāzād bahin,chachāzād bhā'i,chachāzād bhā'i,māmūzād bhāi,phupi zād bahin,khalēri bahen,chachāzād bhā'i,mamerī bahin,chachāzād bhā'i,māmūzād bhāi,phupi zād bahin,khalēri bahen,mamerī bahin,māmūzād bhāi,chota bhai,mamerī bahin,phupi zād bahin,mamerī bahin,phupi zād bahin,māmūzād bhāi,chachāzād bahin,māmūzād bhāi,phupi zād bhāi,khalērā bhā'i,phupi zād bhāi,khalērā bhā'i,phupi zād bahin,phupi zād bahin,chachāzād bahin,phupi zād bhāi,mamerī bahin,khalēri bahen,chachāzād bahin,bahen,khalērā bhā'i,chachāzād bhā'i,bhā'i,mamerī bahin,chachāzād bhā'i,māmūzād bhāi,phupi zād bahin,chachāzād bahin,phupi zād bhāi,bājī,bahen,māṇ,phuphī,khāla,māṇ,mamu,chachā,mamu,tāyā,tāyā,bāp,phuphī,phuphī,chachā,khāla,mamu,khāla,mamu,khāla,mamu,bāp,mamu,phuphī,khāla,phuphī,khāla,phuphī
4,0.48514495867754626,1.8377253502046786,1.3525803915271324,chachāzād bahin,phupi zād bahin,phupi zād bahin,chota bhai,chachāzād bahin,chachāzād bahin,phupi zād bhāi,bhā'i,chachāzād bhā'i,chachāzād bhā'i,bahen,bahen,bahen,bara bhai,chachāzād bhā'i,khalērā bhā'i,mamerī bahin,phupi zād bhāi,bara bhai,khalērā bhā'i,khalērā bhā'i,khalēri bahen,mamerī bahin,mamerī bahin,khalērā bhā'i,māmūzād bhāi,khalēri bahen,phupi zād bhāi,phupi zād bhāi,mamerī bahin,mamerī bahin,māmūzād bhāi,mamerī bahin,phupi zād bhāi,mamerī bahin,khalērā bhā'i,khalēri bahen,chota bhai,phupi zād bahin,mamerī bahin,phupi zād bahin,māmūzād bhāi,māmūzād bhāi,chachāzād bhā'i,phupi zād bhāi,chachāzād bahin,phupi zād bhāi,phupi zād bahin,chachāzād bhā'i,mamerī bahin,phupi zād bhāi,māmūzād bhāi,khalēri bahen,khalērā bhā'i,māmūzād bhāi,māmūzād bhāi,phupi zād bahin,khalērā bhā'i,khalēri bahen,khalēri bahen,phupi zād bahin,khalēri bahen,chachāzād bahin,māmūzād bhāi,chachāzād bahin,khalērā bhā'i,bājī,bahen,chachāzād bahin,khalēri bahen,māmūzād bhāi,phupi zād bhāi,phupi zād bahin,chachāzād bahin,phupi zād bahin,chachāzād bahin,chachāzād bhā'i,bhā'i,mamerī bahin,khalērā bhā'i,chachāzād bhā'i,māmūzād bhāi,chachāzād bhā'i,phupi zād bhāi,chachāzād bhā'i,khalēri bahen,phupi zād bahin,bājī,chachāzād bhā'i,khalēri bahen,mamu,phuphī,māṇ,mamu,chachā,mamu,khāla,tāyā,mamu,mamu,phuphī,chachā,phuphī,mamu,phuphī,phuphī,māṇ,khāla,khāla,khāla,bāp,khāla,khāla,bāp,phuphī,tāyā
5,0.422449734397488,1.828197668986446,1.405747934588958,khalērā bhā'i,chachāzād bhā'i,phupi zād bhāi,māmūzād bhāi,māmūzād bhāi,mamerī bahin,bhā'i,chachāzād bahin,bara bhai,khalērā bhā'i,chachāzād bhā'i,khalērā bhā'i,khalērā bhā'i,phupi zād bahin,chachāzād bhā'i,khalēri bahen,chachāzād bhā'i,phupi zād bhāi,mamerī bahin,khalērā bhā'i,khalēri bahen,chachāzād bahin,phupi zād bhāi,phupi zād bhāi,chachāzād bhā'i,mamerī bahin,chachāzād bahin,mamerī bahin,chachāzād bhā'i,khalēri bahen,phupi zād bhāi,chota bhai,māmūzād bhāi,phupi zād bhāi,phupi zād bahin,māmūzād bhāi,khalērā bhā'i,phupi zād bahin,māmūzād bhāi,māmūzād bhāi,mamerī bahin,phupi zād bhāi,khalēri bahen,mamerī bahin,mamerī bahin,phupi zād bhāi,chachāzād bahin,phupi zād bahin,māmūzād bhāi,phupi zād bahin,khalēri bahen,chachāzād bhā'i,bahen,chachāzād bhā'i,māmūzād bhāi,bahen,chachāzād bahin,bhā'i,chachāzād bahin,mamerī bahin,chota bhai,khalērā bhā'i,phupi zād bahin,khalērā bhā'i,khalēri bahen,khalēri bahen,chachāzād bahin,bara bhai,phupi zād bahin,chachāzād bahin,phupi zād bahin,chachāzād bhā'i,chachāzād bahin,bahen,phupi zād bahin,khalērā bhā'i,phupi zād bhāi,māmūzād bhāi,khalēri bahen,mamerī bahin,māmūzād bhāi,chachāzād bhā'i,bājī,khalēri bahen,mamerī bahin,bahen,bājī,phupi zād bahin,phupi zād bhāi,khalēri bahen,khāla,phuphī,māṇ,khāla,phuphī,mamu,mamu,bāp,khāla,khāla,māṇ,chachā,phuphī,tāyā,mamu,phuphī,phuphī,mamu,chachā,mamu,mamu,khāla,phuphī,bāp,khāla,tāyā
6,0.4619063051754535,1.7802860255866353,1.3183797204111818,chachāzād bahin,khalērā bhā'i,phupi zād bhāi,phupi zād bhāi,khalēri bahen,māmūzād bhāi,khalērā bhā'i,chachāzād bahin,chachāzād bahin,phupi zād bhāi,khalērā bhā'i,khalērā bhā'i,chachāzād bhā'i,māmūzād bhāi,bara bhai,mamerī bahin,bhā'i,phupi zād bahin,māmūzād bhāi,bahen,phupi zād bahin,khalērā bhā'i,mamerī bahin,māmūzād bhāi,chachāzād bahin,chachāzād bhā'i,mamerī bahin,chachāzād bhā'i,bājī,khalēri bahen,phupi zād bahin,bahen,phupi zād bhāi,chachāzād bhā'i,chachāzād bhā'i,bājī,chachāzād bahin,bara bhai,māmūzād bhāi,phupi zād bahin,phupi zād bhāi,khalēri bahen,chachāzād bhā'i,phupi zād bahin,phupi zād bahin,bahen,phupi zād bhāi,khalēri bahen,khalērā bhā'i,khalēri bahen,mamerī bahin,khalēri bahen,phupi zād bahin,khalēri bahen,phupi zād bahin,chachāzād bahin,mamerī bahin,khalēri bahen,mamerī bahin,khalērā bhā'i,chachāzād bhā'i,mamerī bahin,phupi zād bhāi,māmūzād bhāi,phupi zād bhāi,phupi zād bhāi,mamerī bahin,phupi zād bhāi,chachāzād bahin,chota bhai,khalēri bahen,khalērā bhā'i,māmūzād bhāi,māmūzād bhāi,māmūzād bhāi,khalēri bahen,māmūzād bhāi,khalērā bhā'i,bahen,chota bhai,bhā'i,chachāzād bhā'i,phupi zād bahin,chachāzād bahin,chachāzād bahin,phupi zād bahin,chachāzād bhā'i,mamerī bahin,chachāzād bhā'i,mamerī bahin,bāp,mamu,phuphī,khāla,khāla,phuphī,phuphī,māṇ,phuphī,chachā,bāp,mamu,mamu,khāla,khāla,phuphī,khāla,tāyā,mamu,mamu,tāyā,khāla,mamu,phuphī,māṇ,chachā
7,0.4505796833682456,1.7408364012033988,1.2902567178351532,bhā'i,phupi zād bhāi,chachāzād bahin,phupi zād bhāi,khalērā bhā'i,bahen,phupi zād bhāi,māmūzād bhāi,mamerī bahin,khalēri bahen,khalēri bahen,phupi zād bhāi,khalēri bahen,mamerī bahin,chachāzād bhā'i,khalērā bhā'i,chachāzād bahin,khalērā bhā'i,chachāzād bahin,chota bhai,mamerī bahin,khalērā bhā'i,mamerī bahin,bahen,phupi zād bhāi,chachāzād bhā'i,mamerī bahin,chachāzād bhā'i,khalērā bhā'i,phupi zād bahin,chachāzād bhā'i,mamerī bahin,māmūzād bhāi,bara bhai,phupi zād bhāi,bhā'i,chachāzād bhā'i,māmūzād bhāi,bahen,bahen,māmūzād bhāi,bājī,phupi zād bahin,khalēri bahen,māmūzād bhāi,phupi zād bahin,phupi zād bhāi,bājī,phupi zād bahin,khalēri bahen,chachāzād bhā'i,khalēri bahen,phupi zād bahin,chachāzād bhā'i,phupi zād bahin,khalēri bahen,chachāzād bahin,māmūzād bhāi,māmūzād bhāi,khalērā bhā'i,mamerī bahin,chota bhai,phupi zād bahin,chachāzād bahin,chachāzād bahin,mamerī bahin,bara bhai,mamerī bahin,chachāzād bahin,phupi zād bhāi,chachāzād bhā'i,khalērā bhā'i,phupi zād bhāi,khalēri bahen,chachāzād bhā'i,mamerī bahin,māmūzād bhāi,khalēri bahen,phupi zād bahin,khalērā bhā'i,phupi zād bahin,phupi zād bhāi,khalērā bhā'i,māmūzād bhāi,phupi zād bahin,khalēri bahen,chachāzād bahin,māmūzād bhāi,chachāzād bahin,chachāzād bhā'i,mamu,phuphī,bāp,mamu,khāla,khāla,phuphī,māṇ,chachā,mamu,phuphī,khāla,mamu,phuphī,bāp,khāla,phuphī,chachā,mamu,māṇ,khāla,tāyā,phuphī,mamu,khāla,tāyā
8,0.5616414302591086,1.8353782132389118,1.2737367829798032,phupi zād bhāi,phupi zād bahin,bahen,phupi zād bahin,phupi zād bhāi,phupi zād bhāi,phupi zād bahin,khalēri bahen,bahen,khalēri bahen,māmūzād bhāi,chachāzād bahin,bājī,khalēri bahen,chachāzād bahin,māmūzād bhāi,khalērā bhā'i,phupi zād bhāi,khalēri bahen,khalērā bhā'i,bhā'i,phupi zād bahin,chachāzād bhā'i,khalērā bhā'i,bājī,chachāzād bhā'i,chachāzād bhā'i,mamerī bahin,phupi zād bahin,phupi zād bahin,chachāzād bahin,mamerī bahin,chachāzād bhā'i,chachāzād bhā'i,khalēri bahen,khalērā bhā'i,chachāzād bhā'i,chachāzād bhā'i,mamerī bahin,bahen,mamerī bahin,mamerī bahin,chachāzād bhā'i,chachāzād bahin,chachāzād bahin,phupi zād bhāi,māmūzād bhāi,chota bhai,bhā'i,māmūzād bhāi,phupi zād bahin,chachāzād bhā'i,khalēri bahen,phupi zād bhāi,phupi zād bhāi,māmūzād bhāi,chachāzād bahin,mamerī bahin,khalēri bahen,khalērā bhā'i,bara bhai,khalērā bhā'i,chachāzād bahin,mamerī bahin,chachāzād bahin,khalērā bhā'i,māmūzād bhāi,māmūzād bhāi,khalērā bhā'i,phupi zād bhāi,bahen,māmūzād bhāi,māmūzād bhāi,khalēri bahen,bara bhai,mamerī bahin,khalēri bahen,phupi zād bhāi,khalērā bhā'i,phupi zād bahin,mamerī bahin,māmūzād bhāi,phupi zād bahin,phupi zād bahin,chota bhai,phupi zād bhāi,chachāzād bahin,khalēri bahen,chachāzād bhā'i,mamerī bahin,māṇ,mamu,phuphī,phuphī,māṇ,chachā,tāyā,khāla,mamu,phuphī,khāla,phuphī,mamu,bāp,phuphī,khāla,khāla,mamu,mamu,khāla,tāyā,phuphī,mamu,khāla,bāp,chachā
9,0.5283826720176799,1.8376164370275088,1.309233765009829,bara bhai,phupi zād bahin,phupi zād bahin,khalērā bhā'i,khalēri bahen,phupi zād bhāi,chachāzād bhā'i,chachāzād bhā'i,māmūzād bhāi,chachāzād bahin,khalēri bahen,chota bhai,mamerī bahin,phupi zād bhāi,chachāzād bahin,mamerī bahin,phupi zād bhāi,māmūzād bhāi,phupi zād bhāi,khalērā bhā'i,bājī,phupi zād bahin,chota bhai,khalērā bhā'i,khalērā bhā'i,phupi zād bahin,khalēri bahen,khalēri bahen,khalērā bhā'i,mamerī bahin,bahen,chachāzād bahin,māmūzād bhāi,mamerī bahin,māmūzād bhāi,chachāzād bhā'i,chachāzād bhā'i,māmūzād bhāi,māmūzād bhāi,mamerī bahin,khalēri bahen,chachāzād bhā'i,māmūzād bhāi,khalērā bhā'i,khalēri bahen,chachāzād bahin,chachāzād bahin,bhā'i,phupi zād bhāi,phupi zād bhāi,chachāzād bahin,mamerī bahin,mamerī bahin,chachāzād bhā'i,phupi zād bahin,māmūzād bhāi,khalērā bhā'i,chachāzād bhā'i,khalēri bahen,phupi zād bhāi,chachāzād bhā'i,phupi zād bhāi,bahen,phupi zād bhāi,phupi zād bahin,māmūzād bhāi,chachāzād bhā'i,chachāzād bahin,bājī,bahen,khalēri bahen,mamerī bahin,khalērā bhā'i,chachāzād bahin,khalēri bahen,mamerī bahin,phupi zād bahin,phupi zād bahin,chachāzād bahin,bahen,khalēri bahen,mamerī bahin,māmūzād bhāi,khalērā bhā'i,bara bhai,phupi zād bhāi,bhā'i,phupi zād bahin,phupi zād bahin,chachāzād bhā'i,khāla,mamu,khāla,phuphī,māṇ,khāla,khāla,tāyā,khāla,phuphī,mamu,phuphī,chachā,bāp,phuphī,mamu,mamu,māṇ,phuphī,khāla,mamu,phuphī,tāyā,bāp,mamu,chachā
