simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,feB,fyB,feZ,mF,mM,mFeZ,fF,fM,fFeZ
0,0.1978763973926393,1.0296530140645737,0.8317766166719344,haaci'i,huu,huu,ne-kuu-cí'i,ne-kuu-cí'i,náanana,ookáli,taata,taata,ookáli,náanana
1,0.1978763973926393,1.0296530140645737,0.8317766166719344,ne-kuu-cí'i,haaci'i,huu,ne-kuu-cí'i,huu,ookáli,taata,taata,ookáli,náanana,náanana
2,0.6730116670092566,1.0888999753452238,0.4158883083359671,huu,huu,ne-kuu-cí'i,haaci'i,ne-kuu-cí'i,ookáli,ookáli,taata,taata,náanana,náanana
3,0.1978763973926393,1.0296530140645737,0.8317766166719344,ne-kuu-cí'i,haaci'i,ne-kuu-cí'i,huu,huu,náanana,ookáli,ookáli,taata,náanana,taata
4,0.1978763973926393,1.0296530140645737,0.8317766166719344,haaci'i,ne-kuu-cí'i,huu,ne-kuu-cí'i,huu,náanana,ookáli,ookáli,náanana,taata,taata
5,0.33650583350462837,1.0296530140645737,0.6931471805599453,huu,huu,ne-kuu-cí'i,haaci'i,ne-kuu-cí'i,náanana,ookáli,ookáli,taata,náanana,taata
6,0.39575279478527847,1.0888999753452238,0.6931471805599453,haaci'i,huu,ne-kuu-cí'i,huu,ne-kuu-cí'i,náanana,náanana,ookáli,ookáli,taata,taata
7,0.33650583350462837,1.0296530140645737,0.6931471805599453,huu,huu,ne-kuu-cí'i,haaci'i,ne-kuu-cí'i,taata,ookáli,náanana,náanana,taata,ookáli
8,0.11849392256130031,1.0888999753452238,0.9704060527839234,huu,ne-kuu-cí'i,ne-kuu-cí'i,haaci'i,huu,taata,taata,náanana,ookáli,náanana,ookáli
9,0.39575279478527847,1.0888999753452238,0.6931471805599453,ne-kuu-cí'i,haaci'i,huu,ne-kuu-cí'i,huu,ookáli,ookáli,taata,náanana,taata,náanana
