simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.06577141535893083,1.0841915396665787,1.0184201243076478,cugino,cugina,cugina,cugina,cugina,cugino,cugino,sorella,cugino,cugina,cugina,cugino,cugina,cugina,cugina,fratello,cugina,cugino,cugino,cugino,fratello,cugino,cugino,cugino,cugino,cugina,cugino,cugino,cugina,cugino,cugino,sorella,cugina,cugina,fratello,cugino,cugina,cugino,cugino,cugino,cugina,cugino,cugino,cugino,cugino,cugino,cugino,sorella,cugina,cugino,cugina,fratello,cugina,cugina,cugino,cugino,cugina,sorella,cugina,cugino,cugino,cugina,sorella,cugino,cugina,fratello,cugina,cugino,cugino,cugina,cugina,cugino,cugina,cugina,cugina,cugina,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugina,cugino,cugina,cugina,sorella,cugina,zia,zio,zio,zio,zia,zio,zio,zia,zio,zio,zio,zia,zia,zia,zio,zia,zio,mamma,zia,zia,zia,zio,zio,zia,papá,papá,mamma,zia
1,0.058986928874152356,1.0334683756960055,0.9744814468218531,cugino,cugina,cugino,cugina,cugino,sorella,cugina,cugino,cugino,sorella,cugina,cugino,cugina,cugina,cugina,cugino,cugino,cugina,cugina,cugina,cugina,cugino,cugino,fratello,cugina,cugino,cugino,cugina,cugino,cugino,cugina,cugino,sorella,sorella,cugina,cugino,cugino,cugino,fratello,cugina,cugina,cugina,cugina,cugino,cugino,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugina,cugina,cugina,cugina,cugino,cugina,cugino,cugino,cugino,cugina,fratello,sorella,cugino,cugino,cugina,cugina,cugina,cugina,cugino,cugino,cugina,cugina,cugina,cugino,cugina,cugino,cugino,fratello,cugina,fratello,cugino,cugino,cugina,sorella,cugino,cugino,zio,zia,zia,zio,zio,zia,zia,zia,zia,papá,mamma,zio,mamma,zio,zio,zia,zio,zio,zia,zia,papá,zia,zio,zio,zio,zia,zio,zia
2,0.06881477604466268,1.0970763083137216,1.028261532269059,cugina,cugino,cugino,cugina,cugino,cugina,cugina,fratello,cugino,cugina,cugina,sorella,cugina,fratello,cugino,cugino,cugino,cugina,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugino,cugino,cugino,cugino,sorella,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugino,cugino,cugino,cugina,cugino,cugina,cugina,fratello,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugino,cugina,cugina,cugino,cugina,cugina,cugina,cugino,sorella,cugino,cugino,cugina,sorella,fratello,cugina,cugina,cugina,sorella,cugina,cugino,cugina,cugina,cugina,cugino,cugina,cugino,sorella,cugino,cugino,fratello,cugina,cugino,cugina,cugino,cugino,zio,zia,zia,zia,zio,mamma,zio,zia,zia,zia,papá,zia,zia,zio,mamma,zia,zio,zia,zio,zia,zio,zio,zio,zia,zio,papá,zio,zio
3,0.045798993104974484,1.1338096288475135,1.088010635742539,cugino,cugino,cugino,cugino,cugina,cugino,cugina,cugino,cugino,cugino,cugino,cugino,cugino,cugina,cugina,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugina,cugina,cugina,cugino,cugina,cugina,cugina,cugino,sorella,cugina,fratello,cugino,cugina,cugino,cugino,cugino,cugina,cugina,cugina,cugino,cugino,cugina,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugina,sorella,cugina,cugino,cugino,cugino,cugino,cugino,cugina,sorella,cugina,cugina,cugina,sorella,cugino,cugina,cugino,fratello,cugino,cugina,fratello,fratello,sorella,cugino,cugino,cugina,cugina,cugino,cugina,cugina,cugino,cugino,cugino,cugina,fratello,cugino,cugina,sorella,zio,zia,mamma,zia,zia,papá,zia,zio,zia,zio,zia,zio,zio,zio,zia,zio,zia,zio,zio,zio,zio,zia,zia,mamma,zia,papá,zia,zio
4,0.05819211967782767,1.1614731777789804,1.1032810581011527,cugina,cugino,cugina,cugino,cugina,cugina,cugina,cugino,cugina,cugina,cugino,cugina,sorella,fratello,cugino,cugina,cugino,cugino,cugino,cugino,cugino,cugino,cugina,cugina,sorella,cugino,sorella,cugina,cugino,cugino,sorella,cugino,cugina,cugina,cugino,cugina,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugina,cugino,cugino,cugino,fratello,cugina,cugina,cugina,cugino,cugino,cugino,sorella,cugina,cugino,cugino,cugina,cugina,fratello,fratello,cugino,cugina,cugina,cugina,cugina,cugino,cugino,cugina,cugino,cugino,cugino,cugina,cugina,cugina,fratello,cugina,cugina,cugina,cugino,cugino,sorella,cugino,cugina,cugino,mamma,zio,mamma,zia,zio,zia,zio,zia,zia,zia,zio,zio,zia,zio,zio,zia,zio,papá,zia,zio,zia,zio,zia,zio,zia,papá,zia,zio
5,0.06270869495566034,1.0841915396665787,1.0214828447109183,cugino,cugino,cugina,cugina,cugino,cugina,cugino,cugino,cugina,cugina,cugino,fratello,cugino,cugino,cugino,cugino,cugina,cugino,sorella,cugina,cugina,cugina,cugina,cugina,cugina,cugino,cugina,cugina,cugino,cugino,cugina,fratello,sorella,cugino,cugina,fratello,cugina,cugino,cugina,cugina,cugina,cugino,cugino,cugino,cugino,cugina,cugina,cugino,cugino,fratello,cugino,cugino,cugina,cugina,cugina,sorella,cugina,cugina,cugina,cugino,cugino,cugino,cugino,cugino,cugino,cugino,cugina,cugino,sorella,cugino,cugino,cugina,cugina,cugina,sorella,cugina,cugina,fratello,cugina,cugino,cugino,cugino,sorella,cugino,cugina,cugina,cugina,cugina,cugino,zia,zio,zio,papá,zia,zia,zia,papá,zia,mamma,zia,zia,zio,zio,zia,zio,zio,zio,zia,zio,zia,zio,mamma,zia,zio,zia,zio,zio
6,0.10004344975206292,1.0247189379835995,0.9246754882315366,cugino,cugina,cugino,cugino,cugino,cugina,sorella,cugina,fratello,cugino,cugina,cugino,fratello,cugino,cugino,cugina,cugina,cugino,cugina,cugino,sorella,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugino,cugino,cugina,cugino,cugina,cugino,cugina,cugina,sorella,cugino,cugina,sorella,cugino,cugina,cugino,cugina,cugina,cugina,cugino,cugina,cugino,cugina,cugino,cugino,cugino,cugino,cugina,cugino,cugina,cugino,fratello,cugina,cugino,cugina,cugino,fratello,cugina,sorella,cugino,cugina,cugino,sorella,cugino,cugina,cugina,cugina,cugina,cugino,cugina,cugino,fratello,cugino,cugino,cugino,cugino,cugina,cugina,cugino,cugina,cugina,cugina,zio,papá,zia,zia,zio,zio,zio,zio,zio,zia,zia,zia,zia,papá,zio,zia,zia,zio,zio,zio,mamma,mamma,zia,zia,zia,zio,zio,zia
7,0.06963950796446716,1.083823285909609,1.014183777945142,cugino,cugino,cugina,sorella,cugina,sorella,cugina,sorella,cugino,cugina,cugino,cugina,cugino,cugino,cugino,cugino,sorella,cugina,cugino,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugino,cugina,cugino,cugino,cugina,cugino,cugino,cugino,cugino,cugina,cugina,cugino,cugina,cugina,cugino,cugino,cugina,fratello,cugino,cugina,fratello,cugina,cugina,cugino,cugina,cugina,cugino,cugina,cugino,cugino,cugino,cugino,cugino,cugino,sorella,cugina,cugina,cugina,cugina,cugina,cugina,cugina,cugina,cugino,cugina,sorella,cugino,cugina,cugino,fratello,cugina,cugina,cugino,cugina,fratello,cugina,cugino,cugino,fratello,cugina,cugino,cugino,cugino,zia,zio,zio,zio,zio,zio,zia,zio,zia,zia,zio,zio,zio,mamma,zia,zia,zia,mamma,zia,zia,zia,zia,papá,papá,zia,zio,zio,zio
8,0.029413340950560807,1.083823285909609,1.0544099449590483,fratello,cugina,cugina,cugina,cugino,cugino,cugino,cugino,cugina,cugino,fratello,sorella,fratello,cugina,cugino,cugina,cugina,cugino,cugino,cugino,cugina,cugina,cugino,cugino,sorella,cugino,cugino,cugino,sorella,cugina,cugina,cugina,cugino,cugina,cugina,cugina,cugino,cugino,cugino,cugina,cugina,cugina,fratello,cugina,cugino,cugina,cugino,cugino,cugino,cugino,cugino,cugina,cugino,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugino,cugino,sorella,cugina,cugino,cugina,cugina,sorella,cugina,cugina,cugina,cugina,cugina,cugina,cugino,cugino,cugina,cugino,cugina,cugino,cugino,cugino,cugina,cugino,fratello,cugino,cugina,cugino,sorella,zio,papá,zio,zio,zio,zia,zia,zio,zia,zia,zia,zio,zio,mamma,papá,zia,zia,zia,zio,zia,zio,zia,zio,zia,zio,zia,mamma,zio
9,0.05876775260426803,1.0841915396665787,1.0254237870623106,cugina,cugina,cugina,cugina,cugino,cugina,cugina,cugina,cugino,fratello,cugina,cugino,sorella,cugina,cugina,cugino,cugina,cugina,cugina,cugina,sorella,cugino,cugina,cugina,cugino,cugino,cugino,cugino,cugina,cugino,cugino,cugina,cugina,cugina,fratello,cugino,cugino,cugino,cugino,cugina,cugino,cugino,cugino,cugina,cugina,cugina,cugina,cugino,sorella,cugino,cugino,cugino,cugina,cugina,cugino,cugino,sorella,cugino,cugino,cugino,cugina,cugino,cugina,cugina,sorella,cugino,cugina,fratello,cugina,sorella,cugino,cugino,cugino,cugina,cugino,cugina,cugina,cugino,cugino,cugina,cugino,cugino,cugino,fratello,cugina,fratello,cugina,cugina,cugino,zio,zio,zia,zio,zia,zia,zio,zio,zia,zia,zio,mamma,zio,zio,zia,zia,papá,zio,zio,zia,zio,zia,mamma,zia,zio,zia,zia,papá
