simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,NA,NA,NA,manāηð,marainlð,manāηð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,kahaem ap yðη,kahaem ap yðη,yðη kikānð
1,NA,NA,NA,manāηð,manāηð,marainlð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη
2,NA,NA,NA,manāηð,manāηð,marainlð,yðη kikānð,kahaem ap yðη,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη
3,NA,NA,NA,marainlð,manāηð,manāηð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð
4,NA,NA,NA,manāηð,manāηð,marainlð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη
5,NA,NA,NA,manāηð,manāηð,marainlð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη,kahaem ap yðη
6,NA,NA,NA,marainlð,manāηð,manāηð,yðη kikānð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð
7,NA,NA,NA,manāηð,manāηð,marainlð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,kahaem ap yðη
8,NA,NA,NA,manāηð,marainlð,manāηð,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð
9,NA,NA,NA,manāηð,marainlð,manāηð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,kahaem ap yðη,yðη kikānð,kahaem ap yðη,kahaem ap yðη,yðη kikānð,yðη kikānð,yðη kikānð,kahaem ap yðη,yðη kikānð
