simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.12266495069528749,1.1537775204722556,1.031112569776968,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,χātā,χātā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,dādā,dādā,dādā,dādā,χālā,ʔemmā,χālā,dādā,χālā,χālā,χālā,dādā,ʔabbā,χālā,ʔabbā,ʔemmā
1,0.07932485838578196,1.2698317424937906,1.1905068841080086,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,dādā,χālā,χālā,ʔabbā,dādā,dādā,χālā,ʔemmā,dādā,χālā,χālā,ʔemmā,χālā,dādā,ʔabbā,dādā
2,0.04633397210980683,1.2357241126278466,1.1893901405180398,bar-dādā,ʔaχā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,dādā,χālā,χālā,ʔabbā,dādā,ʔemmā,dādā,χālā,χālā,ʔabbā,χālā,dādā,ʔemmā,dādā,χālā,dādā
3,0.10730110523330039,1.2810733268113057,1.1737722215780053,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,ʔaχā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,dādā,dādā,ʔabbā,χālā,dādā,χālā,dādā,χālā,χālā,ʔemmā,ʔabbā,dādā,χālā,χālā,dādā,ʔemmā
4,0.19502189408476056,1.2633885346098717,1.068366640525111,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,ʔaxā zʁērā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,ʔaχā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,χālā,χālā,dādā,dādā,ʔemmā,ʔemmā,χālā,dādā,dādā,dādā,ʔabbā,ʔabbā,χālā,χālā,χālā,dādā
5,0.09339175732091909,1.2751213738148888,1.1817296164939697,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,χātā,bar-dādā,bar-dādā,χālā,dādā,ʔemmā,χālā,ʔemmā,dādā,dādā,dādā,χālā,dādā,ʔabbā,χālā,χālā,dādā,ʔabbā,χālā
6,0.15420219611267338,1.2647873084816963,1.110585112369023,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,ʔaχā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,dādā,χālā,dādā,dādā,dādā,dādā,ʔemmā,χālā,ʔabbā,ʔabbā,χālā,ʔemmā,χālā,χālā,χālā,dādā
7,0.10011678565881477,1.1634830672535301,1.0633662815947154,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χālā,χālā,ʔemmā,χālā,ʔemmā,ʔabbā,dādā,dādā,χālā,χālā,dādā,χālā,dādā,ʔabbā,dādā,dādā
8,0.12896588735175785,1.228089117152506,1.099123229800748,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,χātā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,dādā,χālā,dādā,dādā,χālā,dādā,ʔabbā,dādā,χālā,χālā,χālā,ʔemmā,ʔabbā,χālā,dādā,ʔemmā
9,0.11679592222901736,1.3162051407739064,1.199409218544889,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,ʔaχā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,ʔaxā zʁērā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χātā zʁērtā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,bar-dādā,χālā,χālā,ʔabbā,ʔemmā,dādā,ʔabbā,dādā,χālā,χālā,dādā,dādā,ʔemmā,χālā,dādā,dādā,χālā
