simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,fB,feB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,fF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.09134284090214972,1.5146161237246274,1.4232732828224777,uso,uso,tuafafine,uso,tuagane,tuagane,uso,use,uso,uso,uso,tuagane,uso,tuagane,tuagane,tuagane,tuafafine,tuafafine,use,tuagane,tuagane,tuafafine,tuafafine,uso,tuafafine,uso,tuagane,tuafafine,tuagane,uso,tuagane,tuagane,tuagane,tuafafine,tuafafine,uso,tuafafine,tuafafine,uso,tuafafine,uso,uso,uso,uso,tuagane,tuagane,tuafafine,tuafafine,uso,uso,uso,tuafafine,uso,uso,tuafafine,uso,uso,uso,use,tuafafine,tuagane,uso,uso,tuagane,uso,uso,uso,uso,uso,tuafafine,uso,uso,tuafafine,tuagane,tuafafine,tuafafine,tuafafine,uso,tuagane,uso,tuagane,uso,tuagane,uso,uso,uso,uso,uso,tuagane,tuafafine,tamā,le uso o le tamā,ilamutu,ilamutu,le uso o le tamā,ilamutu,le tuagane o le tinā,le tuagane o le tinā,le tuagane o le tinā,le tuagane o le tinā,ilamutu,le uso o le tamā,le uso o le tamā,tinā,le tuagane o le tinā,ilamutu,tinā,le uso o le tamā,ilamutu,le tuagane o le tinā,tamā,le uso o le tamā
1,0.11078487749982102,1.488983621146348,1.378198743646527,tuagane,use,uso,tuafafine,tuagane,tuagane,tuagane,uso,uso,uso,tuafafine,uso,tuafafine,uso,uso,tuafafine,use,uso,tuafafine,tuagane,tuagane,tuagane,uso,uso,tuagane,uso,tuafafine,uso,uso,tuafafine,uso,tuafafine,tuafafine,tuafafine,tuagane,uso,tuafafine,uso,tuagane,tuagane,tuafafine,tuagane,uso,uso,use,tuafafine,tuafafine,uso,tuagane,uso,uso,tuagane,tuagane,tuafafine,tuagane,uso,uso,uso,uso,tuagane,tuagane,uso,tuafafine,tuagane,uso,uso,tuafafine,uso,tuafafine,uso,uso,uso,tuafafine,uso,tuafafine,tuafafine,uso,uso,uso,tuagane,tuagane,uso,uso,tuagane,uso,uso,tuafafine,uso,tuafafine,uso,ilamutu,le uso o le tamā,tinā,tinā,tamā,le uso o le tamā,le uso o le tamā,ilamutu,le uso o le tamā,le tuagane o le tinā,ilamutu,le uso o le tamā,le uso o le tamā,ilamutu,ilamutu,tamā,le tuagane o le tinā,ilamutu,le tuagane o le tinā,le tuagane o le tinā,le tuagane o le tinā,le tuagane o le tinā
2,0.2207119806844542,1.4651555360971582,1.244443555412704,tuafafine,tuagane,tuafafine,uso,tuagane,uso,tuafafine,tuagane,uso,uso,uso,uso,tuafafine,tuafafine,uso,tuafafine,tuagane,uso,uso,tuafafine,uso,uso,tuafafine,uso,tuagane,tuafafine,tuafafine,tuagane,uso,tuagane,uso,uso,tuagane,uso,tuagane,tuagane,uso,tuagane,uso,uso,uso,tuagane,tuafafine,tuagane,tuagane,uso,uso,use,uso,uso,tuagane,tuagane,tuagane,tuafafine,uso,uso,tuagane,tuafafine,uso,uso,uso,tuafafine,uso,tuafafine,tuafafine,uso,tuagane,uso,uso,use,tuagane,uso,tuafafine,tuafafine,tuafafine,uso,tuagane,use,tuafafine,tuafafine,tuagane,uso,uso,uso,uso,tuafafine,uso,tuafafine,uso,uso,le uso o le tamā,ilamutu,le uso o le tamā,le tuagane o le tinā,ilamutu,le uso o le tamā,le uso o le tamā,tamā,ilamutu,le tuagane o le tinā,le tuagane o le tinā,ilamutu,le tuagane o le tinā,le uso o le tamā,tinā,tamā,ilamutu,ilamutu,le tuagane o le tinā,le tuagane o le tinā,tinā,le uso o le tamā
3,0.07513930015394577,1.4519950649493492,1.3768557647954034,tuagane,tuagane,tuafafine,tuafafine,tuagane,uso,uso,uso,uso,uso,uso,tuagane,tuagane,tuafafine,uso,tuagane,tuafafine,uso,uso,uso,uso,tuafafine,tuagane,use,tuagane,tuagane,tuafafine,uso,uso,tuagane,uso,uso,uso,tuagane,tuagane,tuagane,tuafafine,tuagane,uso,uso,tuagane,uso,uso,uso,uso,tuafafine,uso,uso,uso,tuafafine,tuagane,tuafafine,tuagane,tuafafine,uso,tuafafine,tuafafine,uso,tuagane,uso,uso,tuafafine,tuafafine,tuafafine,tuafafine,tuagane,uso,use,tuafafine,uso,uso,tuafafine,uso,uso,uso,uso,uso,tuagane,tuagane,tuagane,uso,use,tuafafine,tuafafine,tuafafine,uso,tuafafine,uso,uso,uso,tinā,tamā,le uso o le tamā,le tuagane o le tinā,le uso o le tamā,le uso o le tamā,ilamutu,le uso o le tamā,le uso o le tamā,ilamutu,le uso o le tamā,le tuagane o le tinā,tamā,ilamutu,ilamutu,le tuagane o le tinā,le tuagane o le tinā,ilamutu,ilamutu,tinā,le tuagane o le tinā,le tuagane o le tinā
4,0.08989260819128586,1.451550501910469,1.3616578937191832,tuagane,uso,uso,tuagane,tuagane,uso,uso,tuagane,uso,uso,tuafafine,tuafafine,uso,uso,uso,tuagane,uso,tuafafine,uso,tuagane,tuagane,uso,uso,tuagane,uso,tuafafine,uso,tuafafine,uso,uso,uso,uso,tuafafine,uso,tuagane,tuafafine,uso,tuafafine,tuafafine,tuafafine,uso,tuagane,uso,tuafafine,uso,tuafafine,tuagane,tuagane,tuafafine,tuafafine,tuagane,uso,uso,uso,tuafafine,tuafafine,uso,uso,tuafafine,use,uso,tuagane,tuafafine,tuafafine,tuagane,tuagane,tuafafine,uso,uso,use,uso,tuafafine,tuagane,tuafafine,use,uso,uso,tuagane,uso,tuafafine,uso,tuagane,uso,tuagane,tuagane,uso,uso,uso,tuagane,uso,tamā,le tuagane o le tinā,le uso o le tamā,le uso o le tamā,tinā,le tuagane o le tinā,le tuagane o le tinā,le uso o le tamā,le tuagane o le tinā,ilamutu,le tuagane o le tinā,le uso o le tamā,ilamutu,tinā,ilamutu,le uso o le tamā,le uso o le tamā,ilamutu,le tuagane o le tinā,tamā,ilamutu,ilamutu
5,0.1015926405535803,1.5137441048334714,1.4121514642798911,tuagane,uso,tuafafine,tuafafine,uso,tuafafine,uso,tuagane,uso,tuafafine,uso,tuafafine,uso,uso,uso,tuagane,tuagane,tuafafine,tuafafine,uso,uso,tuagane,uso,uso,uso,tuafafine,uso,tuafafine,uso,tuagane,tuafafine,tuafafine,uso,uso,tuagane,tuagane,tuagane,uso,tuagane,uso,uso,uso,tuagane,uso,uso,uso,tuagane,uso,uso,tuagane,tuagane,uso,tuafafine,uso,uso,tuafafine,tuagane,tuagane,tuagane,tuafafine,tuafafine,uso,use,tuafafine,uso,tuafafine,tuafafine,uso,uso,tuafafine,tuafafine,uso,tuagane,uso,uso,use,uso,uso,tuagane,tuafafine,uso,tuafafine,use,uso,uso,uso,tuagane,tuagane,tuagane,tuafafine,tamā,le tuagane o le tinā,le tuagane o le tinā,le uso o le tamā,le tuagane o le tinā,le uso o le tamā,le uso o le tamā,ilamutu,le tuagane o le tinā,ilamutu,le uso o le tamā,tinā,ilamutu,tamā,le tuagane o le tinā,ilamutu,ilamutu,tinā,le tuagane o le tinā,ilamutu,le uso o le tamā,le uso o le tamā
6,0.06819106890222537,1.451550501910469,1.3833594330082437,tuagane,uso,uso,uso,tuafafine,uso,tuagane,tuagane,tuafafine,uso,uso,tuafafine,uso,tuafafine,tuagane,tuafafine,tuagane,uso,tuafafine,uso,tuagane,uso,tuagane,tuafafine,uso,uso,uso,tuafafine,uso,tuagane,tuafafine,uso,uso,uso,tuafafine,tuagane,uso,uso,uso,use,uso,tuagane,tuagane,uso,uso,uso,tuagane,tuafafine,tuagane,tuagane,uso,tuafafine,tuagane,tuafafine,uso,tuafafine,uso,use,tuafafine,uso,uso,uso,uso,uso,tuagane,tuafafine,tuafafine,tuagane,tuafafine,uso,tuagane,tuafafine,tuagane,uso,tuafafine,uso,tuafafine,use,uso,uso,uso,uso,tuagane,uso,uso,tuafafine,uso,tuagane,tuagane,tuafafine,tamā,le uso o le tamā,ilamutu,le uso o le tamā,le tuagane o le tinā,le tuagane o le tinā,le uso o le tamā,ilamutu,ilamutu,ilamutu,le tuagane o le tinā,le uso o le tamā,le uso o le tamā,le tuagane o le tinā,ilamutu,ilamutu,le tuagane o le tinā,le tuagane o le tinā,le uso o le tamā,tamā,tinā,tinā
7,0.1659097356426913,1.5147325735033512,1.34882283786066,tuagane,uso,tuafafine,use,tuafafine,tuagane,tuafafine,uso,tuagane,uso,uso,uso,uso,tuafafine,uso,tuafafine,tuafafine,uso,tuafafine,uso,tuafafine,tuafafine,tuafafine,uso,tuafafine,uso,uso,tuagane,uso,uso,tuafafine,tuafafine,uso,tuagane,tuagane,tuafafine,tuagane,uso,uso,uso,uso,uso,uso,tuagane,uso,tuagane,uso,tuafafine,use,uso,uso,tuafafine,uso,tuagane,tuagane,tuafafine,tuagane,tuagane,uso,tuagane,tuagane,tuagane,tuafafine,uso,uso,uso,tuagane,uso,tuafafine,uso,uso,tuafafine,uso,uso,tuafafine,tuafafine,tuafafine,uso,tuagane,tuagane,uso,tuagane,uso,use,uso,uso,tuagane,tuagane,uso,uso,tinā,ilamutu,le tuagane o le tinā,le uso o le tamā,le uso o le tamā,le tuagane o le tinā,le uso o le tamā,le tuagane o le tinā,ilamutu,tamā,ilamutu,le tuagane o le tinā,ilamutu,tamā,le tuagane o le tinā,le uso o le tamā,ilamutu,le tuagane o le tinā,ilamutu,le uso o le tamā,tinā,le uso o le tamā
8,0.12992201770336864,1.4656691109887297,1.335747093285361,uso,use,tuagane,uso,tuagane,tuagane,uso,tuagane,uso,uso,tuafafine,tuagane,tuafafine,tuagane,tuafafine,uso,uso,uso,uso,uso,uso,tuagane,uso,uso,tuagane,tuagane,tuafafine,tuagane,tuagane,use,tuagane,tuagane,uso,tuagane,tuagane,uso,tuafafine,uso,uso,tuafafine,tuafafine,tuafafine,uso,tuafafine,uso,tuafafine,tuagane,tuagane,uso,uso,tuafafine,uso,tuagane,uso,tuafafine,uso,tuafafine,tuafafine,uso,uso,tuagane,tuafafine,uso,uso,uso,uso,tuafafine,tuafafine,tuagane,tuafafine,uso,tuafafine,uso,uso,tuagane,tuafafine,use,tuagane,uso,tuafafine,uso,uso,tuafafine,uso,uso,uso,uso,uso,uso,tuafafine,tinā,ilamutu,le uso o le tamā,ilamutu,le tuagane o le tinā,ilamutu,le tuagane o le tinā,le tuagane o le tinā,ilamutu,tinā,le uso o le tamā,tamā,le uso o le tamā,le tuagane o le tinā,le uso o le tamā,ilamutu,ilamutu,le tuagane o le tinā,le tuagane o le tinā,tamā,le uso o le tamā,le uso o le tamā
9,0.11132029555626444,1.5199388662771334,1.408618570720869,uso,uso,uso,tuagane,tuagane,tuagane,uso,uso,tuafafine,tuafafine,uso,uso,uso,uso,tuafafine,uso,tuafafine,tuafafine,uso,uso,tuagane,tuafafine,tuafafine,tuafafine,tuagane,tuagane,uso,tuagane,tuafafine,uso,tuafafine,tuafafine,uso,tuagane,tuafafine,tuafafine,uso,tuagane,uso,uso,uso,uso,uso,tuagane,uso,tuagane,tuagane,uso,tuagane,uso,uso,tuafafine,uso,uso,tuafafine,uso,tuagane,tuagane,uso,tuagane,tuafafine,tuafafine,tuafafine,uso,tuafafine,use,uso,uso,tuagane,tuagane,use,uso,tuafafine,tuagane,tuagane,tuafafine,uso,tuagane,uso,tuafafine,uso,use,tuafafine,uso,uso,tuagane,uso,uso,uso,uso,le tuagane o le tinā,le uso o le tamā,le tuagane o le tinā,ilamutu,le uso o le tamā,ilamutu,tamā,tinā,ilamutu,le tuagane o le tinā,le uso o le tamā,le tuagane o le tinā,le tuagane o le tinā,ilamutu,ilamutu,le tuagane o le tinā,le uso o le tamā,tamā,ilamutu,le uso o le tamā,le uso o le tamā,tinā
