simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mMZS,mFBD,mMZD,fFBS,fMZS,fFBD,fMZD,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.07720959186665288,1.1137172068740795,1.0365076150074266,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,livuk-,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,kana toto,vahapa-na,kana toto,kana toto,vahapa-na,vahapa-na,kana toto,tama-na,vahapa-na,tama-na,titina-na,vahapa-na,tama-na,vahapa-na,titina-na,tama-na,tama-na,tama-na,vahapa-na,vahapa-na
1,0.13774271655699155,1.091448543346654,0.9537058267896625,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,livuk-,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,vahapa-na,kana toto,tama-na,vahapa-na,tama-na,kana toto,vahapa-na,titina-na,vahapa-na,tama-na,tama-na,kana toto,tama-na,kana toto,vahapa-na,titina-na,vahapa-na,tama-na,vahapa-na,vahapa-na
2,0.12157584032592506,1.269547015130298,1.147971174804373,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi-na,kana toto,vahapa-na,titina-na,vahapa-na,tama-na,tama-na,vahapa-na,vahapa-na,tama-na,tama-na,kana toto,tama-na,vahapa-na,kana toto,titina-na,tama-na,kana toto,vahapa-na,vahapa-na,vahapa-na
3,0.12747146246366636,1.1893780391673199,1.0619065767036535,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,livuk-,tazi kapou,tazi kapou,tama-na,kana toto,vahapa-na,kana toto,tama-na,vahapa-na,titina-na,kana toto,vahapa-na,tama-na,vahapa-na,tama-na,tama-na,titina-na,tama-na,vahapa-na,vahapa-na,vahapa-na,kana toto,vahapa-na
4,0.09046166376184428,1.2158280645597546,1.1253664007979103,tazi-na,livuk-,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,titina-na,kana toto,tama-na,vahapa-na,vahapa-na,vahapa-na,tama-na,vahapa-na,kana toto,vahapa-na,vahapa-na,tama-na,kana toto,vahapa-na,kana toto,tama-na,tama-na,titina-na,vahapa-na,tama-na
5,0.06829049618896521,1.240809551150936,1.1725190549619708,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,livuk-,tazi kapou,tazi kapou,livuk-,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,vahapa-na,tama-na,vahapa-na,tama-na,tama-na,titina-na,kana toto,vahapa-na,tama-na,tama-na,tama-na,vahapa-na,vahapa-na,vahapa-na,kana toto,vahapa-na,titina-na,vahapa-na,kana toto,kana toto
6,0.10078884731335003,1.2158280645597546,1.1150392172464045,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,titina-na,kana toto,tama-na,vahapa-na,tama-na,vahapa-na,tama-na,tama-na,kana toto,tama-na,vahapa-na,kana toto,vahapa-na,vahapa-na,titina-na,kana toto,vahapa-na,vahapa-na,vahapa-na,tama-na
7,0.0696832539642882,1.0828674954767856,1.0131842415124974,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,livuk-,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi-na,tazi kapou,tama-na,vahapa-na,kana toto,kana toto,vahapa-na,vahapa-na,vahapa-na,vahapa-na,vahapa-na,titina-na,tama-na,tama-na,tama-na,vahapa-na,tama-na,vahapa-na,kana toto,titina-na,tama-na,kana toto
8,0.16060475903740246,1.236684869140504,1.0760801101031015,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,livuk-,livuk-,tazi kapou,tazi kapou,kana toto,tama-na,tama-na,tama-na,vahapa-na,vahapa-na,vahapa-na,vahapa-na,titina-na,vahapa-na,vahapa-na,kana toto,titina-na,tama-na,tama-na,vahapa-na,kana toto,kana toto,vahapa-na,tama-na
9,0.11136081620316274,1.236684869140504,1.1253240529373412,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi-na,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi-na,tazi kapou,tazi-na,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,tazi kapou,livuk-,tazi kapou,tazi kapou,tazi kapou,tama-na,tama-na,kana toto,kana toto,kana toto,tama-na,vahapa-na,vahapa-na,titina-na,tama-na,tama-na,vahapa-na,tama-na,kana toto,vahapa-na,vahapa-na,vahapa-na,vahapa-na,vahapa-na,titina-na
