simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mMZS,mFBD,mMZD,fFBS,fMZS,fFBD,fMZD,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1252633761955183,1.0115310890813873,0.886267712885869,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rī,rīali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,rī,rīali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rī,"ihn, nohno","ihn, nohno","pahpa, sahm",ullap,"pahpa, sahm","ihn, nohno","ihn, nohno",ullap,"ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","pahpa, sahm",ullap,"ihn, nohno",ullap,"ihn, nohno"
1,0.06993282279088842,1.091448543346654,1.0215157205557657,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,rīali,rī,rī,wahn lih pirien,rīali,wahn ohl pirien,wahn ohl pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,rīali,wahn ohl pirien,rīali,ullap,"ihn, nohno","pahpa, sahm",ullap,"pahpa, sahm","ihn, nohno","ihn, nohno","ihn, nohno","ihn, nohno",ullap,"pahpa, sahm","pahpa, sahm","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno",ullap
2,0.04398843924663354,0.9338238517147219,0.8898354124680884,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rī,rīali,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rī,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,rīali,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,"ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm",ullap,ullap,"pahpa, sahm",ullap,"pahpa, sahm","ihn, nohno","ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno",ullap,"ihn, nohno","ihn, nohno"
3,0.13052414791375244,1.0566995224860514,0.9261753745722989,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,rī,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rī,rī,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,ullap,ullap,"ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno","ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm",ullap,"ihn, nohno","pahpa, sahm",ullap
4,0.06636850274148598,0.9809896824453154,0.9146211797038294,rī,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,rī,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,rī,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rīali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,"pahpa, sahm","ihn, nohno",ullap,"ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm",ullap,"ihn, nohno","ihn, nohno",ullap,"pahpa, sahm","ihn, nohno","ihn, nohno",ullap
5,0.35513839849104367,1.0207543464748883,0.6656159479838446,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rī,rī,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rī,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,"ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno",ullap,"ihn, nohno","ihn, nohno",ullap,ullap,"pahpa, sahm","ihn, nohno","pahpa, sahm",ullap,"ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm"
6,0.17883926273322825,0.9649629230074277,0.7861236602741994,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,rī,wahn ohl pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn ohl pirien,rī,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,"ihn, nohno",ullap,"ihn, nohno","pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno",ullap,"ihn, nohno",ullap,"pahpa, sahm","pahpa, sahm","ihn, nohno",ullap,"pahpa, sahm","ihn, nohno","ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm"
7,0.08314705366438024,1.0366279688586069,0.9534809151942266,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,rī,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,rīali,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn ohl pirien,rī,wahn lih pirien,wahn lih pirien,"ihn, nohno","ihn, nohno","pahpa, sahm",ullap,ullap,"ihn, nohno",ullap,"ihn, nohno","ihn, nohno","pahpa, sahm","pahpa, sahm","ihn, nohno","pahpa, sahm",ullap,"pahpa, sahm","ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno","ihn, nohno"
8,0.10660421701684619,1.0115310890813873,0.9049268720645411,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,rīali,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,rīali,wahn lih pirien,rī,rīali,wahn ohl pirien,wahn ohl pirien,rīali,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rī,wahn lih pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,"pahpa, sahm","pahpa, sahm",ullap,"ihn, nohno","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno",ullap,"ihn, nohno","ihn, nohno",ullap,"pahpa, sahm","pahpa, sahm","ihn, nohno",ullap,"ihn, nohno","ihn, nohno","pahpa, sahm"
9,0.05706789654374944,1.0207543464748883,0.9636864499311388,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,wahn lih pirien,rīali,rī,wahn ohl pirien,wahn lih pirien,wahn lih pirien,rīali,rīali,wahn lih pirien,rī,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,wahn lih pirien,rīali,wahn lih pirien,wahn ohl pirien,wahn ohl pirien,rī,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn ohl pirien,wahn lih pirien,wahn lih pirien,"pahpa, sahm","ihn, nohno","ihn, nohno","pahpa, sahm","ihn, nohno","ihn, nohno","pahpa, sahm","pahpa, sahm","ihn, nohno",ullap,ullap,"pahpa, sahm","ihn, nohno","ihn, nohno",ullap,"ihn, nohno","ihn, nohno","ihn, nohno",ullap,"pahpa, sahm"
