simulation_number,mutual_information,entropy,conditional_entropy,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,NA,NA,NA,"yeluwaitamana, tama","yeluwaitamana, tama","yeluwaitamana, tama",rabui,rabui,"yeluwaitamana, tama","meme, sabe",tama,"meme, sabe","meme, sabe","meme, sabe"
1,NA,NA,NA,"meme, sabe","yeluwaitamana, tama",tama,"meme, sabe","meme, sabe",rabui,"yeluwaitamana, tama","yeluwaitamana, tama","yeluwaitamana, tama",rabui,"meme, sabe"
2,NA,NA,NA,"meme, sabe","meme, sabe","yeluwaitamana, tama","meme, sabe",rabui,"meme, sabe",tama,"yeluwaitamana, tama","yeluwaitamana, tama","yeluwaitamana, tama",rabui
3,NA,NA,NA,"yeluwaitamana, tama","yeluwaitamana, tama",tama,"yeluwaitamana, tama","meme, sabe","meme, sabe","meme, sabe",rabui,"yeluwaitamana, tama","meme, sabe",rabui
4,NA,NA,NA,"yeluwaitamana, tama",rabui,"meme, sabe","meme, sabe",tama,rabui,"meme, sabe","meme, sabe","yeluwaitamana, tama","yeluwaitamana, tama","yeluwaitamana, tama"
5,NA,NA,NA,"meme, sabe","yeluwaitamana, tama","meme, sabe","yeluwaitamana, tama",rabui,"yeluwaitamana, tama",tama,"yeluwaitamana, tama","meme, sabe",rabui,"meme, sabe"
6,NA,NA,NA,"meme, sabe","yeluwaitamana, tama",rabui,"meme, sabe",tama,"yeluwaitamana, tama","meme, sabe","yeluwaitamana, tama",rabui,"yeluwaitamana, tama","meme, sabe"
7,NA,NA,NA,tama,"yeluwaitamana, tama","meme, sabe","yeluwaitamana, tama","meme, sabe","meme, sabe","yeluwaitamana, tama","meme, sabe",rabui,"yeluwaitamana, tama",rabui
8,NA,NA,NA,rabui,"yeluwaitamana, tama",tama,"yeluwaitamana, tama","meme, sabe","yeluwaitamana, tama","meme, sabe","meme, sabe",rabui,"meme, sabe","yeluwaitamana, tama"
9,NA,NA,NA,"meme, sabe","yeluwaitamana, tama","meme, sabe",rabui,"yeluwaitamana, tama","meme, sabe","yeluwaitamana, tama",tama,"meme, sabe","yeluwaitamana, tama",rabui
