simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0310874312701237,1.111952263268819,1.0808648319986953,[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],pʰei,[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],pʰei,pʰral,[vero],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[vero],[vero],[vero],[vero],[vero],[verisoara],[vero],[verisoara],[verisoara],pʰral,[vero],[vero],[vero],[vero],[vero],[vero],pʰral,[vero],[verisoara],[verisoara],[vero],[vero],[vero],[vero],[vero],pʰral,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],pʰei,[vero],[verisoara],[verisoara],[vero],pʰei,[vero],pʰei,pʰei,[verisoara],[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],pʰral,[verisoara],[vero],[verisoara],[vero],[verisoara],pʰral,[verisoara],[vero],[vero],kak,bibi,kak,bibi,kak,bibi,bibi,bibi,bibi,bibi,kak,kak,bibi,bibi,dei,dad,bibi,kak,dad,kak,dei,kak,kak,kak,bibi,bibi,kak,kak
1,0.03991939289142388,1.118721642066168,1.0788022491747442,[vero],[vero],[verisoara],pʰei,[vero],[vero],[vero],[vero],[vero],[vero],[verisoara],pʰei,[verisoara],pʰral,[verisoara],pʰral,pʰei,[vero],[verisoara],[vero],[vero],pʰral,[verisoara],[vero],[verisoara],[verisoara],pʰei,[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[verisoara],pʰral,[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[verisoara],pʰei,[vero],pʰral,[vero],[verisoara],[verisoara],pʰei,[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],pʰral,[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[verisoara],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[vero],[vero],[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],kak,kak,dei,kak,bibi,kak,bibi,bibi,bibi,bibi,kak,kak,bibi,bibi,kak,kak,bibi,kak,dei,bibi,kak,kak,bibi,bibi,bibi,dad,kak,dad
2,0.08105844621225433,1.1689322860054332,1.0878738397931789,[vero],[verisoara],[vero],[vero],[vero],[verisoara],pʰral,[verisoara],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],pʰei,[vero],[vero],pʰral,pʰral,[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],pʰei,[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],pʰei,pʰei,[verisoara],[vero],[vero],[vero],[verisoara],[vero],[verisoara],[vero],[vero],pʰei,[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],[vero],[verisoara],[vero],[verisoara],[vero],[vero],[vero],[verisoara],[verisoara],[vero],pʰral,[verisoara],[vero],[verisoara],pʰral,[vero],pʰei,[vero],pʰral,[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[vero],dei,dei,bibi,kak,kak,bibi,kak,bibi,kak,bibi,bibi,bibi,kak,kak,kak,bibi,bibi,kak,kak,dad,kak,kak,bibi,bibi,kak,bibi,dad,bibi
3,0.13723951462612238,1.1201846896171463,0.982945174991024,[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],pʰral,[verisoara],[vero],[vero],[vero],[verisoara],pʰei,[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],pʰral,[vero],[verisoara],[vero],[vero],[vero],[verisoara],[vero],pʰei,[vero],[verisoara],[verisoara],[verisoara],[verisoara],pʰei,[vero],pʰei,[vero],[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],pʰral,[verisoara],[vero],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],pʰral,pʰei,[verisoara],[verisoara],[vero],pʰral,pʰei,[verisoara],[verisoara],pʰral,[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],bibi,bibi,dad,kak,kak,dad,kak,bibi,dei,kak,bibi,kak,bibi,kak,kak,bibi,bibi,kak,kak,bibi,kak,bibi,kak,bibi,bibi,dei,bibi,kak
4,0.07239063648795252,1.111380759486716,1.0389901229987635,[verisoara],[verisoara],pʰral,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],pʰral,[verisoara],pʰei,[vero],[vero],pʰei,[vero],[verisoara],pʰral,pʰral,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],pʰral,pʰei,[vero],[vero],[vero],[vero],[vero],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[vero],[vero],[vero],[verisoara],[verisoara],pʰei,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[vero],[vero],[verisoara],pʰral,[vero],[vero],pʰei,[verisoara],[vero],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],pʰei,[vero],[verisoara],[verisoara],[vero],[vero],[vero],[verisoara],[vero],[vero],[verisoara],bibi,bibi,dei,kak,bibi,bibi,bibi,bibi,kak,kak,bibi,kak,kak,dad,bibi,kak,dei,kak,bibi,bibi,kak,kak,kak,bibi,kak,kak,bibi,dad
5,0.05412228055702717,1.1263821356691475,1.0722598551121203,pʰral,[verisoara],[vero],[vero],[vero],[vero],[verisoara],pʰei,pʰei,[verisoara],pʰral,[vero],pʰei,[verisoara],[vero],[verisoara],pʰei,[vero],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],pʰral,[vero],[verisoara],[verisoara],pʰral,[vero],[vero],[verisoara],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],pʰei,[vero],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],[vero],pʰral,[vero],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[vero],[verisoara],pʰral,[verisoara],[vero],[verisoara],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],pʰei,[vero],[vero],[verisoara],[verisoara],[vero],bibi,dei,kak,kak,bibi,dad,kak,bibi,dad,kak,bibi,kak,kak,bibi,kak,bibi,kak,bibi,bibi,bibi,dei,kak,kak,kak,bibi,bibi,bibi,kak
6,0.10292750722137467,1.1054768424431805,1.0025493352218058,pʰei,[vero],[verisoara],[verisoara],[vero],[vero],pʰei,[vero],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[vero],[vero],pʰei,[verisoara],[vero],[vero],[verisoara],[vero],[vero],[vero],[verisoara],[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],pʰral,[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],pʰral,[verisoara],[verisoara],[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],[verisoara],[vero],[verisoara],pʰral,[verisoara],pʰei,[vero],[verisoara],pʰral,[verisoara],pʰral,[vero],[verisoara],[verisoara],[verisoara],pʰei,[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[vero],[verisoara],[vero],pʰral,[vero],[verisoara],[vero],[vero],pʰei,[verisoara],[vero],bibi,dei,dei,kak,kak,kak,kak,kak,dad,kak,bibi,bibi,bibi,bibi,bibi,bibi,kak,kak,kak,kak,kak,bibi,dad,kak,bibi,bibi,bibi,bibi
7,0.05873936616772557,1.1263821356691475,1.067642769501422,[verisoara],[vero],[vero],pʰei,[verisoara],[vero],pʰei,[vero],[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[vero],[verisoara],[vero],[vero],[verisoara],[vero],pʰral,[verisoara],[verisoara],[vero],pʰei,[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],pʰral,pʰei,[vero],[vero],[vero],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],pʰral,[vero],[verisoara],[verisoara],[verisoara],[verisoara],pʰral,[vero],[verisoara],[verisoara],[verisoara],[vero],[vero],[vero],[vero],pʰral,pʰei,[vero],[vero],[verisoara],[verisoara],pʰei,[vero],[verisoara],[vero],pʰral,[vero],[verisoara],[vero],[vero],[vero],[verisoara],[verisoara],bibi,dad,kak,bibi,dei,bibi,kak,bibi,bibi,kak,kak,bibi,kak,kak,kak,bibi,kak,kak,kak,kak,dei,bibi,kak,dad,bibi,bibi,bibi,bibi
8,0.1055185337923693,1.0777023635861172,0.9721838297937478,[vero],[verisoara],pʰei,pʰei,[vero],[vero],[vero],pʰei,[verisoara],[verisoara],pʰral,[vero],[verisoara],pʰei,[vero],pʰral,[verisoara],pʰei,[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],pʰral,[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[vero],[vero],[vero],[vero],[vero],[verisoara],[verisoara],pʰral,[vero],[verisoara],pʰral,[verisoara],[vero],[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],[verisoara],[verisoara],[verisoara],pʰral,[verisoara],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[vero],[vero],[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],[verisoara],[verisoara],[vero],[vero],[vero],[verisoara],[vero],[verisoara],pʰei,[verisoara],[vero],[vero],[verisoara],[vero],[vero],bibi,dei,kak,kak,bibi,bibi,dad,bibi,dad,kak,dei,bibi,bibi,bibi,bibi,bibi,bibi,bibi,kak,kak,bibi,kak,kak,kak,kak,kak,kak,kak
9,0.07334355159668937,1.1201846896171463,1.046841138020457,[verisoara],[verisoara],[verisoara],[vero],[vero],[verisoara],[vero],pʰral,[vero],[vero],[vero],[vero],[vero],[verisoara],[vero],[vero],[vero],[vero],[vero],[vero],[verisoara],[vero],pʰral,[verisoara],pʰei,pʰei,pʰei,[verisoara],[vero],pʰei,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[vero],pʰral,pʰei,[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[vero],[verisoara],[verisoara],[vero],[vero],pʰral,[verisoara],[verisoara],[vero],[vero],[vero],pʰral,[vero],[vero],[vero],[vero],[vero],[verisoara],[vero],[vero],[verisoara],[verisoara],[verisoara],[vero],pʰei,[vero],[verisoara],[vero],[verisoara],[verisoara],[verisoara],[vero],[verisoara],pʰral,[vero],[verisoara],kak,kak,dei,bibi,bibi,dei,bibi,kak,kak,dad,dad,kak,bibi,bibi,bibi,kak,kak,bibi,kak,bibi,kak,bibi,bibi,bibi,kak,kak,bibi,kak
