simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mMZeS,mMZyS,fyB,fyZ,meB,meZ,feB,feZ,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFeB,mFyB,mMeZ,mMyZ,fF,fM,fFeB,fFyB,fMeZ,fMyZ,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.43725285517182577,1.9286096015566545,1.4913567463848287,-wáxalˠi,nukma,nukma,kanima,nukma,nukma,nukma,nukma,nukma,nukma,mukma,nukma,nukma,nukma,nukma,nukma,páʂma,nukma,nukma,wahali,nukma,kanima,nukma,mukma,nukma,nukma,kisma,kisma,mukma,qísma,qísma,nukma,kanima,páʂma,nukma,nukma,nukma,nukma,nukma,mukma,nukma,nukma,nukma,mukma,nukma,mukma,nukma,nukma,-wáxalˠi,nukma,nukma,pasma,kanima,pasma,nukma,nukma,wahali,nukma,nukma,nukma,nukma,nukma,kum,meš,kum,-pah(a),meš,táʂma,-na,neʂ,táʂma,-pah(a),-na,neʂ,táʂma,ye,yéʂma,táʂma,yéʂma,táʂma,ye,-pah(a),-pah(a),-pah(a),-pah(a),táʂma
1,0.4242163747119432,1.786412853507646,1.3621964787957028,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,páʂma,nukma,páʂma,nukma,nukma,pasma,nukma,mukma,kisma,nukma,wahali,kanima,wahali,nukma,nukma,nukma,nukma,nukma,nukma,mukma,nukma,mukma,nukma,nukma,nukma,-wáxalˠi,qísma,qísma,kanima,nukma,nukma,nukma,nukma,nukma,nukma,nukma,mukma,-wáxalˠi,kanima,kanima,nukma,mukma,mukma,kisma,nukma,nukma,nukma,pasma,nukma,nukma,nukma,nukma,ye,-pah(a),táʂma,táʂma,táʂma,-pah(a),-pah(a),kum,meš,meš,-pah(a),kum,-na,táʂma,ye,-pah(a),-na,-pah(a),táʂma,yéʂma,yéʂma,neʂ,táʂma,neʂ
2,0.4237457074931439,1.8889806051957843,1.4652348977026404,nukma,nukma,nukma,nukma,nukma,kanima,kanima,nukma,nukma,nukma,nukma,mukma,pasma,nukma,nukma,kanima,nukma,nukma,qísma,nukma,nukma,nukma,mukma,nukma,páʂma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,wahali,páʂma,kisma,nukma,nukma,kisma,wahali,mukma,nukma,nukma,mukma,nukma,nukma,nukma,qísma,-wáxalˠi,nukma,nukma,-wáxalˠi,mukma,pasma,kanima,nukma,nukma,nukma,nukma,nukma,mukma,neʂ,-pah(a),táʂma,-na,-na,táʂma,meš,-pah(a),kum,neʂ,yéʂma,táʂma,kum,ye,-pah(a),táʂma,meš,-pah(a),-pah(a),ye,táʂma,táʂma,yéʂma,-pah(a)
3,0.482079003954095,1.9636610294989825,1.4815820255448875,nukma,nukma,nukma,kanima,kanima,nukma,pasma,mukma,nukma,mukma,nukma,nukma,qísma,kanima,nukma,-wáxalˠi,mukma,nukma,nukma,nukma,nukma,qísma,kisma,nukma,nukma,nukma,páʂma,nukma,pasma,mukma,nukma,nukma,mukma,nukma,nukma,kisma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,páʂma,nukma,-wáxalˠi,wahali,kanima,nukma,nukma,nukma,nukma,nukma,nukma,nukma,wahali,nukma,nukma,mukma,-pah(a),-na,táʂma,táʂma,-pah(a),neʂ,-pah(a),yéʂma,táʂma,-pah(a),táʂma,meš,táʂma,yéʂma,kum,neʂ,-pah(a),ye,ye,-na,meš,táʂma,-pah(a),kum
4,0.37534769099782817,1.7706164481140716,1.3952687571162434,nukma,nukma,páʂma,nukma,nukma,páʂma,mukma,mukma,nukma,nukma,nukma,nukma,kanima,nukma,mukma,nukma,nukma,mukma,nukma,nukma,nukma,wahali,qísma,nukma,mukma,mukma,nukma,qísma,nukma,nukma,nukma,-wáxalˠi,nukma,nukma,nukma,nukma,nukma,pasma,nukma,nukma,nukma,nukma,nukma,nukma,kisma,kanima,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,kanima,-wáxalˠi,pasma,kanima,wahali,kisma,-pah(a),meš,neʂ,kum,táʂma,táʂma,-pah(a),meš,-na,táʂma,kum,neʂ,-pah(a),-na,táʂma,-pah(a),yéʂma,táʂma,-pah(a),-pah(a),ye,yéʂma,ye,táʂma
5,0.374044721977546,1.869430333315246,1.4953856113377,nukma,nukma,nukma,kanima,nukma,nukma,nukma,pasma,nukma,nukma,nukma,nukma,nukma,wahali,nukma,nukma,mukma,nukma,-wáxalˠi,nukma,nukma,páʂma,nukma,nukma,nukma,pasma,nukma,nukma,qísma,nukma,nukma,nukma,qísma,nukma,nukma,nukma,kanima,mukma,-wáxalˠi,nukma,nukma,nukma,mukma,nukma,kanima,mukma,mukma,kanima,nukma,nukma,kisma,nukma,nukma,wahali,nukma,nukma,mukma,nukma,nukma,nukma,páʂma,kisma,-pah(a),ye,-pah(a),kum,meš,-pah(a),-pah(a),táʂma,neʂ,táʂma,ye,táʂma,kum,-pah(a),neʂ,yéʂma,táʂma,yéʂma,táʂma,-na,meš,-pah(a),-na,táʂma
6,0.48107524906323884,1.7898231257296013,1.3087478766663625,nukma,páʂma,mukma,kanima,nukma,wahali,nukma,nukma,páʂma,nukma,nukma,kisma,nukma,kanima,qísma,wahali,kanima,nukma,pasma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,mukma,mukma,qísma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,-wáxalˠi,nukma,nukma,kisma,mukma,nukma,nukma,mukma,nukma,kanima,nukma,nukma,nukma,nukma,nukma,nukma,-wáxalˠi,nukma,nukma,nukma,nukma,mukma,nukma,pasma,nukma,nukma,-na,kum,-pah(a),ye,-pah(a),meš,táʂma,táʂma,-pah(a),ye,yéʂma,meš,neʂ,táʂma,-na,neʂ,táʂma,-pah(a),-pah(a),táʂma,-pah(a),táʂma,yéʂma,kum
7,0.31245663936879287,1.8113790686130737,1.4989224292442809,nukma,nukma,kisma,nukma,nukma,nukma,kanima,pasma,nukma,nukma,kisma,nukma,nukma,wahali,nukma,nukma,páʂma,mukma,nukma,mukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,mukma,nukma,mukma,qísma,nukma,nukma,mukma,nukma,kanima,kanima,nukma,nukma,nukma,nukma,nukma,nukma,kanima,pasma,nukma,nukma,nukma,-wáxalˠi,nukma,-wáxalˠi,nukma,wahali,nukma,páʂma,nukma,mukma,qísma,nukma,táʂma,táʂma,ye,-pah(a),-na,yéʂma,kum,-pah(a),ye,-na,táʂma,yéʂma,neʂ,táʂma,-pah(a),kum,táʂma,neʂ,-pah(a),meš,meš,táʂma,-pah(a),-pah(a)
8,0.3670236519876624,1.866234366203476,1.4992107142158135,kanima,nukma,nukma,nukma,nukma,qísma,nukma,qísma,nukma,nukma,wahali,nukma,nukma,mukma,mukma,nukma,nukma,nukma,nukma,nukma,kanima,nukma,nukma,nukma,pasma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,nukma,-wáxalˠi,mukma,kisma,mukma,nukma,nukma,kisma,nukma,nukma,-wáxalˠi,nukma,nukma,nukma,nukma,mukma,wahali,páʂma,páʂma,nukma,nukma,kanima,pasma,nukma,nukma,kanima,nukma,nukma,nukma,mukma,táʂma,neʂ,-na,táʂma,táʂma,meš,táʂma,táʂma,-pah(a),ye,yéʂma,táʂma,-pah(a),neʂ,-pah(a),-pah(a),-pah(a),kum,kum,-pah(a),meš,-na,yéʂma,ye
9,0.40823805472745933,1.9286425668655096,1.5204045121380503,nukma,nukma,kanima,nukma,nukma,nukma,kanima,nukma,nukma,nukma,nukma,nukma,nukma,nukma,kanima,wahali,nukma,qísma,mukma,-wáxalˠi,nukma,nukma,nukma,nukma,nukma,pasma,nukma,páʂma,nukma,nukma,páʂma,nukma,nukma,pasma,nukma,nukma,nukma,qísma,nukma,mukma,nukma,mukma,kanima,nukma,nukma,nukma,mukma,mukma,wahali,nukma,-wáxalˠi,nukma,nukma,nukma,nukma,nukma,mukma,nukma,nukma,kisma,kisma,nukma,táʂma,yéʂma,-pah(a),-pah(a),táʂma,-pah(a),-pah(a),meš,táʂma,ye,kum,-na,neʂ,neʂ,táʂma,meš,-pah(a),yéʂma,kum,-na,táʂma,-pah(a),táʂma,ye
