simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.06453869353853636,1.0723024123879001,1.0077637188493638,"néwi, násobedi",namároqe,násobedo,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,násobedo,násobedo,násobedo,namároqe,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,nadóri-ara,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",nádoru-ara,"néwi, násobedi",násobedo,nádoru-ara,"néwi, násobedi",násobedo,násobedo,namároqo,násobedo,"néwi, násobedi","néwi, násobedi",namároqo,"néwi, násobedi","néwi, násobedi",nówi,néqido,néqido,nówi,néqido,néqido,nówi,néqido,nówi,náqude,náqude,náqude,náqude,néqido,néqido,néqido,náqude,náqude
1,0.3783323699380928,1.0649933217675003,0.6866609518294075,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",namároqe,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,namároqe,"néwi, násobedi","néwi, násobedi",nádoru-ara,"néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,násobedo,nadóri-ara,namároqo,"néwi, násobedi",nádoru-ara,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,násobedo,namároqo,násobedo,násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,náqude,náqude,néqido,néqido,néqido,nówi,néqido,náqude,nówi,náqude,náqude,néqido,néqido,náqude,nówi,néqido,néqido,nówi
2,0.3770916092818565,1.0649933217675003,0.6879017124856438,násobedo,"néwi, násobedi",nádoru-ara,"néwi, násobedi",namároqe,násobedo,násobedo,násobedo,namároqo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",nadóri-ara,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,násobedo,násobedo,nádoru-ara,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",namároqo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,namároqe,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,nówi,náqude,néqido,néqido,náqude,néqido,nówi,nówi,néqido,néqido,néqido,néqido,náqude,náqude,nówi,náqude,néqido,náqude
3,0.12501966799192932,1.0723024123879001,0.9472827443959708,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,namároqo,násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",nadóri-ara,namároqe,"néwi, násobedi","néwi, násobedi",nádoru-ara,násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",nádoru-ara,násobedo,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",namároqe,násobedo,násobedo,násobedo,namároqo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",nówi,náqude,néqido,náqude,nówi,náqude,néqido,náqude,néqido,nówi,néqido,néqido,náqude,néqido,néqido,nówi,náqude,néqido
4,0.11469338319088718,1.0049746053439996,0.8902812221531125,"néwi, násobedi",násobedo,násobedo,nadóri-ara,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",namároqe,násobedo,"néwi, násobedi",násobedo,násobedo,násobedo,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,namároqo,nádoru-ara,namároqo,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,násobedo,"néwi, násobedi",nádoru-ara,"néwi, násobedi",násobedo,násobedo,násobedo,namároqe,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",náqude,néqido,náqude,néqido,náqude,néqido,néqido,náqude,néqido,néqido,néqido,nówi,náqude,nówi,nówi,nówi,néqido,náqude
5,0.1503162922849406,1.0723024123879001,0.9219861201029595,násobedo,"néwi, násobedi",namároqe,"néwi, násobedi",násobedo,"néwi, násobedi",namároqo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,nádoru-ara,násobedo,namároqe,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",nadóri-ara,násobedo,"néwi, násobedi","néwi, násobedi",nádoru-ara,násobedo,namároqo,násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,náqude,náqude,náqude,néqido,náqude,néqido,néqido,néqido,nówi,náqude,néqido,néqido,náqude,nówi,nówi,néqido,nówi,néqido
6,0.1302991665919957,1.0200943738544972,0.8897952072625015,"néwi, násobedi",namároqo,nádoru-ara,"néwi, násobedi",násobedo,"néwi, násobedi",namároqe,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi",namároqo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,nádoru-ara,násobedo,"néwi, násobedi","néwi, násobedi",nadóri-ara,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,násobedo,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,namároqe,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",náqude,néqido,néqido,néqido,néqido,náqude,néqido,nówi,néqido,náqude,néqido,náqude,náqude,nówi,nówi,nówi,náqude,néqido
7,0.06210137144762695,1.0325228878180137,0.9704215163703868,násobedo,násobedo,"néwi, násobedi","néwi, násobedi",nádoru-ara,násobedo,násobedo,násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",nádoru-ara,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,násobedo,namároqo,"néwi, násobedi",nadóri-ara,násobedo,"néwi, násobedi",násobedo,namároqe,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,namároqe,"néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",namároqo,náqude,néqido,néqido,nówi,néqido,néqido,náqude,néqido,náqude,néqido,néqido,néqido,nówi,nówi,náqude,nówi,náqude,náqude
8,0.2137965403015476,1.0198652142779299,0.8060686739763823,násobedo,"néwi, násobedi","néwi, násobedi",namároqe,násobedo,"néwi, násobedi",násobedo,namároqo,"néwi, násobedi",nadóri-ara,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",násobedo,nádoru-ara,"néwi, násobedi",nádoru-ara,násobedo,násobedo,namároqo,násobedo,násobedo,násobedo,namároqe,"néwi, násobedi",násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",náqude,nówi,néqido,náqude,néqido,nówi,néqido,náqude,náqude,néqido,néqido,náqude,néqido,nówi,náqude,néqido,nówi,néqido
9,0.05754331644751176,0.9591824302739718,0.90163911382646,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,násobedo,nádoru-ara,namároqo,"néwi, násobedi",násobedo,násobedo,"néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,násobedo,násobedo,namároqe,"néwi, násobedi",namároqo,nádoru-ara,"néwi, násobedi","néwi, násobedi","néwi, násobedi","néwi, násobedi",nadóri-ara,násobedo,"néwi, násobedi","néwi, násobedi","néwi, násobedi",násobedo,násobedo,násobedo,"néwi, násobedi",násobedo,"néwi, násobedi",násobedo,"néwi, násobedi","néwi, násobedi",namároqe,"néwi, násobedi",násobedo,néqido,náqude,náqude,néqido,náqude,nówi,néqido,nówi,néqido,néqido,néqido,náqude,náqude,nówi,náqude,néqido,nówi,néqido
