simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.16337836770563785,1.1311500633815321,0.9677716956758943,naha,kaka,foto,kaka,naha,kaka,oeli,kaka,oeli,foto,oeli,naha,naha,oeli,oeli,kaka,foto,kaka,oeli,kaka,kaka,foto,oeli,oeli,kolo,kolo,ina,ina,soesoe,soesoe,kolo,kolo,kolo,soesoe,soesoe,kolo,nama,soesoe,soesoe,soesoe,kolo,kolo,soesoe
1,0.14375678513904133,1.0211350467282188,0.8773782615891774,foto,kaka,oeli,kaka,oeli,kaka,foto,oeli,kaka,oeli,naha,oeli,kaka,foto,foto,oeli,kaka,naha,naha,oeli,oeli,kaka,kaka,naha,soesoe,kolo,soesoe,kolo,soesoe,kolo,kolo,ina,kolo,ina,soesoe,kolo,kolo,soesoe,soesoe,soesoe,nama,soesoe,kolo
2,0.17440880362369549,1.0211350467282188,0.8467262431045233,oeli,oeli,kaka,oeli,naha,oeli,foto,foto,naha,oeli,naha,kaka,kaka,foto,kaka,foto,kaka,oeli,oeli,naha,kaka,kaka,kaka,oeli,kolo,kolo,soesoe,kolo,soesoe,nama,kolo,soesoe,kolo,ina,kolo,ina,soesoe,soesoe,soesoe,soesoe,kolo,kolo,soesoe
3,0.1405348492147993,0.9684025979068378,0.8278677486920385,oeli,oeli,kaka,oeli,oeli,oeli,kaka,foto,naha,oeli,kaka,kaka,kaka,oeli,kaka,oeli,foto,foto,naha,naha,naha,foto,kaka,kaka,kolo,kolo,kolo,soesoe,kolo,soesoe,kolo,soesoe,soesoe,kolo,soesoe,soesoe,soesoe,soesoe,ina,kolo,kolo,nama,ina
4,0.11350524506751891,1.0211350467282188,0.9076298016606998,foto,oeli,oeli,oeli,kaka,naha,foto,naha,kaka,kaka,kaka,kaka,oeli,oeli,naha,naha,oeli,foto,kaka,foto,kaka,oeli,oeli,kaka,kolo,soesoe,soesoe,ina,kolo,soesoe,soesoe,kolo,ina,kolo,soesoe,soesoe,soesoe,nama,kolo,kolo,soesoe,kolo,kolo
5,0.14461444211236363,0.9684025979068378,0.8237881557944742,naha,oeli,naha,kaka,foto,naha,foto,kaka,oeli,naha,oeli,kaka,oeli,oeli,kaka,kaka,oeli,kaka,oeli,oeli,kaka,kaka,foto,foto,kolo,kolo,kolo,nama,soesoe,kolo,kolo,soesoe,soesoe,kolo,ina,soesoe,soesoe,soesoe,kolo,kolo,soesoe,soesoe,ina
6,0.13516706210363205,1.0211350467282188,0.8859679846245867,oeli,kaka,kaka,kaka,foto,oeli,naha,kaka,kaka,foto,kaka,oeli,naha,kaka,foto,oeli,oeli,kaka,oeli,naha,foto,oeli,oeli,naha,soesoe,kolo,soesoe,ina,kolo,nama,soesoe,kolo,kolo,kolo,soesoe,kolo,soesoe,soesoe,soesoe,kolo,soesoe,kolo,ina
7,0.14859090180262047,0.9684025979068378,0.8198116961042173,oeli,oeli,oeli,foto,kaka,kaka,kaka,naha,oeli,oeli,naha,foto,naha,kaka,kaka,kaka,foto,kaka,kaka,oeli,naha,oeli,oeli,foto,kolo,kolo,kolo,soesoe,soesoe,nama,soesoe,kolo,soesoe,kolo,kolo,ina,kolo,soesoe,soesoe,soesoe,ina,soesoe,kolo
8,0.13516706210363205,1.0211350467282188,0.8859679846245867,naha,foto,oeli,naha,oeli,kaka,oeli,oeli,foto,foto,oeli,oeli,kaka,foto,naha,kaka,kaka,kaka,naha,oeli,kaka,kaka,kaka,oeli,soesoe,kolo,soesoe,kolo,ina,soesoe,kolo,kolo,soesoe,soesoe,nama,soesoe,kolo,kolo,kolo,soesoe,soesoe,ina,kolo
9,0.17687385817165513,0.9684025979068378,0.7915287397351827,naha,oeli,kaka,kaka,oeli,oeli,oeli,foto,kaka,kaka,kaka,foto,naha,oeli,kaka,oeli,kaka,foto,oeli,naha,foto,oeli,naha,kaka,soesoe,soesoe,soesoe,kolo,nama,kolo,soesoe,soesoe,kolo,kolo,kolo,soesoe,kolo,kolo,soesoe,ina,kolo,ina,soesoe
