simulation_number,mutual_information,entropy,conditional_entropy,myZ,fyZ,mFBeD,mFByD,fFByD,mMZeD,mMZyD,fMZyD,fMZyS,myB,fyB,mFByS,fFByS,mMZyS,feZ,fMZeD,fFBeD,fFZeD,fFZyD,meB,mMZeS,fFZyS,fFZeS,mMBeS,fMBeS,mMByS,fMByS,mFZeS,mFZyS,feB,mFBeS,fFBeS,mFZeD,mFZyD,mMBeD,fMBeD,mMByD,fMByD,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM
0,0.48486605311191605,0.9799711820833055,0.4951051289713894,we-sonʼ-kä,we-jaʼ-ga,in-nahʼ,we-tunʼ-ka,we-choseʼ-kä,we-shenʼ-kä,we-sheʼ-lä,we-shonʼ-ka,we-choseʼ-kǎ,we-tunʼ-ka,we-tunʼ-ka,we-shénʼ-kä,we-shoʼ-la,we-jaʼ-ga,we-shonʼ-ka,we-chinʼ-to,we-sonʼ-kä,we-sonʼkä,we-tunʼ-ka,in-nahʼ,we-jaʼ-ga,we-chinʼ-to,we-chinʼ-to,we-sonʼ-kä,we-sonʼ-kä,in-nahʼ,we-shoʼ-ka,we-sonʼ-kä,we-cheʼ-zho,we-cheʼ-zho,we-tunʼ-ka,we-shoʼ-la,we-tunʼ-ka,we-tunʼ-ka,in-nahʼ,we-jaʼ-ga,we-tunʼ-ka,we-sheʼ-lä,in-täʼ-che,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,inʼ-uaw,in-täʼ-che,in-nahʼ,inʼ-uaw,in-täʼ-che,in-täʼ-che,in-nahʼ,we-jeʼ-me,inʼ-uaw,we-jaʼ-ga,we-jaʼ-ga,in-täʼ-che,we-jeʼ-me,we-jeʼ-me,we-jeʼ-me,we-jaʼ-ga
1,0.34145405235023607,1.0346012329101812,0.6931471805599452,we-shénʼ-kä,we-tunʼ-ka,we-sonʼ-kä,we-cheʼ-zho,we-shonʼ-ka,we-sonʼkä,we-sheʼ-lä,we-tunʼ-ka,in-nahʼ,we-sonʼ-kä,we-cheʼ-zho,we-chinʼ-to,we-sonʼ-kä,we-choseʼ-kǎ,we-tunʼ-ka,we-chinʼ-to,we-tunʼ-ka,we-chinʼ-to,we-sonʼ-kä,we-shoʼ-ka,we-choseʼ-kä,we-tunʼ-ka,we-shenʼ-kä,we-tunʼ-ka,we-jaʼ-ga,we-shonʼ-ka,in-nahʼ,we-sonʼ-kä,we-tunʼ-ka,we-jaʼ-ga,we-shoʼ-la,we-jaʼ-ga,we-jaʼ-ga,we-tunʼ-ka,we-shoʼ-la,we-sheʼ-lä,in-nahʼ,in-nahʼ,in-täʼ-che,we-jeʼ-me,in-täʼ-che,we-jaʼ-ga,we-jeʼ-me,in-täʼ-che,we-jeʼ-me,in-nahʼ,inʼ-uaw,in-täʼ-che,inʼ-uaw,we-jeʼ-me,we-jaʼ-ga,we-jaʼ-ga,we-jaʼ-ga,in-täʼ-che,in-täʼ-che,inʼ-uaw,in-nahʼ,inʼ-uaw
2,0.14341200076168037,1.0346012329101812,0.8911892321485009,we-sonʼ-kä,we-choseʼ-kǎ,we-chinʼ-to,we-shonʼ-ka,we-cheʼ-zho,in-nahʼ,we-shénʼ-kä,we-jaʼ-ga,we-shenʼ-kä,we-shonʼ-ka,we-tunʼ-ka,we-tunʼ-ka,we-tunʼ-ka,we-tunʼ-ka,we-sonʼ-kä,we-cheʼ-zho,we-sonʼ-kä,we-jaʼ-ga,we-sonʼkä,in-nahʼ,we-tunʼ-ka,we-sonʼ-kä,we-chinʼ-to,we-sheʼ-lä,in-nahʼ,we-sheʼ-lä,we-tunʼ-ka,we-shoʼ-la,we-shoʼ-ka,in-nahʼ,we-choseʼ-kä,we-jaʼ-ga,we-tunʼ-ka,we-chinʼ-to,we-sonʼ-kä,we-shoʼ-la,we-jaʼ-ga,we-tunʼ-ka,we-jaʼ-ga,we-jaʼ-ga,in-täʼ-che,inʼ-uaw,in-täʼ-che,we-jeʼ-me,in-nahʼ,we-jeʼ-me,in-täʼ-che,inʼ-uaw,we-jaʼ-ga,we-jeʼ-me,in-nahʼ,in-täʼ-che,inʼ-uaw,in-täʼ-che,we-jaʼ-ga,inʼ-uaw,in-täʼ-che,we-jeʼ-me
3,0.4848660531119162,1.376055285260417,0.8911892321485009,we-choseʼ-kǎ,we-sonʼkä,we-shoʼ-la,we-shoʼ-la,we-shénʼ-kä,we-tunʼ-ka,we-sonʼ-kä,we-shenʼ-kä,we-shonʼ-ka,we-jaʼ-ga,we-jaʼ-ga,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-tunʼ-ka,in-nahʼ,we-sonʼ-kä,we-jaʼ-ga,we-jaʼ-ga,we-shonʼ-ka,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-cheʼ-zho,we-choseʼ-kä,we-sonʼ-kä,we-chinʼ-to,we-sheʼ-lä,we-chinʼ-to,we-sheʼ-lä,we-tunʼ-ka,in-nahʼ,in-nahʼ,we-chinʼ-to,we-cheʼ-zho,we-tunʼ-ka,we-shoʼ-ka,in-nahʼ,inʼ-uaw,we-jeʼ-me,in-nahʼ,we-jeʼ-me,we-jaʼ-ga,in-täʼ-che,in-täʼ-che,in-täʼ-che,in-täʼ-che,we-jeʼ-me,in-nahʼ,inʼ-uaw,in-täʼ-che,we-jaʼ-ga,we-jaʼ-ga,we-jaʼ-ga,inʼ-uaw,in-täʼ-che,inʼ-uaw,we-jeʼ-me
4,0.2868240015233605,1.376055285260417,1.0892312837370566,in-nahʼ,in-nahʼ,we-jaʼ-ga,we-sonʼ-kä,we-shoʼ-la,we-shonʼ-ka,we-chinʼ-to,we-shoʼ-ka,we-tunʼ-ka,we-tunʼ-ka,we-sheʼ-lä,we-sheʼ-lä,we-choseʼ-kǎ,we-shoʼ-la,we-sonʼ-kä,we-tunʼ-ka,we-sonʼ-kä,we-chinʼ-to,we-cheʼ-zho,we-jaʼ-ga,we-jaʼ-ga,we-choseʼ-kä,we-tunʼ-ka,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-shonʼ-ka,in-nahʼ,we-jaʼ-ga,we-tunʼ-ka,we-sonʼ-kä,we-chinʼ-to,in-nahʼ,we-cheʼ-zho,we-shenʼ-kä,we-shénʼ-kä,we-sonʼkä,we-tunʼ-ka,in-nahʼ,we-jeʼ-me,we-jaʼ-ga,in-täʼ-che,inʼ-uaw,in-täʼ-che,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,in-täʼ-che,in-nahʼ,we-jeʼ-me,we-jeʼ-me,we-jaʼ-ga,in-täʼ-che,we-jaʼ-ga,we-jeʼ-me,inʼ-uaw,inʼ-uaw,in-täʼ-che
5,0.24243302655595822,1.0346012329101812,0.792168206354223,we-shénʼ-kä,we-tunʼ-ka,we-shoʼ-la,we-shonʼ-ka,we-tunʼ-ka,we-choseʼ-kǎ,we-tunʼ-ka,we-shoʼ-la,we-cheʼ-zho,we-sonʼkä,we-jaʼ-ga,we-tunʼ-ka,we-sheʼ-lä,we-shenʼ-kä,we-sonʼ-kä,we-cheʼ-zho,we-choseʼ-kä,we-tunʼ-ka,we-shoʼ-ka,we-tunʼ-ka,we-jaʼ-ga,in-nahʼ,we-chinʼ-to,we-sheʼ-lä,we-chinʼ-to,in-nahʼ,we-sonʼ-kä,in-nahʼ,we-tunʼ-ka,we-shonʼ-ka,we-jaʼ-ga,we-sonʼ-kä,in-nahʼ,we-sonʼ-kä,we-sonʼ-kä,we-chinʼ-to,we-jaʼ-ga,we-tunʼ-ka,we-jeʼ-me,in-täʼ-che,we-jeʼ-me,inʼ-uaw,in-täʼ-che,we-jeʼ-me,inʼ-uaw,in-täʼ-che,in-täʼ-che,we-jaʼ-ga,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,inʼ-uaw,in-nahʼ,we-jeʼ-me,in-nahʼ,we-jaʼ-ga,we-jaʼ-ga,in-täʼ-che
6,0.4848660531119162,1.376055285260417,0.8911892321485009,we-tunʼ-ka,we-sonʼ-kä,we-choseʼ-kä,we-sonʼ-kä,we-chinʼ-to,we-cheʼ-zho,we-shoʼ-ka,we-chinʼ-to,we-tunʼ-ka,in-nahʼ,we-sheʼ-lä,we-shonʼ-ka,we-cheʼ-zho,we-shenʼ-kä,we-tunʼ-ka,we-tunʼ-ka,we-sheʼ-lä,in-nahʼ,we-sonʼkä,we-shoʼ-la,we-tunʼ-ka,in-nahʼ,we-choseʼ-kǎ,we-sonʼ-kä,in-nahʼ,we-jaʼ-ga,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-sonʼ-kä,we-shénʼ-kä,we-shoʼ-la,we-tunʼ-ka,we-jaʼ-ga,we-shonʼ-ka,we-jaʼ-ga,we-jaʼ-ga,we-chinʼ-to,in-täʼ-che,in-nahʼ,inʼ-uaw,inʼ-uaw,we-jaʼ-ga,we-jeʼ-me,in-täʼ-che,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,we-jeʼ-me,in-täʼ-che,we-jaʼ-ga,inʼ-uaw,in-täʼ-che,we-jeʼ-me,we-jeʼ-me,we-jaʼ-ga,in-nahʼ,in-täʼ-che
7,0.48486605311191594,0.9799711820833054,0.4951051289713894,we-chinʼ-to,we-sonʼ-kä,we-tunʼ-ka,we-sheʼ-lä,we-shénʼ-kä,we-tunʼ-ka,we-chinʼ-to,we-jaʼ-ga,we-chinʼ-to,we-sonʼ-kä,we-shoʼ-la,we-tunʼ-ka,we-cheʼ-zho,in-nahʼ,we-jaʼ-ga,we-tunʼ-ka,we-sonʼkä,we-tunʼ-ka,we-shonʼ-ka,in-nahʼ,we-cheʼ-zho,we-sonʼ-kä,we-shoʼ-ka,we-shonʼ-ka,we-tunʼ-ka,we-jaʼ-ga,in-nahʼ,we-sheʼ-lä,we-shoʼ-la,we-choseʼ-kǎ,in-nahʼ,we-shenʼ-kä,we-sonʼ-kä,we-sonʼ-kä,we-tunʼ-ka,we-tunʼ-ka,we-jaʼ-ga,we-choseʼ-kä,in-täʼ-che,in-täʼ-che,we-jaʼ-ga,we-jeʼ-me,we-jaʼ-ga,in-nahʼ,we-jeʼ-me,we-jeʼ-me,in-täʼ-che,we-jaʼ-ga,we-jeʼ-me,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,inʼ-uaw,inʼ-uaw,in-nahʼ,in-täʼ-che,inʼ-uaw,in-täʼ-che
8,0.34145405235023607,1.0346012329101812,0.6931471805599452,in-nahʼ,we-shonʼ-ka,we-shenʼ-kä,in-nahʼ,we-shoʼ-la,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-tunʼ-ka,we-chinʼ-to,we-sheʼ-lä,we-choseʼ-kä,we-sonʼ-kä,we-chinʼ-to,we-jaʼ-ga,in-nahʼ,we-tunʼ-ka,we-jaʼ-ga,we-tunʼ-ka,in-nahʼ,we-sonʼ-kä,we-shonʼ-ka,we-jaʼ-ga,we-sonʼkä,we-shoʼ-la,we-choseʼ-kǎ,we-shénʼ-kä,we-chinʼ-to,we-tunʼ-ka,we-sonʼ-kä,we-cheʼ-zho,we-sheʼ-lä,we-tunʼ-ka,we-sonʼ-kä,we-jaʼ-ga,we-shoʼ-ka,we-tunʼ-ka,we-cheʼ-zho,in-nahʼ,inʼ-uaw,we-jeʼ-me,in-täʼ-che,in-nahʼ,we-jeʼ-me,in-täʼ-che,inʼ-uaw,in-täʼ-che,inʼ-uaw,in-täʼ-che,we-jeʼ-me,in-täʼ-che,inʼ-uaw,we-jaʼ-ga,in-täʼ-che,we-jeʼ-me,we-jaʼ-ga,we-jaʼ-ga,we-jaʼ-ga
9,0.2050581591442049,1.0346012329101812,0.8295430737659764,we-jaʼ-ga,we-shonʼ-ka,we-sonʼ-kä,we-sheʼ-lä,we-chinʼ-to,in-nahʼ,we-sonʼ-kä,we-sonʼkä,we-tunʼ-ka,we-sonʼ-kä,we-tunʼ-ka,we-sonʼ-kä,we-shoʼ-la,we-tunʼ-ka,we-tunʼ-ka,we-shonʼ-ka,we-sheʼ-lä,in-nahʼ,we-tunʼ-ka,we-tunʼ-ka,we-choseʼ-kä,we-shenʼ-kä,we-shoʼ-ka,we-cheʼ-zho,we-shoʼ-la,we-choseʼ-kǎ,in-nahʼ,we-tunʼ-ka,in-nahʼ,we-shénʼ-kä,we-jaʼ-ga,we-cheʼ-zho,we-chinʼ-to,we-chinʼ-to,we-sonʼ-kä,we-jaʼ-ga,we-jaʼ-ga,we-tunʼ-ka,we-jeʼ-me,in-täʼ-che,inʼ-uaw,in-täʼ-che,we-jeʼ-me,we-jaʼ-ga,inʼ-uaw,in-nahʼ,we-jaʼ-ga,we-jeʼ-me,inʼ-uaw,inʼ-uaw,in-täʼ-che,in-täʼ-che,we-jaʼ-ga,in-täʼ-che,in-nahʼ,in-täʼ-che,we-jaʼ-ga,we-jeʼ-me
