simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,fFeB,fFyB
0,0.20397641445429915,0.9901000747284985,0.7861236602741993,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,rəh *iel,kaka,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,kaka,kaka,kaka,kaka,kaka,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,kaka,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia*,rəh *iel,kaka,p̄ia*,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,p̄ia* kalɨn,rəh *iel,p̄ia* kalɨn,kaka,kaka,rəh *iel,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,kaka,kaka,kaka,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,kaka,kaka,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,p̄ia*,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,tɨm,u*,u*,tɨm,itɨ,u*,u*,itɨ
1,0.13953066963689986,0.9901000747284985,0.8505694050915986,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,kaka,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,kaka,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia*,kaka,rəh *iel,kaka,p̄ia* kalɨn,kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,kaka,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,kaka,kaka,rəh *iel,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,p̄ia*,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,p̄ia*,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,itɨ,u*,tɨm,u*,tɨm,u*,u*,itɨ
2,0.05862817507159668,1.0835291213181606,1.024900946246564,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia*,p̄ia* kalɨn,rəh *iel,p̄ia*,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,kaka,p̄ia* kalɨn,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,p̄ia*,rəh *iel,kaka,p̄ia* kalɨn,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,kaka,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",kaka,kaka,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,u*,tɨm,tɨm,itɨ,u*,u*,itɨ,u*
3,0.11893716517742403,1.0054668293254954,0.8865296641480713,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,kaka,kaka,rəh *iel,p̄ia* kalɨn,p̄ia* kalɨn,p̄ia*,kaka,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,kaka,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,p̄ia*,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,kaka,kaka,kaka,p̄ia*,kaka,rəh *iel,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,p̄ia* kalɨn,u*,itɨ,u*,tɨm,u*,itɨ,u*,tɨm
4,0.20932182550998502,0.9901000747284985,0.7807782492185135,p̄ia* kalɨn,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",p̄ia*,p̄ia* kalɨn,p̄ia* kalɨn,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia*,p̄ia* kalɨn,rəh *iel,rəh *iel,p̄ia* kalɨn,p̄ia*,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,kaka,rəh *iel,kaka,rəh *iel,kaka,rəh *iel,kaka,kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,kaka,rəh *iel,kaka,kaka,kaka,kaka,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,kaka,rəh *iel,u*,u*,tɨm,u*,itɨ,u*,tɨm,itɨ
5,0.32238517242437137,0.9901000747284985,0.6677149023041271,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia*,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,kaka,kaka,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,p̄ia*,"p̄ia* kalɨn, neiwə*",kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,kaka,kaka,kaka,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,p̄ia*,rəh *iel,kaka,rəh *iel,u*,u*,itɨ,u*,tɨm,itɨ,u*,tɨm
6,0.11129234323510029,1.0835291213181606,0.9722367780830603,p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",kaka,kaka,p̄ia* kalɨn,rəh *iel,kaka,p̄ia*,rəh *iel,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,p̄ia*,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,kaka,kaka,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",kaka,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,p̄ia* kalɨn,kaka,rəh *iel,rəh *iel,p̄ia*,rəh *iel,rəh *iel,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,tɨm,itɨ,itɨ,tɨm,u*,u*,u*,u*
7,0.11325677942111934,1.0054668293254951,0.8922100499043758,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia*,"p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,rəh *iel,kaka,rəh *iel,kaka,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,kaka,p̄ia* kalɨn,kaka,p̄ia* kalɨn,kaka,rəh *iel,p̄ia*,p̄ia* kalɨn,kaka,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",kaka,p̄ia* kalɨn,kaka,p̄ia* kalɨn,kaka,p̄ia*,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,u*,u*,u*,itɨ,u*,tɨm,tɨm,itɨ
8,0.2257784204444886,0.9901000747284985,0.7643216542840099,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,p̄ia*,p̄ia*,rəh *iel,p̄ia* kalɨn,p̄ia* kalɨn,rəh *iel,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,kaka,p̄ia* kalɨn,kaka,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,p̄ia*,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,rəh *iel,kaka,p̄ia* kalɨn,kaka,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",kaka,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,kaka,kaka,u*,itɨ,u*,tɨm,u*,tɨm,u*,itɨ
9,0.102610137427258,0.9901000747284985,0.8874899373012405,kaka,kaka,"p̄ia* kalɨn, neiwə*",rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,p̄ia* kalɨn,rəh *iel,kaka,kaka,rəh *iel,kaka,kaka,rəh *iel,kaka,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*",kaka,rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",rəh *iel,p̄ia* kalɨn,kaka,rəh *iel,p̄ia* kalɨn,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,p̄ia* kalɨn,kaka,kaka,rəh *iel,rəh *iel,rəh *iel,p̄ia* kalɨn,"p̄ia* kalɨn, neiwə*",p̄ia* kalɨn,rəh *iel,p̄ia*,p̄ia*,kaka,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*",rəh *iel,kaka,rəh *iel,rəh *iel,rəh *iel,p̄ia*,rəh *iel,kaka,p̄ia* kalɨn,rəh *iel,"p̄ia* kalɨn, neiwə*","p̄ia* kalɨn, neiwə*",kaka,kaka,rəh *iel,rəh *iel,rəh *iel,rəh *iel,kaka,rəh *iel,rəh *iel,kaka,kaka,rəh *iel,kaka,u*,itɨ,u*,tɨm,u*,tɨm,u*,itɨ
