simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mMBS,mFBD,mFZD,mMBD,mMZD,fMBS,fFBD,fFZD,fMBD,fMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFyB,mFeZ,mMeB,mMeZ,mMyZ,fFyB,fFeZ,fMeB,fMeZ,fMyZ
0,0.2640057584495554,1.5265728510533525,1.262567092603797,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,kunat̪u,"yakukat̪u, palkatYi",tYampat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,tYampat̪u,tYampat̪u,yakukat̪u,putYirinta,putYirinta,tYampat̪u,putYirinta,putYirinta,tYampat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,palkatYi,putYirinta,kunat̪u,putYirinta,tYampat̪u,tYampat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,waŋkutu,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,ŋayantat̪u,tYampat̪u,kunat̪u,kan̪t̪at̪u,kan̪t̪at̪u,markat̪u,kakutYu,ŋamat̪u,markat̪u,kan̪t̪at̪u,ŋamat̪u,kan̪t̪at̪u,kakutYu,kapilitYu,ŋamat̪u,kapilitYu,ŋamat̪u
1,0.3028424632675195,1.5797631195965403,1.2769206563290207,putYirinta,ŋayantat̪u,kunat̪u,waŋkutu,ŋayantat̪u,putYirinta,tYampat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,tYampat̪u,putYirinta,palkatYi,ŋayantat̪u,ŋayantat̪u,kunat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,yakukat̪u,"yakukat̪u, palkatYi",tYampat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,kunat̪u,tYampat̪u,ŋayantat̪u,tYampat̪u,tYampat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,tYampat̪u,putYirinta,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,tYampat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,kan̪t̪at̪u,ŋamat̪u,kakutYu,kapilitYu,markat̪u,kan̪t̪at̪u,kapilitYu,markat̪u,ŋamat̪u,kan̪t̪at̪u,kan̪t̪at̪u,kakutYu,ŋamat̪u,ŋamat̪u
2,0.17143731179008026,1.5493661976511084,1.3779288858610281,putYirinta,putYirinta,kunat̪u,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,ŋayantat̪u,waŋkutu,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,"yakukat̪u, palkatYi",putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,kunat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,tYampat̪u,tYampat̪u,tYampat̪u,ŋayantat̪u,putYirinta,palkatYi,putYirinta,kunat̪u,ŋayantat̪u,putYirinta,yakukat̪u,ŋayantat̪u,tYampat̪u,kapilitYu,kan̪t̪at̪u,kapilitYu,markat̪u,markat̪u,kan̪t̪at̪u,ŋamat̪u,ŋamat̪u,ŋamat̪u,kakutYu,kan̪t̪at̪u,kakutYu,kan̪t̪at̪u,ŋamat̪u
3,0.5750493827632202,1.5265728510533523,0.9515234682901321,kunat̪u,putYirinta,putYirinta,tYampat̪u,tYampat̪u,tYampat̪u,putYirinta,putYirinta,putYirinta,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,kunat̪u,ŋayantat̪u,palkatYi,tYampat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,tYampat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,putYirinta,tYampat̪u,waŋkutu,tYampat̪u,"yakukat̪u, palkatYi",ŋayantat̪u,ŋayantat̪u,kunat̪u,ŋayantat̪u,putYirinta,yakukat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,putYirinta,putYirinta,tYampat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,kan̪t̪at̪u,kan̪t̪at̪u,ŋamat̪u,markat̪u,kakutYu,ŋamat̪u,kan̪t̪at̪u,kapilitYu,ŋamat̪u,kan̪t̪at̪u,markat̪u,ŋamat̪u,kakutYu,kapilitYu
4,0.34544122637560126,1.5755470295367568,1.2301058031611556,ŋayantat̪u,ŋayantat̪u,putYirinta,tYampat̪u,putYirinta,tYampat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,waŋkutu,ŋayantat̪u,tYampat̪u,putYirinta,tYampat̪u,ŋayantat̪u,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,tYampat̪u,kunat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,kunat̪u,ŋayantat̪u,putYirinta,putYirinta,"yakukat̪u, palkatYi",tYampat̪u,ŋayantat̪u,yakukat̪u,palkatYi,tYampat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,kunat̪u,putYirinta,putYirinta,markat̪u,ŋamat̪u,markat̪u,kakutYu,kapilitYu,kan̪t̪at̪u,ŋamat̪u,kapilitYu,ŋamat̪u,ŋamat̪u,kan̪t̪at̪u,kan̪t̪at̪u,kan̪t̪at̪u,kakutYu
5,0.30466786281325176,1.5794333138445493,1.2747654510312976,palkatYi,putYirinta,kunat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,kunat̪u,kunat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,tYampat̪u,tYampat̪u,"yakukat̪u, palkatYi",putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,tYampat̪u,putYirinta,ŋayantat̪u,yakukat̪u,ŋayantat̪u,tYampat̪u,ŋayantat̪u,putYirinta,putYirinta,tYampat̪u,putYirinta,ŋayantat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,waŋkutu,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,putYirinta,tYampat̪u,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,tYampat̪u,ŋamat̪u,kakutYu,kakutYu,markat̪u,ŋamat̪u,kan̪t̪at̪u,ŋamat̪u,kan̪t̪at̪u,kan̪t̪at̪u,kan̪t̪at̪u,markat̪u,kapilitYu,kapilitYu,ŋamat̪u
6,0.2333431964584487,1.5453221670797155,1.3119789706212668,putYirinta,waŋkutu,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,yakukat̪u,ŋayantat̪u,putYirinta,kunat̪u,ŋayantat̪u,palkatYi,putYirinta,putYirinta,tYampat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,tYampat̪u,tYampat̪u,tYampat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,tYampat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,"yakukat̪u, palkatYi",putYirinta,tYampat̪u,ŋayantat̪u,putYirinta,tYampat̪u,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,kunat̪u,kunat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,markat̪u,kan̪t̪at̪u,kan̪t̪at̪u,ŋamat̪u,ŋamat̪u,kapilitYu,markat̪u,kapilitYu,kakutYu,ŋamat̪u,kan̪t̪at̪u,kakutYu,ŋamat̪u,kan̪t̪at̪u
7,0.40107762165652194,1.5794333138445493,1.1783556921880274,ŋayantat̪u,yakukat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,putYirinta,kunat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,tYampat̪u,putYirinta,palkatYi,tYampat̪u,putYirinta,ŋayantat̪u,kunat̪u,putYirinta,putYirinta,putYirinta,ŋayantat̪u,tYampat̪u,waŋkutu,ŋayantat̪u,ŋayantat̪u,kunat̪u,"yakukat̪u, palkatYi",putYirinta,ŋayantat̪u,tYampat̪u,tYampat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,tYampat̪u,tYampat̪u,putYirinta,tYampat̪u,ŋamat̪u,markat̪u,kan̪t̪at̪u,kakutYu,kan̪t̪at̪u,kakutYu,kapilitYu,ŋamat̪u,kan̪t̪at̪u,ŋamat̪u,ŋamat̪u,kapilitYu,markat̪u,kan̪t̪at̪u
8,0.3867653424463826,1.5515429967342547,1.164777654287872,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,yakukat̪u,putYirinta,ŋayantat̪u,putYirinta,tYampat̪u,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,kunat̪u,tYampat̪u,tYampat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,"yakukat̪u, palkatYi",tYampat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,putYirinta,ŋayantat̪u,kunat̪u,ŋayantat̪u,tYampat̪u,ŋayantat̪u,palkatYi,putYirinta,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,kunat̪u,tYampat̪u,ŋayantat̪u,putYirinta,waŋkutu,ŋayantat̪u,tYampat̪u,ŋayantat̪u,tYampat̪u,tYampat̪u,putYirinta,markat̪u,markat̪u,kan̪t̪at̪u,ŋamat̪u,ŋamat̪u,kapilitYu,kan̪t̪at̪u,kakutYu,ŋamat̪u,kan̪t̪at̪u,kan̪t̪at̪u,kakutYu,kapilitYu,ŋamat̪u
9,0.40558463315631443,1.5102430136032834,1.104658380446969,putYirinta,tYampat̪u,putYirinta,putYirinta,ŋayantat̪u,ŋayantat̪u,waŋkutu,tYampat̪u,tYampat̪u,ŋayantat̪u,tYampat̪u,putYirinta,putYirinta,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,kunat̪u,ŋayantat̪u,tYampat̪u,putYirinta,kunat̪u,kunat̪u,ŋayantat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,ŋayantat̪u,tYampat̪u,ŋayantat̪u,putYirinta,putYirinta,palkatYi,ŋayantat̪u,"yakukat̪u, palkatYi",ŋayantat̪u,yakukat̪u,tYampat̪u,ŋayantat̪u,ŋayantat̪u,putYirinta,ŋayantat̪u,putYirinta,putYirinta,putYirinta,tYampat̪u,putYirinta,ŋayantat̪u,tYampat̪u,putYirinta,putYirinta,putYirinta,ŋayantat̪u,putYirinta,kan̪t̪at̪u,kakutYu,markat̪u,kan̪t̪at̪u,ŋamat̪u,kan̪t̪at̪u,kapilitYu,ŋamat̪u,ŋamat̪u,kapilitYu,kakutYu,kan̪t̪at̪u,markat̪u,ŋamat̪u
