simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFZD,mMBD,mFZS,mMBS,meZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fZ,feB,fyB,fyZ,fFZD,fMBD,fFZS,fMBS,feZ,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.20364916264383015,1.5407209419828138,1.3370717793389837,nganapa,nganapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,yapa,nganapa,nganapa,nganapa,waawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,yukuyuku,nganapa,yukuyuku,nganapa,ngarnarnawa,ngarnarnawa,yapa,nganapa,nganapa,yukuyuku,waawa,ngarnarnawa,nganapa,ngarnarnawa,yapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,yukuyuku,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,yapa,nganapa,ngamu',tyawurlpa,muukul,ngamu',ngamu',muukul,muukul,ngamu',paapa,ngapipi\',paapa,paapa,paapa,muukul,ngapipi\',tyawurlpa,ngamu',ngapipi\',muukul,ngapipi\',ngapipi\',paapa,muukul,ngamu',ngapipi\',ngamu',paapa,ngamu'
1,0.16778097226040734,1.3498499910435915,1.1820690187831842,nganapa,nganapa,yapa,nganapa,yukuyuku,ngarnarnawa,nganapa,ngarnarnawa,yapa,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,nganapa,nganapa,yapa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,waawa,nganapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,nganapa,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,yapa,ngarnarnawa,nganapa,ngarnarnawa,waawa,ngarnarnawa,yukuyuku,nganapa,ngarnarnawa,yukuyuku,muukul,ngapipi\',ngapipi\',ngamu',paapa,muukul,muukul,paapa,ngamu',ngamu',muukul,ngamu',ngamu',muukul,ngamu',ngapipi\',paapa,ngapipi\',ngapipi\',muukul,paapa,tyawurlpa,ngamu',tyawurlpa,paapa,paapa,ngapipi\',ngamu'
2,0.2223837108414657,1.3960777447335613,1.1736940338920956,nganapa,ngarnarnawa,yapa,waawa,ngarnarnawa,yukuyuku,ngarnarnawa,nganapa,nganapa,waawa,yapa,ngarnarnawa,yapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,yukuyuku,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,yukuyuku,ngarnarnawa,yukuyuku,nganapa,nganapa,yapa,nganapa,nganapa,nganapa,paapa,tyawurlpa,muukul,ngapipi\',ngamu',ngamu',muukul,muukul,ngamu',ngapipi\',muukul,tyawurlpa,paapa,ngamu',ngamu',muukul,ngapipi\',ngamu',ngapipi\',muukul,paapa,paapa,ngapipi\',ngapipi\',paapa,ngamu',ngamu',paapa
3,0.17379969055642652,1.4546373475974839,1.2808376570410573,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,yapa,nganapa,yapa,nganapa,ngarnarnawa,nganapa,nganapa,yukuyuku,nganapa,yukuyuku,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,yapa,nganapa,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,yapa,nganapa,nganapa,ngarnarnawa,waawa,nganapa,ngarnarnawa,waawa,yukuyuku,ngarnarnawa,muukul,tyawurlpa,muukul,muukul,paapa,ngapipi\',ngamu',ngamu',paapa,ngamu',ngamu',ngapipi\',ngapipi\',paapa,muukul,muukul,ngapipi\',ngamu',muukul,paapa,tyawurlpa,ngamu',paapa,ngapipi\',paapa,ngapipi\',ngamu',ngamu'
4,0.23638142451412336,1.4174254955357064,1.181044071021583,ngarnarnawa,ngarnarnawa,yukuyuku,nganapa,ngarnarnawa,ngarnarnawa,yukuyuku,nganapa,nganapa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,yukuyuku,yukuyuku,ngarnarnawa,nganapa,ngarnarnawa,waawa,nganapa,ngarnarnawa,nganapa,nganapa,yapa,nganapa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,yapa,nganapa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,yapa,ngarnarnawa,ngarnarnawa,nganapa,waawa,nganapa,nganapa,yapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,muukul,ngamu',tyawurlpa,ngapipi\',paapa,ngamu',muukul,paapa,paapa,ngamu',ngapipi\',paapa,ngamu',muukul,ngamu',muukul,ngapipi\',paapa,ngamu',ngapipi\',muukul,ngapipi\',ngamu',tyawurlpa,ngamu',ngapipi\',paapa,muukul
5,0.16021974429328356,1.5649410539808128,1.4047213096875293,nganapa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,yukuyuku,nganapa,yapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,yapa,nganapa,ngarnarnawa,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,yapa,ngarnarnawa,nganapa,ngarnarnawa,waawa,nganapa,yukuyuku,ngarnarnawa,waawa,ngarnarnawa,ngarnarnawa,nganapa,yapa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,yukuyuku,nganapa,ngamu',tyawurlpa,ngapipi\',paapa,paapa,paapa,ngamu',paapa,muukul,ngapipi\',muukul,ngapipi\',ngamu',ngapipi\',muukul,ngamu',ngapipi\',tyawurlpa,ngamu',muukul,muukul,ngamu',ngapipi\',paapa,ngamu',ngamu',muukul,paapa
6,0.2452516549831225,1.4434517786751253,1.1982001236920028,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,yukuyuku,nganapa,ngarnarnawa,ngarnarnawa,nganapa,waawa,nganapa,ngarnarnawa,ngarnarnawa,yukuyuku,ngarnarnawa,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,nganapa,yapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,ngarnarnawa,yapa,yapa,waawa,nganapa,nganapa,nganapa,yapa,yukuyuku,nganapa,ngamu',muukul,ngapipi\',ngamu',ngapipi\',muukul,paapa,ngamu',paapa,ngamu',tyawurlpa,paapa,muukul,ngapipi\',ngapipi\',paapa,ngamu',ngapipi\',muukul,ngamu',muukul,ngamu',ngapipi\',tyawurlpa,paapa,paapa,muukul,ngamu'
7,0.1548388349362162,1.3226028424205762,1.16776400748436,yapa,nganapa,nganapa,nganapa,ngarnarnawa,nganapa,yukuyuku,yukuyuku,yapa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,nganapa,nganapa,waawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,yapa,nganapa,ngarnarnawa,waawa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,nganapa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,yukuyuku,ngarnarnawa,nganapa,yapa,ngamu',ngamu',ngamu',ngamu',paapa,ngapipi\',ngapipi\',paapa,paapa,muukul,tyawurlpa,muukul,ngamu',ngapipi\',ngamu',paapa,muukul,ngapipi\',ngapipi\',muukul,paapa,muukul,ngamu',tyawurlpa,muukul,ngapipi\',ngamu',paapa
8,0.17437319444031907,1.5382901969685756,1.3639170025282565,yukuyuku,ngarnarnawa,ngarnarnawa,yapa,yapa,yapa,nganapa,ngarnarnawa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,waawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,ngarnarnawa,nganapa,waawa,yukuyuku,nganapa,nganapa,nganapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,nganapa,yukuyuku,nganapa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,yukuyuku,ngarnarnawa,ngarnarnawa,nganapa,yapa,paapa,muukul,ngamu',muukul,tyawurlpa,paapa,paapa,ngapipi\',paapa,ngapipi\',ngamu',ngapipi\',paapa,ngamu',ngamu',ngamu',ngapipi\',ngapipi\',muukul,ngamu',ngamu',muukul,tyawurlpa,muukul,ngapipi\',paapa,muukul,ngamu'
9,0.20097085093056322,1.47393394091801,1.272963089987447,ngarnarnawa,nganapa,nganapa,nganapa,yukuyuku,ngarnarnawa,yukuyuku,nganapa,nganapa,yukuyuku,yapa,nganapa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,nganapa,yukuyuku,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,waawa,nganapa,yapa,nganapa,ngarnarnawa,nganapa,yapa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,nganapa,nganapa,ngarnarnawa,nganapa,nganapa,nganapa,nganapa,yapa,waawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,ngarnarnawa,paapa,ngapipi\',ngamu',ngapipi\',muukul,ngapipi\',ngamu',muukul,ngamu',paapa,ngamu',muukul,ngamu',muukul,paapa,paapa,muukul,ngapipi\',tyawurlpa,tyawurlpa,ngapipi\',ngamu',paapa,paapa,ngamu',ngamu',ngapipi\',muukul
