simulation_number,mutual_information,entropy,conditional_entropy,fFBeS,meB,mFBeS,mMZeS,fFZeS,mFZeS,fMBeS,mMBeS,fMBeD,mMBeD,fFBeD,mFBeD,feZ,fMZeD,meZ,mMZeD,fFZeD,mFZeD,fFZyD,mFZyD,myZ,fFByD,mFByD,fyB,feB,fMZyD,mMZyD,fMZyS,mMZyS,myB,fyZ,fMByD,mMByD,fFZyS,mFZyS,fFByS,mFByS,fMByS,mMByS,mF,fM,mM,fFeB,mFeB,fFyB,fMyB,mFyB,mMyB,fMeB,mMeB,fFeZ,mFeZ,fMyZ,mMyZ,fMeZ,mMeZ,fFyZ,mFyZ
0,0.6365141682948128,1.0986122886681096,0.46209812037329684,k : ny-ee,k : hnee-mǎ,k : e-mǎ´,k : e-mǎ,k : e-mǎ,k : e-ko,k : ny-ee-nǎ,k : e-mǎ´,k : my-ee-mǎ´,k : hwee-mǎ,k : mo-ung ky-ee,k : e-mǎ´,k : e-ko,k : e-ma,k : e-ko´,k : ny-ee-tau,k : ny-ee-tau,k : e-mǎ´,k : mo-ung ga-ta´,k : ny-ee´,k : hne-nǎ,k : ny-ee-mǎ,k : ny-eé,k : e-maʼ,k : ny-ee-twa,k : ny-ee-nǎ,k : hwee-mǎ,k : my-ee-mǎ´,k : e-ko-tau,k : ny-ee´,k : e-ma,k : e-ko,k : e-maʼ,k : e-ko,k : hne-nǎ,k : ny-ee-twa,k : e-ko´,k : ny-ee,k : e-ko-tau,k : ky-ee-tan,k : bǎ-twǎ,k : mee-kwa,k : twa-tan,"k : a-me´, a-ma",k : bǎ-ky-ee,k : bǎ-twǎ,k : mee-kwa,k : mee-ky-ee,k : bǎ-tyee,"k : a-bǎ, a-pǎ","k : a-me´, a-ma",k : bǎ-twǎ,k : ky-ee-tan,k : mee-ky-ee,k : bǎ-twǎ,k : bǎ-ky-ee,k : twa-tan,k : bǎ-tyee
1,0.6365141682948128,1.0986122886681096,0.46209812037329684,k : ny-ee-nǎ,k : e-mǎ,k : e-ko,k : ny-ee,k : e-maʼ,k : e-mǎ´,k : hwee-mǎ,k : ny-ee-tau,k : e-ko,k : ny-ee-nǎ,k : ny-ee-mǎ,k : e-ma,k : e-ko-tau,k : ny-ee´,k : e-mǎ,k : e-ko,k : e-ko´,k : hne-nǎ,k : ny-ee´,k : hnee-mǎ,k : ny-ee-twa,k : e-ko´,k : mo-ung ga-ta´,k : e-ko,k : e-mǎ´,k : hwee-mǎ,k : my-ee-mǎ´,k : my-ee-mǎ´,k : ny-ee-twa,k : ny-ee-tau,k : ny-eé,k : ny-ee,k : mo-ung ky-ee,k : hne-nǎ,k : e-ma,k : e-ko-tau,k : e-maʼ,k : e-mǎ´,k : e-mǎ´,k : ky-ee-tan,"k : a-me´, a-ma",k : bǎ-tyee,k : twa-tan,k : mee-kwa,k : twa-tan,k : bǎ-twǎ,k : bǎ-ky-ee,k : bǎ-twǎ,k : bǎ-ky-ee,"k : a-me´, a-ma",k : mee-ky-ee,k : bǎ-twǎ,k : mee-kwa,"k : a-bǎ, a-pǎ",k : mee-ky-ee,k : bǎ-tyee,k : bǎ-twǎ,k : ky-ee-tan
2,0.17441604792151594,0.6365141682948128,0.46209812037329684,k : mo-ung ga-ta´,k : ny-ee´,k : ny-ee-nǎ,k : e-ma,k : e-mǎ,k : e-maʼ,k : hne-nǎ,k : ny-ee-tau,k : ny-ee-twa,k : ny-ee-nǎ,k : e-mǎ,k : e-ko-tau,k : my-ee-mǎ´,k : e-mǎ´,k : ny-ee-mǎ,k : hne-nǎ,k : e-ma,k : mo-ung ky-ee,k : e-ko,k : e-ko´,k : e-ko,k : ny-eé,k : e-maʼ,k : e-mǎ´,k : ny-ee-twa,k : e-ko´,k : my-ee-mǎ´,k : ny-ee-tau,k : ny-ee,k : hnee-mǎ,k : e-ko-tau,k : ny-ee,k : hwee-mǎ,k : e-ko,k : ny-ee´,k : e-ko,k : hwee-mǎ,k : e-mǎ´,k : e-mǎ´,k : bǎ-twǎ,k : bǎ-twǎ,k : mee-ky-ee,k : bǎ-tyee,k : twa-tan,"k : a-me´, a-ma",k : bǎ-ky-ee,k : bǎ-twǎ,k : bǎ-ky-ee,k : twa-tan,k : ky-ee-tan,k : mee-ky-ee,k : ky-ee-tan,k : mee-kwa,k : bǎ-tyee,"k : a-me´, a-ma",k : mee-kwa,"k : a-bǎ, a-pǎ",k : bǎ-twǎ
3,0.6365141682948128,1.0986122886681096,0.46209812037329684,k : ny-ee,k : e-ko,k : e-ma,k : e-mǎ,k : e-ko,k : ny-ee-mǎ,k : e-maʼ,k : ny-ee´,k : my-ee-mǎ´,k : e-ko-tau,k : ny-ee-nǎ,k : e-mǎ´,k : e-mǎ,k : hne-nǎ,k : hnee-mǎ,k : e-ko,k : e-ko´,k : hwee-mǎ,k : my-ee-mǎ´,k : ny-ee-twa,k : ny-ee-twa,k : ny-ee,k : hwee-mǎ,k : e-mǎ´,k : e-ko´,k : hne-nǎ,k : mo-ung ga-ta´,k : mo-ung ky-ee,k : e-ko,k : ny-ee-nǎ,k : ny-ee´,k : e-mǎ´,k : e-ko-tau,k : ny-ee-tau,k : e-maʼ,k : ny-ee-tau,k : e-ma,k : e-mǎ´,k : ny-eé,"k : a-bǎ, a-pǎ","k : a-me´, a-ma",k : mee-ky-ee,k : bǎ-tyee,k : bǎ-twǎ,k : bǎ-tyee,k : mee-kwa,k : mee-kwa,k : twa-tan,k : bǎ-ky-ee,k : bǎ-ky-ee,k : twa-tan,k : mee-ky-ee,k : bǎ-twǎ,k : ky-ee-tan,k : bǎ-twǎ,k : ky-ee-tan,"k : a-me´, a-ma",k : bǎ-twǎ
4,0.47738562622110947,1.0986122886681096,0.6212266624470001,k : ny-ee´,k : ny-ee-tau,k : e-mǎ´,k : e-ko,k : hwee-mǎ,k : e-ko,k : e-ko-tau,k : hne-nǎ,k : ny-ee-nǎ,k : e-ma,k : e-ko´,k : e-maʼ,k : my-ee-mǎ´,k : e-mǎ´,k : ny-ee-tau,k : e-ma,k : ny-ee-twa,k : ny-ee´,k : mo-ung ga-ta´,k : e-ko,k : ny-ee,k : e-mǎ,k : e-mǎ´,k : ny-ee,k : hne-nǎ,k : hnee-mǎ,k : e-ko-tau,k : e-ko´,k : mo-ung ky-ee,k : e-mǎ,k : ny-eé,k : e-mǎ´,k : ny-ee-mǎ,k : e-ko,k : my-ee-mǎ´,k : ny-ee-twa,k : hwee-mǎ,k : ny-ee-nǎ,k : e-maʼ,k : mee-kwa,k : mee-ky-ee,k : bǎ-twǎ,k : bǎ-ky-ee,k : mee-ky-ee,k : bǎ-twǎ,"k : a-bǎ, a-pǎ",k : twa-tan,k : ky-ee-tan,"k : a-me´, a-ma",k : bǎ-twǎ,k : bǎ-ky-ee,k : bǎ-twǎ,k : ky-ee-tan,k : mee-kwa,k : bǎ-tyee,k : twa-tan,k : bǎ-tyee,"k : a-me´, a-ma"
5,0.17441604792151594,0.6365141682948128,0.46209812037329684,k : e-ko-tau,k : my-ee-mǎ´,k : e-mǎ´,k : e-maʼ,k : ny-ee,k : my-ee-mǎ´,k : mo-ung ky-ee,k : e-mǎ,k : ny-ee-tau,k : e-ko-tau,k : ny-ee-nǎ,k : ny-ee´,k : e-ko´,k : hwee-mǎ,k : ny-ee´,k : e-mǎ´,k : e-ma,k : e-ko,k : e-ko,k : hwee-mǎ,k : ny-ee,k : e-ko´,k : e-mǎ,k : e-mǎ´,k : ny-eé,k : ny-ee-mǎ,k : e-ma,k : ny-ee-tau,k : ny-ee-nǎ,k : hnee-mǎ,k : e-ko,k : ny-ee-twa,k : e-mǎ´,k : e-ko,k : e-maʼ,k : mo-ung ga-ta´,k : ny-ee-twa,k : hne-nǎ,k : hne-nǎ,k : twa-tan,k : twa-tan,k : bǎ-ky-ee,k : mee-ky-ee,k : bǎ-twǎ,k : mee-ky-ee,k : bǎ-tyee,k : bǎ-ky-ee,k : ky-ee-tan,"k : a-me´, a-ma",k : bǎ-twǎ,k : bǎ-twǎ,"k : a-me´, a-ma",k : bǎ-tyee,"k : a-bǎ, a-pǎ",k : bǎ-twǎ,k : ky-ee-tan,k : mee-kwa,k : mee-kwa
6,0.31825708414740617,1.0986122886681096,0.7803552045207034,k : ny-ee-twa,k : hwee-mǎ,k : ny-ee-tau,k : e-ko-tau,k : ny-ee´,k : ny-ee,k : my-ee-mǎ´,k : e-mǎ,k : hwee-mǎ,k : e-mǎ´,k : e-ko,k : e-mǎ´,k : hne-nǎ,k : ny-ee-tau,k : hne-nǎ,k : e-ko´,k : e-ma,k : mo-ung ga-ta´,k : e-ko,k : e-ma,k : ny-ee-nǎ,k : my-ee-mǎ´,k : ny-ee,k : e-ko-tau,k : e-mǎ,k : hnee-mǎ,k : e-maʼ,k : e-ko,k : e-ko,k : e-mǎ´,k : ny-ee-nǎ,k : mo-ung ky-ee,k : ny-ee-mǎ,k : e-ko´,k : ny-eé,k : e-maʼ,k : ny-ee-twa,k : e-mǎ´,k : ny-ee´,k : twa-tan,k : bǎ-tyee,k : bǎ-ky-ee,k : bǎ-twǎ,k : mee-kwa,k : mee-kwa,k : mee-ky-ee,k : twa-tan,"k : a-me´, a-ma",k : bǎ-tyee,"k : a-me´, a-ma","k : a-bǎ, a-pǎ",k : bǎ-twǎ,k : ky-ee-tan,k : bǎ-ky-ee,k : mee-ky-ee,k : bǎ-twǎ,k : bǎ-twǎ,k : ky-ee-tan
7,0.17441604792151594,0.6365141682948128,0.46209812037329684,k : e-mǎ´,k : my-ee-mǎ´,k : my-ee-mǎ´,k : mo-ung ky-ee,k : ny-ee´,k : e-ko-tau,k : e-ko,k : ny-ee´,k : e-mǎ´,k : ny-ee-tau,k : e-mǎ´,k : ny-ee-nǎ,k : ny-ee-mǎ,k : e-ma,k : e-ma,k : e-ko,k : ny-ee,k : hwee-mǎ,k : e-mǎ,k : hnee-mǎ,k : hwee-mǎ,k : e-ko´,k : hne-nǎ,k : mo-ung ga-ta´,k : ny-ee-twa,k : e-maʼ,k : e-ko,k : e-ko,k : ny-ee-twa,k : ny-eé,k : ny-ee-tau,k : hne-nǎ,k : e-maʼ,k : e-mǎ´,k : ny-ee,k : ny-ee-nǎ,k : e-mǎ,k : e-ko´,k : e-ko-tau,k : bǎ-twǎ,k : bǎ-twǎ,"k : a-bǎ, a-pǎ",k : ky-ee-tan,k : mee-ky-ee,k : bǎ-twǎ,"k : a-me´, a-ma",k : bǎ-tyee,k : bǎ-twǎ,k : mee-kwa,k : twa-tan,k : ky-ee-tan,k : bǎ-ky-ee,k : twa-tan,"k : a-me´, a-ma",k : mee-kwa,k : bǎ-ky-ee,k : mee-ky-ee,k : bǎ-tyee
8,0.6365141682948128,1.0986122886681096,0.46209812037329684,k : hnee-mǎ,k : ny-ee-tau,k : hne-nǎ,k : e-ko,k : e-mǎ´,k : e-ko´,k : ny-ee-twa,k : e-mǎ,k : ny-ee´,k : e-ko,k : ny-ee-tau,k : hne-nǎ,k : e-ko,k : ny-ee-nǎ,k : ny-ee,k : ny-ee,k : my-ee-mǎ´,k : e-ko-tau,k : ny-ee´,k : e-maʼ,k : ny-eé,k : mo-ung ky-ee,k : e-mǎ´,k : e-ko´,k : ny-ee-nǎ,k : ny-ee-mǎ,k : ny-ee-twa,k : hwee-mǎ,k : hwee-mǎ,k : e-mǎ´,k : e-mǎ,k : e-ma,k : e-maʼ,k : my-ee-mǎ´,k : e-ko-tau,k : e-ko,k : mo-ung ga-ta´,k : e-ma,k : e-mǎ´,k : bǎ-ky-ee,"k : a-me´, a-ma",k : bǎ-twǎ,k : bǎ-ky-ee,k : twa-tan,k : ky-ee-tan,k : mee-kwa,k : twa-tan,k : mee-ky-ee,k : bǎ-tyee,k : ky-ee-tan,"k : a-me´, a-ma",k : bǎ-twǎ,k : bǎ-tyee,k : mee-ky-ee,k : bǎ-twǎ,k : bǎ-twǎ,"k : a-bǎ, a-pǎ",k : mee-kwa
9,0.47738562622110936,1.0986122886681096,0.6212266624470002,k : mo-ung ky-ee,k : e-mǎ´,k : ny-ee-tau,k : e-ma,k : ny-ee-twa,k : ny-ee-nǎ,k : hwee-mǎ,k : e-mǎ´,k : e-mǎ,k : hwee-mǎ,k : e-ko-tau,k : ny-ee,k : e-ko,k : e-mǎ´,k : e-maʼ,k : ny-ee-twa,k : mo-ung ga-ta´,k : e-ko,k : ny-ee´,k : e-mǎ´,k : ny-ee´,k : ny-ee-mǎ,k : hne-nǎ,k : hnee-mǎ,k : e-ko,k : e-ma,k : my-ee-mǎ´,k : my-ee-mǎ´,k : e-ko´,k : ny-eé,k : e-maʼ,k : e-ko-tau,k : ny-ee-tau,k : e-mǎ,k : hne-nǎ,k : ny-ee-nǎ,k : e-ko´,k : e-ko,k : ny-ee,k : bǎ-twǎ,k : mee-ky-ee,k : bǎ-ky-ee,k : bǎ-ky-ee,k : ky-ee-tan,k : twa-tan,k : ky-ee-tan,k : mee-kwa,"k : a-me´, a-ma","k : a-me´, a-ma",k : bǎ-twǎ,k : bǎ-tyee,"k : a-bǎ, a-pǎ",k : bǎ-twǎ,k : bǎ-tyee,k : twa-tan,k : mee-kwa,k : mee-ky-ee,k : bǎ-twǎ
