simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mFBeS,fFBeS,mMZeS,fMByD,fFZeD,fFZyD,fMBeD,mFZyS,mFZeS,mMBeS,mMByS,fyB,myZ,fyZ,mFByS,fFByS,mFByD,fFByD,mMZyD,fMZyD,myB,mMZyS,fMZyS,fFZyS,mFZeD,mFZyD,fMByS,mMBeD,mMByD,fMBeS,fFZeS,mFBeD,fFBeD,mMZeD,fMZeD,meZ,feZ,mF,fF,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mFeB,mFyB,fFeB,fFyB
0,0.22722718372469508,1.0397207708399179,0.8124935871152228,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nin-dänʼ-go-she,nǐ-misʼ-sě,nǐ-shǐʼ-mě,nǐ-shǐ-mě,nǐ-tä-wiss,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-shǐ-me,nǐ-tä-wiss,nǐ-nǐ-moʼ-she,nǐ-shǐ-me,nǐ-nǐ-moʼ-she,nǐ-täʼ-wiss,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nin-dänʼ-go-shě,nis-säʼ-yě,nǐ-tä-wiss,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-misʼ-sě,nǐ-shǐʼ-mě,ne-misʼ-sě,nin-dänʼ-go-she,nǐ-nǐ-meʼ-she,nis-säʼ-yě,nǐ-shǐʼ-mě,nis-säʼ-yě,ne-misʼ-sě,nǐ-nǐ-moʼ-she,nǐ-misʼ-s,nǐ-zhǐ-she,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,ninʼ-gah,nǐ-noʼ-shě,nǐ-zhǐ-she,nin-sǐʼ-goss,nin-sǐʼ-goss,nǒss,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nǐ-noʼ-shě,nǐ-zhǐ-she,nǒss,nǐ-nǐ-shoʼ-mě,ninʼ-gah,nǐ-zhǐ-she,nǐ-noʼ-shě,nǐ-noʼ-shě,nin-sǐʼ-goss
1,0.3465735902799727,1.3862943611198906,1.0397207708399179,ne-misʼ-sě,nis-säʼ-yě,nǐ-shǐʼ-mě,nis-säʼ-yě,nin-dänʼ-go-she,nin-dänʼ-go-she,nǐ-misʼ-s,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-shǐ-me,nǐ-nǐ-meʼ-she,nǐ-misʼ-s,nǐ-shǐʼ-mě,nin-dänʼ-go-shě,nǐ-tä-wiss,nǐ-shǐ-mě,nǐ-shǐ-me,nǐ-shǐʼ-mě,nǐ-täʼ-wiss,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-tä-wiss,nǐ-nǐ-moʼ-she,nǐ-misʼ-sě,ne-misʼ-sě,nǐ-tä-wiss,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-misʼ-sě,nin-sǐʼ-goss,nǐ-noʼ-shě,ninʼ-gah,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nǒss,nǐ-noʼ-shě,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-zhǐ-she,nǒss,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nǐ-zhǐ-she,nǐ-zhǐ-she,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nin-sǐʼ-goss,ninʼ-gah
2,0.2272271837246952,1.0397207708399179,0.8124935871152227,nǐ-misʼ-sě,ne-misʼ-sě,nǐ-misʼ-s,nǐ-shǐ-me,nǐ-nǐ-moʼ-she,ne-misʼ-sě,nǐ-shǐʼ-mě,nǐ-täʼ-wiss,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-shě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nin-dänʼ-go-she,nin-dänʼ-go-she,nǐ-shǐ-me,nis-säʼ-yě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-misʼ-sě,nǐ-tä-wiss,nǐ-nǐ-meʼ-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-tä-wiss,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐ-mě,nǐ-tä-wiss,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nis-säʼ-yě,nǒss,nǒss,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-noʼ-shě,ninʼ-gah,nǐ-noʼ-shě,nǐ-noʼ-shě,ninʼ-gah,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nǐ-zhǐ-she,nǐ-noʼ-shě
3,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǐ-tä-wiss,nin-dänʼ-go-she,nǐ-nǐ-meʼ-she,nǐ-shǐ-me,nǐ-tä-wiss,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nis-säʼ-yě,nis-säʼ-yě,nǐ-misʼ-s,ne-misʼ-sě,nǐ-tä-wiss,nǐ-misʼ-sě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-shě,nǐ-shǐʼ-mě,nǐ-shǐ-mě,nǐ-nǐ-moʼ-she,nǐ-täʼ-wiss,nis-säʼ-yě,nǐ-shǐ-me,nǐ-misʼ-s,nǐ-nǐ-moʼ-she,ne-misʼ-sě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-misʼ-sě,nin-dänʼ-go-she,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,ninʼ-gah,nǐ-zhǐ-she,nin-sǐʼ-goss,ninʼ-gah,nǐ-zhǐ-she,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nin-sǐʼ-goss,nǐ-zhǐ-she,nǐ-noʼ-shě,nin-sǐʼ-goss,nǒss,nǒss,nǐ-zhǐ-she,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss
4,0.28116757230940403,1.0397207708399179,0.7585531985305138,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-täʼ-wiss,nis-säʼ-yě,nǐ-tä-wiss,nǐ-misʼ-s,nǐ-shǐ-me,nǐ-tä-wiss,nin-dänʼ-go-she,nǐ-misʼ-sě,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nǐ-shǐ-me,nǐ-shǐ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,ne-misʼ-sě,nǐ-nǐ-meʼ-she,nis-säʼ-yě,nǐ-tä-wiss,ne-misʼ-sě,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-shǐʼ-mě,nin-dänʼ-go-shě,nǐ-misʼ-sě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,ninʼ-gah,nǐ-noʼ-shě,nǐ-zhǐ-she,nǐ-noʼ-shě,nǐ-noʼ-shě,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-zhǐ-she,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nin-sǐʼ-goss,nǒss,nǐ-nǐ-shoʼ-mě,nǒss,ninʼ-gah,nǐ-zhǐ-she
5,0.3465735902799726,1.0397207708399179,0.6931471805599453,nin-dänʼ-go-she,nǐ-shǐ-mě,ne-misʼ-sě,nis-säʼ-yě,nin-dänʼ-go-she,ne-misʼ-sě,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-misʼ-sě,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nin-dänʼ-go-she,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-tä-wiss,nǐ-shǐ-me,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nin-dänʼ-go-shě,nǐ-nǐ-meʼ-she,nis-säʼ-yě,nǐ-tä-wiss,nǐ-täʼ-wiss,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-shǐ-me,nǐ-shǐʼ-mě,nǐ-misʼ-sě,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-tä-wiss,nǐ-noʼ-shě,nǐ-noʼ-shě,nin-sǐʼ-goss,nǐ-zhǐ-she,nǐ-zhǐ-she,nǒss,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nin-sǐʼ-goss,nǒss,nǐ-zhǐ-she,nin-sǐʼ-goss,ninʼ-gah,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,ninʼ-gah,nǐ-nǐ-shoʼ-mě
6,0.6931471805599453,1.3862943611198906,0.6931471805599453,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-shǐʼ-mě,nin-dänʼ-go-she,nǐ-tä-wiss,nǐ-nǐ-meʼ-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-tä-wiss,nǐ-shǐ-me,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-tä-wiss,nis-säʼ-yě,nin-dänʼ-go-she,nǐ-nǐ-moʼ-she,nǐ-shǐ-mě,nǐ-nǐ-moʼ-sha,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-misʼ-sě,nǐ-täʼ-wiss,nǐ-misʼ-s,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,ne-misʼ-sě,ne-misʼ-sě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-misʼ-sě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-shǐ-me,nin-dänʼ-go-shě,ninʼ-gah,nǐ-noʼ-shě,nǐ-zhǐ-she,nin-sǐʼ-goss,ninʼ-gah,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nǐ-zhǐ-she,nǒss,nǐ-noʼ-shě,nǐ-zhǐ-she,nin-sǐʼ-goss,nǐ-noʼ-shě,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nǐ-zhǐ-she,nǒss,nin-sǐʼ-goss,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě
7,0.22722718372469508,1.0397207708399179,0.8124935871152228,nǐ-misʼ-s,nis-säʼ-yě,ne-misʼ-sě,nin-dänʼ-go-she,nin-dänʼ-go-she,nǐ-shǐ-me,nǐ-tä-wiss,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nin-dänʼ-go-shě,nǐ-misʼ-s,nis-säʼ-yě,nǐ-nǐ-moʼ-she,nǐ-shǐ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-shǐ-me,ne-misʼ-sě,nǐ-nǐ-moʼ-sha,nǐ-nǐ-meʼ-she,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-täʼ-wiss,nǐ-shǐʼ-mě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-misʼ-sě,nǐ-misʼ-sě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-tä-wiss,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-tä-wiss,nǐ-shǐʼ-mě,nǐ-noʼ-shě,nǐ-noʼ-shě,ninʼ-gah,nǐ-zhǐ-she,nǐ-noʼ-shě,nǒss,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nǒss,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nǐ-zhǐ-she,nǐ-zhǐ-she,nǐ-zhǐ-she,ninʼ-gah,nin-sǐʼ-goss,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss
8,0.28116757230940403,1.0397207708399179,0.7585531985305138,nis-säʼ-yě,nǐ-shǐʼ-mě,nin-dänʼ-go-she,nǐ-nǐ-moʼ-she,nǐ-täʼ-wiss,nǐ-nǐ-moʼ-she,nǐ-nǐ-meʼ-she,ne-misʼ-sě,nin-dänʼ-go-she,nǐ-misʼ-s,nǐ-nǐ-moʼ-she,nǐ-shǐ-me,nin-dänʼ-go-shě,nǐ-shǐʼ-mě,nǐ-tä-wiss,nǐ-misʼ-sě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nis-säʼ-yě,nis-säʼ-yě,nis-säʼ-yě,nǐ-misʼ-sě,nǐ-shǐ-mě,ne-misʼ-sě,nǐ-shǐʼ-mě,nǐ-tä-wiss,nis-säʼ-yě,nǐ-tä-wiss,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-shǐ-me,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-sha,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-misʼ-s,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nǐ-noʼ-shě,nǐ-zhǐ-she,nǒss,ninʼ-gah,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,nǒss,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,ninʼ-gah,nǐ-zhǐ-she,nǐ-zhǐ-she,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nǐ-noʼ-shě,nǐ-noʼ-shě,nin-sǐʼ-goss,nǐ-zhǐ-she
9,0.41197960825054114,1.0397207708399179,0.6277411625893767,nǐ-shǐʼ-mě,ne-misʼ-sě,nis-säʼ-yě,nis-säʼ-yě,nǐ-tä-wiss,nǐ-misʼ-sě,nis-säʼ-yě,nǐ-tä-wiss,ne-misʼ-sě,nǐ-shǐ-me,nin-dänʼ-go-shě,nin-dänʼ-go-she,nǐ-nǐ-moʼ-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-she,nis-säʼ-yě,nis-säʼ-yě,nǐ-shǐʼ-mě,nǐ-shǐ-mě,nǐ-shǐʼ-mě,nǐ-misʼ-s,nin-dänʼ-go-she,nǐ-shǐʼ-mě,nǐ-shǐʼ-mě,nǐ-tä-wiss,nǐ-nǐ-moʼ-she,nin-dänʼ-go-she,nǐ-misʼ-sě,nǐ-misʼ-s,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nǐ-nǐ-moʼ-she,nǐ-shǐ-me,nǐ-täʼ-wiss,nǐ-shǐʼ-mě,nǐ-nǐ-moʼ-sha,nǐ-shǐʼ-mě,nǐ-nǐ-meʼ-she,nǐ-zhǐ-she,nǐ-noʼ-shě,nǐ-zhǐ-she,nǒss,nǐ-noʼ-shě,nǐ-nǐ-shoʼ-mě,nin-sǐʼ-goss,nin-sǐʼ-goss,nǐ-noʼ-shě,nin-sǐʼ-goss,nǐ-noʼ-shě,ninʼ-gah,nǐ-nǐ-shoʼ-mě,nǐ-nǐ-shoʼ-mě,nǒss,nin-sǐʼ-goss,nǐ-nǐ-shoʼ-mě,ninʼ-gah,nǐ-zhǐ-she,nǐ-zhǐ-she
