simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFBD,mMZD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mFeBD,mFyBD,mMeZD,mMyZD,feB,fyB,feZ,fyZ,fFBS,fMBS,fFZyS,fFBeD,fFByD,fFZyD,fMByS,fMByD,fMZeD,fMZyD,fFeBS,fFyBS,fMeBS,fMyBS,mFBeD,mFByD,mMZeD,mMZyD,fFBeS,fFByS,fMBeS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.8332885807601927,1.384902107395646,0.5516135266354533,-'yra,-kywyra,tejomemyna,-kywyra,tejomemyna,tekojara,-pyky'yra,tekojara,-kywyra,tykyra,-'yra,tywyra,tywyra,totyra,tykyra,-kywyra,teke'yra,tywyra,tenyra,tenyra,tenyra,tenyra,tenyra,-kywyra,tenyra,-kywyra,teke'yra,tykyra,-kywyra,-kywyra,totyra,tejomemyna,tekojara,-kywyra,teke'yra,-kywyra,-kywyra,tenyra,tejomemyna,tenyra,tekojara,-pyky'yra,tenyra,-pyky'yra,tenyra,-'yra,-'yra,-jaje,-jaje,totyra,-jaje,towyra,-'yra,-'y'a,totyra,totyra,towa,towyra,towyra
1,0.7165756609869396,1.4681626582624647,0.7515869972755251,-kywyra,-pyky'yra,teke'yra,tykyra,-pyky'yra,-kywyra,-kywyra,tykyra,-kywyra,-kywyra,tywyra,tenyra,tenyra,tejomemyna,tejomemyna,totyra,-kywyra,tenyra,tekojara,teke'yra,tejomemyna,teke'yra,tenyra,tywyra,-kywyra,tekojara,tenyra,tykyra,-kywyra,tenyra,tekojara,tenyra,-kywyra,tenyra,tejomemyna,tenyra,-'yra,-pyky'yra,-kywyra,tywyra,-kywyra,tenyra,tekojara,totyra,-'yra,-jaje,-'y'a,totyra,-jaje,-'yra,-jaje,-'yra,towyra,towyra,towa,towyra,-'yra,totyra,totyra
2,0.7757910923123715,1.4934616812281645,0.7176705889157929,-kywyra,teke'yra,-'yra,tenyra,tenyra,tejomemyna,-kywyra,totyra,-kywyra,-kywyra,tykyra,tenyra,-pyky'yra,tenyra,-pyky'yra,teke'yra,tywyra,tenyra,-kywyra,tenyra,-'yra,tekojara,tenyra,-kywyra,tejomemyna,totyra,-kywyra,-kywyra,teke'yra,tykyra,tywyra,tekojara,tenyra,tenyra,tekojara,tejomemyna,tekojara,-kywyra,-kywyra,tenyra,-pyky'yra,tykyra,tejomemyna,-kywyra,tywyra,towyra,-'yra,-jaje,towyra,totyra,-'yra,towa,-'yra,towyra,-'y'a,-jaje,-jaje,totyra,totyra
3,0.7940245333691364,1.5049832844346998,0.7109587510655634,tejomemyna,tekojara,-kywyra,tenyra,-kywyra,teke'yra,-pyky'yra,-pyky'yra,tenyra,tykyra,tenyra,tykyra,-pyky'yra,tejomemyna,-kywyra,teke'yra,tenyra,totyra,-kywyra,tekojara,-kywyra,tenyra,-kywyra,-'yra,teke'yra,-'yra,tejomemyna,totyra,-kywyra,tejomemyna,tywyra,tenyra,tenyra,-kywyra,tywyra,tykyra,tenyra,tenyra,tekojara,-kywyra,-kywyra,tywyra,tekojara,tenyra,-kywyra,towa,-jaje,totyra,towyra,totyra,-'yra,-'yra,totyra,-jaje,-'yra,towyra,-jaje,towyra,-'y'a
4,0.8867825932020442,1.6590853787956903,0.7723027855936461,tenyra,tenyra,tenyra,tekojara,tenyra,tejomemyna,-kywyra,-'yra,tywyra,tenyra,-kywyra,-kywyra,tywyra,teke'yra,-kywyra,-kywyra,-pyky'yra,-pyky'yra,-kywyra,-kywyra,totyra,totyra,tenyra,-kywyra,tenyra,teke'yra,teke'yra,tykyra,tywyra,tejomemyna,-kywyra,tejomemyna,tejomemyna,tenyra,-'yra,tenyra,tykyra,-pyky'yra,tekojara,-kywyra,tekojara,tykyra,tekojara,-kywyra,tenyra,-'yra,-jaje,-jaje,totyra,-'yra,-'y'a,-jaje,totyra,towyra,towyra,towa,towyra,totyra,-'yra
5,0.9189846406326923,1.7062619920575908,0.7872773514248985,tywyra,totyra,-kywyra,tenyra,teke'yra,-kywyra,-kywyra,tenyra,totyra,tenyra,-'yra,-kywyra,-kywyra,-kywyra,tekojara,tekojara,tykyra,tykyra,tekojara,tywyra,-pyky'yra,teke'yra,tenyra,tejomemyna,-kywyra,tenyra,tejomemyna,tenyra,-kywyra,tejomemyna,-kywyra,tenyra,-kywyra,tenyra,teke'yra,tenyra,-kywyra,-pyky'yra,tykyra,-pyky'yra,tejomemyna,tekojara,-'yra,tenyra,tywyra,totyra,towyra,towa,-'yra,totyra,-'y'a,-jaje,-'yra,-jaje,-'yra,-jaje,totyra,towyra,towyra
6,0.89042674244148,1.4859426988128646,0.5955159563713845,tenyra,-kywyra,tywyra,tekojara,tenyra,tejomemyna,-kywyra,-kywyra,-pyky'yra,tenyra,tejomemyna,totyra,tenyra,tywyra,tykyra,tekojara,-'yra,tejomemyna,totyra,tykyra,tenyra,tenyra,-kywyra,teke'yra,-kywyra,tekojara,tekojara,-kywyra,-kywyra,tejomemyna,-pyky'yra,tykyra,-'yra,tywyra,-kywyra,-kywyra,-pyky'yra,teke'yra,tenyra,tenyra,teke'yra,tenyra,-kywyra,-kywyra,tenyra,towyra,towyra,-'yra,-'y'a,-jaje,-'yra,-jaje,totyra,totyra,towyra,totyra,-'yra,towa,-jaje
7,0.767898330044815,1.6132455324718271,0.8453472024270121,teke'yra,teke'yra,-kywyra,teke'yra,tejomemyna,tenyra,tykyra,tenyra,tywyra,-'yra,-kywyra,-kywyra,-kywyra,tekojara,tywyra,-kywyra,tenyra,tenyra,tekojara,-kywyra,-pyky'yra,tejomemyna,-kywyra,tenyra,tenyra,tykyra,-'yra,tykyra,tenyra,tejomemyna,tenyra,totyra,tejomemyna,tekojara,-pyky'yra,tenyra,-kywyra,tywyra,-pyky'yra,-kywyra,-kywyra,-kywyra,tenyra,tekojara,totyra,totyra,towyra,-jaje,-'yra,-'y'a,-jaje,towa,towyra,towyra,totyra,totyra,-jaje,-'yra,-'yra
8,0.7904919500903107,1.6316577526273397,0.841165802537029,tenyra,tykyra,tywyra,-pyky'yra,tejomemyna,teke'yra,tejomemyna,-kywyra,tenyra,tywyra,tenyra,tykyra,-kywyra,-pyky'yra,-kywyra,-kywyra,tekojara,tenyra,-kywyra,-kywyra,tekojara,-kywyra,teke'yra,-'yra,tenyra,totyra,-pyky'yra,-kywyra,-kywyra,tekojara,-kywyra,teke'yra,tykyra,tenyra,tenyra,tywyra,-'yra,tekojara,-kywyra,totyra,tejomemyna,tenyra,tenyra,tejomemyna,tenyra,towyra,-jaje,-'yra,-'y'a,towyra,totyra,towyra,towa,-jaje,-jaje,totyra,-'yra,-'yra,totyra
9,0.9145167860845138,1.708505975359642,0.7939891892751283,teke'yra,tywyra,-'yra,tywyra,tejomemyna,-kywyra,tekojara,-kywyra,-kywyra,tenyra,tenyra,-kywyra,teke'yra,tenyra,tywyra,tenyra,tenyra,tenyra,-pyky'yra,-kywyra,-kywyra,tenyra,tekojara,-pyky'yra,-kywyra,tenyra,totyra,-pyky'yra,tykyra,totyra,tekojara,tenyra,-kywyra,tykyra,-'yra,tejomemyna,-kywyra,-kywyra,teke'yra,tykyra,tejomemyna,tekojara,-kywyra,tejomemyna,tenyra,towyra,-'yra,towa,totyra,-jaje,towyra,-'yra,totyra,towyra,-jaje,-'y'a,totyra,-jaje,-'yra
