simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFZD,mFBD,mMBD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mB,mMZD,mFBS,mFeBS,mFyBS,mMeZD,mMyZD,mFBeS,mFByS,mMZeD,mMZyD,fB,fMZD,fFBS,fFeBS,fFyBS,fMeZD,fMyZD,fFBeS,fFByS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.290001907287756,1.7005632067275713,1.4105612994398153,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,musâzâcu,mushikanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,musâzâcu,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mushikâcu,mushikanje,murúmunanje,muvyâranje,mushikâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mushikâcu,muvyâranje,musâzâcu,musâzanje,muvyâranje,muvyâranje,muvyâranje,mushikanje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,mukúruwanje,mwéne-wâcu,mushikanje,muvyâranje,muvyâranje,mushikâcu,mwéne-måmá-wåcu,muvyâranje,mwéne-wâcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mukúruwanje,muvyâranje,murúmunanje,muvyâranje,mwéne-måmá-wåcu,musâzâcu,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,mushikanje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,musâzâcu,muvyâranje,mushikanje,mushikâcu,mwéne-måmá-wåcu,muvyâranje,måmá-wåcu,dåtá-wåcu,dåtá-wåcu,dåtá-wåcu,dåtá-wåcu,sengé,mårúme,mårúme,sengé,måmá-wåcu,sengé,dåtá-wåcu,mårúme,sengé,dåtá,mårúme,måmá,dåtá,måmá-wåcu,sengé,mårúme,måmá-wåcu,måmá-wåcu,mårúme,dåtá-wåcu,måmá,måmá-wåcu,sengé
1,0.31026608165941183,1.669995199694692,1.3597291180352802,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mushikanje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mushikâcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mushikanje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-wâcu,mushikanje,muvyâranje,mushikanje,mwéne-dåtá-wåcu,mukúruwanje,mushikâcu,mwéne-wâcu,muvyâranje,muvyâranje,mushikanje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,musâzâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,musâzâcu,muvyâranje,mushikâcu,muvyâranje,mwéne-måmá-wåcu,musâzanje,mwéne-dåtá-wåcu,muvyâranje,mushikanje,muvyâranje,mwéne-måmá-wåcu,murúmunanje,mwéne-måmá-wåcu,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mukúruwanje,mushikâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,musâzâcu,musâzâcu,muvyâranje,mushikâcu,musâzâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,murúmunanje,mwéne-dåtá-wåcu,muvyâranje,måmá-wåcu,sengé,dåtá,sengé,måmá-wåcu,mårúme,dåtá-wåcu,sengé,dåtá-wåcu,dåtá-wåcu,mårúme,måmá,sengé,mårúme,sengé,mårúme,dåtá-wåcu,måmá-wåcu,dåtá-wåcu,sengé,mårúme,dåtá,mårúme,måmá-wåcu,dåtá-wåcu,måmá,måmá-wåcu,måmá-wåcu
2,0.2150165326287472,1.6900689444673362,1.475052411838589,musâzâcu,muvyâranje,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,murúmunanje,mushikanje,mwéne-wâcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mushikâcu,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,mushikanje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,murúmunanje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,musâzâcu,mushikanje,musâzanje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mukúruwanje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,mwéne-wâcu,mwéne-dåtá-wåcu,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mushikanje,musâzâcu,muvyâranje,mushikâcu,mushikanje,mwéne-dåtá-wåcu,musâzâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mushikâcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,mukúruwanje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,musâzâcu,mushikanje,muvyâranje,muvyâranje,mushikâcu,mushikâcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,sengé,måmá,dåtá-wåcu,måmá-wåcu,måmá-wåcu,måmá-wåcu,sengé,dåtá-wåcu,dåtá-wåcu,dåtá,måmá-wåcu,mårúme,mårúme,måmá-wåcu,sengé,dåtá-wåcu,sengé,sengé,sengé,måmá,mårúme,måmá-wåcu,mårúme,mårúme,dåtá-wåcu,mårúme,dåtá,dåtá-wåcu
3,0.3977271271046625,1.7212269370279953,1.3234998099233328,murúmunanje,mwéne-måmá-wåcu,mushikâcu,mushikanje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mushikâcu,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mushikâcu,mukúruwanje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mwéne-wâcu,muvyâranje,muvyâranje,mushikanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mushikanje,muvyâranje,muvyâranje,mukúruwanje,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,mushikanje,musâzâcu,mwéne-dåtá-wåcu,muvyâranje,mushikâcu,mwéne-wâcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,musâzâcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mushikâcu,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mushikanje,muvyâranje,musâzâcu,mwéne-dåtá-wåcu,murúmunanje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mushikanje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,musâzâcu,musâzâcu,musâzanje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mårúme,sengé,mårúme,dåtá,dåtá-wåcu,sengé,dåtá-wåcu,dåtá-wåcu,sengé,dåtá,sengé,måmá,dåtá-wåcu,måmá-wåcu,måmá-wåcu,mårúme,måmá-wåcu,sengé,mårúme,måmá,måmá-wåcu,mårúme,sengé,mårúme,måmá-wåcu,dåtá-wåcu,måmá-wåcu,dåtá-wåcu
4,0.29490873641865045,1.707963672585475,1.4130549361668245,muvyâranje,muvyâranje,muvyâranje,mushikâcu,mwéne-dåtá-wåcu,musâzâcu,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,mushikâcu,musâzâcu,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mushikanje,muvyâranje,muvyâranje,mushikanje,mwéne-måmá-wåcu,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,mwéne-wâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,musâzâcu,murúmunanje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mushikanje,mukúruwanje,mushikâcu,muvyâranje,muvyâranje,muvyâranje,mushikâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,musâzanje,muvyâranje,murúmunanje,mushikâcu,mwéne-måmá-wåcu,mukúruwanje,mushikanje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,musâzâcu,muvyâranje,muvyâranje,mwéne-wâcu,mushikanje,musâzâcu,mwéne-dåtá-wåcu,mushikanje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,måmá-wåcu,mårúme,måmá,dåtá-wåcu,sengé,dåtá,dåtá-wåcu,mårúme,sengé,sengé,mårúme,dåtá,måmá-wåcu,mårúme,måmá-wåcu,måmá,sengé,sengé,måmá-wåcu,mårúme,dåtá-wåcu,dåtá-wåcu,mårúme,sengé,måmá-wåcu,dåtá-wåcu,måmá-wåcu,dåtá-wåcu
5,0.28472379010744153,1.7025466675849692,1.4178228774775277,mushikanje,muvyâranje,mukúruwanje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,mushikâcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,musâzanje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,murúmunanje,mushikâcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,musâzâcu,mwéne-måmá-wåcu,murúmunanje,mwéne-dåtá-wåcu,musâzâcu,mushikanje,muvyâranje,mushikanje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mukúruwanje,muvyâranje,mwéne-wâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mushikâcu,mushikâcu,mwéne-dåtá-wåcu,mushikâcu,mwéne-wâcu,musâzâcu,mushikanje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,mwéne-måmá-wåcu,musâzâcu,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mushikanje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,musâzâcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mushikanje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,dåtá-wåcu,måmá,mårúme,måmá-wåcu,sengé,dåtá,dåtá-wåcu,dåtá,måmá-wåcu,måmá-wåcu,dåtá-wåcu,måmá,sengé,mårúme,dåtá-wåcu,sengé,sengé,mårúme,mårúme,dåtá-wåcu,dåtá-wåcu,mårúme,mårúme,måmá-wåcu,måmá-wåcu,sengé,sengé,måmá-wåcu
6,0.28041828620616327,1.6903744428203686,1.4099561566142054,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mukúruwanje,mwéne-wâcu,mwéne-måmá-wåcu,muvyâranje,mushikâcu,mukúruwanje,muvyâranje,mushikanje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,mushikâcu,musâzanje,musâzâcu,mwéne-måmá-wåcu,musâzâcu,muvyâranje,muvyâranje,mushikanje,mushikanje,muvyâranje,mushikanje,murúmunanje,muvyâranje,mwéne-dåtá-wåcu,mushikanje,muvyâranje,mushikâcu,mwéne-måmá-wåcu,mushikâcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,mushikanje,muvyâranje,muvyâranje,muvyâranje,mwéne-wâcu,muvyâranje,muvyâranje,musâzâcu,muvyâranje,mwéne-måmá-wåcu,mushikâcu,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,musâzâcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,murúmunanje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,muvyâranje,musâzâcu,mwéne-dåtá-wåcu,måmá-wåcu,dåtá-wåcu,dåtá,mårúme,måmá-wåcu,dåtá-wåcu,måmá-wåcu,mårúme,måmá-wåcu,måmá-wåcu,dåtá-wåcu,dåtá-wåcu,mårúme,dåtá,sengé,mårúme,mårúme,sengé,dåtá-wåcu,måmá-wåcu,måmá,dåtá-wåcu,sengé,sengé,sengé,sengé,mårúme,måmá
7,0.2822016475740641,1.6973862023597341,1.41518455478567,muvyâranje,mwéne-dåtá-wåcu,mushikâcu,muvyâranje,muvyâranje,muvyâranje,mushikâcu,mwéne-måmá-wåcu,mukúruwanje,musâzâcu,muvyâranje,mushikanje,muvyâranje,mwéne-måmá-wåcu,mushikanje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,musâzanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-wâcu,mwéne-måmá-wåcu,muvyâranje,mushikâcu,murúmunanje,mushikanje,musâzâcu,mushikanje,muvyâranje,mukúruwanje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-wâcu,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mushikâcu,mwéne-måmá-wåcu,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mushikanje,muvyâranje,muvyâranje,musâzâcu,mushikanje,mwéne-måmá-wåcu,musâzâcu,musâzâcu,mwéne-måmá-wåcu,mushikâcu,muvyâranje,murúmunanje,muvyâranje,muvyâranje,dåtá-wåcu,sengé,mårúme,dåtá-wåcu,dåtá-wåcu,måmá,måmá-wåcu,mårúme,sengé,måmá-wåcu,dåtá-wåcu,sengé,dåtá-wåcu,sengé,måmá-wåcu,dåtá,måmá,måmá-wåcu,måmá-wåcu,sengé,måmá-wåcu,mårúme,dåtá,mårúme,sengé,mårúme,mårúme,dåtá-wåcu
8,0.3270188808696681,1.712413507594924,1.385394626725256,mwéne-wâcu,musâzâcu,mwéne-dåtá-wåcu,muvyâranje,murúmunanje,mwéne-dåtá-wåcu,mushikanje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mushikanje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,murúmunanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,musâzâcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,mushikâcu,muvyâranje,musâzâcu,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mushikanje,muvyâranje,mushikanje,mwéne-dåtá-wåcu,muvyâranje,mwéne-måmá-wåcu,mushikanje,mwéne-wâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,musâzâcu,muvyâranje,musâzâcu,musâzanje,mushikâcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mushikâcu,mushikâcu,muvyâranje,mukúruwanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mushikâcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mushikanje,mukúruwanje,mwéne-måmá-wåcu,muvyâranje,måmá-wåcu,måmá-wåcu,dåtá-wåcu,dåtá-wåcu,mårúme,sengé,dåtá-wåcu,måmá-wåcu,sengé,mårúme,sengé,dåtá-wåcu,sengé,mårúme,sengé,dåtá-wåcu,måmá-wåcu,dåtá,dåtá,mårúme,måmá-wåcu,dåtá-wåcu,sengé,måmá,måmá,mårúme,måmá-wåcu,mårúme
9,0.3017239915608847,1.6886138758858138,1.386889884324929,mwéne-måmá-wåcu,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,musâzanje,mwéne-måmá-wåcu,mushikâcu,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,mwéne-måmá-wåcu,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mwéne-dåtá-wåcu,murúmunanje,muvyâranje,mushikanje,muvyâranje,mushikâcu,muvyâranje,mushikanje,muvyâranje,mwéne-dåtá-wåcu,murúmunanje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,muvyâranje,mushikanje,mushikanje,muvyâranje,mwéne-dåtá-wåcu,musâzâcu,muvyâranje,mwéne-måmá-wåcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,mushikâcu,mushikâcu,muvyâranje,muvyâranje,mwéne-måmá-wåcu,muvyâranje,mwéne-dåtá-wåcu,muvyâranje,musâzâcu,mwéne-måmá-wåcu,muvyâranje,mwéne-måmá-wåcu,muvyâranje,muvyâranje,mushikanje,mwéne-måmá-wåcu,muvyâranje,mwéne-wâcu,muvyâranje,musâzâcu,musâzâcu,mwéne-dåtá-wåcu,muvyâranje,mwéne-dåtá-wåcu,mwéne-dåtá-wåcu,mukúruwanje,muvyâranje,muvyâranje,mwéne-wâcu,mushikâcu,muvyâranje,mwéne-måmá-wåcu,mwéne-dåtá-wåcu,muvyâranje,musâzâcu,muvyâranje,mushikanje,muvyâranje,muvyâranje,mukúruwanje,dåtá-wåcu,sengé,mårúme,måmá-wåcu,måmá-wåcu,sengé,dåtá-wåcu,dåtá,mårúme,måmá,dåtá-wåcu,måmá-wåcu,dåtá-wåcu,måmá-wåcu,sengé,sengé,mårúme,sengé,dåtá,mårúme,dåtá-wåcu,mårúme,sengé,måmá,mårúme,måmá-wåcu,dåtá-wåcu,måmá-wåcu
