simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMZyS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2297568282599689,1.6258319375920391,1.3960751093320702,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,sitsili,it na'aash,it na'aash,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,it na'aash,alah,ádi,naa'assh,naa'assh,it na'aash,alah,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,naa'assh,sitsili,naa'assh,naa'assh,alah,naa'assh,naa'assh,it na'aash,alah,naa'assh,it na'aash,ádi,naa'assh,naa'assh,ánaai,it na'aash,alah,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,shizhb'k,adá'i,amá,shizhé'é,adá'i,shizhé'é,abízhí,abízhí,shizhé'é,abízhí,adá'i,adá'i,abízhí,adá'i,abízhí,shizhé'é,amá,shimá,shizhb'k,amá,abízhí,shizhé'é,amá,amá,shimá,amá,shizhé'é,adá'i
1,0.24482633695666345,1.6992523030926956,1.4544259661360321,it na'aash,alah,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,ádi,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,ádi,naa'assh,naa'assh,sitsili,naa'assh,naa'assh,naa'assh,naa'assh,alah,alah,it na'aash,naa'assh,alah,ánaai,naa'assh,naa'assh,it na'aash,ánaai,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,alah,naa'assh,it na'aash,sitsili,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,amá,adá'i,shizhé'é,shimá,amá,amá,shizhé'é,adá'i,adá'i,adá'i,abízhí,abízhí,shizhb'k,shimá,adá'i,shizhé'é,shizhé'é,shizhé'é,amá,abízhí,abízhí,shizhé'é,abízhí,amá,amá,shizhb'k,abízhí,adá'i
2,0.20183066622207835,1.6076425999379926,1.4058119337159143,naa'assh,ádi,alah,ánaai,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,ádi,sitsili,alah,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,ánaai,alah,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,alah,naa'assh,sitsili,it na'aash,naa'assh,naa'assh,naa'assh,alah,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,amá,shizhb'k,adá'i,abízhí,abízhí,shizhé'é,abízhí,shizhé'é,adá'i,adá'i,shizhé'é,shizhé'é,adá'i,amá,amá,amá,shizhé'é,shimá,adá'i,amá,abízhí,shizhb'k,abízhí,shizhé'é,adá'i,amá,shimá,abízhí
3,0.1947460084866004,1.6576087146293377,1.4628627061427373,ánaai,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,ánaai,alah,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,sitsili,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,ádi,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,alah,alah,naa'assh,naa'assh,naa'assh,sitsili,naa'assh,alah,ádi,naa'assh,it na'aash,it na'aash,it na'aash,it na'aash,naa'assh,alah,naa'assh,abízhí,amá,abízhí,abízhí,amá,adá'i,shizhb'k,adá'i,shimá,shizhé'é,abízhí,adá'i,abízhí,shizhé'é,amá,shimá,amá,shizhb'k,adá'i,amá,shizhé'é,abízhí,shizhé'é,adá'i,shizhé'é,amá,adá'i,shizhé'é
4,0.20932131085487637,1.703869230798027,1.4945479199431506,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,sitsili,ádi,alah,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,alah,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,it na'aash,alah,ádi,naa'assh,alah,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,alah,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,sitsili,naa'assh,it na'aash,naa'assh,it na'aash,it na'aash,adá'i,shizhé'é,shizhb'k,adá'i,shizhé'é,shimá,abízhí,abízhí,abízhí,shizhé'é,amá,abízhí,adá'i,shizhé'é,adá'i,shizhé'é,abízhí,adá'i,adá'i,amá,amá,amá,amá,abízhí,shizhb'k,amá,shizhé'é,shimá
5,0.4171611200011598,1.6909600862240184,1.2737989662228586,naa'assh,naa'assh,naa'assh,alah,alah,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,ádi,naa'assh,naa'assh,naa'assh,naa'assh,alah,it na'aash,naa'assh,it na'aash,naa'assh,ánaai,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,alah,ánaai,alah,it na'aash,naa'assh,naa'assh,ádi,naa'assh,naa'assh,it na'aash,naa'assh,sitsili,sitsili,naa'assh,naa'assh,naa'assh,it na'aash,shizhb'k,amá,abízhí,amá,shizhé'é,shizhé'é,shizhb'k,adá'i,amá,abízhí,adá'i,shimá,abízhí,adá'i,abízhí,abízhí,adá'i,adá'i,amá,amá,shizhé'é,abízhí,shizhé'é,shizhé'é,shizhé'é,shimá,amá,adá'i
6,0.2635904754098466,1.6549337519479295,1.3913432765380829,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,alah,naa'assh,naa'assh,it na'aash,ádi,alah,naa'assh,alah,alah,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,sitsili,ánaai,naa'assh,naa'assh,ádi,naa'assh,sitsili,it na'aash,it na'aash,it na'aash,alah,naa'assh,adá'i,abízhí,shizhé'é,shimá,adá'i,adá'i,abízhí,amá,adá'i,adá'i,amá,abízhí,shizhé'é,amá,shimá,shizhé'é,shizhé'é,shizhb'k,amá,amá,shizhb'k,shizhé'é,amá,shizhé'é,abízhí,adá'i,abízhí,abízhí
7,0.23740574210775356,1.5893097664679263,1.3519040243601728,it na'aash,it na'aash,naa'assh,naa'assh,sitsili,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,it na'aash,ádi,ánaai,naa'assh,alah,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,ánaai,naa'assh,it na'aash,naa'assh,naa'assh,sitsili,alah,naa'assh,naa'assh,alah,ádi,it na'aash,alah,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,alah,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,shizhé'é,shimá,shizhé'é,shizhé'é,adá'i,shizhé'é,shizhb'k,adá'i,shizhé'é,abízhí,amá,adá'i,abízhí,shizhb'k,shizhé'é,abízhí,adá'i,abízhí,adá'i,amá,abízhí,amá,abízhí,shimá,amá,adá'i,amá,amá
8,0.22081570386705507,1.6478545670668492,1.4270388631997941,naa'assh,ádi,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,ádi,it na'aash,alah,naa'assh,naa'assh,it na'aash,alah,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,it na'aash,alah,naa'assh,naa'assh,naa'assh,it na'aash,alah,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,sitsili,naa'assh,it na'aash,naa'assh,naa'assh,naa'assh,it na'aash,it na'aash,naa'assh,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,alah,it na'aash,naa'assh,sitsili,amá,shimá,shizhé'é,shizhé'é,amá,shizhb'k,shizhé'é,abízhí,shizhé'é,amá,adá'i,shizhé'é,amá,adá'i,abízhí,adá'i,shizhé'é,shimá,adá'i,amá,abízhí,abízhí,adá'i,abízhí,amá,abízhí,adá'i,shizhb'k
9,0.26256157185375795,1.6362431385196663,1.3736815666659083,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,ánaai,naa'assh,naa'assh,naa'assh,naa'assh,it na'aash,naa'assh,alah,it na'aash,alah,it na'aash,ádi,naa'assh,naa'assh,naa'assh,it na'aash,alah,naa'assh,naa'assh,sitsili,naa'assh,naa'assh,naa'assh,naa'assh,naa'assh,ádi,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,sitsili,naa'assh,naa'assh,alah,ánaai,naa'assh,alah,naa'assh,naa'assh,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,it na'aash,it na'aash,it na'aash,naa'assh,naa'assh,it na'aash,naa'assh,adá'i,shizhé'é,amá,shizhé'é,abízhí,amá,amá,abízhí,shimá,shimá,adá'i,adá'i,abízhí,abízhí,shizhé'é,amá,abízhí,adá'i,amá,adá'i,shizhé'é,shizhb'k,adá'i,abízhí,shizhé'é,shizhb'k,shizhé'é,amá
