simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.6172257791807041,1.366158847569202,0.7489330683884978,nʸa,nʸe nʸa,nʸa,nʸa,nʸe papa,nʸe papa,nʸa,nʸe nʸa,nʸe nʸa,nʸe nʸa,papa,papa,nʸebʸa,nʸabako,tidʸa,tidʸa,nʸabako,nʸeya,nʸeya,tidʸa,tidʸa,nʸabako,nʸeya,nʸeya,tidʸa,nʸeya,nisʸa,tidʸa,nʸabako,nʸeya,tidʸa,tidʸa,nʸabako,tidʸa,nʸabako,tidʸa,tidʸa,nʸebʸa,tidʸa,nisʸa
1,0.038241035578812976,0.6931471805599453,0.6549061449811323,nʸa,nʸa,nʸa,nʸe papa,nʸa,nʸe nʸa,papa,nʸe nʸa,nʸe nʸa,nʸe papa,papa,nʸe nʸa,tidʸa,nʸabako,nʸebʸa,tidʸa,tidʸa,nʸabako,nʸabako,nisʸa,tidʸa,nisʸa,tidʸa,nʸeya,nʸeya,nʸeya,tidʸa,nʸabako,nʸabako,tidʸa,tidʸa,tidʸa,nʸeya,nʸeya,tidʸa,nʸeya,nʸabako,nʸebʸa,tidʸa,tidʸa
2,0.3526004839175112,0.9502705392332347,0.5976700553157235,nʸe nʸa,nʸe papa,papa,nʸe nʸa,nʸa,papa,nʸe nʸa,nʸe nʸa,nʸa,nʸa,nʸa,nʸe papa,tidʸa,tidʸa,nʸebʸa,tidʸa,nʸeya,nʸeya,nʸeya,tidʸa,nʸabako,tidʸa,tidʸa,nʸabako,nʸabako,tidʸa,nʸeya,nʸabako,tidʸa,nʸeya,tidʸa,nisʸa,nʸeya,tidʸa,tidʸa,tidʸa,nisʸa,nʸabako,nʸabako,nʸebʸa
3,0.042812006171309924,0.5004024235381879,0.45759041736687794,nʸe nʸa,nʸa,nʸe papa,nʸa,nʸe nʸa,nʸe nʸa,nʸa,papa,nʸa,nʸe nʸa,nʸe papa,papa,tidʸa,tidʸa,nʸabako,tidʸa,nʸabako,tidʸa,tidʸa,tidʸa,nʸabako,nʸeya,tidʸa,tidʸa,nʸabako,nʸeya,nʸeya,tidʸa,nʸebʸa,nʸeya,nisʸa,nisʸa,tidʸa,tidʸa,nʸeya,nʸeya,nʸabako,nʸebʸa,tidʸa,nʸabako
4,0.5775345417650346,0.9502705392332347,0.3727359974682,nʸe nʸa,nʸe papa,papa,nʸe nʸa,papa,nʸe nʸa,nʸa,nʸe nʸa,nʸa,nʸe papa,nʸa,nʸa,tidʸa,tidʸa,nʸeya,nʸabako,nʸeya,nʸabako,nisʸa,tidʸa,tidʸa,tidʸa,tidʸa,nʸeya,tidʸa,tidʸa,nʸebʸa,nʸeya,nʸabako,tidʸa,tidʸa,nʸabako,tidʸa,nisʸa,nʸeya,nʸeya,nʸabako,nʸabako,tidʸa,nʸebʸa
5,0.296814596088959,1.366158847569202,1.069344251480243,nʸa,nʸe nʸa,nʸa,papa,nʸe nʸa,nʸe nʸa,nʸe nʸa,nʸe papa,papa,nʸe papa,nʸa,nʸa,nʸabako,tidʸa,tidʸa,nʸebʸa,nʸabako,tidʸa,tidʸa,nʸeya,tidʸa,nisʸa,tidʸa,tidʸa,nʸabako,tidʸa,nʸebʸa,nʸeya,tidʸa,nisʸa,nʸeya,nʸeya,tidʸa,tidʸa,nʸabako,nʸeya,nʸeya,nʸabako,tidʸa,nʸabako
6,0.364679112308097,1.0888999753452238,0.7242208630371267,nʸa,nʸa,nʸe nʸa,nʸa,nʸe nʸa,nʸe papa,nʸe nʸa,nʸe nʸa,nʸe papa,nʸa,papa,papa,nisʸa,nʸeya,nʸeya,tidʸa,tidʸa,nʸabako,nʸeya,tidʸa,nisʸa,nʸeya,tidʸa,nʸebʸa,tidʸa,tidʸa,tidʸa,tidʸa,nʸeya,nʸabako,nʸeya,tidʸa,nʸabako,tidʸa,nʸabako,nʸabako,nʸebʸa,tidʸa,tidʸa,nʸabako
7,0.03824103557881309,0.6931471805599453,0.6549061449811322,nʸa,nʸe nʸa,nʸe papa,nʸa,nʸe nʸa,nʸe nʸa,nʸe papa,papa,nʸa,papa,nʸa,nʸe nʸa,nʸeya,tidʸa,tidʸa,nʸeya,tidʸa,nʸabako,tidʸa,nʸeya,nʸebʸa,nisʸa,nʸabako,nʸeya,nʸabako,tidʸa,nʸeya,tidʸa,nʸabako,nʸabako,tidʸa,tidʸa,nʸebʸa,nʸabako,tidʸa,tidʸa,tidʸa,nʸeya,nisʸa,tidʸa
8,0.06931471805599454,0.6931471805599453,0.6238324625039507,nʸe nʸa,papa,nʸa,nʸa,nʸe papa,nʸe nʸa,papa,nʸe papa,nʸe nʸa,nʸe nʸa,nʸa,nʸa,nʸeya,tidʸa,nʸebʸa,nʸabako,nʸabako,nʸeya,nʸabako,nʸabako,tidʸa,nʸebʸa,nʸabako,tidʸa,nʸeya,tidʸa,nʸeya,tidʸa,tidʸa,tidʸa,tidʸa,nisʸa,nisʸa,tidʸa,tidʸa,tidʸa,nʸeya,nʸeya,nʸabako,tidʸa
9,0.36612931414495337,0.6730116670092565,0.30688235286430315,nʸe nʸa,nʸe nʸa,nʸe papa,nʸa,nʸa,nʸa,nʸe nʸa,nʸa,nʸe nʸa,papa,nʸe papa,papa,tidʸa,tidʸa,nʸebʸa,tidʸa,nisʸa,tidʸa,tidʸa,nʸebʸa,tidʸa,nʸabako,tidʸa,nisʸa,nʸeya,nʸabako,nʸeya,nʸeya,nʸeya,tidʸa,tidʸa,nʸabako,nʸabako,nʸabako,nʸeya,tidʸa,nʸabako,tidʸa,tidʸa,nʸeya
