simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFBeS,mFByS,mFBeD,mFByD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFBeS,fFByS,fFBeD,fFByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.5339226144829139,1.8367471701333127,1.3028245556503988,ange,mandāri,mandāri,mandāri,marriyo,dādā,mandāri,marriyō,tamō,marriyō,marriyo,mandāri,marriyo,marriyo,marriyo,hellar,mandāri,marriyo,tamō,marriyō,mandāri,mandāri,marriyō,mandāri,mandāri,dada,hellār,marriyo,hellar,marriyō,marriyo,marriyō,mandāri,hellār,akkā,akkā,tamō,dada,mandāri,ange,mandāri,mandāri,marriyo,mandāri,mandāri,mandāri,marriyo,marriyō,mandāri,marriyō,tamō,mandāri,marriyō,marriyō,mandāri,kākō,kuchi,peri,peri,ātō,pepi,ātō,māmā,ātō,māmā,ātō,māmā,talugh,talugh,māmā,tāppe,ātō,pepi,kākō,tāppe,māmā,māmā,ātō,kuchi
1,0.47417452640075775,1.801121194664638,1.3269466682638802,marriyō,marriyo,mandāri,dada,marriyō,marriyō,hellar,marriyo,ange,marriyo,mandāri,marriyo,marriyo,marriyō,mandāri,tamō,marriyo,mandāri,hellār,akkā,ange,dādā,akkā,mandāri,mandāri,marriyō,mandāri,marriyō,mandāri,marriyō,mandāri,mandāri,marriyō,mandāri,mandāri,mandāri,marriyo,tamō,mandāri,marriyō,hellar,mandāri,marriyo,hellār,dada,mandāri,mandāri,marriyo,marriyō,mandāri,tamō,marriyo,mandāri,mandāri,tamō,pepi,ātō,māmā,peri,talugh,kuchi,ātō,māmā,kākō,talugh,ātō,tāppe,māmā,māmā,ātō,pepi,peri,kuchi,māmā,māmā,tāppe,kākō,ātō,ātō
2,0.5251944475715216,1.9703800026374987,1.4451855550659771,marriyō,mandāri,mandāri,marriyo,mandāri,mandāri,marriyō,mandāri,ange,mandāri,marriyo,tamō,mandāri,marriyō,mandāri,dada,marriyo,mandāri,marriyo,tamō,marriyō,marriyō,dada,marriyo,mandāri,akkā,hellar,hellār,hellar,ange,mandāri,marriyō,marriyō,marriyo,marriyō,mandāri,tamō,mandāri,mandāri,mandāri,mandāri,mandāri,marriyo,dādā,mandāri,tamō,mandāri,marriyō,mandāri,marriyō,marriyo,akkā,marriyo,hellār,marriyo,māmā,kākō,peri,ātō,ātō,ātō,ātō,māmā,māmā,māmā,kuchi,tāppe,māmā,kuchi,talugh,kākō,peri,talugh,pepi,ātō,tāppe,ātō,māmā,pepi
3,0.5799037014076269,1.9136208988318295,1.3337171974242026,dada,mandāri,tamō,hellār,mandāri,mandāri,tamō,mandāri,hellar,mandāri,marriyō,mandāri,mandāri,akkā,marriyō,marriyō,marriyo,hellār,mandāri,tamō,marriyō,mandāri,marriyo,mandāri,mandāri,marriyō,mandāri,marriyo,dada,marriyo,hellar,marriyō,ange,mandāri,mandāri,dādā,marriyo,marriyō,ange,mandāri,marriyō,mandāri,mandāri,marriyo,mandāri,marriyō,marriyo,marriyo,mandāri,mandāri,tamō,marriyō,marriyo,marriyo,akkā,pepi,māmā,talugh,pepi,ātō,ātō,kuchi,māmā,kuchi,tāppe,talugh,peri,ātō,māmā,ātō,ātō,māmā,māmā,māmā,kākō,kākō,tāppe,peri,ātō
4,0.41901626147802173,1.528883054534868,1.1098667930568462,marriyō,mandāri,mandāri,marriyō,marriyo,marriyo,ange,marriyo,mandāri,tamō,mandāri,marriyō,mandāri,mandāri,tamō,marriyō,mandāri,marriyō,mandāri,marriyo,marriyō,mandāri,akkā,hellār,ange,marriyō,marriyō,marriyo,marriyo,hellar,marriyō,marriyo,dada,hellar,mandāri,mandāri,hellār,mandāri,marriyō,mandāri,mandāri,marriyo,mandāri,dada,mandāri,marriyo,tamō,mandāri,tamō,akkā,marriyo,mandāri,mandāri,dādā,mandāri,ātō,māmā,māmā,ātō,pepi,kākō,kākō,māmā,māmā,māmā,tāppe,pepi,ātō,peri,ātō,tāppe,māmā,peri,talugh,talugh,ātō,kuchi,kuchi,ātō
5,0.48343347474635157,1.9855759009034797,1.5021424261571281,mandāri,marriyō,marriyō,mandāri,mandāri,mandāri,ange,marriyo,akkā,mandāri,ange,mandāri,marriyo,mandāri,hellar,tamō,tamō,marriyō,mandāri,hellar,mandāri,tamō,hellār,marriyo,tamō,mandāri,marriyō,marriyō,marriyo,dādā,marriyo,marriyō,marriyo,mandāri,marriyō,akkā,mandāri,mandāri,dada,marriyō,mandāri,mandāri,marriyo,marriyo,mandāri,mandāri,hellār,dada,mandāri,marriyo,marriyō,mandāri,marriyo,mandāri,marriyō,kuchi,pepi,ātō,māmā,ātō,peri,ātō,māmā,māmā,tāppe,kākō,māmā,kākō,ātō,pepi,talugh,māmā,kuchi,māmā,ātō,tāppe,peri,talugh,ātō
6,0.43558879638431125,1.811618855543448,1.3760300591591368,marriyo,marriyō,mandāri,tamō,marriyo,mandāri,mandāri,marriyō,hellār,marriyō,mandāri,dada,marriyō,marriyo,marriyō,ange,mandāri,mandāri,marriyō,ange,tamō,mandāri,marriyō,marriyō,dādā,marriyo,akkā,marriyo,mandāri,tamō,mandāri,tamō,dada,mandāri,mandāri,marriyo,hellār,mandāri,mandāri,marriyo,marriyō,mandāri,marriyo,mandāri,mandāri,marriyō,akkā,mandāri,mandāri,hellar,marriyo,hellar,mandāri,mandāri,marriyo,ātō,tāppe,māmā,māmā,talugh,peri,māmā,ātō,pepi,māmā,kuchi,ātō,kuchi,māmā,ātō,kākō,pepi,māmā,tāppe,ātō,peri,kākō,ātō,talugh
7,0.6646534173178851,1.8671352118608233,1.2024817945429382,hellar,hellar,marriyo,mandāri,marriyo,mandāri,marriyō,marriyo,hellār,marriyo,mandāri,marriyō,mandāri,marriyō,mandāri,ange,mandāri,dādā,mandāri,mandāri,marriyo,marriyo,mandāri,mandāri,mandāri,mandāri,hellār,marriyo,tamō,mandāri,marriyō,tamō,marriyo,mandāri,tamō,marriyō,mandāri,mandāri,mandāri,marriyo,dada,dada,tamō,mandāri,marriyō,mandāri,marriyō,akkā,marriyō,ange,marriyō,akkā,marriyō,mandāri,marriyo,ātō,kākō,ātō,māmā,māmā,ātō,tāppe,peri,peri,māmā,talugh,kākō,ātō,kuchi,māmā,kuchi,ātō,māmā,ātō,pepi,tāppe,māmā,pepi,talugh
8,0.5627514848826429,1.6847895191960978,1.1220380343134548,mandāri,mandāri,mandāri,marriyo,mandāri,marriyō,marriyo,tamō,marriyō,mandāri,mandāri,marriyo,dādā,mandāri,hellar,hellār,dada,marriyo,marriyō,tamō,mandāri,marriyo,mandāri,hellār,hellar,ange,marriyō,mandāri,ange,akkā,mandāri,akkā,dada,marriyo,mandāri,mandāri,mandāri,mandāri,marriyo,mandāri,marriyō,tamō,marriyō,marriyo,mandāri,marriyō,mandāri,marriyo,marriyō,marriyō,mandāri,mandāri,marriyō,tamō,marriyo,pepi,pepi,talugh,māmā,peri,ātō,ātō,tāppe,ātō,tāppe,kuchi,māmā,māmā,ātō,māmā,talugh,kākō,ātō,peri,ātō,māmā,māmā,kākō,kuchi
9,0.5871372386180302,1.7729917831739574,1.1858545445559272,tamō,mandāri,ange,mandāri,mandāri,hellar,mandāri,ange,mandāri,marriyō,mandāri,marriyo,hellār,mandāri,marriyō,dada,mandāri,marriyō,marriyo,marriyō,marriyo,mandāri,hellar,akkā,mandāri,mandāri,marriyō,marriyo,akkā,mandāri,hellār,marriyō,marriyo,marriyo,mandāri,mandāri,mandāri,tamō,tamō,marriyō,mandāri,marriyō,mandāri,dada,marriyō,dādā,mandāri,tamō,marriyo,marriyo,mandāri,marriyo,marriyo,marriyō,mandāri,peri,māmā,ātō,pepi,māmā,kuchi,kuchi,ātō,māmā,ātō,tāppe,māmā,tāppe,māmā,ātō,kākō,talugh,kākō,māmā,pepi,ātō,peri,talugh,ātō
