simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.02055228794011732,0.9032885266470554,0.8827362387069381,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,tama,tama,tubu,tina,tubu,tubu,tina,tubu,tubu,tubu,tubu,tubu
1,0.049156559621266416,0.8260288829215586,0.7768723233002922,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tina,tina,tubu,tama,tubu,tubu,tubu,tubu,tubu,tama,tubu,tubu
2,1.1102230246251565e-16,0.8157843798568941,0.815784379856894,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,tubu,tubu,tubu,tina,tubu,tubu,tubu,tina,tama,tama,tubu,tubu
3,0.07787956939064933,0.7777899315559316,0.6999103621652822,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tubu,tubu,tubu,tubu,tama,tubu,tina,tubu,tubu,tina,tama,tubu
4,0.10928660506449805,0.9032885266470554,0.7940019215825573,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tina,tubu,tubu,tama,tubu,tubu,tubu,tubu,tubu,tubu,tina,tama
5,0.0187001635350732,0.7777899315559316,0.7590897680208584,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,tama,tubu,tubu,tubu,tubu,tubu,tubu,tubu,tina,tama,tubu,tina
6,0.020969313670441525,0.8260288829215586,0.8050595692511171,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tina,tina,tubu,tama,tubu,tubu,tubu,tubu,tubu,tama,tubu,tubu
7,0.03287299701968893,0.9032885266470554,0.8704155296273665,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tama,tubu,tubu,tina,tubu,tubu,tubu,tubu,tama,tubu,tubu,tina
8,0.08153815603730674,0.7777899315559316,0.6962517755186248,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tama,tubu,tubu,tubu,tama,tubu,tubu,tubu,tubu,tina,tubu,tina
9,1.1102230246251565e-16,0.8629119236253215,0.8629119236253214,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tuga,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tahi,hogo,hogo,hogo,hogo,hogo,hogo,hogo,tubu,tubu,tina,tama,tubu,tubu,tubu,tubu,tubu,tina,tama,tubu
