simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFBeD,mFZeS,mMBeS,mMByS,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFBeD,fFZeS,fMBeS,fMByS,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeB,fMyB,fMeZ,fMyZ
0,0.10788077716941769,1.0397207708399179,0.9318399936705002,ayǒng,ayǒng adei,ayǒng,knai,adei,adei,ayǒng,adei,adei,amai,ayǒng,adei,adǎm adei,adei,knai,adei,ayǒng,amai,ayǒng,knai,adei,knai,amai,ayǒng,amai,aprǒng êkei,mneh,aprǒng êkei,ama,amǐ,aprǒng mniê,mneh,amǐ,amiêt êkei,neh,ama,awa êkei,aprǒng mniê,amiêt êkei,neh,awa êkei
1,0.13625744433957987,1.0397207708399179,0.903463326500338,adei,adǎm adei,adei,amai,adei,ayǒng adei,adei,adei,ayǒng,ayǒng,adei,adei,knai,knai,knai,amai,ayǒng,ayǒng,adei,knai,amai,amai,ayǒng,ayǒng,ayǒng,amiêt êkei,aprǒng êkei,amiêt êkei,ama,awa êkei,aprǒng mniê,mneh,aprǒng mniê,amǐ,neh,amǐ,aprǒng êkei,ama,neh,awa êkei,mneh
2,0.28116757230940403,1.3862943611198906,1.1051267888104865,ayǒng adei,adei,ayǒng,adei,knai,ayǒng,ayǒng,amai,adei,ayǒng,amai,ayǒng,adei,adei,adei,knai,ayǒng,adei,adǎm adei,knai,amai,knai,adei,ayǒng,amai,aprǒng mniê,awa êkei,ama,amiêt êkei,aprǒng êkei,mneh,amiêt êkei,mneh,neh,amǐ,amǐ,aprǒng mniê,awa êkei,aprǒng êkei,neh,ama
3,0.05394038858470884,1.0397207708399179,0.985780382255209,adei,adei,adei,adǎm adei,ayǒng,knai,ayǒng,knai,ayǒng,amai,amai,ayǒng,knai,adei,ayǒng,ayǒng,adei,amai,adei,adei,ayǒng adei,adei,ayǒng,amai,knai,amiêt êkei,mneh,mneh,aprǒng mniê,ama,amǐ,aprǒng êkei,ama,amǐ,aprǒng êkei,awa êkei,neh,awa êkei,amiêt êkei,aprǒng mniê,neh
4,0.2157615543388356,1.0397207708399179,0.8239592165010823,adǎm adei,amai,adei,ayǒng,adei,ayǒng,ayǒng,adei,ayǒng,knai,ayǒng,knai,amai,adei,amai,amai,ayǒng,adei,adei,ayǒng adei,knai,knai,adei,ayǒng,adei,amǐ,mneh,awa êkei,awa êkei,neh,amiêt êkei,amiêt êkei,mneh,amǐ,ama,aprǒng mniê,aprǒng mniê,aprǒng êkei,aprǒng êkei,ama,neh
5,0.238692813110555,1.3862943611198906,1.1476015480093356,knai,ayǒng,adei,amai,amai,adei,adei,adei,ayǒng,adei,amai,knai,ayǒng,ayǒng adei,ayǒng,ayǒng,knai,adei,ayǒng,amai,knai,adǎm adei,adei,ayǒng,adei,aprǒng mniê,awa êkei,neh,ama,neh,amǐ,ama,aprǒng mniê,aprǒng êkei,amiêt êkei,amiêt êkei,amǐ,mneh,aprǒng êkei,awa êkei,mneh
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,adei,knai,ayǒng,adei,amai,knai,ayǒng,ayǒng,adei,knai,amai,amai,adei,adei,ayǒng,ayǒng,adei,ayǒng adei,knai,ayǒng,adei,adǎm adei,ayǒng,adei,amai,mneh,amǐ,mneh,neh,aprǒng êkei,aprǒng êkei,ama,ama,amiêt êkei,awa êkei,aprǒng mniê,awa êkei,neh,amǐ,aprǒng mniê,amiêt êkei
7,0.41197960825054103,1.3862943611198906,0.9743147528693495,knai,ayǒng,adei,ayǒng adei,ayǒng,ayǒng,ayǒng,amai,adei,knai,ayǒng,adei,amai,adǎm adei,adei,adei,adei,amai,knai,adei,ayǒng,ayǒng,amai,adei,knai,mneh,aprǒng mniê,awa êkei,neh,ama,amiêt êkei,amǐ,ama,aprǒng êkei,aprǒng mniê,aprǒng êkei,awa êkei,mneh,amiêt êkei,amǐ,neh
8,0.6931471805599453,1.3862943611198906,0.6931471805599453,adei,adei,ayǒng,ayǒng,knai,knai,adǎm adei,ayǒng,amai,amai,ayǒng,adei,amai,adei,ayǒng,ayǒng adei,adei,knai,amai,ayǒng,knai,adei,adei,adei,ayǒng,aprǒng mniê,awa êkei,mneh,amiêt êkei,aprǒng mniê,neh,awa êkei,aprǒng êkei,ama,mneh,neh,amiêt êkei,aprǒng êkei,amǐ,ama,amǐ
9,0.41197960825054103,1.3862943611198906,0.9743147528693495,ayǒng,ayǒng,knai,ayǒng,ayǒng adei,ayǒng,adei,knai,adei,adei,adei,adǎm adei,knai,knai,amai,adei,amai,adei,adei,ayǒng,amai,ayǒng,adei,ayǒng,amai,mneh,neh,aprǒng mniê,aprǒng êkei,awa êkei,neh,awa êkei,amiêt êkei,mneh,amǐ,ama,aprǒng êkei,aprǒng mniê,amiêt êkei,ama,amǐ
