simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.16365597794713427,1.1115305443848247,0.9478745664376904,fonoe,fonoe mepin,remo,fonoe,fonoe mepin,fonoe mepin,fteno,fonoe mepin,reno towioi,fonoe,fonoe,fonoe,fonoe,fonoe mepin,fteno,teno tawioi,fonoe,teno tatenloi,fonoe,fonoe,fonoe mepin,fonoe,reno tatenloi,fonoe mepin,fonoe,fonoe mepin,remo,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,toea,toea,toea,baba,baba,baba,toea,mama,baba,baba,nene,baba,baba,nene,toea,toea,toea,baba,toea
1,0.17292487452888783,1.114352137506736,0.9414272629778482,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,teno tatenloi,fonoe,reno towioi,fonoe,fonoe,fonoe mepin,fonoe mepin,fteno,fonoe,fonoe mepin,fonoe,fteno,fonoe,reno tatenloi,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe,remo,fonoe mepin,teno tawioi,fonoe,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe,remo,toea,baba,baba,baba,nene,baba,mama,toea,toea,toea,baba,toea,toea,toea,baba,baba,nene,baba,toea
2,0.1921885157691089,1.1357765989630917,0.9435880831939828,fonoe,fonoe mepin,reno towioi,fonoe mepin,fonoe mepin,fonoe,fonoe,fonoe mepin,teno tatenloi,fonoe mepin,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe mepin,remo,fteno,fonoe mepin,fonoe,fonoe mepin,remo,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fteno,teno tawioi,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,reno tatenloi,fonoe mepin,fonoe,nene,baba,baba,toea,baba,mama,baba,toea,toea,toea,toea,nene,toea,baba,baba,toea,baba,toea,baba
3,0.15091750492494738,1.0600392188093946,0.9091217138844472,reno tatenloi,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe mepin,fonoe mepin,reno towioi,fonoe mepin,remo,fonoe mepin,fonoe mepin,fonoe,teno tatenloi,remo,fonoe,fonoe mepin,fonoe mepin,fteno,fonoe,fonoe mepin,fonoe mepin,teno tawioi,fonoe,fonoe,fonoe,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fteno,baba,toea,toea,toea,nene,baba,mama,toea,baba,toea,toea,baba,nene,baba,baba,baba,baba,toea,toea
4,0.19873615257710486,1.115760575521792,0.9170244229446872,reno tatenloi,fonoe mepin,fonoe,fonoe,fteno,fonoe,fonoe,fonoe,fonoe,fonoe mepin,fonoe,teno tawioi,fonoe mepin,fonoe mepin,teno tatenloi,fonoe,fonoe mepin,fonoe mepin,remo,fonoe mepin,fonoe,remo,fonoe,fonoe,fonoe mepin,fonoe,fonoe,fteno,reno towioi,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,baba,baba,toea,toea,baba,toea,nene,toea,toea,baba,baba,toea,baba,baba,toea,baba,toea,nene,mama
5,0.16065274430678045,1.114352137506736,0.9536993931999556,fonoe,fonoe,teno tawioi,fonoe,fonoe mepin,fonoe mepin,fonoe,fteno,reno towioi,fonoe,fonoe,fonoe,fteno,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe,remo,teno tatenloi,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,reno tatenloi,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,remo,baba,toea,toea,baba,baba,nene,baba,baba,baba,baba,toea,nene,baba,toea,mama,toea,toea,toea,toea
6,0.17401940191930887,1.0271160721734558,0.8530966702541469,fteno,fonoe mepin,teno tatenloi,fonoe,fonoe,fonoe mepin,fteno,fonoe,fonoe,fonoe mepin,teno tawioi,remo,fonoe mepin,reno tatenloi,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe,reno towioi,fonoe,remo,fonoe,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe,fonoe,toea,baba,toea,toea,baba,baba,nene,baba,baba,baba,toea,baba,mama,baba,toea,toea,toea,toea,nene
7,0.1804013615269463,1.0506988331878464,0.8702974716609001,fonoe,fonoe,fonoe mepin,fonoe,fteno,fonoe,fonoe,fonoe mepin,fonoe mepin,remo,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe,fonoe mepin,reno tatenloi,fonoe mepin,fonoe,teno tatenloi,fonoe,fonoe,fonoe,fonoe mepin,fonoe,fteno,fonoe,teno tawioi,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,remo,fonoe mepin,reno towioi,fonoe mepin,toea,nene,baba,baba,nene,toea,toea,baba,baba,baba,baba,toea,mama,baba,toea,toea,toea,toea,baba
8,0.20164369060434106,1.1357765989630917,0.9341329083587506,fonoe mepin,fonoe,fonoe mepin,remo,fonoe,fteno,teno tatenloi,fonoe mepin,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe,fonoe,fonoe,fonoe mepin,reno tatenloi,fonoe,fonoe,teno tawioi,remo,fonoe,fteno,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe mepin,reno towioi,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe,baba,baba,nene,toea,baba,toea,baba,toea,baba,toea,mama,baba,toea,nene,toea,baba,baba,toea,toea
9,0.3628984683083787,1.114352137506736,0.7514536691983573,remo,fteno,fonoe,fonoe,remo,fonoe mepin,fonoe,fonoe,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe,reno towioi,fonoe mepin,teno tatenloi,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,fonoe mepin,fonoe mepin,fonoe mepin,fonoe,teno tawioi,fonoe mepin,fonoe,reno tatenloi,fonoe mepin,fonoe,fonoe,fonoe mepin,fteno,fonoe mepin,fonoe,fonoe mepin,fonoe,fonoe,toea,baba,baba,nene,toea,toea,toea,mama,nene,toea,baba,baba,toea,toea,baba,baba,toea,baba,baba
