simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mMBS,mMBD,fMBS,fMBD,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,fFeZ,fFyZ,fMeB
0,0.3597678370191426,1.3040114826148388,0.9442436455956962,ngil-iyugalk,ngil-iyugalk,garli,ngil-iyugalk,n-ani,n-iminy,ngil-angil,ngil-iyugalk,n-ani,walykga,ngil-iyugalk,n-ani,n-iminy,ngil-angil,walykga,walykga,ngil-iyugalk,ngil-iyugalk,n-iminy,walykga,ngil-iyugalk,ngil-iyugalk,n-ani,n-iminy,n-iminy,n-ani,ngil-iyugalk,n-awi,ngil-ngany,ngil-ngany,gagi,giji,ngil-ngany,gagi,ngil-ngany,n-awi,giji
1,0.220577731128769,1.0296530140645737,0.8090752829358047,n-ani,walykga,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-iyugalk,ngil-angil,ngil-iyugalk,ngil-iyugalk,walykga,n-iminy,n-ani,ngil-iyugalk,ngil-iyugalk,n-ani,n-iminy,ngil-iyugalk,ngil-iyugalk,garli,ngil-angil,n-iminy,walykga,ngil-iyugalk,n-ani,walykga,n-iminy,n-iminy,ngil-ngany,giji,ngil-ngany,gagi,n-awi,ngil-ngany,giji,gagi,n-awi,ngil-ngany
2,0.13807448754178953,0.9985793315873921,0.8605048440456026,walykga,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-iyugalk,n-iminy,n-ani,walykga,ngil-iyugalk,ngil-angil,n-ani,walykga,n-iminy,ngil-iyugalk,ngil-iyugalk,n-iminy,walykga,garli,ngil-iyugalk,n-ani,ngil-angil,ngil-iyugalk,ngil-iyugalk,n-iminy,n-iminy,ngil-iyugalk,n-ani,ngil-ngany,ngil-ngany,giji,ngil-ngany,n-awi,gagi,gagi,n-awi,ngil-ngany,giji
3,0.22694492946276457,0.9985793315873921,0.7716344021246275,ngil-iyugalk,ngil-iyugalk,n-iminy,n-ani,n-ani,walykga,ngil-angil,walykga,ngil-iyugalk,ngil-iyugalk,ngil-iyugalk,n-ani,n-iminy,n-iminy,n-iminy,ngil-iyugalk,ngil-iyugalk,ngil-iyugalk,n-ani,walykga,ngil-iyugalk,n-iminy,ngil-angil,ngil-iyugalk,garli,n-ani,walykga,n-awi,giji,giji,ngil-ngany,gagi,ngil-ngany,ngil-ngany,n-awi,gagi,ngil-ngany
4,0.4650675128412727,1.2968441295132072,0.8317766166719345,ngil-iyugalk,ngil-iyugalk,n-ani,walykga,n-iminy,ngil-angil,n-iminy,ngil-iyugalk,n-ani,ngil-iyugalk,n-ani,garli,walykga,n-iminy,ngil-iyugalk,n-iminy,ngil-iyugalk,ngil-iyugalk,n-ani,walykga,ngil-iyugalk,n-iminy,ngil-angil,ngil-iyugalk,walykga,ngil-iyugalk,n-ani,giji,n-awi,ngil-ngany,ngil-ngany,gagi,ngil-ngany,gagi,ngil-ngany,giji,n-awi
5,0.5464608592878527,1.296844129513207,0.7503832702253542,ngil-angil,n-iminy,ngil-iyugalk,n-iminy,walykga,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-iyugalk,ngil-iyugalk,ngil-iyugalk,walykga,n-ani,n-iminy,walykga,n-ani,ngil-iyugalk,n-iminy,ngil-iyugalk,n-iminy,garli,ngil-angil,ngil-iyugalk,ngil-iyugalk,walykga,n-ani,n-ani,giji,ngil-ngany,gagi,gagi,ngil-ngany,ngil-ngany,n-awi,n-awi,ngil-ngany,giji
6,0.10932141905261272,1.0888999753452238,0.979578556292611,walykga,n-iminy,n-ani,ngil-iyugalk,n-ani,ngil-iyugalk,walykga,n-iminy,ngil-iyugalk,ngil-iyugalk,ngil-angil,ngil-iyugalk,n-iminy,n-iminy,ngil-iyugalk,garli,walykga,ngil-iyugalk,n-ani,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-angil,ngil-iyugalk,n-ani,n-iminy,walykga,ngil-ngany,gagi,giji,giji,ngil-ngany,ngil-ngany,ngil-ngany,n-awi,n-awi,gagi
7,0.5182875804843843,1.2968441295132072,0.7785565490288229,n-ani,walykga,ngil-iyugalk,walykga,ngil-angil,ngil-iyugalk,n-iminy,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-iyugalk,n-iminy,garli,n-iminy,ngil-angil,ngil-iyugalk,n-iminy,n-ani,n-ani,ngil-iyugalk,walykga,n-ani,ngil-iyugalk,n-iminy,walykga,ngil-iyugalk,ngil-iyugalk,gagi,n-awi,giji,giji,gagi,ngil-ngany,n-awi,ngil-ngany,ngil-ngany,ngil-ngany
8,0.4193493817880647,1.237597168232557,0.8182477864444924,walykga,n-iminy,n-iminy,n-iminy,n-ani,ngil-angil,walykga,ngil-iyugalk,ngil-iyugalk,ngil-iyugalk,n-ani,garli,n-ani,ngil-iyugalk,n-iminy,walykga,walykga,n-ani,ngil-iyugalk,ngil-iyugalk,n-ani,ngil-iyugalk,ngil-iyugalk,ngil-angil,ngil-iyugalk,n-iminy,ngil-iyugalk,ngil-ngany,gagi,n-awi,ngil-ngany,ngil-ngany,n-awi,giji,gagi,giji,ngil-ngany
9,0.2479508551646017,1.0888999753452238,0.8409491201806221,walykga,ngil-iyugalk,n-ani,ngil-iyugalk,garli,walykga,ngil-iyugalk,n-ani,n-iminy,ngil-iyugalk,n-iminy,n-ani,ngil-iyugalk,ngil-angil,n-iminy,ngil-iyugalk,ngil-angil,n-iminy,ngil-iyugalk,n-ani,ngil-iyugalk,walykga,ngil-iyugalk,ngil-iyugalk,n-ani,walykga,n-iminy,gagi,ngil-ngany,giji,giji,ngil-ngany,n-awi,ngil-ngany,n-awi,ngil-ngany,gagi
