simulation_number,mutual_information,entropy,conditional_entropy,mB,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fB,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,meB,meZ,feB,feZ,myB,fyB,myZ,fyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ
0,0.19032209843554626,1.3746774898698786,1.1843553914343323,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mumètálà,mumètálà,mšàšmu,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà,tšât,múmæ̀mɔ̀,mbega,mbega,múmæ̀mɔ̀,mbega,mumètálà,múmæ̀mɔ̀,mbega,mumètálà,mbega,mšàšmu,múmæ̀mɔ̀,mumètálà,tšât,mbega
1,0.16967859971480226,1.5231194064397904,1.3534408067249881,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,ntsúàÜnzúú wáà móàómbááná,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mumètálà,mšàšmu,tšât,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,mbega,mumètálà,mbega,múmæ̀mɔ̀,mumètálà,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,mbega,mbega,tšât,mumètálà,múmæ̀mɔ̀,mumètálà,mšàšmu,mumètálà
2,0.22249131832874647,1.4683646927803398,1.2458733744515933,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,mbega,tšât,mšàšmu,múmæ̀mɔ̀,mumètálà,mšàšmu,mumètálà,mumètálà,mbega,mbega,mumètálà,múmæ̀mɔ̀,múmæ̀mɔ̀,múmæ̀mɔ̀,mbega,tšât,mumètálà,mbega,mbega,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà
3,0.22434010917949454,1.4688317681865364,1.2444916590070418,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mbega,tšât,múmæ̀mɔ̀,mumètálà,mbega,mšàšmu,múmæ̀mɔ̀,mšàšmu,mumètálà,múmæ̀mɔ̀,mbega,mumètálà,tšât,múmæ̀mɔ̀,mumètálà,mbega,mbega,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,mumètálà,mumètálà
4,0.12057858653323916,1.4172207482883934,1.2966421617551542,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,mbega,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà,mumètálà,múmæ̀mɔ̀,tšât,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,múmæ̀mɔ̀,tšât,mumètálà,mumètálà,mšàšmu,mšàšmu,mumètálà,mbega,mbega,mumètálà,mbega,mbega
5,0.20365614261618203,1.347586818237486,1.143930675621304,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,nzšàpmbi wá móàó mbááná,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,múmæ̀mɔ̀,mumètálà,mumètálà,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà,mbega,mbega,mbega,mumètálà,mbega,mumètálà,tšât,múmæ̀mɔ̀,mbega,mšàšmu,mbega,múmæ̀mɔ̀,mšàšmu,mumètálà,múmæ̀mɔ̀,tšât
6,0.26994340723515653,1.4990440198296207,1.2291006125944641,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,fat,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mumètálà,mumètálà,múmæ̀mɔ̀,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,mbega,múmæ̀mɔ̀,mšàšmu,mšàšmu,tšât,mbega,tšât,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà,mumètálà,mbega,mbega,mbega,mumètálà,mumètálà
7,0.14949462310177353,1.3915861874901547,1.2420915643883812,fat,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,múmæ̀mɔ̀,mumètálà,mumètálà,múmæ̀mɔ̀,tšât,tšât,múmæ̀mɔ̀,mbega,mumètálà,mumètálà,múmæ̀mɔ̀,mšàšmu,mumètálà,mbega,mumètálà,múmæ̀mɔ̀,mbega,mbega,mbega,mbega,múmæ̀mɔ̀,mšàšmu
8,0.17686631142757903,1.415283717276333,1.238417405848754,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mumètálà,mbega,mbega,múmæ̀mɔ̀,múmæ̀mɔ̀,mbega,mbega,mumètálà,mumètálà,mumètálà,múmæ̀mɔ̀,mšàšmu,múmæ̀mɔ̀,mbega,mumètálà,mbega,mumètálà,múmæ̀mɔ̀,tšât,mšàšmu,múmæ̀mɔ̀,tšât
9,0.23231901722334647,1.4716884706115052,1.2393694533881587,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,ntsúàÜnzúú wáà móàómbááná,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,ntsúàÜnzúú wáà mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá móàó mbááná,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,fat,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,ntsúàÜnzúú wáà móàómbááná,nzšàpmbi wá mšñŠáà,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,méŋ mɔ̄,mbega,mšàšmu,mšàšmu,múmæ̀mɔ̀,múmæ̀mɔ̀,múmæ̀mɔ̀,mumètálà,mbega,múmæ̀mɔ̀,múmæ̀mɔ̀,mbega,mumètálà,mumètálà,tšât,tšât,mbega,mumètálà,mumètálà,mumètálà,mbega,múmæ̀mɔ̀,mbega
