simulation_number,mutual_information,entropy,conditional_entropy,mFZS,mFZD,fFZS,fFZD,mMBS,mMBD,fMBS,fMBD,meB,myB,feB,fyB,mMZS,mMZD,fMZS,fMZD,mFBS,mFBD,fFBS,fFBD,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mFeB,mFyB,fFeB,fFyB
0,0.2833891377380926,1.7422205300376077,1.458831392299515,amitinus,consobrinus,patruelis,consobrinus,soror,consobrinus,amitinus,consobrinus,matruelis,matruelis,amitinus,consobrinus,frater,matruelis,consobrinus,patruelis,matruelis,amitinus,patruelis,matruelis,amitinus,patruelis,patruelis,patruelis,amitinus,matruelis,patruelis,consobrinus,patruelis,matruelis,patruelis,patruelis,amitinus,consobrinus,amitinus,frater,patruelis,amitinus,patruelis,patruelis,soror,amitinus,patruelis,consobrinus,consobrinus,patruelis,consobrinus,patruelis,soror,matruelis,matruelis,consobrinus,matruelis,patruelis,matruelis,soror,amitinus,consobrinus,amitinus,consobrinus,matruelis,consobrinus,amitinus,amitinus,matruelis,amitinus,matruelis,amitinus,consobrinus,amitinus,patruelis,frater,matruelis,amitinus,patruelis,matruelis,matruelis,matruelis,matruelis,consobrinus,amitinus,consobrinus,consobrinus,amitinus,frater,consobrinus,matertera,matertera,amita,avunculus,patruus,amita,mater,patruus,avunculus,patruus,mater,pater,matertera,matertera,avunculus,pater,amita,patruus,avunculus
1,0.3086191207823825,1.744156173167943,1.4355370523855604,amitinus,amitinus,matruelis,matruelis,consobrinus,amitinus,matruelis,consobrinus,consobrinus,patruelis,amitinus,matruelis,soror,matruelis,patruelis,amitinus,matruelis,patruelis,patruelis,patruelis,matruelis,amitinus,patruelis,soror,patruelis,soror,consobrinus,amitinus,frater,matruelis,consobrinus,patruelis,matruelis,consobrinus,matruelis,patruelis,consobrinus,amitinus,consobrinus,patruelis,consobrinus,matruelis,matruelis,patruelis,amitinus,amitinus,consobrinus,consobrinus,matruelis,matruelis,consobrinus,patruelis,amitinus,frater,patruelis,amitinus,consobrinus,matruelis,consobrinus,patruelis,amitinus,patruelis,matruelis,consobrinus,frater,consobrinus,amitinus,matruelis,amitinus,amitinus,patruelis,patruelis,matruelis,consobrinus,amitinus,patruelis,soror,amitinus,consobrinus,consobrinus,amitinus,amitinus,patruelis,consobrinus,frater,matruelis,amita,matertera,avunculus,mater,pater,pater,matertera,patruus,patruus,matertera,patruus,mater,matertera,amita,avunculus,amita,avunculus,patruus,avunculus
2,0.337016251286389,1.7505971139458347,1.4135808626594457,matruelis,amitinus,patruelis,amitinus,frater,amitinus,amitinus,amitinus,consobrinus,consobrinus,patruelis,matruelis,amitinus,soror,consobrinus,consobrinus,amitinus,patruelis,frater,patruelis,consobrinus,consobrinus,patruelis,consobrinus,patruelis,patruelis,consobrinus,soror,patruelis,amitinus,amitinus,amitinus,patruelis,matruelis,consobrinus,soror,consobrinus,patruelis,consobrinus,consobrinus,amitinus,matruelis,matruelis,amitinus,amitinus,patruelis,patruelis,matruelis,matruelis,matruelis,amitinus,consobrinus,matruelis,amitinus,matruelis,patruelis,consobrinus,matruelis,matruelis,amitinus,amitinus,matruelis,matruelis,soror,consobrinus,patruelis,patruelis,consobrinus,patruelis,frater,consobrinus,consobrinus,amitinus,matruelis,consobrinus,amitinus,patruelis,amitinus,consobrinus,matruelis,matruelis,frater,matruelis,patruelis,patruelis,matruelis,amita,matertera,avunculus,amita,patruus,matertera,avunculus,patruus,pater,matertera,mater,matertera,patruus,avunculus,avunculus,pater,mater,amita,patruus
3,0.23164676466556333,1.7220358400939795,1.4903890754284161,patruelis,soror,frater,amitinus,amitinus,patruelis,consobrinus,amitinus,consobrinus,consobrinus,consobrinus,consobrinus,amitinus,frater,matruelis,matruelis,soror,matruelis,consobrinus,matruelis,consobrinus,matruelis,matruelis,consobrinus,consobrinus,amitinus,patruelis,frater,patruelis,amitinus,consobrinus,patruelis,patruelis,matruelis,amitinus,patruelis,consobrinus,consobrinus,consobrinus,matruelis,consobrinus,patruelis,consobrinus,amitinus,patruelis,matruelis,amitinus,amitinus,matruelis,soror,frater,matruelis,amitinus,matruelis,consobrinus,matruelis,amitinus,consobrinus,consobrinus,patruelis,soror,matruelis,amitinus,patruelis,patruelis,patruelis,matruelis,amitinus,matruelis,amitinus,amitinus,patruelis,patruelis,matruelis,amitinus,patruelis,amitinus,patruelis,patruelis,consobrinus,consobrinus,matruelis,patruelis,amitinus,matruelis,amitinus,avunculus,matertera,amita,mater,patruus,matertera,amita,patruus,pater,amita,patruus,avunculus,patruus,matertera,avunculus,matertera,avunculus,pater,mater
4,0.24520360972862987,1.7498323418059443,1.5046287320773144,amitinus,soror,consobrinus,patruelis,amitinus,matruelis,frater,matruelis,patruelis,patruelis,amitinus,amitinus,amitinus,consobrinus,matruelis,matruelis,consobrinus,patruelis,frater,patruelis,patruelis,consobrinus,matruelis,soror,patruelis,amitinus,amitinus,patruelis,matruelis,amitinus,consobrinus,matruelis,matruelis,frater,consobrinus,consobrinus,patruelis,soror,consobrinus,matruelis,patruelis,amitinus,matruelis,consobrinus,matruelis,amitinus,frater,matruelis,amitinus,matruelis,consobrinus,patruelis,patruelis,matruelis,matruelis,matruelis,amitinus,amitinus,soror,patruelis,consobrinus,consobrinus,consobrinus,amitinus,amitinus,patruelis,amitinus,consobrinus,amitinus,amitinus,matruelis,matruelis,patruelis,consobrinus,consobrinus,patruelis,amitinus,amitinus,patruelis,patruelis,consobrinus,patruelis,matruelis,consobrinus,consobrinus,consobrinus,pater,patruus,avunculus,avunculus,mater,matertera,mater,patruus,patruus,avunculus,matertera,matertera,amita,amita,amita,matertera,avunculus,pater,patruus
5,0.5402467254059471,1.7563061949761758,1.2160594695702287,matruelis,consobrinus,patruelis,matruelis,amitinus,amitinus,patruelis,consobrinus,matruelis,patruelis,patruelis,patruelis,consobrinus,matruelis,amitinus,patruelis,soror,amitinus,matruelis,patruelis,soror,matruelis,patruelis,consobrinus,matruelis,soror,amitinus,amitinus,consobrinus,patruelis,matruelis,matruelis,frater,consobrinus,consobrinus,matruelis,amitinus,matruelis,amitinus,consobrinus,amitinus,patruelis,patruelis,patruelis,consobrinus,matruelis,matruelis,matruelis,matruelis,patruelis,consobrinus,frater,amitinus,amitinus,consobrinus,patruelis,frater,consobrinus,consobrinus,soror,matruelis,patruelis,consobrinus,consobrinus,consobrinus,amitinus,amitinus,matruelis,consobrinus,amitinus,matruelis,amitinus,amitinus,amitinus,amitinus,consobrinus,amitinus,patruelis,patruelis,consobrinus,frater,amitinus,consobrinus,matruelis,patruelis,patruelis,mater,amita,patruus,matertera,matertera,amita,avunculus,pater,patruus,amita,mater,avunculus,matertera,pater,patruus,avunculus,patruus,matertera,avunculus
6,0.2872636679562175,1.7220358400939795,1.434772172137762,consobrinus,consobrinus,patruelis,amitinus,consobrinus,frater,amitinus,consobrinus,patruelis,matruelis,patruelis,matruelis,matruelis,consobrinus,soror,consobrinus,patruelis,patruelis,consobrinus,patruelis,amitinus,patruelis,matruelis,matruelis,amitinus,patruelis,patruelis,amitinus,matruelis,patruelis,consobrinus,matruelis,frater,matruelis,matruelis,consobrinus,amitinus,amitinus,consobrinus,amitinus,matruelis,amitinus,matruelis,patruelis,amitinus,patruelis,amitinus,matruelis,consobrinus,patruelis,amitinus,patruelis,soror,patruelis,matruelis,consobrinus,patruelis,consobrinus,amitinus,matruelis,matruelis,consobrinus,consobrinus,amitinus,patruelis,consobrinus,consobrinus,matruelis,patruelis,consobrinus,frater,soror,patruelis,matruelis,consobrinus,matruelis,amitinus,amitinus,amitinus,amitinus,soror,matruelis,amitinus,amitinus,consobrinus,frater,amita,patruus,matertera,pater,avunculus,matertera,matertera,matertera,pater,avunculus,patruus,mater,patruus,avunculus,patruus,avunculus,amita,amita,mater
7,0.2633476591274264,1.7605682949214643,1.4972206357940379,patruelis,amitinus,patruelis,consobrinus,matruelis,soror,amitinus,matruelis,consobrinus,patruelis,consobrinus,matruelis,amitinus,matruelis,patruelis,frater,consobrinus,amitinus,consobrinus,amitinus,patruelis,consobrinus,matruelis,amitinus,matruelis,patruelis,consobrinus,consobrinus,patruelis,amitinus,matruelis,amitinus,patruelis,patruelis,matruelis,amitinus,matruelis,matruelis,consobrinus,amitinus,patruelis,amitinus,amitinus,amitinus,patruelis,soror,amitinus,amitinus,patruelis,amitinus,amitinus,matruelis,matruelis,patruelis,soror,frater,patruelis,amitinus,consobrinus,matruelis,consobrinus,matruelis,matruelis,patruelis,soror,matruelis,frater,patruelis,consobrinus,patruelis,amitinus,consobrinus,consobrinus,matruelis,matruelis,consobrinus,amitinus,consobrinus,consobrinus,patruelis,consobrinus,patruelis,frater,consobrinus,consobrinus,matruelis,avunculus,avunculus,pater,avunculus,pater,matertera,amita,mater,mater,patruus,avunculus,amita,patruus,patruus,matertera,amita,patruus,matertera,matertera
8,0.2706772946605671,1.745461242965734,1.4747839483051668,consobrinus,consobrinus,consobrinus,consobrinus,consobrinus,consobrinus,patruelis,matruelis,matruelis,patruelis,amitinus,amitinus,patruelis,consobrinus,amitinus,patruelis,patruelis,amitinus,matruelis,patruelis,matruelis,consobrinus,amitinus,patruelis,frater,matruelis,amitinus,matruelis,patruelis,amitinus,patruelis,matruelis,matruelis,amitinus,matruelis,soror,amitinus,consobrinus,matruelis,patruelis,matruelis,consobrinus,matruelis,matruelis,consobrinus,soror,patruelis,patruelis,matruelis,consobrinus,patruelis,amitinus,consobrinus,consobrinus,matruelis,consobrinus,consobrinus,amitinus,patruelis,matruelis,amitinus,patruelis,matruelis,patruelis,frater,consobrinus,frater,amitinus,soror,amitinus,amitinus,frater,consobrinus,matruelis,amitinus,amitinus,amitinus,patruelis,amitinus,consobrinus,patruelis,consobrinus,patruelis,amitinus,soror,matruelis,avunculus,avunculus,avunculus,mater,amita,pater,pater,matertera,avunculus,patruus,matertera,matertera,matertera,amita,patruus,mater,amita,patruus,patruus
9,0.29722644280203325,1.7467743374031741,1.4495478946011409,patruelis,consobrinus,amitinus,frater,matruelis,patruelis,consobrinus,amitinus,matruelis,matruelis,matruelis,consobrinus,amitinus,patruelis,matruelis,consobrinus,patruelis,consobrinus,patruelis,matruelis,patruelis,matruelis,amitinus,consobrinus,consobrinus,soror,consobrinus,amitinus,amitinus,amitinus,amitinus,consobrinus,soror,matruelis,patruelis,consobrinus,consobrinus,soror,patruelis,amitinus,matruelis,matruelis,frater,patruelis,patruelis,consobrinus,matruelis,consobrinus,consobrinus,patruelis,amitinus,patruelis,patruelis,matruelis,matruelis,consobrinus,matruelis,patruelis,amitinus,consobrinus,consobrinus,consobrinus,frater,patruelis,consobrinus,patruelis,amitinus,soror,amitinus,matruelis,amitinus,matruelis,amitinus,frater,amitinus,matruelis,amitinus,matruelis,patruelis,matruelis,amitinus,patruelis,amitinus,amitinus,consobrinus,patruelis,patruus,amita,patruus,matertera,mater,avunculus,mater,pater,matertera,avunculus,pater,patruus,matertera,amita,patruus,matertera,avunculus,avunculus,amita
