simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.3223882869870518,1.7252008926944644,1.4028126057074126,karua,watchi,ndauve,weka,watchi,karua,ndauve,watchi,tuaka,weka,tachi,weka,karua,weka,tachi,weka,tuaka,karua,tuaka,tuaka,ndauve,watchi,weka,weka,tuaka,watchi,weka,weka,karua,ndauve,weka,watchi,karua,watchi,karua,karua,weka,karua,weka,tavale,ndauve,tavale,weka,ndauve,weka,tachi,tavale,tachi,karua,weka,watchi,watchi,watchi,karua,tuaka,weka,karua,karua,weka,watchi,weka,weka,watchi,tavale,karua,tavale,watchi,watchi,tavale,weka,watchi,karua,weka,weka,tuaka,weka,tachi,watchi,watchi,karua,watchi,tachi,tuaka,tachi,weka,watchi,weka,watchi,tama,tchina,vungo,tama,vungo,tchina- lailai,tama,vungo,vungo,vungo,vungo,tama- levu,tama- lailai,tama,tchina- lailai,tchina,tama- lailai,tama- levu,vungo,tchina,tchina- levu,vungo,tchina,vungo,vungo,vungo,vungo,tchina- levu
1,0.2719160287725806,1.6738140642362167,1.4018980354636361,weka,tachi,tuaka,tachi,weka,tavale,weka,karua,karua,tavale,weka,ndauve,karua,weka,weka,tuaka,tuaka,karua,weka,watchi,weka,weka,weka,weka,karua,weka,watchi,tuaka,weka,tachi,karua,ndauve,tuaka,weka,watchi,tachi,karua,watchi,watchi,karua,weka,karua,karua,ndauve,watchi,weka,tavale,weka,weka,weka,karua,watchi,watchi,ndauve,watchi,karua,karua,watchi,tuaka,watchi,tavale,karua,tachi,watchi,karua,watchi,watchi,watchi,ndauve,karua,weka,tavale,tavale,tachi,tuaka,watchi,weka,ndauve,watchi,watchi,tuaka,weka,weka,weka,tachi,watchi,weka,watchi,tama,vungo,tama- levu,tama- lailai,tchina,tchina,tchina- lailai,vungo,tchina- lailai,tchina- levu,tama,tama,vungo,tama,tchina,vungo,vungo,tchina- levu,vungo,vungo,vungo,tchina,vungo,tama- lailai,vungo,vungo,vungo,tama- levu
2,0.22019011537085276,1.6497034034696287,1.429513288098776,weka,tuaka,ndauve,tuaka,watchi,karua,watchi,weka,karua,karua,tuaka,ndauve,watchi,watchi,weka,tavale,watchi,karua,tavale,weka,weka,watchi,tavale,ndauve,tachi,weka,watchi,tuaka,watchi,weka,karua,watchi,watchi,weka,karua,weka,karua,weka,tachi,ndauve,tavale,tuaka,watchi,watchi,tachi,tachi,weka,karua,weka,weka,watchi,weka,weka,weka,weka,tavale,karua,weka,weka,watchi,ndauve,tuaka,watchi,weka,watchi,watchi,weka,tuaka,weka,karua,ndauve,karua,weka,watchi,weka,tachi,tachi,watchi,karua,tavale,karua,karua,tuaka,karua,weka,tachi,watchi,karua,tchina- lailai,vungo,tchina- lailai,vungo,vungo,vungo,vungo,tama,tama,tama- levu,vungo,tama- lailai,tchina- levu,vungo,tama- lailai,tama,tama,tchina,vungo,tchina,tama- levu,vungo,tchina,tchina- levu,vungo,vungo,vungo,tchina
3,0.2262789043072655,1.688760034298756,1.4624811299914906,tavale,karua,weka,weka,watchi,tuaka,karua,tavale,weka,watchi,watchi,watchi,watchi,watchi,karua,watchi,watchi,karua,karua,ndauve,watchi,watchi,tuaka,tuaka,weka,tachi,weka,karua,karua,ndauve,tavale,ndauve,weka,tachi,weka,karua,watchi,weka,karua,tachi,ndauve,weka,tachi,tuaka,karua,tuaka,weka,watchi,karua,ndauve,karua,karua,weka,karua,watchi,weka,tavale,tachi,weka,weka,weka,weka,weka,tuaka,weka,weka,weka,karua,tachi,watchi,watchi,tavale,karua,weka,watchi,watchi,weka,tavale,tuaka,weka,ndauve,watchi,tachi,weka,watchi,weka,tuaka,watchi,tchina,vungo,tama,vungo,vungo,tama,vungo,tchina- levu,tchina- lailai,tama,tama- lailai,tchina,vungo,vungo,tama,tchina- levu,tchina,vungo,tama- lailai,tama- levu,tama- levu,vungo,tchina- lailai,vungo,vungo,vungo,vungo,tchina
4,0.27251804649280365,1.5627433727223972,1.2902253262295935,weka,tachi,tavale,weka,weka,tavale,weka,karua,weka,weka,karua,weka,weka,weka,tachi,weka,watchi,weka,watchi,tuaka,weka,karua,karua,weka,weka,weka,tuaka,watchi,watchi,karua,watchi,tavale,tachi,karua,karua,tavale,weka,karua,karua,watchi,karua,weka,weka,watchi,tuaka,tuaka,weka,watchi,karua,weka,watchi,watchi,watchi,watchi,watchi,tavale,ndauve,ndauve,tuaka,tachi,karua,ndauve,watchi,ndauve,watchi,watchi,weka,watchi,weka,karua,tachi,karua,tuaka,ndauve,tuaka,tachi,ndauve,tuaka,weka,tavale,tachi,karua,karua,weka,weka,watchi,watchi,watchi,tchina- levu,tama,vungo,vungo,tchina- lailai,vungo,vungo,vungo,vungo,tchina- levu,tama,tchina,tchina,tama,tchina,vungo,vungo,vungo,tchina- lailai,vungo,vungo,tama- lailai,tama,tama- levu,tama- lailai,vungo,tama- levu,tchina
5,0.3012138723424942,1.6742723631613403,1.3730584908188461,weka,tachi,tuaka,ndauve,tachi,karua,tavale,watchi,tachi,karua,karua,weka,watchi,karua,watchi,watchi,karua,weka,watchi,tuaka,weka,weka,weka,ndauve,weka,ndauve,tachi,weka,karua,watchi,tachi,ndauve,watchi,weka,watchi,watchi,watchi,watchi,ndauve,tuaka,karua,karua,watchi,ndauve,watchi,karua,tavale,weka,watchi,tavale,tavale,tachi,weka,watchi,weka,karua,karua,watchi,karua,weka,watchi,weka,tuaka,weka,weka,karua,karua,watchi,weka,tachi,weka,weka,weka,weka,watchi,tavale,tuaka,karua,weka,weka,weka,karua,tuaka,tuaka,tuaka,tavale,watchi,weka,tama- levu,vungo,tama,vungo,vungo,tama,vungo,vungo,vungo,tama,tchina- lailai,tchina,tchina- levu,tama,tchina- lailai,vungo,vungo,tchina,tchina,tchina- levu,vungo,vungo,tchina,tama- lailai,vungo,tama- levu,vungo,tama- lailai
6,0.29125259272522674,1.7268323046508303,1.4355797119256035,weka,watchi,watchi,tuaka,weka,watchi,tuaka,weka,karua,karua,weka,tavale,tuaka,karua,tuaka,karua,watchi,weka,weka,watchi,karua,weka,tavale,weka,weka,tavale,tuaka,ndauve,watchi,ndauve,weka,weka,tachi,watchi,weka,tachi,weka,karua,karua,karua,weka,ndauve,ndauve,tuaka,watchi,watchi,tachi,tavale,weka,tavale,watchi,karua,weka,weka,watchi,watchi,weka,weka,ndauve,karua,watchi,weka,karua,tachi,tuaka,ndauve,watchi,tuaka,weka,weka,karua,karua,weka,tachi,karua,weka,karua,watchi,tachi,watchi,watchi,watchi,tavale,weka,karua,tachi,watchi,watchi,tama- levu,vungo,tchina- lailai,tchina,tama- levu,vungo,tama,vungo,vungo,vungo,vungo,vungo,tchina,vungo,tama- lailai,tchina,vungo,tchina- levu,tchina- levu,tchina,tama,tama,tama,vungo,vungo,vungo,tchina- lailai,tama- lailai
7,0.23581157181724044,1.6659668333063213,1.430155261489081,weka,weka,weka,karua,watchi,watchi,tavale,tavale,watchi,weka,weka,karua,tavale,karua,watchi,weka,tavale,weka,karua,tuaka,karua,watchi,karua,ndauve,tuaka,tuaka,tachi,weka,karua,watchi,watchi,karua,weka,weka,ndauve,watchi,ndauve,tuaka,tuaka,karua,tachi,tachi,ndauve,weka,weka,weka,watchi,karua,watchi,weka,tavale,weka,karua,tachi,karua,watchi,watchi,weka,weka,weka,watchi,tachi,tachi,karua,karua,weka,karua,weka,weka,tavale,tachi,tuaka,watchi,weka,weka,watchi,tuaka,watchi,weka,watchi,watchi,karua,weka,ndauve,tuaka,watchi,watchi,ndauve,vungo,vungo,tchina- levu,vungo,tama,tama- levu,tchina,vungo,tchina- levu,tchina- lailai,vungo,tchina,vungo,vungo,tchina- lailai,tama- levu,vungo,vungo,tama,tama,tchina,vungo,tchina,vungo,tama- lailai,tama- lailai,tama,vungo
8,0.2729309578714423,1.7240161088295773,1.451085150958135,watchi,karua,watchi,watchi,tuaka,weka,ndauve,watchi,karua,karua,weka,weka,weka,tuaka,tachi,karua,ndauve,karua,watchi,weka,weka,karua,tuaka,tavale,tuaka,tuaka,watchi,tuaka,weka,ndauve,tachi,weka,weka,tavale,watchi,watchi,tuaka,watchi,tachi,karua,watchi,tavale,weka,karua,ndauve,tachi,weka,watchi,watchi,weka,watchi,weka,ndauve,watchi,weka,watchi,karua,weka,tavale,watchi,karua,tachi,weka,karua,tachi,karua,ndauve,karua,watchi,weka,tachi,weka,weka,karua,weka,karua,tavale,watchi,weka,watchi,weka,tuaka,weka,karua,watchi,weka,weka,tavale,tama,vungo,tama- levu,vungo,tchina- lailai,tchina- levu,vungo,tama- lailai,tama- levu,tama,vungo,vungo,tchina,tchina,tchina,tama,tchina,vungo,vungo,tama- lailai,tama,vungo,vungo,vungo,vungo,tchina- lailai,tchina- levu,vungo
9,0.3494911767538147,1.634800570167957,1.2853093934141424,karua,watchi,tuaka,tavale,weka,weka,karua,watchi,watchi,tavale,watchi,watchi,tavale,weka,karua,watchi,weka,karua,karua,weka,tachi,tavale,watchi,tuaka,weka,weka,watchi,watchi,weka,watchi,tuaka,tuaka,weka,watchi,karua,tachi,tuaka,karua,ndauve,karua,tachi,karua,ndauve,tachi,weka,karua,karua,tuaka,watchi,weka,weka,weka,weka,ndauve,watchi,weka,tachi,weka,karua,weka,karua,tavale,karua,tavale,weka,karua,watchi,weka,ndauve,tuaka,watchi,karua,watchi,weka,ndauve,tachi,weka,watchi,weka,weka,weka,watchi,tuaka,weka,tachi,watchi,watchi,ndauve,vungo,tchina,tchina,tama- levu,vungo,vungo,tchina,vungo,tama,tama- lailai,vungo,tama,vungo,vungo,vungo,vungo,vungo,tama- lailai,tama,tama- levu,tchina,tchina- lailai,tchina- levu,vungo,tama,tchina- lailai,vungo,tchina- levu
