simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ
0,0.14341200076168037,1.0346012329101812,0.8911892321485009,表姐,"堂弟, 堂房兄弟","堂姐, 堂房阿姐","堂弟, 堂房兄弟","堂兄, 堂房阿哥",表弟,表姐,表弟,阿弟,表妹,阿姐,表弟,"堂兄, 堂房阿哥",阿弟,表妹,表姐,"堂妹, 堂房妹子","表哥, 表兄","堂姐, 堂房阿姐",表妹,"表哥, 表兄","表哥, 表兄",表弟,表妹,表姐,表妹,表弟,"表哥, 表兄",表姐,表姐,"表哥, 表兄","堂妹, 堂房妹子",妹子,表弟,妹子,表妹,阿姐,阿哥,"娘, 姆妈","娘舅, 舅舅",阿叔,"娘, 姆妈","大伯, 伯伯",娘姨xx,娘娘,娘姨xx,"娘舅, 舅舅","嬷嬷, 好伯","爷, 爹爹","大伯, 伯伯","嬷嬷, 好伯","娘舅, 舅舅",娘娘,阿叔,"娘舅, 舅舅","爷, 爹爹"
1,0.4848660531119162,1.376055285260417,0.8911892321485009,"表哥, 表兄",表弟,表妹,"表哥, 表兄",表姐,阿哥,表姐,妹子,阿姐,表妹,"表哥, 表兄","堂兄, 堂房阿哥",表妹,表妹,"堂兄, 堂房阿哥","堂弟, 堂房兄弟","堂妹, 堂房妹子",表姐,阿弟,妹子,"表哥, 表兄",表弟,表弟,"堂妹, 堂房妹子","表哥, 表兄",表姐,"堂姐, 堂房阿姐",表妹,"堂弟, 堂房兄弟",表弟,阿弟,表弟,表姐,表姐,阿姐,表弟,表妹,"堂姐, 堂房阿姐","娘, 姆妈",娘娘,"娘舅, 舅舅",娘姨xx,娘姨xx,"嬷嬷, 好伯","娘舅, 舅舅",阿叔,"大伯, 伯伯","爷, 爹爹",阿叔,"嬷嬷, 好伯",娘娘,"娘舅, 舅舅","娘, 姆妈","大伯, 伯伯","娘舅, 舅舅","爷, 爹爹"
2,0.14341200076168037,1.0346012329101812,0.8911892321485009,"表哥, 表兄",阿弟,"表哥, 表兄",表弟,阿姐,阿姐,表妹,"堂妹, 堂房妹子","堂兄, 堂房阿哥",表姐,表妹,表姐,阿哥,表妹,表弟,妹子,表弟,"堂弟, 堂房兄弟","堂妹, 堂房妹子",妹子,表姐,表弟,"表哥, 表兄",表弟,阿弟,"表哥, 表兄",表妹,"堂兄, 堂房阿哥",表弟,"堂弟, 堂房兄弟",表姐,表妹,"表哥, 表兄","堂姐, 堂房阿姐",表姐,表妹,"堂姐, 堂房阿姐",表姐,娘娘,"爷, 爹爹",娘娘,"娘舅, 舅舅","娘, 姆妈","嬷嬷, 好伯","嬷嬷, 好伯","大伯, 伯伯",娘姨xx,"娘舅, 舅舅","娘舅, 舅舅",阿叔,阿叔,"大伯, 伯伯","爷, 爹爹","娘, 姆妈",娘姨xx,"娘舅, 舅舅"
3,0.3414540523502362,1.0346012329101812,0.6931471805599451,阿哥,表妹,"堂妹, 堂房妹子",阿姐,阿姐,"堂姐, 堂房阿姐",表姐,表姐,"堂兄, 堂房阿哥",妹子,表妹,"表哥, 表兄",阿弟,"堂弟, 堂房兄弟",阿弟,表姐,表弟,表弟,妹子,"堂妹, 堂房妹子","表哥, 表兄",表姐,"表哥, 表兄",表姐,表妹,"表哥, 表兄","堂兄, 堂房阿哥",表弟,"表哥, 表兄","堂姐, 堂房阿姐","堂弟, 堂房兄弟",表姐,表弟,表妹,表妹,表妹,表弟,表弟,"娘舅, 舅舅","娘, 姆妈","娘舅, 舅舅","爷, 爹爹","嬷嬷, 好伯",娘娘,"爷, 爹爹",阿叔,娘娘,"大伯, 伯伯",阿叔,"娘舅, 舅舅",娘姨xx,"大伯, 伯伯","娘舅, 舅舅","嬷嬷, 好伯","娘, 姆妈",娘姨xx
4,0.6829081047004717,1.3760552852604169,0.6931471805599452,"表哥, 表兄",表姐,表姐,表弟,表弟,阿弟,阿弟,"表哥, 表兄",表姐,表妹,"堂妹, 堂房妹子",表弟,表妹,表弟,表妹,"堂兄, 堂房阿哥","表哥, 表兄","堂妹, 堂房妹子",表妹,"堂兄, 堂房阿哥",表姐,"表哥, 表兄","堂弟, 堂房兄弟",阿姐,"堂姐, 堂房阿姐","表哥, 表兄",阿哥,阿姐,表弟,"堂弟, 堂房兄弟",表妹,表姐,表弟,"堂姐, 堂房阿姐",表姐,妹子,表妹,妹子,娘姨xx,"嬷嬷, 好伯","娘, 姆妈",娘娘,"娘, 姆妈",阿叔,娘娘,"嬷嬷, 好伯","爷, 爹爹","娘舅, 舅舅","娘舅, 舅舅",娘姨xx,"娘舅, 舅舅",阿叔,"娘舅, 舅舅","爷, 爹爹","大伯, 伯伯","大伯, 伯伯"
5,0.21207426669985363,1.376055285260417,1.1639810185605635,表姐,表妹,表弟,表弟,表弟,"堂弟, 堂房兄弟",表姐,"堂姐, 堂房阿姐",表姐,表姐,阿弟,表妹,阿姐,表妹,表姐,"堂姐, 堂房阿姐","表哥, 表兄",表妹,阿弟,"堂兄, 堂房阿哥",表弟,"堂妹, 堂房妹子",阿姐,表妹,"表哥, 表兄","表哥, 表兄",表妹,表弟,妹子,"表哥, 表兄","堂兄, 堂房阿哥","表哥, 表兄",妹子,表弟,阿哥,"堂妹, 堂房妹子",表姐,"堂弟, 堂房兄弟","娘舅, 舅舅","娘, 姆妈",娘娘,阿叔,"爷, 爹爹","娘舅, 舅舅",娘姨xx,"娘舅, 舅舅",娘姨xx,"嬷嬷, 好伯","嬷嬷, 好伯","娘, 姆妈",娘娘,"大伯, 伯伯","爷, 爹爹","娘舅, 舅舅",阿叔,"大伯, 伯伯"
6,0.3414540523502362,1.0346012329101812,0.6931471805599451,"表哥, 表兄",表弟,表弟,妹子,表妹,"堂弟, 堂房兄弟",表姐,表姐,表姐,表妹,表姐,阿哥,表弟,表妹,表妹,"堂妹, 堂房妹子","堂姐, 堂房阿姐",阿姐,妹子,表弟,表弟,"表哥, 表兄","表哥, 表兄",表妹,表妹,"表哥, 表兄","堂姐, 堂房阿姐",表姐,阿姐,"表哥, 表兄",表姐,"堂兄, 堂房阿哥","堂妹, 堂房妹子","堂弟, 堂房兄弟","堂兄, 堂房阿哥",阿弟,阿弟,表弟,"嬷嬷, 好伯","娘, 姆妈","娘, 姆妈",娘姨xx,娘娘,娘姨xx,"嬷嬷, 好伯","大伯, 伯伯",娘娘,阿叔,阿叔,"娘舅, 舅舅","娘舅, 舅舅","爷, 爹爹","娘舅, 舅舅","娘舅, 舅舅","爷, 爹爹","大伯, 伯伯"
7,0.484866053111916,1.3760552852604169,0.8911892321485009,"表哥, 表兄",妹子,"表哥, 表兄","堂姐, 堂房阿姐","堂弟, 堂房兄弟",表弟,表姐,表弟,表妹,表姐,"表哥, 表兄",表姐,阿弟,表妹,阿姐,"堂姐, 堂房阿姐","表哥, 表兄",表弟,表妹,表弟,阿姐,"堂兄, 堂房阿哥",表妹,表姐,表妹,"表哥, 表兄",表妹,"堂兄, 堂房阿哥",表弟,阿弟,阿哥,"堂妹, 堂房妹子","堂弟, 堂房兄弟",妹子,表姐,表姐,表弟,"堂妹, 堂房妹子",娘姨xx,阿叔,"嬷嬷, 好伯","大伯, 伯伯","大伯, 伯伯","爷, 爹爹",娘姨xx,"娘, 姆妈",阿叔,"娘舅, 舅舅","娘舅, 舅舅",娘娘,"嬷嬷, 好伯","爷, 爹爹","娘舅, 舅舅","娘舅, 舅舅",娘娘,"娘, 姆妈"
8,0.682908104700472,1.376055285260417,0.6931471805599451,"堂妹, 堂房妹子",表弟,阿哥,阿弟,"堂弟, 堂房兄弟",表姐,"表哥, 表兄",表姐,"表哥, 表兄",妹子,"堂姐, 堂房阿姐",阿弟,"堂妹, 堂房妹子",表弟,妹子,表妹,阿姐,表姐,"堂兄, 堂房阿哥",阿姐,表弟,"堂姐, 堂房阿姐",表妹,表姐,表妹,表弟,"堂兄, 堂房阿哥",表弟,表妹,表姐,"表哥, 表兄",表姐,表妹,"堂弟, 堂房兄弟","表哥, 表兄",表弟,"表哥, 表兄",表妹,阿叔,"大伯, 伯伯","娘舅, 舅舅","娘, 姆妈",娘娘,娘娘,娘姨xx,"娘, 姆妈","大伯, 伯伯","爷, 爹爹","嬷嬷, 好伯","嬷嬷, 好伯","爷, 爹爹","娘舅, 舅舅","娘舅, 舅舅","娘舅, 舅舅",阿叔,娘姨xx
9,0.2868240015233603,1.0789922078775833,0.792168206354223,表妹,表妹,"表哥, 表兄",妹子,表姐,表姐,"堂弟, 堂房兄弟","表哥, 表兄",阿姐,"堂妹, 堂房妹子",表妹,妹子,表妹,表弟,阿弟,表妹,表弟,表姐,表弟,"堂妹, 堂房妹子",表弟,"堂姐, 堂房阿姐",阿姐,"堂弟, 堂房兄弟",阿哥,"堂兄, 堂房阿哥",阿弟,表弟,表弟,表姐,"表哥, 表兄","表哥, 表兄",表妹,表姐,"表哥, 表兄","堂兄, 堂房阿哥","堂姐, 堂房阿姐",表姐,"嬷嬷, 好伯","嬷嬷, 好伯","爷, 爹爹","娘舅, 舅舅","娘舅, 舅舅","娘舅, 舅舅",阿叔,娘娘,"娘, 姆妈",娘姨xx,"娘舅, 舅舅","娘, 姆妈",娘姨xx,娘娘,阿叔,"爷, 爹爹","大伯, 伯伯","大伯, 伯伯"
