simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mMBD,mFeZD,mFyZD,mMyBD,mFZeD,mFZyD,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFeZD,fFyZD,fMyBD,fFZeD,fFZyD,fMBeD,fMByD,mMeBD,fMeBD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11762719313567271,1.7919697782820208,1.674342585146348,wulumu,wulumu,wulumu,ya'a,yapu,wulumu,wulumu,ya'a,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,papa,pipi,muka,pipi,pipi,pima,papa,pinya,pinya,paapa,papa,paapa,pipi,pima,muka,ngunTan,pinya,ngunTan,papa,pinya
1,0.08256387574703439,1.7311591802656952,1.6485953045186608,wulumu,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,ya'a,wulumu,yapu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,pipi,papa,muka,pinya,ngunTan,pipi,pipi,papa,pima,ngunTan,paapa,pinya,pima,pinya,papa,paapa,papa,muka,pinya,pipi
2,0.30907820733627767,1.6736227657753389,1.3645445584390612,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,yapu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,ya'a,wulumu,ya'a,ya'a,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,papa,pipi,muka,pipi,papa,pinya,ngunTan,paapa,pipi,pima,pima,pinya,papa,pinya,papa,ngunTan,pipi,paapa,muka,pinya
3,0.37532693617523205,1.893345223508961,1.518018287333729,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,ya'a,ya'a,yapu,pipi,papa,muka,pinya,pima,pima,pinya,ngunTan,pipi,papa,ngunTan,pinya,pipi,papa,papa,paapa,pipi,pinya,muka,paapa
4,0.4488047177214116,1.626879517226252,1.1780747995048404,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,yapu,wulumu,wulumu,wulumu,ya'a,ya'a,wulumu,ya'a,pipi,ngunTan,muka,papa,pima,pipi,pinya,paapa,pinya,pinya,papa,pipi,muka,pipi,pinya,paapa,pima,ngunTan,papa,papa
5,0.3053021172537693,1.6181186968274803,1.312816579573711,wulumu,wulumu,yapu,ya'a,wulumu,wulumu,wulumu,ya'a,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,pima,papa,pipi,pinya,pima,pinya,pipi,pipi,paapa,pinya,papa,papa,muka,ngunTan,paapa,pinya,ngunTan,papa,muka,pipi
6,0.3508035278193844,1.6538737786817888,1.3030702508624044,yapu,ya'a,ya'a,wulumu,wulumu,wulumu,wulumu,ya'a,ya'a,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,ngunTan,papa,papa,pipi,pipi,pinya,paapa,muka,pinya,pima,ngunTan,pinya,papa,pipi,pima,muka,papa,paapa,pinya,pipi
7,0.20286112770890252,1.7541823508852146,1.551321223176312,wulumu,wulumu,wulumu,wulumu,ya'a,ya'a,wulumu,ya'a,wulumu,yapu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,ya'a,wulumu,wulumu,wulumu,pinya,ngunTan,muka,pinya,paapa,pipi,pipi,paapa,pima,pima,pinya,pipi,papa,papa,papa,pipi,ngunTan,papa,pinya,muka
8,0.31779052168487576,1.7207993790372396,1.4030088573523638,wulumu,wulumu,wulumu,yapu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,ya'a,ya'a,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,paapa,pinya,papa,pinya,pinya,pipi,pinya,pipi,papa,paapa,ngunTan,ngunTan,muka,papa,papa,pima,pima,muka,pipi,pipi
9,0.24863757503341843,1.6736227657753389,1.4249851907419204,ya'a,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,yapu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,wulumu,ya'a,wulumu,wulumu,ya'a,wulumu,wulumu,wulumu,wulumu,papa,ngunTan,muka,paapa,papa,pinya,pima,papa,pipi,paapa,pipi,pinya,muka,pinya,papa,pima,pipi,pipi,pinya,ngunTan
