simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.02939211321844759,1.102144502664999,1.0727523894465514,cílà',cílà',cìkìs,cílà',cílà',cílà',cìkìs,cílà',cílà',cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cìɣóyé,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìɣóyé,cìkìs,cílà',cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìɣóyé,cìɣóyé,cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cílà',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìtàˑ,cìdèˑdéˑ',cìdài',cìtàˑ,cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìdài'
1,0.03309883297641458,1.1737558599411235,1.140657026964709,cìkìs,cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cílà',cílà',cìkìs,cílà',cìkìs,cìɣóyé,cílà',cílà',cílà',cìkìs,cìkìs,cìɣóyé,cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cílà',cílà',cílà',cílà',cìkìs,cílà',cìkìs,cílà',cílà',cílà',cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìɣóyé,cìɣóyé,cìɣóyé,cílà',cìkìs,cílà',cìkìs,cìdèˑdéˑ',cìdài',cìmáˑ',cìtàˑ,cìdài',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ'
2,0.0882511113060307,1.1271420092844604,1.0388908979784297,cílà',cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìɣóyé,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cìɣóyé,cìkìs,cìkìs,cìɣóyé,cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìɣóyé,cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cílà',cílà',cìɣóyé,cílà',cílà',cìkìs,cílà',cílà',cìɣóyé,cílà',cìkìs,cìɣóyé,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìɣóyé,cìkìs,cìkìs,cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìmáˑ',cìtàˑ,cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìmáˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài'
3,0.035023098579564094,1.0514213386944258,1.0163982401148617,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cílà',cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cílà',cílà',cílà',cílà',cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cílà',cìkìs,cìɣóyé,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cílà',cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cìɣóyé,cílà',cílà',cílà',cìɣóyé,cìkìs,cìɣóyé,cìkìs,cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìmáˑ',cìdài',cìdài',cìtàˑ,cìdèˑdéˑ',cìmáˑ',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìtàˑ,cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ'
4,0.03345260818088858,1.100469303902075,1.0670166957211864,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cìɣóyé,cìkìs,cílà',cìɣóyé,cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cìɣóyé,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cìɣóyé,cìkìs,cìkìs,cílà',cìɣóyé,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìɣóyé,cílà',cìkìs,cílà',cílà',cílà',cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cílà',cílà',cìdài',cìdài',cìtàˑ,cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìmáˑ',cìdài',cìmáˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdèˑdéˑ',cìdèˑdéˑ',cìdài'
5,0.041555721314519234,1.1218546850755577,1.0802989637610385,cìkìs,cìkìs,cílà',cílà',cìkìs,cìɣóyé,cílà',cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cìkìs,cílà',cìɣóyé,cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cìɣóyé,cìkìs,cílà',cílà',cílà',cìkìs,cìɣóyé,cílà',cìkìs,cìkìs,cìɣóyé,cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cílà',cìkìs,cìɣóyé,cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìdài',cìdèˑdéˑ',cìtàˑ,cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìmáˑ',cìdèˑdéˑ',cìdài',cìmáˑ'
6,0.033784795698311054,1.151764374315752,1.117979578617441,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cílà',cílà',cìɣóyé,cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìɣóyé,cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìɣóyé,cílà',cìkìs,cílà',cílà',cílà',cílà',cílà',cìɣóyé,cílà',cìkìs,cìkìs,cìɣóyé,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìɣóyé,cílà',cìdèˑdéˑ',cìtàˑ,cìdèˑdéˑ',cìmáˑ',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìmáˑ',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìdài',cìdèˑdéˑ'
7,0.04477311264994022,1.1470309192791066,1.1022578066291664,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìɣóyé,cílà',cílà',cìɣóyé,cìɣóyé,cílà',cílà',cílà',cìɣóyé,cílà',cìɣóyé,cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìɣóyé,cílà',cìkìs,cílà',cìkìs,cílà',cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cílà',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìtàˑ,cìdài',cìmáˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdài'
8,0.023791453758919667,1.1845669063871143,1.1607754526281946,cílà',cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cìkìs,cílà',cílà',cìɣóyé,cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cìkìs,cílà',cìɣóyé,cílà',cílà',cìkìs,cìɣóyé,cílà',cìkìs,cìkìs,cìkìs,cìɣóyé,cílà',cìɣóyé,cílà',cìkìs,cílà',cìɣóyé,cìkìs,cìɣóyé,cìkìs,cìɣóyé,cílà',cìɣóyé,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cìkìs,cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cìdài',cìdài',cìtàˑ,cìmáˑ',cìdèˑdéˑ',cìtàˑ,cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdài',cìdài',cìdài',cìdài',cìdài'
9,0.021095305614325266,1.0805042880624138,1.0594089824480886,cílà',cílà',cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cílà',cìɣóyé,cìkìs,cìkìs,cìkìs,cílà',cílà',cílà',cílà',cìkìs,cìkìs,cìkìs,cìkìs,cìkìs,cílà',cìkìs,cílà',cílà',cílà',cìkìs,cìɣóyé,cìkìs,cìkìs,cílà',cìkìs,cìkìs,cìkìs,cílà',cílà',cìɣóyé,cìkìs,cílà',cílà',cìkìs,cílà',cìɣóyé,cìkìs,cílà',cìɣóyé,cílà',cílà',cìkìs,cílà',cílà',cílà',cìkìs,cílà',cílà',cìɣóyé,cìɣóyé,cìɣóyé,cílà',cìkìs,cílà',cìkìs,cìɣóyé,cílà',cílà',cìkìs,cìkìs,cìɣóyé,cìkìs,cílà',cìkìs,cílà',cílà',cìkìs,cìkìs,cìkìs,cílà',cìdèˑdéˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdài',cìdài',cìdèˑdéˑ',cìtàˑ,cìdài',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìdèˑdéˑ',cìdài',cìdèˑdéˑ',cìmáˑ',cìdài',cìdài',cìmáˑ',cìdèˑdéˑ',cìdèˑdéˑ',cìtàˑ,cìdài',cìdài'
