simulation_number,mutual_information,entropy,conditional_entropy,fZ,mB,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3506959840777646,2.552240701699734,2.2015447176219696,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,wandaya umu-keehe,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya umu-khulu,yaaya,yaaya,yaaya,yaaya umu-keehe,yaaya,yaaya,yaaya,yaaya,yaaya,wandayase umu-keehe,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandaya umu-khulu,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandayase,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,wandaya umu-khulu,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,wandaya umu-keehe,yaaya,khi-khy-anyå-nyinå,wandayase umu-khulu,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,mai,paapa umu-khulu,maama umu-khulu,mahi,paapa,baba,maama umu-keehe,mai,mahi umu-keehe,senge umu-keehe,senge,maama,baba,paapa umu-keehe,senge umu-khulu,mahi umu-khulu
1,0.49237901115226457,2.5756697230623264,2.083290711910062,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya umu-keehe,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,wandayase umu-keehe,khi-khy-anyå-nyinå,yaaya,yaaya,wandaya umu-khulu,yaaya,yaaya,yaaya,wandaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,wandayase,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,wandaya umu-khulu,yaaya,wandayase umu-khulu,wandaya umu-keehe,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya umu-khulu,yaaya,wandaya umu-keehe,yaaya,paapa umu-khulu,mahi,maama umu-khulu,maama,paapa umu-keehe,paapa,mai,baba,senge,mai,senge umu-khulu,baba,maama umu-keehe,mahi umu-keehe,mahi umu-khulu,senge umu-keehe
2,0.47599941720454275,2.5201061189732177,2.044106701768675,wandayase umu-khulu,yaaya,wandayase,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,wandayase umu-keehe,wandaya umu-khulu,yaaya,wandaya umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,wandaya,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya umu-keehe,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,yaaya umu-khulu,khi-khy-anyå-nyinå,yaaya,yaaya,maama,baba,maama umu-khulu,paapa umu-keehe,mahi umu-keehe,mai,paapa,senge,maama umu-keehe,mahi,mai,senge umu-keehe,paapa umu-khulu,mahi umu-khulu,baba,senge umu-khulu
3,0.43486205558154944,2.5522407016997337,2.1173786461181843,wandayase umu-keehe,yaaya,yaaya,yaaya,wandayase umu-khulu,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,wandaya umu-khulu,yaaya,wandaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandaya umu-keehe,yaaya,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya umu-keehe,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandayase,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya umu-khulu,wandaya umu-khulu,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,mai,maama umu-keehe,senge,mahi umu-keehe,baba,senge umu-khulu,paapa umu-khulu,baba,mai,mahi umu-khulu,senge umu-keehe,mahi,paapa umu-keehe,maama,paapa,maama umu-khulu
4,0.5411063780091339,2.575669723062326,2.034563345053192,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya umu-khulu,yaaya,yaaya,yaaya,yaaya,wandayase umu-keehe,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,wandaya umu-khulu,yaaya,wandaya umu-khulu,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya umu-keehe,yaaya,yaaya,wandaya umu-keehe,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandayase umu-khulu,yaaya,wandayase,mahi umu-keehe,paapa umu-khulu,maama,maama umu-keehe,maama umu-khulu,baba,senge umu-khulu,senge,paapa umu-keehe,paapa,mahi,senge umu-keehe,mai,baba,mahi umu-khulu,mai
5,0.3694224651961959,2.543802380116901,2.174379914920705,khi-khy-anyå-nyinå,yaaya,wandaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,wandayase umu-keehe,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,wandaya umu-khulu,yaaya,yaaya,yaaya,wandaya umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya umu-keehe,yaaya umu-khulu,khi-khy-anyå-nyinå,wandayase umu-khulu,yaaya,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,wandayase,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,mahi,baba,mai,senge umu-keehe,mai,mahi umu-keehe,mahi umu-khulu,baba,maama umu-khulu,paapa umu-khulu,senge umu-khulu,paapa,senge,maama umu-keehe,paapa umu-keehe,maama
6,0.4062787190887547,2.589823018312326,2.183544299223571,wandayase umu-keehe,yaaya,yaaya,khi-khy-anyå-nyinå,wandaya umu-khulu,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya umu-keehe,yaaya,yaaya,yaaya,yaaya,wandayase umu-khulu,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandaya umu-keehe,yaaya,yaaya umu-khulu,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandayase,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandaya umu-keehe,wandaya umu-khulu,yaaya,yaaya,yaaya,yaaya,wandaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,mahi umu-khulu,maama umu-khulu,mai,senge,senge umu-keehe,maama,baba,senge umu-khulu,mahi,mai,maama umu-keehe,paapa umu-keehe,baba,paapa,mahi umu-keehe,paapa umu-khulu
7,0.42077445493166943,2.537025862583728,2.1162514076520584,yaaya,yaaya,yaaya,wandaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,wandaya umu-khulu,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandayase umu-keehe,yaaya,yaaya,yaaya,wandayase umu-khulu,yaaya,yaaya,wandaya umu-khulu,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,wandaya umu-keehe,wandayase,yaaya umu-keehe,yaaya,wandaya umu-keehe,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,mai,senge,mahi umu-khulu,mahi umu-keehe,paapa,mai,maama umu-khulu,paapa umu-keehe,maama,paapa umu-khulu,senge umu-keehe,mahi,baba,baba,maama umu-keehe,senge umu-khulu
8,0.4323963991977706,2.575669723062326,2.1432733238645554,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,wandayase umu-khulu,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,yaaya umu-keehe,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya umu-khulu,wandaya umu-keehe,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandaya umu-khulu,yaaya,yaaya,wandaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandaya umu-khulu,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,wandaya umu-keehe,yaaya,khi-khy-anyå-nyinå,yaaya,wandayase,yaaya,khi-khy-anyå-nyinå,yaaya,wandayase umu-keehe,yaaya,yaaya,yaaya,yaaya,senge umu-keehe,mahi,paapa,mahi umu-khulu,paapa umu-keehe,maama umu-khulu,senge umu-khulu,senge,mahi umu-keehe,baba,mai,maama,maama umu-keehe,paapa umu-khulu,mai,baba
9,0.41301004154055443,2.575669723062325,2.1626596815217707,yaaya,yaaya,yaaya,yaaya,yaaya,wandaya umu-keehe,wandaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,wandaya umu-khulu,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandayase umu-keehe,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,wandaya umu-khulu,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,wandayase umu-khulu,yaaya,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,khi-khy-anyå-nyinå,yaaya,yaaya,wandaya umu-keehe,yaaya,yaaya,yaaya,yaaya umu-khulu,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya umu-keehe,yaaya,khi-khy-anyå-nyinå,yaaya,khi-khy-anyå-nyinå,wandayase,khi-khy-anyå-nyinå,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,paapa,paapa umu-keehe,mahi umu-keehe,senge umu-keehe,baba,senge umu-khulu,maama umu-keehe,mai,mahi umu-khulu,paapa umu-khulu,senge,maama,maama umu-khulu,mai,mahi,baba
