simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07653499521095641,1.5550837397629378,1.4785487445519814,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ mɨih,meʔ sâi,meʔ mɨih,meʔ mɨih,ʔoiŋ mɨih hân,meʔ mɨih,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ diŋ,meʔ sâi,meʔ sâi,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ mɨih
1,0.11473304144481644,1.5768231906224408,1.4620901491776244,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ma kan,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ sâi,meʔ sâi,ʔoiŋ mɨih hân,meʔ mɨih,ʔoiŋ diŋ,meʔ mɨih,meʔ mɨih,meʔ mɨih,meʔ sâi,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ,meʔ sâi,ʔoiŋ,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,ʔoiŋ mɨih hân,meʔ sâi
2,0.06786636204993601,1.5370977812943687,1.4692314192444327,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,meʔ mɨih,meʔ sâi,meʔ mɨih,meʔ sâi,meʔ sâi,ʔoiŋ diŋ,meʔ mɨih,meʔ sâi,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ,meʔ mɨih,meʔ sâi,ʔoiŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ sâi,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân
3,0.059469241340752266,1.5175036005547107,1.4580343592139584,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ma ra,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,meʔ mɨih,ʔoiŋ diŋ,meʔ sâi,meʔ sâi,meʔ mɨih,meʔ sâi,ʔoiŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ mɨih,ʔoiŋ mɨih hân,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ mɨih hân,meʔ mɨih,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ
4,0.09555277061179202,1.4901335699870961,1.394580799375304,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,meʔ mɨih,ʔoiŋ diŋ,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ mɨih hân,meʔ mɨih,meʔ mɨih,ʔoiŋ,meʔ mɨih,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,meʔ sâi,ʔoiŋ,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ diŋ
5,0.11092742549869095,1.5239659022978824,1.4130384767991915,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,meʔ sâi,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ,ʔoiŋ mɨih hân,meʔ mɨih,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ diŋ
6,0.06407100962903445,1.5334825628558362,1.4694115532268017,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,meʔ sâi,ʔoiŋ diŋ,meʔ sâi,meʔ sâi,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân,meʔ mɨih,meʔ sâi,meʔ mɨih,meʔ mɨih,meʔ mɨih,ʔoiŋ,ʔoiŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ diŋ,ʔoiŋ mɨih hân
7,0.07050124779281886,1.5561945783151927,1.4856933305223738,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ sâi,meʔ mɨih,meʔ mɨih,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,ʔoiŋ mɨih hân,ʔoiŋ,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ mɨih,meʔ sâi,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân
8,0.07144401185234783,1.5550837397629378,1.48363972791059,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔoiŋ,meʔ mɨih,ʔoiŋ diŋ,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,meʔ mɨih,meʔ mɨih,meʔ sâi,ʔoiŋ,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ mɨih hân,ʔoiŋ diŋ,meʔ sâi,meʔ mɨih,meʔ sâi,ʔoiŋ diŋ,meʔ mɨih,meʔ sâi
9,0.09132389809419239,1.5744561894580396,1.4831322913638472,ʔuei ʔait,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ma kan,ʔuei ʔait,ʔuei ʔait ma kan,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ma ra,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔuei ʔait,ʔoiŋ diŋ,ʔoiŋ,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,meʔ mɨih,ʔoiŋ diŋ,meʔ sâi,ʔoiŋ diŋ,ʔoiŋ diŋ,meʔ mɨih,meʔ mɨih,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ mɨih hân,ʔoiŋ,meʔ sâi,meʔ mɨih,ʔoiŋ diŋ,meʔ sâi,meʔ sâi,ʔoiŋ mɨih hân,meʔ mɨih,meʔ sâi,ʔoiŋ mɨih hân,ʔoiŋ diŋ
