simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMZS,mFZD,mMBD,mMZD,fFZS,fMBS,fMZS,fFZD,fMBD,fMZD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.32572336408704616,1.3051929781080598,0.9794696140210136,mimi,mimi,mama,mama,mimi,tay,tay,mama,mimi,mimi,tay,natungu nanoay,ngoreng,ngoreng,ngoreng,ngoreng,nanungu nangoroy,ngoreng,ngoreng,ngoreng,ngoreng,ngoreng,natungu nanoay,nanungu nangoroy,mama,natungu nanoay,natungu nanoay,nanungu nangoroy,ngoreng,mama,nanungu nangoroy,tay,nanungu nangoroy,mimi,tay,natungu nanoay,mama,tay,natungu nanoay,nanungu nangoroy,natungu nanoay,natungu nanoay,natungu nanoay,mama,nanungu nangoroy,nanungu nangoroy,ngoreng,mama,ngoreng,mimi,tay,mama,mama,nanungu nangoroy,tay,mimi,tay,mimi,mimi,ngoreng,nanungu nangoroy,ngoreng,tay,natungu nanoay,tay,tay,tétè,tétè,mimi,tétè,mimi,aloa,aloa,tétè,mama,tétè,mama,mimi,mama,aloa,mama,mimi,mama,tétè,aloa,mama
1,0.21426757053462797,1.3263516522163905,1.1120840816817625,ngoreng,tay,ngoreng,natungu nanoay,natungu nanoay,mimi,mama,tay,ngoreng,nanungu nangoroy,tay,nanungu nangoroy,mama,mimi,tay,mama,mimi,natungu nanoay,natungu nanoay,tay,ngoreng,mama,mimi,mama,natungu nanoay,ngoreng,nanungu nangoroy,nanungu nangoroy,tay,tay,mimi,nanungu nangoroy,ngoreng,mimi,natungu nanoay,nanungu nangoroy,mama,tay,tay,ngoreng,natungu nanoay,nanungu nangoroy,ngoreng,mimi,nanungu nangoroy,mama,ngoreng,tay,nanungu nangoroy,mimi,ngoreng,nanungu nangoroy,mama,natungu nanoay,natungu nanoay,mimi,tay,ngoreng,mama,tay,mama,ngoreng,ngoreng,mimi,ngoreng,natungu nanoay,mama,tétè,tétè,tétè,mama,mama,mama,mimi,aloa,tétè,mama,tétè,aloa,mimi,mimi,mimi,mama,tétè,aloa,aloa
2,0.30658352029236546,1.3435745371638892,1.0369910168715237,nanungu nangoroy,nanungu nangoroy,ngoreng,tay,ngoreng,natungu nanoay,mimi,mimi,natungu nanoay,mama,mama,natungu nanoay,ngoreng,mama,ngoreng,nanungu nangoroy,natungu nanoay,mama,ngoreng,mimi,ngoreng,mama,mimi,tay,tay,mama,natungu nanoay,mama,ngoreng,mimi,nanungu nangoroy,mimi,ngoreng,ngoreng,nanungu nangoroy,nanungu nangoroy,natungu nanoay,nanungu nangoroy,natungu nanoay,tay,ngoreng,tay,nanungu nangoroy,mama,tay,nanungu nangoroy,mimi,natungu nanoay,ngoreng,tay,mimi,ngoreng,tay,natungu nanoay,nanungu nangoroy,mama,mama,mimi,ngoreng,tay,tay,ngoreng,tay,mimi,tay,natungu nanoay,mama,mama,tétè,aloa,aloa,mama,mama,mimi,mama,mimi,tétè,aloa,tétè,aloa,tétè,mimi,mama,mimi,tétè,tétè
3,0.463232623844928,1.34074115487645,0.877508531031522,nanungu nangoroy,tay,tay,ngoreng,tay,mimi,nanungu nangoroy,natungu nanoay,ngoreng,tay,mama,natungu nanoay,nanungu nangoroy,ngoreng,nanungu nangoroy,ngoreng,mama,tay,mimi,mama,tay,ngoreng,ngoreng,tay,mama,mama,ngoreng,ngoreng,natungu nanoay,tay,ngoreng,tay,mimi,natungu nanoay,nanungu nangoroy,ngoreng,ngoreng,ngoreng,mimi,tay,natungu nanoay,ngoreng,mimi,natungu nanoay,mimi,natungu nanoay,mimi,natungu nanoay,mama,mama,mama,mama,nanungu nangoroy,mimi,nanungu nangoroy,nanungu nangoroy,mimi,natungu nanoay,tay,natungu nanoay,mama,ngoreng,nanungu nangoroy,tay,nanungu nangoroy,mimi,aloa,tétè,aloa,tétè,aloa,mimi,mama,tétè,tétè,mama,tétè,aloa,mama,mama,mimi,mama,mimi,mimi,mama,tétè
4,0.23537466738401247,1.2953962420002827,1.0600215746162702,tay,tay,tay,mimi,mimi,natungu nanoay,natungu nanoay,ngoreng,ngoreng,mama,ngoreng,ngoreng,tay,nanungu nangoroy,mama,natungu nanoay,mimi,tay,mama,mimi,natungu nanoay,tay,natungu nanoay,mama,nanungu nangoroy,ngoreng,mimi,mimi,mimi,ngoreng,natungu nanoay,natungu nanoay,natungu nanoay,nanungu nangoroy,tay,mama,mimi,ngoreng,tay,tay,tay,mama,nanungu nangoroy,nanungu nangoroy,mama,nanungu nangoroy,tay,nanungu nangoroy,ngoreng,natungu nanoay,nanungu nangoroy,mama,natungu nanoay,nanungu nangoroy,mama,mimi,tay,ngoreng,nanungu nangoroy,ngoreng,ngoreng,mama,ngoreng,ngoreng,mimi,ngoreng,tétè,mama,mama,tétè,aloa,aloa,tétè,aloa,tétè,mimi,mama,mimi,mimi,mama,mimi,aloa,tétè,tétè,mama,mama
5,0.33102446120223994,1.366029761501777,1.035005300299537,ngoreng,nanungu nangoroy,mama,ngoreng,ngoreng,mama,tay,tay,mimi,ngoreng,tay,mimi,mama,nanungu nangoroy,nanungu nangoroy,mama,mimi,nanungu nangoroy,natungu nanoay,tay,mimi,natungu nanoay,mama,ngoreng,mimi,natungu nanoay,natungu nanoay,mimi,tay,tay,natungu nanoay,tay,tay,ngoreng,ngoreng,mimi,ngoreng,ngoreng,natungu nanoay,nanungu nangoroy,tay,ngoreng,ngoreng,nanungu nangoroy,natungu nanoay,natungu nanoay,ngoreng,mama,mama,nanungu nangoroy,ngoreng,nanungu nangoroy,mama,natungu nanoay,mimi,mama,tay,nanungu nangoroy,ngoreng,tay,mama,tay,mimi,natungu nanoay,nanungu nangoroy,mimi,mimi,mama,mama,tétè,tétè,aloa,aloa,aloa,aloa,tétè,tétè,tétè,mama,mama,mimi,mimi,tétè,mama,mama,mimi
6,0.39004520885576666,1.3703338552969644,0.9802886464411977,ngoreng,nanungu nangoroy,natungu nanoay,ngoreng,ngoreng,mimi,nanungu nangoroy,mama,ngoreng,nanungu nangoroy,nanungu nangoroy,tay,tay,tay,tay,natungu nanoay,mimi,mama,mama,mimi,ngoreng,mimi,ngoreng,natungu nanoay,nanungu nangoroy,ngoreng,natungu nanoay,ngoreng,mama,nanungu nangoroy,natungu nanoay,tay,ngoreng,natungu nanoay,mama,ngoreng,mimi,ngoreng,tay,tay,natungu nanoay,ngoreng,tay,nanungu nangoroy,mama,mimi,mimi,tay,mama,mimi,natungu nanoay,natungu nanoay,tay,mimi,ngoreng,mama,mama,mimi,mama,ngoreng,natungu nanoay,tay,nanungu nangoroy,tay,nanungu nangoroy,nanungu nangoroy,mimi,tétè,mimi,tétè,tétè,aloa,aloa,mama,mimi,mama,mama,tétè,tétè,mama,aloa,mama,tétè,mimi,aloa,mama
7,0.17489091485865882,1.366029761501777,1.191138846643118,mama,mimi,nanungu nangoroy,mama,ngoreng,mama,ngoreng,natungu nanoay,natungu nanoay,ngoreng,nanungu nangoroy,mimi,tay,nanungu nangoroy,nanungu nangoroy,ngoreng,mimi,mimi,ngoreng,tay,mimi,mimi,tay,ngoreng,natungu nanoay,ngoreng,mimi,mimi,tay,tay,mama,mama,nanungu nangoroy,mama,ngoreng,tay,ngoreng,tay,natungu nanoay,ngoreng,ngoreng,mimi,mama,tay,natungu nanoay,natungu nanoay,natungu nanoay,natungu nanoay,tay,tay,nanungu nangoroy,natungu nanoay,mimi,ngoreng,mama,mama,nanungu nangoroy,nanungu nangoroy,nanungu nangoroy,ngoreng,natungu nanoay,mama,tay,nanungu nangoroy,ngoreng,tay,mimi,aloa,mama,tétè,mama,tétè,mimi,aloa,mama,mama,tétè,aloa,mama,mimi,tétè,mama,mimi,aloa,tétè,tétè
8,0.2539745342393489,1.3758264976095544,1.1218519633702055,mama,nanungu nangoroy,ngoreng,nanungu nangoroy,ngoreng,ngoreng,mimi,ngoreng,natungu nanoay,natungu nanoay,tay,tay,nanungu nangoroy,tay,natungu nanoay,natungu nanoay,ngoreng,ngoreng,mimi,mama,natungu nanoay,natungu nanoay,natungu nanoay,mimi,nanungu nangoroy,tay,mama,mama,tay,mimi,ngoreng,mimi,ngoreng,tay,tay,mama,mimi,ngoreng,ngoreng,nanungu nangoroy,mama,ngoreng,ngoreng,tay,natungu nanoay,ngoreng,mimi,mimi,mama,nanungu nangoroy,ngoreng,nanungu nangoroy,nanungu nangoroy,mimi,nanungu nangoroy,mama,tay,mama,tay,natungu nanoay,natungu nanoay,tay,mimi,mama,nanungu nangoroy,tay,mama,aloa,aloa,mimi,mama,tétè,mama,tétè,tétè,mimi,tétè,mama,tétè,mimi,tétè,mimi,aloa,mama,mama,aloa
9,0.18667336753842312,1.3758264976095544,1.1891531300711313,mimi,mama,natungu nanoay,ngoreng,ngoreng,tay,nanungu nangoroy,natungu nanoay,ngoreng,tay,tay,tay,natungu nanoay,tay,nanungu nangoroy,mimi,nanungu nangoroy,tay,mimi,tay,mama,mama,natungu nanoay,ngoreng,mimi,nanungu nangoroy,natungu nanoay,natungu nanoay,mimi,mimi,tay,mama,ngoreng,nanungu nangoroy,tay,ngoreng,natungu nanoay,ngoreng,mimi,mama,mimi,mama,nanungu nangoroy,mama,natungu nanoay,natungu nanoay,ngoreng,nanungu nangoroy,mama,nanungu nangoroy,ngoreng,ngoreng,ngoreng,mimi,mimi,nanungu nangoroy,tay,nanungu nangoroy,ngoreng,tay,natungu nanoay,ngoreng,mama,tay,mama,ngoreng,tétè,mimi,aloa,mimi,mama,tétè,tétè,tétè,mama,tétè,tétè,mimi,mama,mimi,mama,aloa,mama,mama,aloa,aloa
