simulation_number,mutual_information,entropy,conditional_entropy,meZ,feB,feZ,mB,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fB,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,myB,fyB,meB,mFeZ,fFeZ,mF,mM,mFB,mFZ,mMB,mFyB,mMeB,mFeB,fF,fM,fFB,fFZ,fMB,fFyB,fMeB,fFeB,mMyB,mFyZ,fFyZ,fMyB
0,0.5312882217216133,2.039751238732163,1.5084630170105495,boní,boní,ba'či,ra'techi,ra'techi,wayé,boní,ba'či,go'či,boní,boní,ra'terá,boní,boní,boní,boní,go'či,boní,ra'téchiwa,boní,ra'terá,ra'techiwa,boní,boní,boní,boní,boní,boní,boní,boní,rijimara,boní,biní,boní,boní,boní,boní,rijimara,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,(y)eyé,kurichi,kurichi,(y)eyé,soró,baporá,kumú-či,apó,kumú-či,onó,ri'chirá,kumú-či,onó,kumú-či,ra'té,baporá,kumú-či,kumú-či,ri'chirá,soró,apó,ri'chirá
1,0.30194593631550504,1.9237846890335655,1.6218387527180604,boní,boní,ra'terá,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,ba'či,biní,boní,rijimara,boní,boní,go'či,ra'techiwa,boní,boní,boní,boní,boní,boní,boní,boní,ra'techi,boní,boní,boní,ra'téchiwa,boní,wayé,ra'techi,go'či,boní,boní,rijimara,boní,ra'terá,boní,ba'či,soró,(y)eyé,kumú-či,(y)eyé,apó,kumú-či,ri'chirá,ra'té,kumú-či,kumú-či,kumú-či,soró,onó,kumú-či,baporá,kurichi,apó,baporá,ri'chirá,ri'chirá,onó,kurichi
2,0.4086014010007477,2.0903811190702153,1.6817797180694676,boní,ra'téchiwa,boní,boní,boní,boní,boní,go'či,boní,boní,boní,boní,boní,boní,boní,ra'terá,boní,boní,boní,boní,boní,boní,biní,boní,rijimara,ba'či,ra'terá,boní,boní,rijimara,boní,boní,wayé,boní,boní,boní,ba'či,boní,ra'techi,ra'techi,go'či,boní,boní,boní,boní,ra'techiwa,boní,boní,boní,kumú-či,apó,ra'té,baporá,apó,(y)eyé,ri'chirá,(y)eyé,kumú-či,soró,baporá,onó,soró,ri'chirá,kumú-či,ri'chirá,kurichi,kurichi,onó,kumú-či,kumú-či,kumú-či
3,0.6104946580412944,1.942135601874703,1.3316409438334085,boní,boní,wayé,boní,boní,boní,boní,boní,boní,ra'terá,boní,boní,rijimara,ra'techiwa,boní,ra'techi,boní,boní,ba'či,boní,boní,boní,boní,boní,boní,go'či,biní,boní,boní,ra'terá,boní,boní,boní,boní,go'či,ra'téchiwa,boní,ra'techi,boní,boní,boní,boní,boní,boní,ba'či,boní,boní,boní,rijimara,onó,kumú-či,(y)eyé,(y)eyé,kumú-či,kumú-či,kumú-či,soró,onó,kumú-či,apó,baporá,ri'chirá,soró,kumú-či,ri'chirá,ra'té,baporá,kurichi,kurichi,apó,ri'chirá
4,0.438925501936573,2.024020883282955,1.585095381346382,boní,ra'techi,boní,go'či,boní,boní,ra'techi,ra'terá,boní,boní,boní,boní,boní,boní,boní,boní,ra'terá,boní,rijimara,boní,boní,boní,boní,boní,rijimara,boní,boní,ba'či,boní,boní,biní,ra'techiwa,boní,boní,boní,boní,boní,boní,ra'téchiwa,boní,boní,go'či,boní,ba'či,boní,boní,boní,wayé,boní,kumú-či,apó,onó,kumú-či,soró,kurichi,ri'chirá,kumú-či,baporá,kumú-či,kumú-či,baporá,ra'té,soró,(y)eyé,apó,kurichi,ri'chirá,kumú-či,(y)eyé,onó,ri'chirá
5,0.44300217016265675,2.0003675198860167,1.55736534972336,boní,boní,boní,boní,boní,boní,boní,ra'terá,ra'techi,boní,wayé,boní,boní,boní,ba'či,boní,boní,boní,boní,boní,ra'téchiwa,boní,boní,boní,ra'techiwa,boní,ba'či,boní,ra'terá,rijimara,boní,boní,boní,boní,boní,go'či,boní,boní,boní,rijimara,boní,biní,ra'techi,boní,boní,boní,boní,boní,go'či,ri'chirá,kumú-či,soró,kumú-či,ri'chirá,onó,kurichi,ri'chirá,soró,apó,onó,kumú-či,baporá,baporá,(y)eyé,kurichi,kumú-či,apó,kumú-či,(y)eyé,ra'té,kumú-či
6,0.41045026407785823,2.1340647420155925,1.7236144779377343,boní,boní,wayé,boní,boní,boní,ra'terá,go'či,boní,boní,boní,boní,boní,boní,boní,ra'techi,ra'terá,boní,boní,boní,go'či,ba'či,rijimara,boní,ra'téchiwa,ra'techi,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,ra'techiwa,rijimara,boní,ba'či,boní,boní,boní,boní,boní,boní,biní,kurichi,apó,ra'té,soró,ri'chirá,(y)eyé,onó,kumú-či,soró,kumú-či,baporá,onó,baporá,kumú-či,apó,(y)eyé,kumú-či,ri'chirá,kurichi,kumú-či,ri'chirá,kumú-či
7,0.3683879258372509,2.031571951584973,1.6631840257477222,boní,boní,boní,rijimara,boní,boní,ba'či,boní,boní,boní,boní,boní,boní,boní,boní,boní,ba'či,boní,ra'terá,boní,go'či,boní,boní,ra'téchiwa,rijimara,ra'techiwa,ra'techi,boní,boní,boní,ra'techi,boní,boní,go'či,boní,boní,boní,boní,boní,biní,boní,ra'terá,wayé,boní,boní,boní,boní,boní,boní,ri'chirá,baporá,kumú-či,ra'té,kumú-či,kurichi,(y)eyé,soró,onó,kumú-či,soró,(y)eyé,apó,kumú-či,onó,kumú-či,kurichi,apó,baporá,ri'chirá,kumú-či,ri'chirá
8,0.4744048190585404,2.0106552187434463,1.536250399684906,wayé,boní,go'či,boní,boní,boní,ra'techi,boní,boní,boní,go'či,ra'techi,boní,boní,boní,boní,boní,ra'techiwa,boní,boní,boní,biní,rijimara,boní,boní,boní,boní,boní,boní,boní,rijimara,boní,boní,boní,ba'či,boní,ra'terá,ba'či,ra'téchiwa,boní,boní,boní,boní,boní,ra'terá,boní,boní,boní,boní,apó,baporá,ri'chirá,soró,soró,ra'té,(y)eyé,kumú-či,ri'chirá,kumú-či,kumú-či,ri'chirá,apó,kurichi,kurichi,kumú-či,(y)eyé,baporá,kumú-či,onó,onó,kumú-či
9,0.5677951039763707,1.921355256207275,1.3535601522309044,boní,boní,wayé,boní,go'či,ra'téchiwa,boní,boní,boní,ra'terá,boní,boní,ra'techi,biní,boní,boní,boní,ra'techi,boní,boní,ra'techiwa,ba'či,boní,rijimara,ba'či,boní,boní,go'či,boní,boní,boní,boní,rijimara,ra'terá,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,boní,apó,ra'té,ri'chirá,kumú-či,soró,apó,ri'chirá,baporá,(y)eyé,kumú-či,kurichi,kumú-či,(y)eyé,kumú-či,onó,kurichi,onó,kumú-či,soró,baporá,ri'chirá,kumú-či
