simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,meB,myB,meZ,myZ,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ
0,0.20896585244857713,1.3761563907972651,1.167190538348688,amiya,apmaliya,apmaliya,apmaliya,apmaliya,ayteye,amiya,angkuriya,amiya,angkuriya,amiya,angkiliya,angkiliya,aytiyatja,altjiliya,angkiliya,aytiyatja,angkiliya,altjiliya,altjiliya,amiya,amiya,altjiliya,altjiliya,aytiyatja,angkuriya,awiyatja,aytiyatja,aytiyatja,angkiliya,angkiliya,apmaliya,angkuriya,angkiliya,aytiyatja,apmaliya,aytiyatja,aytiyatja,awiyatja,awiyatja,aytiyatja,apmaliya,angkuriya,apmaliya,altjiliya,apmaliya,aytiyatja,aytiyatja,ayteye,altjiliya,awiyatja,altjiliya,angkiliya,altjiliya,amiya,amiya,aytiyatja,awiyatja,angkiliya,amiya,kakeye,altjiliya,amiya,kakeye,apmaliya,angkuriya,angkiliya,awuniya,akngiya,apmaliya,apmaliya,akngiya,amiya,akngiya,akngiya,akngiya,apmaliya,amiya,awuniya,amiya,awuniya,akngiya,amiya,amiya,apmaliya,amiya,akngiya,awuniya,apmaliya,awuniya,akngiya,amiya,amiya,awuniya,apmaliya
1,0.2348556762382612,1.3744383550827897,1.1395826788445285,angkiliya,amiya,kakeye,apmaliya,angkiliya,ayteye,aytiyatja,angkiliya,apmaliya,angkuriya,apmaliya,aytiyatja,altjiliya,awiyatja,aytiyatja,angkiliya,apmaliya,apmaliya,angkiliya,angkuriya,angkiliya,amiya,amiya,awiyatja,angkuriya,ayteye,aytiyatja,angkuriya,altjiliya,amiya,amiya,angkiliya,aytiyatja,amiya,aytiyatja,angkiliya,apmaliya,altjiliya,altjiliya,amiya,awiyatja,amiya,apmaliya,aytiyatja,angkuriya,altjiliya,altjiliya,aytiyatja,amiya,aytiyatja,awiyatja,awiyatja,angkiliya,aytiyatja,amiya,altjiliya,aytiyatja,apmaliya,altjiliya,apmaliya,kakeye,aytiyatja,apmaliya,angkiliya,altjiliya,angkuriya,altjiliya,apmaliya,apmaliya,akngiya,akngiya,apmaliya,apmaliya,apmaliya,awuniya,amiya,amiya,amiya,amiya,akngiya,akngiya,akngiya,awuniya,amiya,awuniya,apmaliya,amiya,akngiya,akngiya,awuniya,awuniya,amiya,akngiya,awuniya,amiya
2,0.2201105732111317,1.3547104187179275,1.1345998455067958,aytiyatja,kakeye,awiyatja,aytiyatja,kakeye,angkiliya,apmaliya,altjiliya,apmaliya,altjiliya,ayteye,awiyatja,angkuriya,aytiyatja,amiya,apmaliya,aytiyatja,aytiyatja,amiya,angkiliya,angkiliya,angkiliya,amiya,apmaliya,aytiyatja,aytiyatja,awiyatja,altjiliya,amiya,awiyatja,amiya,altjiliya,altjiliya,amiya,amiya,amiya,angkiliya,altjiliya,altjiliya,apmaliya,angkuriya,angkiliya,apmaliya,aytiyatja,angkiliya,aytiyatja,angkiliya,apmaliya,angkiliya,amiya,angkuriya,amiya,altjiliya,aytiyatja,altjiliya,apmaliya,angkuriya,altjiliya,angkuriya,aytiyatja,awiyatja,aytiyatja,ayteye,angkiliya,angkuriya,apmaliya,apmaliya,awuniya,akngiya,apmaliya,awuniya,amiya,akngiya,apmaliya,amiya,apmaliya,akngiya,akngiya,apmaliya,apmaliya,amiya,amiya,akngiya,akngiya,awuniya,awuniya,awuniya,awuniya,akngiya,apmaliya,amiya,amiya,amiya,amiya,akngiya
3,0.1960959449109385,1.3583577403272291,1.1622617954162906,kakeye,altjiliya,apmaliya,angkuriya,angkiliya,angkuriya,awiyatja,ayteye,aytiyatja,aytiyatja,aytiyatja,altjiliya,angkuriya,aytiyatja,altjiliya,altjiliya,awiyatja,apmaliya,angkuriya,apmaliya,aytiyatja,angkiliya,awiyatja,amiya,apmaliya,amiya,amiya,amiya,amiya,ayteye,apmaliya,altjiliya,aytiyatja,aytiyatja,angkuriya,apmaliya,amiya,angkiliya,altjiliya,amiya,kakeye,altjiliya,angkiliya,awiyatja,apmaliya,apmaliya,angkiliya,aytiyatja,angkiliya,altjiliya,altjiliya,amiya,aytiyatja,apmaliya,awiyatja,angkiliya,amiya,aytiyatja,angkiliya,amiya,altjiliya,apmaliya,angkiliya,aytiyatja,aytiyatja,angkiliya,angkuriya,amiya,amiya,amiya,apmaliya,akngiya,awuniya,apmaliya,apmaliya,apmaliya,amiya,awuniya,amiya,apmaliya,awuniya,akngiya,akngiya,akngiya,awuniya,amiya,akngiya,akngiya,awuniya,akngiya,awuniya,amiya,akngiya,apmaliya,amiya
4,0.2551677372135781,1.3698771292414764,1.1147093920278983,amiya,angkuriya,angkiliya,angkiliya,aytiyatja,angkuriya,angkiliya,apmaliya,amiya,altjiliya,apmaliya,awiyatja,apmaliya,altjiliya,kakeye,apmaliya,apmaliya,angkiliya,angkiliya,aytiyatja,aytiyatja,amiya,amiya,aytiyatja,aytiyatja,awiyatja,amiya,altjiliya,angkuriya,aytiyatja,altjiliya,amiya,altjiliya,amiya,kakeye,apmaliya,awiyatja,amiya,angkiliya,aytiyatja,altjiliya,angkiliya,angkiliya,angkuriya,altjiliya,aytiyatja,ayteye,angkuriya,altjiliya,apmaliya,amiya,apmaliya,ayteye,angkiliya,aytiyatja,aytiyatja,apmaliya,angkiliya,altjiliya,angkuriya,aytiyatja,awiyatja,apmaliya,amiya,altjiliya,aytiyatja,awiyatja,apmaliya,awuniya,apmaliya,amiya,awuniya,amiya,akngiya,apmaliya,akngiya,apmaliya,amiya,akngiya,akngiya,awuniya,amiya,apmaliya,apmaliya,amiya,awuniya,akngiya,awuniya,amiya,akngiya,awuniya,amiya,amiya,akngiya,akngiya
5,0.2874462687673516,1.371510140637267,1.0840638718699154,awiyatja,apmaliya,amiya,angkiliya,ayteye,apmaliya,amiya,amiya,altjiliya,awiyatja,kakeye,apmaliya,altjiliya,apmaliya,altjiliya,angkiliya,aytiyatja,angkiliya,angkiliya,apmaliya,angkuriya,ayteye,aytiyatja,angkiliya,aytiyatja,awiyatja,apmaliya,altjiliya,aytiyatja,angkiliya,amiya,angkuriya,apmaliya,angkiliya,amiya,aytiyatja,kakeye,aytiyatja,aytiyatja,amiya,angkuriya,altjiliya,angkuriya,altjiliya,angkuriya,altjiliya,aytiyatja,amiya,apmaliya,altjiliya,angkiliya,angkiliya,angkiliya,amiya,aytiyatja,aytiyatja,amiya,aytiyatja,amiya,apmaliya,aytiyatja,awiyatja,awiyatja,altjiliya,angkuriya,altjiliya,apmaliya,apmaliya,amiya,akngiya,awuniya,apmaliya,amiya,akngiya,amiya,awuniya,akngiya,awuniya,amiya,amiya,apmaliya,akngiya,awuniya,akngiya,apmaliya,akngiya,amiya,amiya,apmaliya,akngiya,amiya,akngiya,apmaliya,awuniya,awuniya
6,0.198314562632258,1.38438564095395,1.186071078321692,aytiyatja,aytiyatja,altjiliya,altjiliya,kakeye,amiya,angkiliya,apmaliya,aytiyatja,awiyatja,apmaliya,aytiyatja,altjiliya,angkuriya,altjiliya,aytiyatja,angkiliya,aytiyatja,apmaliya,ayteye,angkuriya,aytiyatja,amiya,kakeye,altjiliya,awiyatja,altjiliya,amiya,angkiliya,ayteye,angkiliya,amiya,aytiyatja,aytiyatja,amiya,angkiliya,altjiliya,awiyatja,angkiliya,altjiliya,angkiliya,aytiyatja,awiyatja,apmaliya,apmaliya,aytiyatja,angkuriya,apmaliya,angkiliya,aytiyatja,apmaliya,amiya,awiyatja,altjiliya,amiya,amiya,angkiliya,amiya,apmaliya,altjiliya,apmaliya,apmaliya,angkuriya,angkiliya,angkuriya,amiya,angkuriya,apmaliya,amiya,awuniya,awuniya,akngiya,awuniya,apmaliya,akngiya,apmaliya,apmaliya,akngiya,amiya,akngiya,amiya,amiya,awuniya,akngiya,amiya,awuniya,amiya,amiya,akngiya,apmaliya,akngiya,amiya,awuniya,apmaliya,akngiya
7,0.17338157136924615,1.3543860243554926,1.1810044529862465,aytiyatja,amiya,angkiliya,altjiliya,amiya,altjiliya,ayteye,amiya,aytiyatja,altjiliya,aytiyatja,apmaliya,altjiliya,angkiliya,angkiliya,aytiyatja,amiya,amiya,apmaliya,altjiliya,altjiliya,aytiyatja,amiya,amiya,aytiyatja,amiya,angkiliya,angkiliya,angkiliya,ayteye,angkuriya,altjiliya,angkiliya,aytiyatja,apmaliya,apmaliya,angkuriya,aytiyatja,angkuriya,apmaliya,awiyatja,altjiliya,aytiyatja,altjiliya,apmaliya,kakeye,awiyatja,awiyatja,amiya,angkuriya,kakeye,awiyatja,aytiyatja,angkuriya,apmaliya,angkuriya,aytiyatja,aytiyatja,altjiliya,angkiliya,apmaliya,apmaliya,angkiliya,apmaliya,angkiliya,awiyatja,amiya,apmaliya,awuniya,awuniya,akngiya,amiya,akngiya,awuniya,awuniya,apmaliya,amiya,akngiya,apmaliya,awuniya,apmaliya,akngiya,akngiya,akngiya,amiya,amiya,apmaliya,amiya,amiya,akngiya,amiya,awuniya,amiya,akngiya,apmaliya
8,0.17468522868169822,1.3790101261277259,1.2043248974460277,awiyatja,angkiliya,aytiyatja,apmaliya,amiya,kakeye,awiyatja,apmaliya,angkiliya,aytiyatja,amiya,aytiyatja,altjiliya,awiyatja,altjiliya,altjiliya,angkuriya,altjiliya,angkiliya,kakeye,amiya,altjiliya,apmaliya,apmaliya,awiyatja,angkiliya,apmaliya,ayteye,angkiliya,angkuriya,angkuriya,angkiliya,aytiyatja,altjiliya,aytiyatja,aytiyatja,altjiliya,aytiyatja,angkiliya,angkuriya,amiya,amiya,angkiliya,amiya,aytiyatja,apmaliya,amiya,apmaliya,apmaliya,aytiyatja,aytiyatja,amiya,amiya,angkiliya,angkiliya,awiyatja,aytiyatja,angkuriya,angkuriya,ayteye,altjiliya,amiya,altjiliya,altjiliya,apmaliya,aytiyatja,apmaliya,amiya,akngiya,awuniya,awuniya,apmaliya,amiya,apmaliya,apmaliya,apmaliya,apmaliya,awuniya,amiya,awuniya,akngiya,awuniya,akngiya,akngiya,akngiya,amiya,amiya,amiya,akngiya,amiya,apmaliya,awuniya,akngiya,akngiya,amiya
9,0.31218931622733215,1.3547104187179273,1.0425211024905952,angkiliya,apmaliya,angkiliya,altjiliya,angkiliya,awiyatja,apmaliya,angkiliya,aytiyatja,aytiyatja,amiya,amiya,apmaliya,apmaliya,angkiliya,angkiliya,aytiyatja,angkuriya,altjiliya,awiyatja,apmaliya,aytiyatja,awiyatja,amiya,apmaliya,aytiyatja,angkuriya,amiya,angkiliya,altjiliya,aytiyatja,angkuriya,angkiliya,ayteye,amiya,amiya,aytiyatja,amiya,amiya,altjiliya,altjiliya,apmaliya,altjiliya,kakeye,amiya,angkuriya,amiya,altjiliya,angkiliya,angkiliya,angkuriya,aytiyatja,ayteye,altjiliya,altjiliya,aytiyatja,apmaliya,angkuriya,apmaliya,awiyatja,aytiyatja,apmaliya,awiyatja,kakeye,aytiyatja,altjiliya,aytiyatja,awuniya,akngiya,apmaliya,akngiya,amiya,apmaliya,amiya,akngiya,amiya,akngiya,amiya,amiya,awuniya,amiya,akngiya,awuniya,apmaliya,awuniya,awuniya,amiya,apmaliya,apmaliya,akngiya,apmaliya,akngiya,amiya,awuniya,akngiya
