simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mMeB,mMyB,fMeB,fMyB
0,0.08878194993480448,1.0789922078775833,0.9902102579427788,tʌu,tʌu,tʌu,tʌsi,tʌsi,tʌu,tʌsi,lavʌ,lavʌ,tʌmʌ,nnʌ,lavʌ,nnʌ,lavʌ,tʌmʌ
1,0.1807868681734337,1.0346012329101812,0.8538143647367475,tʌu,tʌsi,tʌsi,tʌu,tʌu,tʌu,tʌsi,tʌmʌ,lavʌ,lavʌ,nnʌ,lavʌ,nnʌ,tʌmʌ,lavʌ
2,0.004143433819589926,0.5982695885852573,0.5941261547656673,tʌu,tʌsi,tʌu,tʌsi,tʌu,tʌsi,tʌu,lavʌ,lavʌ,nnʌ,lavʌ,tʌmʌ,tʌmʌ,lavʌ,nnʌ
3,0.04439097496740252,1.0346012329101812,0.9902102579427787,tʌu,tʌsi,tʌu,tʌsi,tʌsi,tʌu,tʌu,lavʌ,nnʌ,lavʌ,tʌmʌ,lavʌ,lavʌ,tʌmʌ,nnʌ
4,0.004143433819589815,0.5982695885852573,0.5941261547656674,tʌu,tʌsi,tʌu,tʌsi,tʌu,tʌsi,tʌu,lavʌ,lavʌ,lavʌ,tʌmʌ,nnʌ,tʌmʌ,lavʌ,nnʌ
5,0.08878194993480437,0.9799711820833055,0.8911892321485011,tʌsi,tʌu,tʌu,tʌu,tʌsi,tʌsi,tʌu,nnʌ,tʌmʌ,lavʌ,lavʌ,nnʌ,tʌmʌ,lavʌ,lavʌ
6,0.005147809834208705,0.5195798391305154,0.5144320292963067,tʌu,tʌsi,tʌu,tʌu,tʌsi,tʌu,tʌsi,lavʌ,tʌmʌ,lavʌ,lavʌ,lavʌ,nnʌ,nnʌ,tʌmʌ
7,0.005147809834208705,0.5195798391305154,0.5144320292963067,tʌsi,tʌsi,tʌu,tʌu,tʌu,tʌu,tʌsi,nnʌ,lavʌ,lavʌ,lavʌ,tʌmʌ,nnʌ,tʌmʌ,lavʌ
8,0.007016107555648965,1.0346012329101812,1.0275851253545323,tʌu,tʌsi,tʌu,tʌu,tʌsi,tʌu,tʌsi,lavʌ,nnʌ,nnʌ,tʌmʌ,lavʌ,lavʌ,lavʌ,tʌmʌ
9,0.08878194993480437,0.6829081047004717,0.5941261547656673,tʌu,tʌsi,tʌu,tʌsi,tʌsi,tʌu,tʌu,nnʌ,nnʌ,lavʌ,lavʌ,tʌmʌ,lavʌ,lavʌ,tʌmʌ
