simulation_number,mutual_information,entropy,conditional_entropy,feB,mFBeS,fFBeS,mFBeD,mMZeD,meZ,mFZeS,mMBeS,mMByS,mFZyS,fFZeS,fFZyS,fMBeS,fMByS,fMZyD,fyZ,fFByD,myZ,mMZyD,mFByD,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,feZ,fFBeD,fMZeD,mFZeD,mFZyD,mMBeD,mMByD,fFZyD,fFZeD,fMBeD,fMByD,mMZeS,meB,mFeZ,mFyZ,fFeZ,fFyZ,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB,mF,fF,mFeB,mFyB,fFeB,fFyB
0,0.2599301927099794,1.0397207708399179,0.7797905781299385,e-chayʼ-pän-she,me-sun̤ʼ-kä,she-chayʼ-she,te-mdoʼ,te-mdoʼ,me-chun̤ʼ,e-chayʼ-pän-she,chin̤-yayʼ,me-tan̤ʼ-kä,me-sun̤ʼ-kä,te-mdoʼ,me-sun̤ʼ-kä,me-tänkʼ-she,e-chaʼ-pan̤-she,chin-yayʼ,tän̤-kayʼ,me-chun̤ʼ,me-sun̤ʼ-kä,e-chaʼ-pän-she,me-tan̤ʼ-kä,tan̤-kayʼ,hän̤-käʼ-she,me-tänkʼ-she,me-tankʼ-she,tan̤-hän̤ʼ-she,me-chun̤ʼ,she-chayʼ-she,hän̤-käʼ-she,she-chayʼ-she,tan̤-hän̤ʼ-she,tan̤-han̤ʼ-she,tän̤-kayʼ,me-sun̤ʼ-kä,hän̤-käʼ-she,me-tän̤ʼ-she,me-sun̤ʼ-kä,she-chayʼ-she,tan̤-hän̤ʼ-she,hän̤-käʼ-she,dakʼ-she,dakʼ-she,at-tayʼ,e-nahʼ,e-nahʼ,dakʼ-she,at-tayʼ,e-nahʼ,e-nahʼ,tun̤-winʼ,dakʼ-she,tun̤-winʼ,at-tayʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,at-tayʼ
1,0.3465735902799726,1.0397207708399179,0.6931471805599453,she-chayʼ-she,me-tänkʼ-she,me-sun̤ʼ-kä,she-chayʼ-she,tän̤-kayʼ,she-chayʼ-she,me-tan̤ʼ-kä,tan̤-han̤ʼ-she,tan̤-kayʼ,me-sun̤ʼ-kä,she-chayʼ-she,e-chayʼ-pän-she,te-mdoʼ,tän̤-kayʼ,e-chaʼ-pän-she,me-tänkʼ-she,hän̤-käʼ-she,chin-yayʼ,me-chun̤ʼ,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-tan̤ʼ-kä,hän̤-käʼ-she,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,tan̤-hän̤ʼ-she,hän̤-käʼ-she,hän̤-käʼ-she,chin̤-yayʼ,me-tankʼ-she,e-chaʼ-pan̤-she,e-chayʼ-pän-she,te-mdoʼ,te-mdoʼ,me-tän̤ʼ-she,me-chun̤ʼ,me-chun̤ʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,at-tayʼ,at-tayʼ,e-nahʼ,dakʼ-she,dakʼ-she,e-nahʼ,dakʼ-she,at-tayʼ,tun̤-winʼ,at-tayʼ,tun̤-winʼ,at-tayʼ,dakʼ-she,e-nahʼ,tun̤-winʼ,e-nahʼ,e-nahʼ
2,0.5198603854199589,1.0397207708399179,0.5198603854199589,me-tan̤ʼ-kä,te-mdoʼ,she-chayʼ-she,me-chun̤ʼ,me-tänkʼ-she,chin-yayʼ,me-sun̤ʼ-kä,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,she-chayʼ-she,tan̤-hän̤ʼ-she,tan̤-hän̤ʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-sun̤ʼ-kä,e-chayʼ-pän-she,me-tankʼ-she,me-chun̤ʼ,me-sun̤ʼ-kä,me-tänkʼ-she,te-mdoʼ,hän̤-käʼ-she,tan̤-han̤ʼ-she,e-chayʼ-pän-she,tän̤-kayʼ,me-tan̤ʼ-kä,me-chun̤ʼ,te-mdoʼ,tan̤-kayʼ,me-tän̤ʼ-she,hän̤-käʼ-she,tän̤-kayʼ,she-chayʼ-she,e-chaʼ-pän-she,hän̤-käʼ-she,hän̤-käʼ-she,e-chaʼ-pan̤-she,chin̤-yayʼ,she-chayʼ-she,tun̤-winʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,at-tayʼ,e-nahʼ,at-tayʼ,dakʼ-she,at-tayʼ,e-nahʼ,at-tayʼ,dakʼ-she,dakʼ-she,e-nahʼ,dakʼ-she,e-nahʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,tun̤-winʼ
3,0.21576155433883565,0.5623351446188083,0.34657359027997264,she-chayʼ-she,hän̤-käʼ-she,me-chun̤ʼ,me-tankʼ-she,te-mdoʼ,me-sun̤ʼ-kä,te-mdoʼ,me-sun̤ʼ-kä,she-chayʼ-she,me-tan̤ʼ-kä,me-tän̤ʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,she-chayʼ-she,e-chayʼ-pän-she,hän̤-käʼ-she,e-chayʼ-pän-she,chin̤-yayʼ,e-chaʼ-pan̤-she,hän̤-käʼ-she,e-chaʼ-pän-she,hän̤-käʼ-she,te-mdoʼ,tan̤-hän̤ʼ-she,tän̤-kayʼ,tan̤-kayʼ,me-tänkʼ-she,tan̤-han̤ʼ-she,me-chun̤ʼ,me-tan̤ʼ-kä,she-chayʼ-she,chin-yayʼ,me-chun̤ʼ,me-sun̤ʼ-kä,me-tänkʼ-she,tän̤-kayʼ,dakʼ-she,tun̤-winʼ,at-tayʼ,dakʼ-she,e-nahʼ,e-nahʼ,at-tayʼ,e-nahʼ,e-nahʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,at-tayʼ,dakʼ-she,tun̤-winʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,at-tayʼ,dakʼ-she
4,0.1618211657541267,0.5623351446188083,0.4005139788646816,hän̤-käʼ-she,me-tan̤ʼ-kä,me-sun̤ʼ-kä,e-chayʼ-pän-she,she-chayʼ-she,she-chayʼ-she,hän̤-käʼ-she,chin-yayʼ,me-chun̤ʼ,e-chaʼ-pan̤-she,me-tänkʼ-she,me-tan̤ʼ-kä,me-sun̤ʼ-kä,tän̤-kayʼ,me-tän̤ʼ-she,me-tankʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,e-chaʼ-pän-she,te-mdoʼ,hän̤-käʼ-she,me-chun̤ʼ,hän̤-käʼ-she,te-mdoʼ,she-chayʼ-she,tan̤-hän̤ʼ-she,tan̤-kayʼ,te-mdoʼ,me-sun̤ʼ-kä,me-sun̤ʼ-kä,tän̤-kayʼ,me-chun̤ʼ,chin̤-yayʼ,she-chayʼ-she,tan̤-han̤ʼ-she,e-chayʼ-pän-she,tan̤-hän̤ʼ-she,me-tänkʼ-she,tan̤-hän̤ʼ-she,tun̤-winʼ,at-tayʼ,at-tayʼ,tun̤-winʼ,e-nahʼ,tun̤-winʼ,e-nahʼ,tun̤-winʼ,dakʼ-she,at-tayʼ,at-tayʼ,dakʼ-she,e-nahʼ,at-tayʼ,e-nahʼ,e-nahʼ,e-nahʼ,dakʼ-she,dakʼ-she,at-tayʼ
5,0.3465735902799727,1.3862943611198906,1.0397207708399179,me-sun̤ʼ-kä,she-chayʼ-she,hän̤-käʼ-she,tan̤-hän̤ʼ-she,te-mdoʼ,me-tänkʼ-she,tän̤-kayʼ,tän̤-kayʼ,me-chun̤ʼ,me-tan̤ʼ-kä,me-tan̤ʼ-kä,me-sun̤ʼ-kä,hän̤-käʼ-she,chin-yayʼ,me-sun̤ʼ-kä,me-sun̤ʼ-kä,e-chaʼ-pan̤-she,she-chayʼ-she,tan̤-kayʼ,me-chun̤ʼ,me-tän̤ʼ-she,she-chayʼ-she,tan̤-han̤ʼ-she,tan̤-hän̤ʼ-she,me-tänkʼ-she,me-sun̤ʼ-kä,hän̤-käʼ-she,me-tankʼ-she,she-chayʼ-she,e-chayʼ-pän-she,me-sun̤ʼ-kä,te-mdoʼ,me-chun̤ʼ,te-mdoʼ,e-chayʼ-pän-she,tan̤-hän̤ʼ-she,chin̤-yayʼ,e-chaʼ-pän-she,hän̤-käʼ-she,e-nahʼ,dakʼ-she,e-nahʼ,tun̤-winʼ,dakʼ-she,e-nahʼ,at-tayʼ,tun̤-winʼ,at-tayʼ,dakʼ-she,at-tayʼ,dakʼ-she,tun̤-winʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,at-tayʼ,e-nahʼ,at-tayʼ
6,0.17328679513998624,1.0397207708399179,0.8664339756999316,hän̤-käʼ-she,me-chun̤ʼ,me-sun̤ʼ-kä,e-chaʼ-pän-she,te-mdoʼ,me-sun̤ʼ-kä,she-chayʼ-she,me-tänkʼ-she,chin̤-yayʼ,e-chayʼ-pän-she,tan̤-hän̤ʼ-she,tän̤-kayʼ,she-chayʼ-she,e-chaʼ-pan̤-she,tan̤-han̤ʼ-she,te-mdoʼ,tan̤-hän̤ʼ-she,tan̤-hän̤ʼ-she,me-chun̤ʼ,e-chayʼ-pän-she,chin-yayʼ,me-sun̤ʼ-kä,hän̤-käʼ-she,she-chayʼ-she,tan̤-kayʼ,tän̤-kayʼ,me-chun̤ʼ,me-tän̤ʼ-she,me-tänkʼ-she,hän̤-käʼ-she,te-mdoʼ,me-sun̤ʼ-kä,me-tankʼ-she,me-tan̤ʼ-kä,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-tan̤ʼ-kä,she-chayʼ-she,hän̤-käʼ-she,at-tayʼ,tun̤-winʼ,tun̤-winʼ,e-nahʼ,e-nahʼ,e-nahʼ,at-tayʼ,e-nahʼ,dakʼ-she,dakʼ-she,at-tayʼ,dakʼ-she,e-nahʼ,dakʼ-she,at-tayʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,tun̤-winʼ,at-tayʼ
7,0.28116757230940403,1.0397207708399179,0.7585531985305138,me-chun̤ʼ,me-sun̤ʼ-kä,e-chaʼ-pan̤-she,tan̤-hän̤ʼ-she,tän̤-kayʼ,te-mdoʼ,me-tän̤ʼ-she,she-chayʼ-she,hän̤-käʼ-she,te-mdoʼ,me-sun̤ʼ-kä,me-sun̤ʼ-kä,she-chayʼ-she,me-tan̤ʼ-kä,hän̤-käʼ-she,me-sun̤ʼ-kä,she-chayʼ-she,me-sun̤ʼ-kä,chin-yayʼ,tan̤-hän̤ʼ-she,me-chun̤ʼ,hän̤-käʼ-she,me-tänkʼ-she,e-chayʼ-pän-she,e-chayʼ-pän-she,me-tankʼ-she,me-chun̤ʼ,me-sun̤ʼ-kä,she-chayʼ-she,tan̤-hän̤ʼ-she,tan̤-han̤ʼ-she,tan̤-kayʼ,hän̤-käʼ-she,chin̤-yayʼ,me-tänkʼ-she,tän̤-kayʼ,te-mdoʼ,me-tan̤ʼ-kä,e-chaʼ-pän-she,e-nahʼ,dakʼ-she,e-nahʼ,at-tayʼ,e-nahʼ,dakʼ-she,at-tayʼ,e-nahʼ,tun̤-winʼ,e-nahʼ,at-tayʼ,at-tayʼ,tun̤-winʼ,tun̤-winʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,dakʼ-she,at-tayʼ,dakʼ-she
8,0.6931471805599452,1.0397207708399179,0.34657359027997264,me-tan̤ʼ-kä,she-chayʼ-she,me-chun̤ʼ,she-chayʼ-she,hän̤-käʼ-she,me-sun̤ʼ-kä,me-chun̤ʼ,chin̤-yayʼ,e-chayʼ-pän-she,hän̤-käʼ-she,tän̤-kayʼ,me-tankʼ-she,tan̤-hän̤ʼ-she,tän̤-kayʼ,she-chayʼ-she,tan̤-kayʼ,tan̤-hän̤ʼ-she,tan̤-hän̤ʼ-she,me-tänkʼ-she,hän̤-käʼ-she,me-sun̤ʼ-kä,tan̤-han̤ʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-sun̤ʼ-kä,she-chayʼ-she,e-chayʼ-pän-she,te-mdoʼ,hän̤-käʼ-she,te-mdoʼ,me-sun̤ʼ-kä,me-tän̤ʼ-she,me-tan̤ʼ-kä,me-chun̤ʼ,chin-yayʼ,e-chaʼ-pän-she,e-chaʼ-pan̤-she,te-mdoʼ,me-tänkʼ-she,at-tayʼ,tun̤-winʼ,e-nahʼ,dakʼ-she,dakʼ-she,tun̤-winʼ,e-nahʼ,at-tayʼ,at-tayʼ,at-tayʼ,dakʼ-she,tun̤-winʼ,at-tayʼ,tun̤-winʼ,dakʼ-she,at-tayʼ,e-nahʼ,e-nahʼ,e-nahʼ,e-nahʼ
9,0.2272271837246952,1.0397207708399179,0.8124935871152227,e-chaʼ-pan̤-she,me-sun̤ʼ-kä,te-mdoʼ,she-chayʼ-she,me-chun̤ʼ,tan̤-hän̤ʼ-she,e-chayʼ-pän-she,e-chayʼ-pän-she,chin̤-yayʼ,me-tänkʼ-she,she-chayʼ-she,tän̤-kayʼ,me-tän̤ʼ-she,me-chun̤ʼ,te-mdoʼ,me-sun̤ʼ-kä,tan̤-hän̤ʼ-she,me-tankʼ-she,me-sun̤ʼ-kä,tän̤-kayʼ,me-sun̤ʼ-kä,me-sun̤ʼ-kä,hän̤-käʼ-she,me-tan̤ʼ-kä,she-chayʼ-she,me-tänkʼ-she,hän̤-käʼ-she,e-chaʼ-pän-she,tan̤-kayʼ,me-tan̤ʼ-kä,hän̤-käʼ-she,she-chayʼ-she,chin-yayʼ,hän̤-käʼ-she,tan̤-han̤ʼ-she,me-sun̤ʼ-kä,te-mdoʼ,tan̤-hän̤ʼ-she,me-chun̤ʼ,dakʼ-she,e-nahʼ,e-nahʼ,dakʼ-she,at-tayʼ,tun̤-winʼ,tun̤-winʼ,e-nahʼ,dakʼ-she,at-tayʼ,e-nahʼ,dakʼ-she,at-tayʼ,at-tayʼ,tun̤-winʼ,e-nahʼ,tun̤-winʼ,at-tayʼ,e-nahʼ,at-tayʼ
