simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mMeB,mMyB,fMeB,fMyB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.07020228188249167,1.524316799376698,1.4541145174942063,tokoua,tokoua,tuofefine,tuofefine,tuonga'ane,tokoua,tokoua,tuonga'ane,tokoua,tokoua,tuofefine,tuonga'ane,tehina,tuonga'ane,tokoua,tokoua,tehina,tehina,tuonga'ane,tuofefine,tuofefine,tokoua,tuofefine,ta'okete,ta'okete,tehina,tuofefine,tuonga'ane,ta'okete,tuofefine,tuofefine,tuofefine,tokoua,tuonga'ane,tuofefine,tokoua,tuonga'ane,tehina,tuonga'ane,tokoua,tokoua,tokoua,tuofefine,ta'okete,tuofefine,tuofefine,tuonga'ane,tehina,tuofefine,ta'okete,tuonga'ane,tuofefine,tokoua,tehina,tuofefine,tokoua,ta'okete,tuofefine,ta'okete,tokoua,tuonga'ane,tokoua,tuonga'ane,ta'okete,tehina,tuonga'ane,tokoua,tokoua,tuonga'ane,tuonga'ane,tehina,tokoua,tuonga'ane,tuofefine,tuonga'ane,tuofefine,tuofefine,tokoua,tehina,tuonga'ane,tuonga'ane,ta'okete,tuofefine,tuofefine,tuonga'ane,tuonga'ane,ta'okete,tokoua,tokoua,tokoua,mehekitanga,tu'asina,fa'e,mehekitanga,fa'e tangata,fa'e,fa'e,tu'asina,mehekitanga,fa'e,mehekitanga,mehekitanga,fa'e,tamai,tamai,fa'e,tamai,mehekitanga,tamai,fa'e tangata,fa'e,tamai,tamai,fa'e,tamai,tamai,fa'e tangata,fa'e tangata
1,0.08173197529851262,1.5212551276738542,1.4395231523753416,tokoua,tokoua,tuofefine,tuofefine,tuonga'ane,tokoua,tokoua,tuonga'ane,tokoua,tuofefine,tokoua,ta'okete,tokoua,ta'okete,tuofefine,tokoua,tuonga'ane,tokoua,tokoua,tokoua,tuonga'ane,tehina,ta'okete,tokoua,tokoua,tehina,tuofefine,tehina,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tuofefine,ta'okete,tuofefine,tuofefine,tuofefine,tokoua,tuofefine,ta'okete,tehina,tuonga'ane,tuonga'ane,tehina,tehina,ta'okete,tuonga'ane,tuonga'ane,tuofefine,ta'okete,tokoua,tuofefine,tokoua,tokoua,tokoua,tuonga'ane,tuofefine,tuonga'ane,tuonga'ane,ta'okete,tuofefine,tehina,tokoua,ta'okete,tuofefine,tehina,tokoua,tuonga'ane,ta'okete,tokoua,tokoua,tokoua,tuonga'ane,tuofefine,tuofefine,tehina,tuonga'ane,tuofefine,tuofefine,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tuonga'ane,tuofefine,tuonga'ane,tokoua,tuofefine,tuonga'ane,tehina,tamai,mehekitanga,tamai,tu'asina,mehekitanga,fa'e,tamai,tu'asina,fa'e tangata,mehekitanga,fa'e tangata,fa'e tangata,fa'e,mehekitanga,fa'e,fa'e,tamai,tamai,mehekitanga,tamai,mehekitanga,fa'e,fa'e,tamai,fa'e,fa'e,tamai,fa'e tangata
2,0.06513274593585461,1.5392525433122581,1.4741197973764035,ta'okete,tuonga'ane,tokoua,tehina,ta'okete,tuofefine,tehina,tuofefine,tehina,tokoua,tuonga'ane,tuofefine,tuonga'ane,tokoua,tuofefine,tuofefine,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tuofefine,tuofefine,tuofefine,ta'okete,tokoua,tuonga'ane,tuofefine,tuonga'ane,tuonga'ane,tuonga'ane,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tehina,tehina,tokoua,tokoua,tuofefine,ta'okete,tokoua,tehina,tokoua,ta'okete,tokoua,tehina,tokoua,tokoua,tehina,tokoua,tokoua,ta'okete,tuofefine,tuonga'ane,tuonga'ane,tuofefine,tokoua,tokoua,tokoua,ta'okete,tokoua,tokoua,tehina,ta'okete,tuofefine,tuofefine,tuonga'ane,tuofefine,tuofefine,tuofefine,tuofefine,tehina,tokoua,tokoua,tokoua,ta'okete,tokoua,tuonga'ane,tuonga'ane,tuonga'ane,tuonga'ane,tuofefine,tuofefine,ta'okete,tuofefine,tamai,mehekitanga,fa'e,fa'e tangata,tu'asina,fa'e,mehekitanga,fa'e tangata,fa'e,tamai,mehekitanga,fa'e tangata,tamai,tamai,fa'e,fa'e tangata,fa'e,fa'e,tamai,fa'e,tu'asina,mehekitanga,tamai,tamai,mehekitanga,tamai,fa'e,mehekitanga
3,0.12352235245151033,1.511318932747799,1.3877965802962886,tuonga'ane,tokoua,tuofefine,tehina,tuofefine,tokoua,tuofefine,tuonga'ane,tuofefine,ta'okete,tuofefine,tokoua,tehina,tuofefine,tuonga'ane,ta'okete,tokoua,tokoua,tuonga'ane,tokoua,tuofefine,tuofefine,tuonga'ane,tuofefine,tuofefine,tehina,tuofefine,tuonga'ane,tokoua,tuofefine,tokoua,tokoua,tuofefine,ta'okete,tokoua,tehina,tokoua,ta'okete,ta'okete,tuofefine,tuofefine,tokoua,tuonga'ane,tuonga'ane,tuonga'ane,tuofefine,tokoua,tehina,ta'okete,tuonga'ane,tehina,tuonga'ane,tuonga'ane,tuonga'ane,tokoua,ta'okete,tuofefine,tehina,tuonga'ane,tokoua,tokoua,tuonga'ane,ta'okete,tuofefine,ta'okete,tokoua,tuonga'ane,tuofefine,tokoua,tuonga'ane,tuofefine,tokoua,tuofefine,tokoua,tehina,tehina,tuonga'ane,tuofefine,tokoua,tuonga'ane,tuonga'ane,tokoua,tokoua,tuonga'ane,tokoua,tokoua,tehina,tuonga'ane,tuofefine,ta'okete,fa'e,tu'asina,tamai,tamai,tamai,mehekitanga,fa'e,mehekitanga,mehekitanga,fa'e,tamai,fa'e tangata,fa'e,fa'e tangata,fa'e,tamai,tu'asina,mehekitanga,fa'e tangata,tamai,tamai,fa'e tangata,fa'e,fa'e,mehekitanga,tamai,mehekitanga,fa'e
4,0.0916132002898633,1.5191763271374183,1.427563126847555,tehina,tehina,tuofefine,tokoua,tuonga'ane,tokoua,tehina,tuonga'ane,tuofefine,tehina,tokoua,tuofefine,tehina,tuofefine,ta'okete,tuonga'ane,tokoua,tuonga'ane,tuofefine,tuofefine,tuonga'ane,tuofefine,tuofefine,tokoua,tuofefine,ta'okete,tokoua,tuonga'ane,tuonga'ane,tuonga'ane,tuofefine,tuofefine,tokoua,tuonga'ane,tuonga'ane,tuonga'ane,tuonga'ane,tuofefine,ta'okete,ta'okete,tuonga'ane,tehina,tuofefine,tuonga'ane,tuofefine,ta'okete,tuofefine,tuonga'ane,tehina,tokoua,tuofefine,tuonga'ane,tuonga'ane,tehina,tokoua,ta'okete,tokoua,tokoua,tuonga'ane,ta'okete,tuofefine,tokoua,tehina,tokoua,tuonga'ane,tehina,tokoua,tokoua,tokoua,tuonga'ane,tokoua,ta'okete,tokoua,tuofefine,tokoua,ta'okete,tuofefine,tuofefine,tokoua,tuonga'ane,tokoua,tokoua,tuofefine,ta'okete,tuofefine,tuonga'ane,tokoua,tokoua,tokoua,tuofefine,fa'e tangata,fa'e,fa'e tangata,mehekitanga,mehekitanga,fa'e,fa'e tangata,fa'e,tamai,mehekitanga,tamai,fa'e,tu'asina,mehekitanga,fa'e tangata,tamai,tamai,tamai,mehekitanga,fa'e,tu'asina,tamai,tamai,fa'e,mehekitanga,tamai,fa'e,fa'e
5,0.08992304656333872,1.4807719723927537,1.390848925829415,tehina,tuofefine,tuofefine,tuofefine,tokoua,tuofefine,tuofefine,tokoua,tuonga'ane,tuonga'ane,tokoua,tehina,tuonga'ane,tokoua,tuonga'ane,tokoua,tokoua,ta'okete,tuofefine,tuonga'ane,ta'okete,tuonga'ane,tuonga'ane,tuonga'ane,tehina,tuofefine,tuonga'ane,tokoua,tuofefine,ta'okete,tokoua,ta'okete,tokoua,tuonga'ane,tuonga'ane,ta'okete,tokoua,tuonga'ane,tokoua,tehina,tokoua,tehina,tuonga'ane,tehina,tokoua,tuofefine,tehina,tokoua,tokoua,ta'okete,tuonga'ane,tokoua,tuofefine,tehina,tuofefine,tuofefine,tuofefine,tuonga'ane,ta'okete,ta'okete,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tokoua,tuofefine,tuofefine,ta'okete,tokoua,tuonga'ane,tuofefine,tuofefine,tokoua,tehina,tokoua,tokoua,tuonga'ane,tokoua,tuofefine,tuonga'ane,tuonga'ane,tokoua,ta'okete,tuofefine,tuofefine,tuofefine,tuofefine,tehina,tokoua,tuofefine,mehekitanga,mehekitanga,tamai,tamai,fa'e tangata,fa'e,tamai,tamai,tu'asina,fa'e tangata,fa'e,tamai,fa'e,mehekitanga,mehekitanga,fa'e tangata,tamai,tamai,fa'e,fa'e,tamai,fa'e,fa'e,tu'asina,fa'e,mehekitanga,fa'e tangata,mehekitanga
6,0.10883309336940927,1.4991945441676455,1.3903614507982363,tuonga'ane,tokoua,tokoua,tuofefine,tuofefine,tokoua,tehina,tehina,tuofefine,tuofefine,tokoua,ta'okete,tuonga'ane,tuonga'ane,tuofefine,tokoua,tokoua,tokoua,tokoua,tuonga'ane,tehina,tokoua,tokoua,tuofefine,tuonga'ane,ta'okete,tokoua,tuonga'ane,ta'okete,tokoua,tuofefine,ta'okete,tuonga'ane,tuofefine,tuofefine,tokoua,tuonga'ane,tehina,tuofefine,ta'okete,tuonga'ane,tuofefine,ta'okete,tuonga'ane,tuonga'ane,tuofefine,tokoua,tokoua,tokoua,tuonga'ane,tehina,tuonga'ane,tuonga'ane,tuofefine,ta'okete,tokoua,tuonga'ane,tuofefine,tuonga'ane,tuofefine,ta'okete,tokoua,tuonga'ane,tuofefine,tuonga'ane,tehina,tehina,tuofefine,tokoua,tuofefine,tuofefine,tehina,tuofefine,tokoua,tokoua,tehina,ta'okete,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tokoua,tokoua,ta'okete,tuofefine,tuofefine,tokoua,tuofefine,tehina,tuonga'ane,fa'e,fa'e tangata,mehekitanga,fa'e,fa'e tangata,fa'e,tamai,mehekitanga,tamai,mehekitanga,tamai,tamai,mehekitanga,fa'e,tamai,tamai,tamai,tamai,fa'e tangata,fa'e,mehekitanga,mehekitanga,tu'asina,fa'e,tu'asina,fa'e,fa'e tangata,fa'e
7,0.11914945908243935,1.5111433245670347,1.3919938654845954,tokoua,tehina,tuofefine,tehina,tuofefine,ta'okete,tuonga'ane,tuofefine,tehina,ta'okete,ta'okete,tokoua,tuofefine,tokoua,tuofefine,tuofefine,tuofefine,tokoua,ta'okete,tuofefine,tuofefine,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tuofefine,tuonga'ane,tokoua,tuonga'ane,tuonga'ane,tokoua,tuofefine,tuofefine,tehina,tokoua,ta'okete,tuofefine,tokoua,ta'okete,tehina,tuofefine,tuonga'ane,tehina,tuonga'ane,tehina,tuonga'ane,tokoua,ta'okete,tokoua,tuofefine,tuofefine,tuonga'ane,tokoua,tehina,tuonga'ane,tehina,tuonga'ane,tokoua,tuofefine,tuonga'ane,ta'okete,tuonga'ane,tuonga'ane,tuofefine,ta'okete,tehina,tuonga'ane,ta'okete,tokoua,tokoua,tokoua,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tokoua,tokoua,tokoua,tokoua,tuonga'ane,tokoua,tokoua,tokoua,tuofefine,tuonga'ane,tuonga'ane,tokoua,tuofefine,tuofefine,fa'e tangata,mehekitanga,mehekitanga,fa'e tangata,fa'e tangata,fa'e,tamai,tamai,fa'e tangata,fa'e,fa'e,mehekitanga,tamai,tu'asina,tamai,mehekitanga,mehekitanga,fa'e,fa'e,tamai,tu'asina,tamai,fa'e,fa'e,fa'e,mehekitanga,tamai,tamai
8,0.06197979529471587,1.5103654107681235,1.4483856154734076,tuofefine,tehina,tehina,tokoua,tokoua,tehina,tokoua,tuofefine,ta'okete,tehina,tuonga'ane,tuonga'ane,tokoua,ta'okete,tokoua,ta'okete,tuofefine,tokoua,tuonga'ane,ta'okete,tuofefine,tehina,tokoua,tuofefine,tuofefine,tuofefine,tuonga'ane,tuofefine,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tuofefine,tokoua,tuonga'ane,tehina,tuofefine,tehina,tuonga'ane,tokoua,tehina,tokoua,tehina,tuonga'ane,tuofefine,tokoua,tokoua,tuonga'ane,tehina,tuofefine,tuonga'ane,tuofefine,tuofefine,tuonga'ane,tuofefine,tokoua,tokoua,ta'okete,tokoua,tokoua,tokoua,tuonga'ane,tuonga'ane,ta'okete,tuonga'ane,tuofefine,tuonga'ane,ta'okete,tuofefine,tokoua,tuonga'ane,tokoua,tokoua,tuofefine,tuonga'ane,tuonga'ane,tuonga'ane,tuonga'ane,tokoua,tuofefine,tokoua,tuonga'ane,tokoua,ta'okete,tuofefine,ta'okete,tokoua,tuofefine,ta'okete,tokoua,fa'e,mehekitanga,fa'e tangata,tamai,fa'e tangata,fa'e,mehekitanga,mehekitanga,tamai,mehekitanga,mehekitanga,tu'asina,fa'e,fa'e,mehekitanga,tamai,tamai,tamai,fa'e tangata,tamai,fa'e tangata,fa'e,tu'asina,tamai,fa'e,tamai,fa'e,fa'e
9,0.08005675394477874,1.4854869081672089,1.4054301542224301,ta'okete,tuofefine,tuofefine,tokoua,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tuofefine,ta'okete,ta'okete,tokoua,tehina,tuofefine,tuofefine,tuonga'ane,tuonga'ane,tokoua,ta'okete,tokoua,tuofefine,ta'okete,tuofefine,tokoua,tuonga'ane,tokoua,tehina,tuofefine,tuofefine,tuofefine,tokoua,tuonga'ane,tokoua,tokoua,tuofefine,tokoua,tuofefine,tuofefine,tehina,ta'okete,tuonga'ane,tuonga'ane,tokoua,tokoua,tuofefine,tehina,tokoua,tokoua,tokoua,tokoua,ta'okete,tehina,tuofefine,tuofefine,tuonga'ane,tuofefine,tuonga'ane,tuonga'ane,tokoua,tuofefine,tuonga'ane,tokoua,tokoua,tuonga'ane,tokoua,tuonga'ane,ta'okete,tuofefine,tuonga'ane,tehina,tokoua,tuonga'ane,tuofefine,tehina,ta'okete,tehina,tokoua,tuonga'ane,tuofefine,tokoua,tuonga'ane,ta'okete,tehina,tuonga'ane,tuonga'ane,tokoua,tehina,tokoua,tuonga'ane,tuonga'ane,mehekitanga,mehekitanga,tu'asina,fa'e,fa'e tangata,tamai,tamai,fa'e,tamai,tamai,fa'e,tamai,mehekitanga,fa'e,mehekitanga,mehekitanga,tu'asina,mehekitanga,fa'e,tamai,fa'e tangata,fa'e,fa'e tangata,tamai,fa'e tangata,tamai,fa'e,fa'e
