simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMZS,mFZD,mMBD,mMZD,fFZS,fMBS,fMZS,fFZD,fMBD,fMZD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.15946066723182506,1.366029761501777,1.2065690942699518,natung nangòròn,ngoreng,natung nanoe,tay,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,tay,natung nanoe,ngoreng,ngoreng,natung nangòròn,natung nangòròn,ngoreng,tay,natung nanoe,tay,natung nangòròn,natung nanoe,natung nangòròn,tay,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,ngoreng,ngoreng,natung nanoe,natung nangòròn,natung nanoe,natung nangòròn,tay,ngoreng,tay,ngoreng,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,tay,ngoreng,natung nangòròn,tay,natung nangòròn,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,tay,ngoreng,natung nanoe,tay,natung nanoe,natung nangòròn,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,natung nangòròn,ngoreng,tay,ngoreng,natung nanoe,natung nanoe,natung nanoe,mama,mimi,mama,tètè,mama,tètè,mimi,tètè,tètè,mama,mimi,"lò, lòa",tètè,"lò, lòa","lò, lòa",mama,tètè,mama,"lò, lòa",mimi
1,0.11405413146494192,1.3127932882259723,1.1987391567610304,natung nangòròn,natung nangòròn,ngoreng,ngoreng,ngoreng,natung nanoe,natung nangòròn,natung nanoe,natung nanoe,natung nangòròn,natung nangòròn,tay,natung nanoe,natung nanoe,tay,natung nanoe,ngoreng,natung nanoe,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,tay,natung nanoe,natung nanoe,ngoreng,tay,ngoreng,natung nangòròn,ngoreng,tay,tay,ngoreng,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nanoe,ngoreng,natung nanoe,natung nanoe,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,tay,natung nanoe,tay,natung nanoe,tay,tay,tay,tay,natung nanoe,mama,mimi,"lò, lòa",tètè,mimi,"lò, lòa",mimi,tètè,mama,mama,tètè,mama,"lò, lòa",mama,mama,tètè,tètè,mimi,"lò, lòa",tètè
2,0.1342103668875958,1.2953962420002827,1.161185875112687,natung nangòròn,tay,ngoreng,natung nanoe,natung nanoe,ngoreng,tay,ngoreng,tay,ngoreng,natung nangòròn,natung nangòròn,natung nanoe,tay,ngoreng,ngoreng,natung nanoe,tay,natung nanoe,tay,tay,natung nanoe,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,natung nanoe,natung nanoe,tay,natung nanoe,ngoreng,ngoreng,natung nanoe,tay,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nanoe,ngoreng,tay,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,natung nanoe,ngoreng,natung nanoe,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,natung nangòròn,tay,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nangòròn,tay,ngoreng,"lò, lòa",tètè,tètè,mama,"lò, lòa",mama,mimi,tètè,tètè,mama,mama,tètè,mimi,"lò, lòa",mama,mimi,mama,"lò, lòa",mimi,tètè
3,0.13549429773885513,1.366029761501777,1.2305354637629218,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,natung nangòròn,tay,tay,ngoreng,ngoreng,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,tay,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,ngoreng,natung nanoe,natung nanoe,natung nanoe,ngoreng,tay,natung nanoe,tay,tay,natung nanoe,natung nanoe,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,tay,natung nanoe,natung nangòròn,ngoreng,natung nanoe,natung nanoe,ngoreng,ngoreng,ngoreng,natung nangòròn,tay,natung nanoe,natung nanoe,ngoreng,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,tay,ngoreng,natung nangòròn,natung nangòròn,tay,natung nanoe,ngoreng,natung nangòròn,tay,natung nangòròn,tay,natung nangòròn,natung nangòròn,mimi,mimi,mama,tètè,mama,tètè,tètè,"lò, lòa",mimi,tètè,"lò, lòa","lò, lòa",tètè,mimi,mama,mama,mama,tètè,mama,"lò, lòa"
4,0.19221412203895594,1.385494147649907,1.193280025610951,ngoreng,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,natung nanoe,tay,natung nangòròn,natung nanoe,tay,ngoreng,natung nangòròn,natung nangòròn,ngoreng,ngoreng,tay,natung nanoe,tay,natung nanoe,ngoreng,natung nanoe,natung nangòròn,ngoreng,natung nanoe,tay,natung nangòròn,natung nangòròn,ngoreng,ngoreng,ngoreng,tay,natung nanoe,ngoreng,natung nanoe,ngoreng,ngoreng,tay,natung nangòròn,natung nanoe,natung nangòròn,tay,tay,tay,natung nangòròn,natung nanoe,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,natung nanoe,tay,natung nanoe,natung nangòròn,natung nanoe,natung nanoe,natung nangòròn,natung nangòròn,natung nangòròn,tay,natung nangòròn,natung nanoe,mama,"lò, lòa",tètè,mama,tètè,mama,mimi,"lò, lòa",mama,tètè,tètè,mimi,tètè,mama,"lò, lòa",mimi,"lò, lòa",tètè,mimi,mama
5,0.21880632314322113,1.366158847569202,1.1473525244259808,tay,natung nanoe,ngoreng,ngoreng,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,ngoreng,natung nanoe,natung nanoe,natung nanoe,natung nanoe,ngoreng,natung nanoe,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,natung nangòròn,natung nanoe,tay,tay,natung nangòròn,natung nangòròn,tay,natung nanoe,tay,natung nangòròn,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,tay,ngoreng,ngoreng,tay,natung nanoe,natung nanoe,tay,ngoreng,ngoreng,tay,tay,tay,natung nanoe,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,ngoreng,natung nanoe,natung nanoe,ngoreng,natung nanoe,ngoreng,natung nangòròn,tay,mimi,mimi,"lò, lòa",mimi,mimi,"lò, lòa",mama,tètè,tètè,mama,"lò, lòa","lò, lòa",tètè,mama,mama,mama,tètè,tètè,mama,tètè
6,0.15334036139966623,1.368793872935571,1.2154535115359049,natung nangòròn,tay,natung nanoe,natung nangòròn,tay,ngoreng,ngoreng,tay,natung nanoe,tay,tay,natung nanoe,natung nanoe,ngoreng,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,tay,natung nangòròn,natung nangòròn,tay,tay,natung nanoe,tay,tay,ngoreng,natung nangòròn,natung nanoe,natung nanoe,natung nangòròn,natung nanoe,natung nangòròn,ngoreng,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,ngoreng,natung nanoe,ngoreng,natung nanoe,tay,natung nanoe,natung nanoe,natung nangòròn,natung nanoe,tay,ngoreng,natung nanoe,natung nanoe,natung nangòròn,mama,tètè,"lò, lòa","lò, lòa",tètè,mimi,mimi,tètè,mama,mama,"lò, lòa",mimi,mama,mama,"lò, lòa",tètè,mimi,mama,tètè,tètè
7,0.11019828939795029,1.3352485125638602,1.22505022316591,natung nanoe,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nanoe,tay,ngoreng,natung nanoe,natung nangòròn,tay,natung nangòròn,ngoreng,natung nanoe,tay,ngoreng,natung nanoe,tay,ngoreng,ngoreng,tay,ngoreng,ngoreng,ngoreng,ngoreng,natung nanoe,natung nangòròn,natung nanoe,tay,natung nangòròn,natung nangòròn,natung nanoe,tay,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,tay,natung nangòròn,tay,natung nanoe,tay,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,natung nanoe,tay,tay,natung nanoe,mimi,tètè,mama,tètè,tètè,tètè,mimi,mama,mama,mama,tètè,tètè,mimi,"lò, lòa",mimi,mama,mama,"lò, lòa","lò, lòa","lò, lòa"
8,0.08670518171243025,1.3563621114614244,1.2696569297489941,tay,ngoreng,tay,ngoreng,natung nanoe,tay,natung nangòròn,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,tay,tay,natung nanoe,natung nangòròn,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,tay,natung nanoe,ngoreng,ngoreng,tay,natung nangòròn,natung nanoe,tay,natung nanoe,ngoreng,ngoreng,natung nanoe,natung nanoe,ngoreng,ngoreng,natung nanoe,natung nanoe,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,natung nanoe,natung nangòròn,ngoreng,tay,natung nangòròn,natung nanoe,tay,natung nanoe,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,tay,tay,natung nanoe,natung nangòròn,ngoreng,natung nangòròn,natung nanoe,ngoreng,mama,"lò, lòa",mama,mimi,mama,tètè,"lò, lòa","lò, lòa",tètè,mimi,tètè,mimi,"lò, lòa",mimi,tètè,mama,tètè,tètè,mama,mama
9,0.06502351180942734,1.244227108646918,1.1792035968374908,natung nanoe,natung nangòròn,natung nangòròn,ngoreng,ngoreng,natung nanoe,natung nangòròn,natung nanoe,ngoreng,tay,tay,tay,natung nanoe,natung nanoe,tay,natung nangòròn,ngoreng,ngoreng,natung nanoe,natung nanoe,natung nanoe,ngoreng,natung nangòròn,tay,ngoreng,tay,ngoreng,natung nanoe,natung nangòròn,natung nanoe,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,natung nanoe,tay,natung nanoe,tay,natung nangòròn,tay,tay,ngoreng,natung nangòròn,natung nanoe,natung nanoe,ngoreng,tay,natung nanoe,ngoreng,natung nangòròn,natung nanoe,natung nangòròn,natung nangòròn,ngoreng,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,natung nangòròn,ngoreng,natung nanoe,tay,natung nangòròn,natung nanoe,natung nanoe,mama,mama,mama,tètè,mimi,"lò, lòa",mama,tètè,"lò, lòa",tètè,mama,tètè,"lò, lòa",mimi,mimi,tètè,tètè,"lò, lòa",mama,mimi
