simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeB,fMyB,fMeZ,fMyZ
0,0.2807199456760756,1.5113949670044375,1.230675021328362,naan,naan,abi,"alin, alik, ali, kau",naan,"alin, alik, ali",naan,naan,naan,naan,"alin, alik, ali",naan,naan,naan,"maun, naan",abi,"alin, alik, ali, kau, naan",naan,naan,naan,naan,naan,naan,naan,naan,naan,tio,"aman, aman ikus, am'iku","inan, ki'in, ki'i, inan kauaik","aman, aman ua'i",pai,pai,"inan, ina, mai","inan, ki'in, ki'i, inan klaran","inan, ina, mai",tio,tio,"inan, ki'in, ki'i, inan kauaik","aman, aman ikus, am'iku",tio,"inan, ki'in, ki'i, inan klaran","aman, aman ua'i"
1,0.10722117014653532,1.482887104712697,1.3756659345661617,naan,naan,naan,abi,"alin, alik, ali",naan,"maun, naan",naan,naan,naan,naan,naan,naan,naan,"alin, alik, ali",naan,naan,naan,naan,naan,"alin, alik, ali, kau",naan,naan,"alin, alik, ali, kau, naan",abi,naan,"inan, ki'in, ki'i, inan kauaik",tio,tio,"inan, ki'in, ki'i, inan kauaik","inan, ina, mai",pai,"inan, ki'in, ki'i, inan klaran","aman, aman ikus, am'iku","aman, aman ua'i",tio,"inan, ki'in, ki'i, inan klaran","aman, aman ua'i","aman, aman ikus, am'iku",tio,"inan, ina, mai",pai
2,0.4707789428978628,1.8047484896412986,1.3339695467434358,naan,naan,naan,naan,naan,naan,naan,"maun, naan",naan,naan,"alin, alik, ali",naan,"alin, alik, ali",naan,abi,naan,"alin, alik, ali, kau",abi,"alin, alik, ali, kau, naan",naan,naan,naan,naan,naan,naan,naan,tio,"inan, ki'in, ki'i, inan klaran","inan, ki'in, ki'i, inan kauaik","aman, aman ikus, am'iku",pai,"inan, ina, mai","aman, aman ikus, am'iku","inan, ki'in, ki'i, inan klaran","inan, ki'in, ki'i, inan kauaik",tio,"aman, aman ua'i",tio,"inan, ina, mai",tio,"aman, aman ua'i",pai
3,0.22314355131420993,1.6922814607175372,1.4691379094033272,"alin, alik, ali, kau",naan,naan,naan,"alin, alik, ali",naan,naan,"alin, alik, ali, kau, naan","maun, naan","alin, alik, ali",naan,naan,naan,abi,naan,naan,naan,naan,naan,naan,abi,naan,naan,naan,naan,naan,pai,"aman, aman ikus, am'iku","inan, ki'in, ki'i, inan klaran",tio,tio,"aman, aman ua'i",tio,"inan, ki'in, ki'i, inan klaran","inan, ina, mai","aman, aman ua'i","aman, aman ikus, am'iku",pai,"inan, ina, mai","inan, ki'in, ki'i, inan kauaik",tio,"inan, ki'in, ki'i, inan kauaik"
4,0.3805533976390518,1.8047484896412986,1.4241950920022468,naan,naan,naan,abi,naan,"alin, alik, ali",naan,naan,naan,naan,naan,naan,"maun, naan",naan,abi,naan,naan,naan,naan,naan,"alin, alik, ali, kau, naan","alin, alik, ali",naan,"alin, alik, ali, kau",naan,naan,"inan, ina, mai",tio,pai,"aman, aman ua'i","inan, ina, mai",tio,tio,"aman, aman ikus, am'iku","inan, ki'in, ki'i, inan klaran",pai,"aman, aman ua'i","aman, aman ikus, am'iku","inan, ki'in, ki'i, inan kauaik",tio,"inan, ki'in, ki'i, inan kauaik","inan, ki'in, ki'i, inan klaran"
5,0.37184646540972843,1.6088829638639006,1.2370364984541722,"alin, alik, ali, kau, naan",abi,naan,naan,naan,naan,naan,naan,naan,naan,"maun, naan",naan,"alin, alik, ali",naan,naan,naan,naan,"alin, alik, ali, kau",naan,naan,naan,"alin, alik, ali",naan,naan,naan,abi,"inan, ina, mai","aman, aman ikus, am'iku",tio,"inan, ina, mai",tio,"aman, aman ikus, am'iku",pai,"inan, ki'in, ki'i, inan klaran",pai,tio,"aman, aman ua'i","inan, ki'in, ki'i, inan kauaik","inan, ki'in, ki'i, inan klaran",tio,"aman, aman ua'i","inan, ki'in, ki'i, inan kauaik"
6,0.3635634939595127,1.7615961787735317,1.398032684814019,"maun, naan",abi,naan,naan,naan,naan,naan,naan,abi,naan,"alin, alik, ali",naan,"alin, alik, ali, kau",naan,naan,naan,naan,naan,naan,naan,naan,"alin, alik, ali, kau, naan",naan,naan,naan,"alin, alik, ali","inan, ina, mai",tio,"inan, ki'in, ki'i, inan klaran","aman, aman ikus, am'iku","aman, aman ua'i","inan, ki'in, ki'i, inan klaran",tio,tio,pai,"inan, ki'in, ki'i, inan kauaik",pai,"aman, aman ua'i","inan, ki'in, ki'i, inan kauaik","inan, ina, mai",tio,"aman, aman ikus, am'iku"
7,0.4129879046622542,1.7489626018127462,1.335974697150492,naan,"alin, alik, ali",naan,"alin, alik, ali",naan,naan,naan,naan,"alin, alik, ali, kau",abi,naan,naan,naan,naan,naan,naan,"alin, alik, ali, kau, naan","maun, naan",naan,naan,naan,naan,naan,naan,abi,naan,"inan, ki'in, ki'i, inan kauaik","aman, aman ua'i","inan, ki'in, ki'i, inan klaran",tio,"aman, aman ikus, am'iku",tio,tio,"inan, ina, mai",pai,"aman, aman ua'i","inan, ki'in, ki'i, inan kauaik",tio,"inan, ki'in, ki'i, inan klaran","inan, ina, mai",pai,"aman, aman ikus, am'iku"
8,0.13281663862122728,1.6137942391528548,1.4809776005316275,naan,naan,naan,naan,naan,naan,"alin, alik, ali, kau",naan,naan,abi,naan,naan,naan,abi,naan,naan,"alin, alik, ali",naan,naan,naan,"maun, naan","alin, alik, ali, kau, naan",naan,naan,naan,"alin, alik, ali","inan, ina, mai","aman, aman ikus, am'iku",pai,tio,"inan, ki'in, ki'i, inan klaran",tio,"aman, aman ua'i","aman, aman ua'i","inan, ki'in, ki'i, inan kauaik","aman, aman ikus, am'iku","inan, ki'in, ki'i, inan klaran","inan, ina, mai","inan, ki'in, ki'i, inan kauaik",tio,pai,tio
9,0.3270354559428874,1.621516540824686,1.2944810848817987,abi,naan,naan,abi,naan,"alin, alik, ali, kau, naan",naan,naan,naan,naan,"maun, naan",naan,naan,naan,"alin, alik, ali",naan,naan,"alin, alik, ali, kau",naan,naan,naan,naan,naan,"alin, alik, ali",naan,naan,"aman, aman ikus, am'iku","inan, ina, mai","inan, ki'in, ki'i, inan kauaik","aman, aman ikus, am'iku","inan, ki'in, ki'i, inan kauaik","aman, aman ua'i","aman, aman ua'i",tio,"inan, ki'in, ki'i, inan klaran",tio,"inan, ina, mai",tio,"inan, ki'in, ki'i, inan klaran",pai,tio,pai
