simulation_number,mutual_information,entropy,conditional_entropy,mMyZS,mMyZD,fMyZS,fMyZD,meB,myB,meZ,myZ,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMeBD,mMyBD,mMeZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMeBD,fMyBD,fMeZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mB,mZ,fB,fZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,fF,mFB,mFZ,mMB,mMZ,fFB,fFZ,fMB,fMZ
0,0.8617991587133504,2.575579304708507,1.7137801459951567,balan yayin,balan waymin,balan ñubi,jurgay,bayi yabuju,bayi wuribu,bayi mugirray,bayi mugirray,jurgay,balan guyugan,jurgay,jurgay,bayi yabuju,balan yayin,balan jaman,jurgay,bayi mugirray,jurgay,bayi yabuju,jurgay,jurgay,jurgay,jurgay,jurgay,balan ñubi,balan yayin,jurgay,balan waymin,bayi mugirray,bayi wuribu,jurgay,bayi yabuju,jurgay,bayi wuribu,balan guyugan,bayi mugirray,yaputyu,jurgay,bayi mugirray,jurgay,jurgay,balan waymin,balan ñubi,balan guyugan,jurgay,balan jaman,jurgay,balan jaman,balan ñubi,balan yayin,balan jaman,jurgay,bayi yabuju,bayi wuribu,yayinmaki,yaputyu,balan yayin,balan yayin,balan jaman,balan waymin,jurgay,jurgay,jurgay,balan guyugan,yayinmaki,bayi yabuju,balan mugunan,bayi bimu,pampa,bayi mugu,balan bimu,bayi ŋuma,bayi gaya,ŋuma(ndi),bayi gaya,balan bimu,yabu(ndi),yabu,jarraga,balan mugunan,wayupurr,yabu(ndi),ŋuma(ndi),yabu,wayupurr,balan ŋalban,bayi ŋuma,balan ŋalban,jarraga,pampa,bayi bimu,bayi mugu,ŋuma,ŋuma
1,0.779470730580653,2.5425887029533776,1.7631179723727246,balan jaman,jurgay,jurgay,bayi mugirray,balan jaman,bayi wuribu,jurgay,jurgay,balan waymin,balan yayin,bayi wuribu,bayi yabuju,balan ñubi,balan yayin,jurgay,balan waymin,balan waymin,yayinmaki,yaputyu,balan jaman,jurgay,jurgay,jurgay,bayi wuribu,bayi yabuju,jurgay,bayi wuribu,yayinmaki,balan guyugan,balan guyugan,bayi mugirray,balan jaman,jurgay,bayi yabuju,bayi mugirray,balan yayin,bayi yabuju,bayi mugirray,balan yayin,jurgay,jurgay,balan yayin,bayi mugirray,balan guyugan,jurgay,jurgay,jurgay,jurgay,jurgay,balan jaman,jurgay,yaputyu,jurgay,jurgay,jurgay,balan ñubi,balan waymin,jurgay,balan ñubi,balan guyugan,bayi mugirray,balan ñubi,jurgay,bayi yabuju,bayi yabuju,balan yayin,bayi gaya,jarraga,bayi bimu,pampa,yabu,ŋuma,ŋuma(ndi),bayi bimu,balan ŋalban,pampa,ŋuma(ndi),jarraga,bayi ŋuma,bayi gaya,yabu(ndi),balan mugunan,wayupurr,yabu,bayi mugu,bayi mugu,balan bimu,balan ŋalban,bayi ŋuma,yabu(ndi),balan bimu,balan mugunan,wayupurr,ŋuma
2,0.8720002281203612,2.5818932522180007,1.7098930240976395,yayinmaki,bayi yabuju,jurgay,jurgay,balan jaman,balan yayin,jurgay,balan ñubi,jurgay,bayi mugirray,balan ñubi,balan jaman,bayi yabuju,balan guyugan,balan jaman,balan ñubi,bayi wuribu,balan waymin,bayi yabuju,jurgay,bayi mugirray,jurgay,balan yayin,jurgay,bayi wuribu,jurgay,balan waymin,bayi yabuju,jurgay,bayi wuribu,bayi yabuju,balan waymin,balan waymin,jurgay,balan guyugan,bayi mugirray,balan yayin,jurgay,balan yayin,bayi wuribu,jurgay,balan jaman,jurgay,jurgay,jurgay,balan guyugan,balan ñubi,yaputyu,jurgay,bayi mugirray,bayi mugirray,jurgay,yayinmaki,jurgay,bayi yabuju,jurgay,yaputyu,balan guyugan,jurgay,jurgay,balan jaman,balan yayin,balan yayin,bayi mugirray,jurgay,jurgay,bayi gaya,balan mugunan,ŋuma,wayupurr,ŋuma(ndi),balan bimu,bayi bimu,bayi mugu,yabu(ndi),yabu,balan bimu,bayi mugu,ŋuma(ndi),bayi bimu,yabu,yabu(ndi),balan ŋalban,bayi gaya,bayi ŋuma,jarraga,balan ŋalban,pampa,bayi ŋuma,pampa,jarraga,ŋuma,wayupurr,balan mugunan
3,0.9676972467215919,2.584522901594256,1.616825654872664,balan waymin,balan yayin,jurgay,jurgay,jurgay,jurgay,jurgay,balan jaman,jurgay,bayi yabuju,jurgay,jurgay,jurgay,balan yayin,balan yayin,jurgay,yayinmaki,jurgay,balan ñubi,bayi wuribu,bayi mugirray,yayinmaki,balan waymin,jurgay,jurgay,yaputyu,bayi yabuju,balan guyugan,balan jaman,jurgay,jurgay,bayi mugirray,jurgay,bayi mugirray,bayi yabuju,balan ñubi,jurgay,jurgay,balan waymin,balan jaman,jurgay,bayi yabuju,balan guyugan,bayi wuribu,balan yayin,jurgay,balan yayin,balan guyugan,jurgay,balan jaman,bayi wuribu,balan ñubi,balan waymin,bayi mugirray,jurgay,balan ñubi,yaputyu,bayi mugirray,bayi yabuju,balan guyugan,balan jaman,bayi yabuju,bayi wuribu,balan yayin,bayi mugirray,jurgay,balan ŋalban,ŋuma(ndi),pampa,yabu,ŋuma,yabu(ndi),yabu,balan bimu,wayupurr,bayi mugu,yabu(ndi),ŋuma,bayi gaya,balan mugunan,ŋuma(ndi),bayi bimu,bayi gaya,balan mugunan,jarraga,wayupurr,balan ŋalban,pampa,jarraga,bayi mugu,bayi ŋuma,bayi ŋuma,balan bimu,bayi bimu
4,0.8891227768382575,2.5686740419358003,1.6795512650975428,jurgay,jurgay,bayi wuribu,bayi wuribu,balan jaman,balan ñubi,bayi wuribu,bayi yabuju,bayi mugirray,balan guyugan,jurgay,bayi wuribu,balan jaman,bayi mugirray,balan waymin,jurgay,jurgay,balan yayin,jurgay,jurgay,bayi yabuju,bayi yabuju,jurgay,balan jaman,jurgay,jurgay,jurgay,jurgay,jurgay,balan yayin,bayi mugirray,balan waymin,bayi yabuju,balan yayin,jurgay,yayinmaki,balan guyugan,jurgay,bayi mugirray,balan ñubi,jurgay,bayi yabuju,balan yayin,jurgay,yaputyu,jurgay,jurgay,yayinmaki,bayi mugirray,balan jaman,balan guyugan,jurgay,jurgay,balan guyugan,jurgay,balan ñubi,balan waymin,balan ñubi,jurgay,balan yayin,bayi yabuju,balan waymin,balan jaman,balan yayin,yaputyu,bayi mugirray,yabu(ndi),bayi bimu,ŋuma(ndi),yabu,pampa,balan mugunan,bayi gaya,bayi ŋuma,yabu,jarraga,jarraga,yabu(ndi),balan ŋalban,wayupurr,bayi ŋuma,balan bimu,bayi mugu,pampa,balan bimu,balan mugunan,ŋuma,ŋuma(ndi),bayi mugu,balan ŋalban,wayupurr,bayi bimu,ŋuma,bayi gaya
5,0.7745172257681736,2.5468110974633293,1.7722938716951557,jurgay,jurgay,bayi wuribu,jurgay,jurgay,bayi yabuju,balan waymin,jurgay,yaputyu,jurgay,balan jaman,balan jaman,balan jaman,balan guyugan,bayi mugirray,jurgay,balan yayin,bayi mugirray,jurgay,bayi yabuju,bayi mugirray,balan yayin,jurgay,jurgay,balan yayin,jurgay,jurgay,jurgay,bayi mugirray,jurgay,balan waymin,balan guyugan,bayi wuribu,jurgay,jurgay,bayi wuribu,bayi mugirray,jurgay,bayi wuribu,jurgay,balan guyugan,balan ñubi,balan waymin,bayi yabuju,balan yayin,balan yayin,balan jaman,jurgay,jurgay,balan jaman,bayi yabuju,balan ñubi,bayi mugirray,balan ñubi,yayinmaki,yaputyu,jurgay,jurgay,bayi yabuju,jurgay,bayi yabuju,balan waymin,balan yayin,yayinmaki,balan guyugan,balan ñubi,jarraga,yabu,bayi ŋuma,wayupurr,bayi bimu,balan mugunan,ŋuma(ndi),wayupurr,balan bimu,balan ŋalban,yabu(ndi),yabu(ndi),ŋuma(ndi),pampa,ŋuma,pampa,bayi gaya,yabu,jarraga,balan ŋalban,ŋuma,balan mugunan,balan bimu,bayi mugu,bayi mugu,bayi gaya,bayi bimu,bayi ŋuma
6,0.8754812850082474,2.5818932522180007,1.7064119672097533,jurgay,yaputyu,balan waymin,jurgay,bayi mugirray,jurgay,balan guyugan,jurgay,jurgay,bayi yabuju,jurgay,bayi wuribu,bayi mugirray,balan yayin,balan jaman,jurgay,jurgay,jurgay,jurgay,balan yayin,balan ñubi,bayi mugirray,balan guyugan,yaputyu,balan jaman,jurgay,yayinmaki,jurgay,bayi yabuju,jurgay,jurgay,balan yayin,bayi mugirray,balan waymin,jurgay,balan jaman,bayi yabuju,jurgay,bayi yabuju,balan ñubi,balan ñubi,bayi wuribu,balan jaman,bayi mugirray,bayi yabuju,bayi mugirray,balan yayin,jurgay,yayinmaki,balan ñubi,bayi yabuju,balan jaman,balan yayin,balan waymin,balan waymin,jurgay,bayi wuribu,jurgay,jurgay,balan yayin,balan guyugan,jurgay,jurgay,balan guyugan,bayi wuribu,jurgay,bayi gaya,yabu(ndi),bayi mugu,bayi mugu,balan ŋalban,bayi ŋuma,wayupurr,yabu(ndi),ŋuma(ndi),pampa,pampa,bayi bimu,bayi gaya,yabu,yabu,ŋuma,ŋuma(ndi),balan bimu,ŋuma,balan bimu,balan ŋalban,wayupurr,jarraga,jarraga,balan mugunan,bayi ŋuma,balan mugunan,bayi bimu
7,0.851876423306863,2.564252702255481,1.712376278948618,jurgay,balan jaman,balan jaman,jurgay,jurgay,jurgay,bayi yabuju,balan yayin,yayinmaki,jurgay,balan guyugan,bayi mugirray,balan ñubi,jurgay,balan waymin,bayi wuribu,jurgay,jurgay,bayi mugirray,jurgay,jurgay,balan yayin,bayi yabuju,balan ñubi,balan yayin,bayi wuribu,yaputyu,balan waymin,jurgay,bayi yabuju,bayi wuribu,balan waymin,jurgay,balan guyugan,bayi mugirray,bayi mugirray,jurgay,bayi yabuju,balan ñubi,jurgay,jurgay,balan ñubi,balan yayin,jurgay,balan jaman,jurgay,balan jaman,yayinmaki,jurgay,jurgay,bayi yabuju,jurgay,balan guyugan,bayi yabuju,balan jaman,balan waymin,yaputyu,balan yayin,bayi wuribu,balan guyugan,bayi mugirray,jurgay,jurgay,balan yayin,jurgay,bayi mugirray,pampa,ŋuma(ndi),balan ŋalban,pampa,bayi bimu,yabu,yabu(ndi),bayi mugu,balan bimu,ŋuma,balan mugunan,balan mugunan,yabu,balan ŋalban,balan bimu,bayi gaya,yabu(ndi),jarraga,bayi gaya,bayi ŋuma,ŋuma,bayi mugu,bayi bimu,jarraga,ŋuma(ndi),wayupurr,bayi ŋuma,wayupurr
8,0.9469782474028685,2.51523542867131,1.5682571812684416,balan yayin,bayi mugirray,bayi wuribu,jurgay,bayi mugirray,bayi mugirray,balan waymin,balan ñubi,bayi yabuju,balan yayin,balan jaman,jurgay,jurgay,bayi yabuju,yaputyu,balan ñubi,bayi yabuju,jurgay,yayinmaki,jurgay,jurgay,yayinmaki,jurgay,balan waymin,jurgay,balan waymin,balan jaman,balan jaman,balan yayin,jurgay,bayi yabuju,jurgay,bayi yabuju,bayi yabuju,balan waymin,balan guyugan,balan guyugan,balan guyugan,jurgay,jurgay,jurgay,bayi mugirray,balan jaman,balan jaman,balan ñubi,balan guyugan,balan yayin,jurgay,balan yayin,balan ñubi,jurgay,bayi wuribu,bayi wuribu,bayi wuribu,bayi mugirray,jurgay,jurgay,jurgay,balan yayin,jurgay,jurgay,bayi mugirray,jurgay,jurgay,yaputyu,jurgay,yabu(ndi),balan bimu,jarraga,pampa,bayi bimu,yabu(ndi),jarraga,wayupurr,pampa,ŋuma,bayi ŋuma,balan mugunan,wayupurr,balan bimu,bayi gaya,bayi gaya,balan ŋalban,bayi bimu,yabu,bayi ŋuma,balan ŋalban,ŋuma(ndi),bayi mugu,ŋuma(ndi),balan mugunan,ŋuma,bayi mugu,yabu
9,0.9014698677250093,2.5718037705574988,1.6703339028324895,bayi mugirray,jurgay,balan waymin,balan guyugan,jurgay,jurgay,balan jaman,balan ñubi,jurgay,balan yayin,balan ñubi,bayi mugirray,jurgay,balan jaman,bayi yabuju,jurgay,bayi yabuju,bayi wuribu,jurgay,balan guyugan,jurgay,balan yayin,jurgay,jurgay,balan guyugan,bayi mugirray,bayi mugirray,yaputyu,jurgay,jurgay,bayi wuribu,balan yayin,balan waymin,balan jaman,balan waymin,bayi mugirray,jurgay,balan ñubi,bayi yabuju,balan jaman,bayi mugirray,balan ñubi,jurgay,yaputyu,bayi yabuju,bayi yabuju,balan guyugan,balan waymin,balan yayin,balan yayin,jurgay,bayi wuribu,jurgay,jurgay,jurgay,balan yayin,bayi yabuju,balan jaman,yayinmaki,yayinmaki,jurgay,jurgay,jurgay,bayi wuribu,jurgay,jurgay,bayi ŋuma,wayupurr,balan bimu,bayi ŋuma,wayupurr,yabu(ndi),ŋuma,bayi bimu,bayi gaya,bayi mugu,ŋuma(ndi),balan bimu,balan mugunan,bayi bimu,jarraga,balan ŋalban,balan ŋalban,yabu(ndi),ŋuma,jarraga,pampa,ŋuma(ndi),bayi gaya,balan mugunan,bayi mugu,pampa,yabu,yabu
