simulation_number,mutual_information,entropy,conditional_entropy,feZ,mFBeD,fFBeD,mMZeD,fMZeD,meB,feB,mFBeS,fFBeS,mMZeS,myZ,fyZ,mFByD,fFByD,mMZyD,fMZyD,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,mFZeS,fFZeS,mFZyS,fFZyS,mFZeD,mFZyD,fFZeD,fFZyD,mMBeS,fMBeS,mMByS,fMByS,mMBeD,fMBeD,mMByD,fMByD,mF,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ
0,0.18078686817343348,1.034601232910181,0.8538143647367475,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,uh-jeʼ-ah,kuh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,uh-jeʼ-ah,haʼ-gǎ,kuh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,uh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä
1,0.14053932702562122,0.5982695885852573,0.45773026155963603,uh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,haʼ-gǎ,uh-jeʼ-ah,uh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,kuh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,ge-noʼ-sä-ha,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kuh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,uh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,uh-jeʼ-ah,uh-jeʼ-ah,haʼ-gǎ,ah-gareʼ-seh,kuh-ne-häʼ,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä
3,0.1608706033651573,0.5195798391305154,0.3587092357653581,kuh-jeʼ-ah,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,kuh-jeʼ-ah,kaʼ-gǎ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ge-noʼ-sä-ha
4,0.09922444498263283,0.5195798391305154,0.4203553941478826,kaʼ-gǎ,kuh-jeʼ-ah,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,haʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,kaʼ-gǎ,haʼ-gǎ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ
5,0.1807868681734337,1.0346012329101812,0.8538143647367475,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,kuh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä
6,0.03757828660010831,0.5195798391305154,0.4820015525304071,kaʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,uh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,haʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,uh-jeʼ-ah,uh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,ge-noʼ-sä-ha,ge-noʼ-sä-ha,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,kaʼ-gǎ,haʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,uh-jeʼ-ah,kaʼ-gǎ,kuh-jeʼ-ah,kaʼ-gǎ,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,kuh-jeʼ-ah,kuh-jeʼ-ah,ah-gareʼ-seh,uh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,haʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,kuh-jeʼ-ah,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ge-noʼ-sä-ha,kuh-ne-häʼ,ge-noʼ-sä-ha,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ
8,0.06312851080896043,0.5195798391305154,0.456451328321555,kaʼ-gǎ,uh-jeʼ-ah,kaʼ-gǎ,kuh-jeʼ-ah,uh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,kaʼ-gǎ,kuh-jeʼ-ah,ah-gareʼ-seh,ah-gareʼ-seh,kuh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,kuh-jeʼ-ah,haʼ-gǎ,uh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,haʼ-gǎ,haʼ-gǎ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ah-ge-noʼ-hä
9,0.004143433819589815,0.5982695885852573,0.5941261547656674,haʼ-gǎ,kaʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,kaʼ-gǎ,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,uh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,kuh-jeʼ-ah,kuh-jeʼ-ah,ah-gareʼ-seh,kuh-jeʼ-ah,haʼ-gǎ,kaʼ-gǎ,kuh-jeʼ-ah,kuh-jeʼ-ah,kaʼ-gǎ,ah-gareʼ-seh,uh-jeʼ-ah,kaʼ-gǎ,uh-jeʼ-ah,ah-gareʼ-seh,haʼ-gǎ,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,ah-gareʼ-seh,haʼ-gǎ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,kuh-ne-häʼ,kuh-ne-häʼ,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha
