simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMeBD,mMyBD,mMyZD,mFZeS,mFZyS,mFZyD,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMeBD,fMyBD,fMyZD,fFZeS,fFZyS,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mMBeS,mMByS,fFZeD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.4121581315860372,2.0254860679912445,1.6133279364052073,inyahul,ilya,iLya,ilya,ilya,ilya,ilya,iLya,iLya,iLya,ilya,hidjisa,ilya,inyahul,inyathus,kûsa,kûsa,ilya,ilya,inyahul,kûsa,ilya,hidjisa,ilya,iLya,hidjisa,ilya,iLya,ilya,hidjisa,kûsa,iLya,iLya,iLya,ilya,ilya,ilya,inyahul,ilya,ilya,ilya,kûsa,inyathus,hidjisa,ilya,ilya,ilya,inyahul,iLya,ilya,hidjisa,ilya,ilya,ilya,ilya,intca,whinyiwit,enyimu,enyûsi,enyipi,enyikwa,enyipi,enyimu,enyikwa,enyiku',enyipi,whinyiwit,enyikwa,enyikwa,enyûsi,whinyiskau,enyikwa,whinyiskau,enyipi,enyikwa,inyia',enyipi,intca,enyipi
1,0.41735930008310973,2.083522204639253,1.6661629045561432,inyahul,hidjisa,hidjisa,hidjisa,iLya,iLya,kûsa,ilya,hidjisa,ilya,ilya,inyahul,iLya,ilya,iLya,ilya,ilya,inyahul,ilya,ilya,iLya,hidjisa,iLya,inyahul,ilya,inyathus,iLya,kûsa,iLya,iLya,ilya,ilya,ilya,ilya,kûsa,ilya,ilya,ilya,ilya,inyathus,ilya,ilya,iLya,kûsa,ilya,inyahul,hidjisa,ilya,ilya,ilya,ilya,ilya,kûsa,ilya,ilya,intca,inyia',enyipi,enyipi,enyikwa,whinyiwit,enyikwa,enyikwa,whinyiskau,enyimu,enyûsi,enyipi,whinyiwit,enyikwa,enyiku',enyûsi,enyikwa,enyipi,enyipi,enyipi,intca,enyimu,whinyiskau,enyikwa
2,0.3173856327074762,1.963232844245172,1.6458472115376959,ilya,ilya,ilya,inyahul,iLya,kûsa,ilya,ilya,ilya,inyahul,ilya,kûsa,ilya,ilya,iLya,ilya,hidjisa,hidjisa,ilya,ilya,iLya,ilya,ilya,ilya,hidjisa,inyathus,iLya,iLya,ilya,ilya,kûsa,iLya,inyahul,hidjisa,ilya,inyahul,iLya,iLya,ilya,ilya,ilya,ilya,inyathus,ilya,iLya,iLya,hidjisa,ilya,ilya,ilya,hidjisa,inyahul,kûsa,kûsa,ilya,enyikwa,enyûsi,enyûsi,enyipi,enyikwa,enyipi,enyikwa,whinyiwit,enyipi,enyipi,enyipi,enyikwa,whinyiwit,inyia',whinyiskau,enyimu,enyikwa,whinyiskau,enyiku',intca,enyipi,enyimu,enyikwa,intca
3,0.3136126262588539,2.010188126129573,1.696575499870719,ilya,hidjisa,ilya,iLya,ilya,ilya,ilya,ilya,hidjisa,inyathus,ilya,ilya,ilya,iLya,kûsa,ilya,ilya,ilya,ilya,ilya,iLya,ilya,inyahul,inyahul,iLya,hidjisa,iLya,ilya,ilya,ilya,inyahul,kûsa,kûsa,iLya,iLya,kûsa,hidjisa,iLya,ilya,ilya,ilya,iLya,ilya,ilya,kûsa,ilya,ilya,inyahul,iLya,inyahul,inyathus,ilya,ilya,hidjisa,hidjisa,enyûsi,enyimu,enyimu,enyiku',enyikwa,enyipi,enyikwa,enyûsi,enyikwa,enyipi,enyikwa,inyia',whinyiskau,intca,enyipi,whinyiskau,enyipi,enyikwa,whinyiwit,intca,enyipi,enyikwa,enyipi,whinyiwit
4,0.3776171543117297,2.024335602828379,1.6467184485166493,hidjisa,iLya,iLya,inyahul,ilya,hidjisa,inyahul,ilya,inyahul,ilya,ilya,ilya,kûsa,ilya,iLya,ilya,iLya,ilya,iLya,ilya,hidjisa,kûsa,ilya,iLya,ilya,ilya,hidjisa,ilya,ilya,iLya,ilya,ilya,hidjisa,ilya,iLya,kûsa,inyahul,inyathus,inyahul,kûsa,ilya,iLya,ilya,ilya,ilya,inyathus,hidjisa,ilya,ilya,ilya,ilya,ilya,kûsa,ilya,iLya,whinyiskau,enyipi,enyikwa,enyikwa,inyia',enyipi,enyikwa,enyikwa,enyikwa,whinyiwit,enyipi,enyiku',intca,whinyiskau,enyipi,enyûsi,enyimu,enyikwa,enyipi,whinyiwit,enyimu,enyipi,intca,enyûsi
5,0.38823850141436833,2.0017488089442597,1.6135103075298913,ilya,ilya,inyahul,ilya,ilya,ilya,iLya,inyahul,ilya,ilya,hidjisa,hidjisa,ilya,iLya,inyahul,ilya,ilya,ilya,iLya,iLya,ilya,hidjisa,ilya,inyahul,ilya,iLya,ilya,inyahul,ilya,kûsa,ilya,iLya,inyathus,iLya,hidjisa,hidjisa,ilya,ilya,iLya,kûsa,kûsa,ilya,ilya,kûsa,kûsa,ilya,ilya,iLya,ilya,ilya,inyathus,ilya,ilya,iLya,hidjisa,intca,enyipi,enyipi,inyia',enyipi,enyûsi,enyûsi,whinyiwit,whinyiwit,enyiku',enyikwa,enyimu,enyipi,enyimu,intca,enyipi,whinyiskau,enyikwa,enyikwa,enyikwa,whinyiskau,enyipi,enyikwa,enyikwa
6,0.341549314202622,1.8914623190635322,1.5499130048609102,iLya,inyahul,ilya,hidjisa,ilya,iLya,ilya,iLya,hidjisa,kûsa,inyahul,ilya,inyathus,ilya,ilya,iLya,hidjisa,ilya,iLya,ilya,ilya,hidjisa,ilya,ilya,hidjisa,ilya,ilya,iLya,ilya,iLya,inyahul,inyahul,ilya,ilya,ilya,ilya,ilya,ilya,ilya,kûsa,hidjisa,ilya,iLya,ilya,ilya,iLya,inyathus,ilya,kûsa,iLya,inyahul,kûsa,ilya,kûsa,ilya,enyipi,enyimu,enyikwa,whinyiskau,enyûsi,whinyiwit,whinyiskau,intca,enyipi,enyikwa,enyikwa,intca,enyipi,enyikwa,enyiku',enyipi,enyikwa,enyimu,inyia',enyûsi,enyipi,enyikwa,whinyiwit,enyipi
7,0.32063836519944,1.9728098616504834,1.6521714964510434,ilya,hidjisa,ilya,kûsa,hidjisa,hidjisa,iLya,ilya,ilya,iLya,iLya,ilya,ilya,iLya,iLya,inyathus,ilya,ilya,hidjisa,inyathus,ilya,ilya,ilya,ilya,ilya,kûsa,ilya,iLya,inyahul,iLya,inyahul,ilya,hidjisa,ilya,ilya,iLya,kûsa,ilya,ilya,ilya,ilya,kûsa,hidjisa,ilya,ilya,inyahul,ilya,iLya,inyahul,ilya,iLya,inyahul,ilya,kûsa,ilya,enyipi,whinyiskau,enyikwa,enyipi,enyipi,enyipi,intca,enyikwa,inyia',enyimu,enyipi,enyikwa,intca,enyikwa,whinyiwit,enyikwa,enyûsi,enyipi,enyikwa,enyimu,whinyiskau,enyûsi,whinyiwit,enyiku'
8,0.3603030724495453,1.9724022941806956,1.6120992217311503,kûsa,ilya,inyahul,ilya,iLya,kûsa,hidjisa,ilya,inyahul,inyathus,ilya,ilya,iLya,ilya,ilya,ilya,ilya,kûsa,ilya,iLya,ilya,inyahul,ilya,iLya,ilya,ilya,iLya,hidjisa,hidjisa,kûsa,ilya,ilya,ilya,hidjisa,ilya,iLya,inyathus,ilya,iLya,hidjisa,ilya,hidjisa,iLya,kûsa,ilya,inyahul,iLya,ilya,inyahul,ilya,ilya,ilya,iLya,ilya,ilya,intca,enyimu,enyikwa,enyikwa,whinyiskau,intca,whinyiwit,enyikwa,enyimu,enyipi,enyikwa,enyipi,whinyiskau,enyiku',whinyiwit,enyipi,enyûsi,enyipi,inyia',enyipi,enyikwa,enyipi,enyikwa,enyûsi
9,0.39201487532432155,2.0391256042833836,1.647110728959062,ilya,kûsa,ilya,ilya,ilya,ilya,ilya,iLya,kûsa,kûsa,ilya,hidjisa,ilya,ilya,hidjisa,iLya,ilya,ilya,ilya,ilya,ilya,ilya,iLya,inyahul,ilya,inyathus,ilya,ilya,inyahul,ilya,ilya,iLya,inyahul,kûsa,hidjisa,iLya,hidjisa,ilya,ilya,hidjisa,iLya,inyahul,inyathus,kûsa,ilya,ilya,iLya,iLya,ilya,ilya,ilya,iLya,iLya,hidjisa,inyahul,enyikwa,enyiku',enyipi,intca,enyipi,enyipi,intca,whinyiskau,enyipi,enyipi,whinyiwit,whinyiwit,enyikwa,enyimu,inyia',enyûsi,enyikwa,enyikwa,enyipi,whinyiskau,enyimu,enyikwa,enyikwa,enyûsi
