simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ
0,0.11849392256130031,1.0888999753452238,0.9704060527839234,"avinsai, afro, avuk",vin,"avinsai, avuk",vin,"avinsai, avuk",maran,rimin,leren,leren,ehnen,rimin,leren,maran,ehnen,leren
1,0.1978763973926393,1.0296530140645737,0.8317766166719344,vin,"avinsai, avuk","avinsai, avuk",vin,"avinsai, afro, avuk",ehnen,maran,leren,maran,leren,rimin,ehnen,leren,leren,rimin
2,0.39575279478527847,1.366158847569202,0.9704060527839234,"avinsai, avuk",vin,"avinsai, avuk","avinsai, afro, avuk",vin,leren,ehnen,rimin,maran,leren,ehnen,leren,maran,rimin,leren
3,0.6730116670092566,1.0888999753452238,0.4158883083359671,"avinsai, afro, avuk",vin,vin,"avinsai, avuk","avinsai, avuk",ehnen,leren,maran,maran,leren,leren,rimin,rimin,leren,ehnen
4,0.39575279478527825,1.3661588475692017,0.9704060527839234,"avinsai, avuk","avinsai, avuk",vin,"avinsai, afro, avuk",vin,leren,rimin,ehnen,maran,leren,leren,leren,rimin,ehnen,maran
5,0.33650583350462837,1.0296530140645737,0.6931471805599453,"avinsai, afro, avuk",vin,vin,"avinsai, avuk","avinsai, avuk",maran,ehnen,leren,ehnen,maran,leren,leren,rimin,rimin,leren
6,0.11849392256130031,1.0888999753452238,0.9704060527839234,"avinsai, afro, avuk",vin,"avinsai, avuk",vin,"avinsai, avuk",ehnen,maran,leren,leren,rimin,ehnen,rimin,leren,maran,leren
7,0.11849392256130031,1.0888999753452238,0.9704060527839234,"avinsai, afro, avuk","avinsai, avuk",vin,"avinsai, avuk",vin,leren,maran,ehnen,ehnen,rimin,leren,leren,rimin,maran,leren
8,0.05924696128065021,1.0296530140645737,0.9704060527839234,"avinsai, avuk",vin,"avinsai, afro, avuk","avinsai, avuk",vin,rimin,ehnen,maran,rimin,leren,leren,leren,maran,leren,ehnen
9,0.33650583350462837,1.0296530140645737,0.6931471805599453,vin,vin,"avinsai, afro, avuk","avinsai, avuk","avinsai, avuk",leren,rimin,leren,maran,leren,ehnen,ehnen,maran,rimin,leren
