simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mMZ,mFeB,mMeZ,mMyZ,fMZ,fFeB,fMeZ,fMyZ
0,0.30075097579296695,1.5351136160841623,1.2343626402911954,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabba,jinkurr,kambanmu,kambanmu,kambanmu,yabuju,babarr,kambanmu,babarr,yabba,kambanmu,kambanmu,kambanmu,kambanmu,yabuju,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,jinkurr,kambanmu,kalnga,nganjan,kalnga,mukay,ngamu,bimay,bimay,kalnga,ngamu,bimay,nganjan,kalnga,kalnga,kalnga,nganjan,bimay,mukay,ngamu,ngamu,ngamu,bimay,nganjan,nganjan,nganjan,ngamu,mukay,mukay,bimay
1,0.14619458693858145,1.485359795860281,1.3391652089216997,kambanmu,kambanmu,yabuju,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,yabba,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,babarr,tatyalkira,yabba,kambanmu,kalnga,bimay,bimay,ngamu,kalnga,kalnga,bimay,nganjan,ngamu,ngamu,mukay,nganjan,bimay,nganjan,kalnga,mukay,ngamu,nganjan,kalnga,ngamu,nganjan,nganjan,mukay,bimay,mukay,bimay,ngamu,kalnga
2,0.24362651981107875,1.4637294168950583,1.2201028970839796,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,yabba,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,jinkurr,yabuju,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,babarr,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabuju,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,bimay,mukay,mukay,nganjan,kalnga,kalnga,bimay,bimay,nganjan,nganjan,kalnga,bimay,ngamu,mukay,bimay,nganjan,bimay,ngamu,kalnga,nganjan,ngamu,kalnga,nganjan,mukay,ngamu,ngamu,kalnga,ngamu
3,0.20376948523056204,1.4759303263874914,1.2721608411569294,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,tatyalkira,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,ngamu,kalnga,ngamu,kalnga,ngamu,kalnga,nganjan,ngamu,bimay,bimay,kalnga,mukay,nganjan,kalnga,kalnga,bimay,nganjan,nganjan,bimay,mukay,bimay,bimay,ngamu,nganjan,mukay,mukay,ngamu,nganjan
4,0.20602370620083965,1.4962735898268962,1.2902498836260565,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,yabba,jinkurr,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,yabba,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,babarr,kambanmu,bimay,kalnga,nganjan,bimay,kalnga,bimay,ngamu,ngamu,nganjan,mukay,kalnga,kalnga,ngamu,kalnga,mukay,nganjan,bimay,ngamu,nganjan,ngamu,mukay,mukay,kalnga,ngamu,nganjan,bimay,bimay,nganjan
5,0.176034906257861,1.590823284746649,1.414788378488788,yabuju,yabuju,yabba,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,tatyalkira,kambanmu,kambanmu,jinkurr,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,bimay,ngamu,ngamu,nganjan,nganjan,nganjan,kalnga,bimay,ngamu,ngamu,bimay,nganjan,bimay,mukay,kalnga,nganjan,kalnga,bimay,ngamu,mukay,bimay,ngamu,kalnga,nganjan,mukay,kalnga,kalnga,mukay
6,0.1469779878040447,1.4868555887101182,1.3398776009060736,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,yabba,kambanmu,tatyalkira,kambanmu,jinkurr,tatyalkira,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,yabuju,ngamu,ngamu,mukay,ngamu,mukay,bimay,kalnga,kalnga,kalnga,nganjan,kalnga,bimay,ngamu,ngamu,nganjan,bimay,kalnga,bimay,bimay,ngamu,bimay,nganjan,nganjan,mukay,mukay,nganjan,kalnga,nganjan
7,0.22558047546289628,1.5527458440027864,1.32716536853989,kambanmu,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabba,jinkurr,kambanmu,yabuju,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,yabba,mukay,nganjan,nganjan,ngamu,bimay,nganjan,bimay,ngamu,nganjan,ngamu,nganjan,kalnga,kalnga,ngamu,bimay,bimay,mukay,kalnga,ngamu,kalnga,mukay,bimay,bimay,kalnga,ngamu,nganjan,mukay,kalnga
8,0.20024161849264632,1.3839957865195118,1.1837541680268655,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,kambanmu,yabba,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,kambanmu,kambanmu,kambanmu,yabuju,kambanmu,yabuju,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,yabba,jinkurr,ngamu,bimay,ngamu,nganjan,bimay,bimay,ngamu,nganjan,ngamu,mukay,mukay,ngamu,kalnga,mukay,bimay,bimay,nganjan,nganjan,mukay,nganjan,kalnga,bimay,kalnga,ngamu,kalnga,kalnga,kalnga,nganjan
9,0.24120864944058273,1.526004863406646,1.2847962139660634,kambanmu,kambanmu,kambanmu,yabba,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,yabba,tatyalkira,kambanmu,kambanmu,babarr,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,babarr,yabuju,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,kambanmu,tatyalkira,kambanmu,kambanmu,kambanmu,kambanmu,jinkurr,jinkurr,kambanmu,kambanmu,yabuju,kambanmu,kambanmu,kambanmu,mukay,ngamu,nganjan,bimay,ngamu,ngamu,nganjan,nganjan,bimay,mukay,kalnga,ngamu,nganjan,bimay,kalnga,nganjan,bimay,ngamu,kalnga,kalnga,bimay,nganjan,kalnga,mukay,kalnga,bimay,mukay,ngamu
