simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFBeD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFBeS,fFBeD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.10624055253828146,0.5195798391305154,0.41333928659223396,sāsi,dī,dī,dī,sāsi,dī,"'auā, waena",dōra,dī,dī,dōra,dī,dī,dī,waena,dī,dī,"'auā, waena",dī,dōra,dī,dī,dī,dōra,waena,dī,dōra,aia,tē,aia,aia,"ama, maka, sāma","ama, maka, sāma",kō,aia,kō,aia,aia,aia,tē,aia,kō,kō
1,0.06866226593817337,1.0346012329101812,0.9659389669720079,dī,dī,dī,dī,dōra,dī,dī,dī,dī,dī,dōra,dī,sāsi,sāsi,waena,"'auā, waena",dōra,dī,dī,dī,dī,dī,dī,waena,"'auā, waena",dōra,dōra,aia,tē,aia,kō,tē,kō,aia,"ama, maka, sāma",aia,aia,kō,aia,aia,"ama, maka, sāma",aia,kō
2,0.2120742666998533,0.9799711820833054,0.7678969153834521,dī,dōra,sāsi,dī,dōra,dī,waena,dī,dī,dī,dōra,dī,dōra,dī,sāsi,dī,dī,dī,dī,dī,"'auā, waena","'auā, waena",waena,dī,dōra,dī,dī,aia,kō,tē,tē,aia,aia,"ama, maka, sāma",aia,aia,kō,aia,kō,aia,kō,"ama, maka, sāma",aia
3,0.10603713334992693,1.0346012329101812,0.9285640995602543,dī,"'auā, waena",dōra,dī,dōra,waena,dī,dī,dī,dī,dī,"'auā, waena",dōra,dī,dōra,dī,dī,dī,dī,dī,sāsi,dī,dī,dōra,waena,sāsi,dī,aia,tē,kō,aia,"ama, maka, sāma","ama, maka, sāma",aia,kō,aia,kō,aia,aia,aia,kō,tē,aia
4,0.04439097496740241,1.0346012329101812,0.9902102579427788,dī,dī,dōra,dī,dī,dī,dī,dī,waena,waena,dōra,dī,"'auā, waena",dōra,dōra,sāsi,dōra,"'auā, waena",dī,dī,dī,dī,dī,dī,dī,sāsi,dī,tē,aia,aia,kō,kō,aia,aia,aia,aia,"ama, maka, sāma",aia,"ama, maka, sāma",kō,tē,kō,aia
5,0.04439097496740241,1.0346012329101812,0.9902102579427788,dī,dī,dī,dī,dī,dī,dōra,waena,dī,dī,dī,dī,dī,dōra,dī,"'auā, waena",sāsi,sāsi,dī,dōra,dī,"'auā, waena",dī,dī,dōra,waena,dōra,aia,tē,kō,aia,aia,kō,kō,aia,kō,"ama, maka, sāma",aia,aia,aia,"ama, maka, sāma",tē,aia
6,0.21207426669985363,1.376055285260417,1.1639810185605635,"'auā, waena","'auā, waena",dōra,dī,sāsi,dī,dī,waena,sāsi,dōra,dī,dōra,dī,dī,dī,dī,dōra,dōra,dī,dī,dī,dī,dī,dī,waena,dī,dī,aia,tē,"ama, maka, sāma",kō,tē,aia,aia,aia,kō,aia,kō,aia,aia,kō,"ama, maka, sāma",aia
7,0.10109274270407298,1.0346012329101812,0.9335084902061083,dī,dī,sāsi,dī,dī,waena,dī,dī,dōra,dōra,dī,dī,dī,dōra,dī,"'auā, waena",dī,dī,waena,"'auā, waena",dī,dōra,dī,dī,dōra,sāsi,dī,aia,tē,kō,aia,aia,aia,aia,tē,kō,kō,aia,aia,"ama, maka, sāma",kō,"ama, maka, sāma",aia
8,0.08878194993480448,1.0789922078775833,0.9902102579427788,dī,dī,dī,dī,dī,dī,waena,dōra,dī,sāsi,dī,waena,dōra,dōra,dī,"'auā, waena",dōra,dī,dī,sāsi,dī,dī,"'auā, waena",dī,dī,dī,dōra,kō,kō,tē,aia,aia,aia,aia,"ama, maka, sāma",aia,aia,"ama, maka, sāma",kō,aia,aia,kō,tē
9,0.20218548540814574,1.0789922078775833,0.8768067224694376,dī,sāsi,dī,dōra,dī,dī,dī,"'auā, waena",dōra,dī,dī,waena,"'auā, waena",dōra,dī,dī,dī,waena,dī,dī,dōra,dī,dī,dōra,sāsi,dī,dī,aia,aia,tē,kō,kō,aia,"ama, maka, sāma",aia,kō,aia,aia,aia,aia,kō,"ama, maka, sāma",tē
