simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.06472413117832632,0.9251363572435835,0.8604122260652571,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,luŋ,luŋ,pa:,ʔau,pa:,pa:,pa:,luŋ,luŋ,luŋ,ʔau,luŋ,pa:,pa:,luŋ,pa:,luŋ,luŋ,pa:,pa:,pa:,luŋ,luŋ,pa:,pa:,luŋ
1,0.04643389499586603,0.9275677549108199,0.8811338599149539,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,luŋ,luŋ,pa:,pa:,pa:,luŋ,ʔau,pa:,pa:,pa:,pa:,pa:,luŋ,luŋ,luŋ,luŋ,ʔau,pa:,pa:,luŋ,pa:,luŋ,luŋ,luŋ,luŋ,pa:
2,0.04988215325013046,0.927162821814978,0.8772806685648475,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,pa:,luŋ,luŋ,luŋ,pa:,pa:,luŋ,pa:,pa:,luŋ,luŋ,luŋ,ʔau,pa:,luŋ,luŋ,ʔau,pa:,pa:,luŋ,pa:,pa:,luŋ,pa:,pa:,luŋ
3,0.022103513932584584,0.871960760486556,0.8498572465539714,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,pa:,pa:,pa:,pa:,luŋ,pa:,luŋ,pa:,ʔau,luŋ,ʔau,luŋ,luŋ,pa:,pa:,luŋ,luŋ,luŋ,pa:,luŋ,pa:,pa:,luŋ,luŋ,luŋ,pa:
4,0.050527928569611524,0.9397700993942164,0.8892421708246049,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,luŋ,luŋ,luŋ,luŋ,pa:,pa:,pa:,luŋ,pa:,luŋ,pa:,luŋ,luŋ,ʔau,pa:,ʔau,pa:,luŋ,pa:,pa:,luŋ,pa:,luŋ,luŋ,pa:,pa:
5,0.06780776817565537,0.8577425376835063,0.7899347695078509,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,pa:,pa:,pa:,pa:,pa:,luŋ,luŋ,ʔau,luŋ,luŋ,ʔau,pa:,luŋ,pa:,pa:,pa:,luŋ,luŋ,luŋ,luŋ,luŋ,pa:,luŋ,pa:,luŋ,pa:
6,0.05726354586981541,0.9271628218149779,0.8698992759451625,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,luŋ,pa:,pa:,luŋ,pa:,pa:,pa:,ʔau,pa:,pa:,luŋ,luŋ,pa:,pa:,luŋ,pa:,ʔau,luŋ,pa:,luŋ,luŋ,pa:,luŋ,luŋ,luŋ,luŋ
7,0.07865905280957697,0.866645832045436,0.787986779235859,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuən ńjai ʔau mä:,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,pa:,luŋ,luŋ,pa:,pa:,luŋ,luŋ,luŋ,luŋ,ʔau,pa:,luŋ,pa:,pa:,luŋ,pa:,pa:,pa:,luŋ,luŋ,luŋ,pa:,pa:,ʔau,luŋ,pa:
8,0.05139870497354326,0.866645832045436,0.8152471270718927,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khu:n ʔau mä:,pa:,luŋ,luŋ,luŋ,luŋ,pa:,luŋ,luŋ,luŋ,luŋ,pa:,pa:,pa:,luŋ,pa:,pa:,luŋ,luŋ,pa:,pa:,luŋ,pa:,ʔau,pa:,ʔau,pa:
9,0.04911066040946055,0.8729428090963564,0.8238321486868958,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khu:n ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuən ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuən ńjai ʔau mä:,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuan ńjai,khuen ńjai ʔau khlɔŋ,pa:,pa:,luŋ,pa:,pa:,pa:,luŋ,pa:,luŋ,luŋ,ʔau,pa:,pa:,pa:,luŋ,luŋ,luŋ,luŋ,luŋ,pa:,ʔau,luŋ,luŋ,pa:,pa:,luŋ
