simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFZD,mFBD,mMBD,mMZD,mMBS,mMZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeD,mMByD,mMZeD,mMZyD,meZ,myZ,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,fB,fZ,feB,fyB,fFZD,fFBD,fMBD,fMZD,fMBS,fMZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeD,fMByD,fMZeD,fMZyD,feZ,fyZ,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.5530069649477798,1.923109233981411,1.3701022690336313,ngwa khazi,ngwa khazi,papa nketo,ngwa khazi,bana bakhazi,bana bakhazi,bana bakhazi,papa nketo,bana bakhazi,mama nkulutu,papa nketo,ngwa khazi,ngwa khazi,papa nleki,ngwa khazi,ngwa khazi,ngwa khazi,bana bakhazi,papa nketo,ngwa khazi,papa nketo,bakhomba,ngwa khazi,papa nketo,papa nkulutu,ngwa khazi,ngwa khazi,bakhomba,bana bakhazi,mama nleki,mama nkulutu,mama nkulutu,baphangi,papa nleki,papa nleki,papa nleki,mama nleki,bana bakhazi,bana bakhazi,bakhomba,ngwa khazi,bakhomba,papa nketo,ngwa khazi,bana bakhazi,ngwa khazi,papa nketo,papa nkulutu,papa nketo,papa nketo,papa nketo,papa nketo,papa nkulutu,mama nleki,papa nketo,baphangi,papa nketo,bakhomba,papa nketo,mama nkulutu,bana bakhazi,papa nkulutu,bakhomba,ngwa khazi,ngwa khazi,papa nketo,papa nketo,mama nleki,bakhomba,ngwa khazi,bana bakhazi,papa nketo,papa nketo,bakhomba,bana bakhazi,ngwa khazi,bakhomba,papa nkulutu,mama,papa nketo,mama,papa nleki,ngwa khazi,tata,papa nketo,ngwa khazi,ngwa khazi,papa nketo,papa nkulutu,papa nketo,ngwa khazi,ngwa khazi,mama nleki,papa nketo,mama nkulutu,mama nkulutu,papa nketo,mama nleki,ngwa khazi,papa nleki,tata
1,0.44164192144391756,1.8500838695779946,1.408441948134077,papa nketo,bana bakhazi,papa nketo,bana bakhazi,papa nketo,ngwa khazi,bana bakhazi,bana bakhazi,papa nketo,papa nketo,ngwa khazi,bakhomba,papa nketo,papa nketo,bana bakhazi,bakhomba,bana bakhazi,bakhomba,ngwa khazi,ngwa khazi,papa nketo,mama nleki,bana bakhazi,mama nleki,papa nketo,papa nketo,ngwa khazi,ngwa khazi,papa nketo,baphangi,ngwa khazi,papa nketo,papa nleki,papa nketo,ngwa khazi,papa nketo,papa nketo,baphangi,papa nkulutu,bana bakhazi,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi,papa nkulutu,mama nkulutu,bana bakhazi,papa nleki,ngwa khazi,bana bakhazi,ngwa khazi,bakhomba,mama nleki,papa nkulutu,papa nketo,bakhomba,papa nleki,ngwa khazi,papa nleki,bana bakhazi,ngwa khazi,bakhomba,mama nkulutu,ngwa khazi,bakhomba,papa nkulutu,papa nketo,ngwa khazi,bana bakhazi,ngwa khazi,bakhomba,mama nkulutu,bakhomba,papa nketo,ngwa khazi,mama nkulutu,mama nleki,papa nketo,ngwa khazi,ngwa khazi,mama nkulutu,mama,papa nketo,papa nketo,ngwa khazi,papa nleki,mama nleki,papa nketo,tata,mama,papa nketo,papa nkulutu,papa nketo,ngwa khazi,mama nkulutu,ngwa khazi,mama nleki,papa nkulutu,papa nleki,ngwa khazi,tata
2,0.4501034411099314,1.881495899463073,1.4313924583531417,ngwa khazi,papa nketo,papa nketo,papa nketo,ngwa khazi,bakhomba,ngwa khazi,papa nketo,bana bakhazi,bana bakhazi,papa nkulutu,ngwa khazi,bana bakhazi,papa nleki,ngwa khazi,ngwa khazi,ngwa khazi,bana bakhazi,papa nleki,bana bakhazi,bakhomba,ngwa khazi,bana bakhazi,papa nketo,bana bakhazi,bana bakhazi,papa nketo,bakhomba,ngwa khazi,papa nketo,papa nleki,bakhomba,ngwa khazi,papa nketo,papa nketo,papa nketo,papa nkulutu,ngwa khazi,bakhomba,bakhomba,mama nleki,mama nkulutu,papa nketo,papa nketo,papa nketo,mama nkulutu,papa nleki,bana bakhazi,papa nketo,mama nleki,ngwa khazi,ngwa khazi,mama nleki,papa nkulutu,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi,bakhomba,baphangi,bana bakhazi,mama nkulutu,ngwa khazi,papa nketo,bana bakhazi,ngwa khazi,papa nkulutu,ngwa khazi,bakhomba,bakhomba,mama nleki,baphangi,bana bakhazi,papa nketo,papa nketo,papa nketo,mama nkulutu,mama nleki,papa nketo,papa nketo,mama,mama nleki,ngwa khazi,ngwa khazi,papa nkulutu,papa nketo,papa nleki,papa nketo,mama nkulutu,ngwa khazi,papa nketo,tata,ngwa khazi,ngwa khazi,tata,papa nketo,papa nleki,mama nkulutu,mama,papa nkulutu,ngwa khazi
3,0.5191154867162082,1.913603041084274,1.3944875543680657,papa nketo,bana bakhazi,papa nketo,bakhomba,bana bakhazi,baphangi,ngwa khazi,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi,mama nkulutu,bakhomba,papa nkulutu,ngwa khazi,papa nketo,bakhomba,bana bakhazi,bana bakhazi,ngwa khazi,bana bakhazi,bana bakhazi,papa nketo,papa nketo,papa nketo,baphangi,mama nkulutu,ngwa khazi,papa nketo,ngwa khazi,bakhomba,papa nketo,ngwa khazi,papa nkulutu,ngwa khazi,bakhomba,papa nketo,mama nleki,bana bakhazi,papa nketo,papa nketo,mama nleki,ngwa khazi,ngwa khazi,bana bakhazi,ngwa khazi,ngwa khazi,ngwa khazi,papa nkulutu,papa nleki,bakhomba,papa nleki,bana bakhazi,papa nleki,mama nleki,papa nketo,bana bakhazi,papa nketo,ngwa khazi,ngwa khazi,bana bakhazi,papa nketo,ngwa khazi,papa nkulutu,mama nkulutu,papa nketo,papa nketo,bakhomba,mama nleki,bakhomba,mama nkulutu,papa nketo,papa nleki,ngwa khazi,papa nketo,bakhomba,bana bakhazi,mama,papa nkulutu,ngwa khazi,ngwa khazi,tata,papa nketo,papa nkulutu,ngwa khazi,ngwa khazi,mama nkulutu,papa nketo,papa nketo,ngwa khazi,mama,papa nketo,papa nleki,tata,papa nketo,mama nleki,mama nkulutu,mama nleki,papa nketo,papa nleki,ngwa khazi
4,0.5431775471446756,1.8577432271184338,1.3145656799737582,papa nketo,papa nketo,bana bakhazi,bakhomba,ngwa khazi,papa nketo,bakhomba,mama nkulutu,mama nleki,papa nleki,bana bakhazi,papa nkulutu,bana bakhazi,ngwa khazi,ngwa khazi,ngwa khazi,bana bakhazi,papa nketo,baphangi,bana bakhazi,papa nketo,papa nkulutu,mama nkulutu,mama nleki,bakhomba,bana bakhazi,ngwa khazi,ngwa khazi,papa nleki,papa nketo,papa nkulutu,papa nketo,papa nleki,ngwa khazi,bana bakhazi,bakhomba,papa nketo,ngwa khazi,papa nketo,papa nketo,ngwa khazi,ngwa khazi,bakhomba,bakhomba,mama nkulutu,ngwa khazi,ngwa khazi,ngwa khazi,mama nleki,baphangi,papa nketo,papa nketo,papa nkulutu,bakhomba,ngwa khazi,bana bakhazi,papa nketo,mama nkulutu,bakhomba,ngwa khazi,bakhomba,papa nketo,bana bakhazi,bana bakhazi,papa nketo,papa nketo,papa nketo,ngwa khazi,papa nketo,ngwa khazi,mama nleki,bana bakhazi,papa nketo,ngwa khazi,bana bakhazi,papa nleki,ngwa khazi,ngwa khazi,papa nketo,papa nkulutu,papa nketo,papa nkulutu,ngwa khazi,mama nleki,ngwa khazi,ngwa khazi,tata,mama nkulutu,papa nketo,mama,tata,papa nketo,papa nketo,mama,ngwa khazi,mama nkulutu,mama nleki,papa nleki,ngwa khazi,papa nleki,papa nketo
5,0.5693687321889007,1.9585111730333522,1.3891424408444515,papa nketo,bakhomba,papa nleki,papa nketo,papa nketo,papa nleki,papa nleki,bakhomba,bana bakhazi,ngwa khazi,bana bakhazi,bana bakhazi,papa nketo,ngwa khazi,bana bakhazi,bakhomba,papa nketo,papa nketo,papa nketo,papa nketo,mama nkulutu,ngwa khazi,ngwa khazi,ngwa khazi,papa nkulutu,bana bakhazi,ngwa khazi,bana bakhazi,bana bakhazi,ngwa khazi,ngwa khazi,mama nkulutu,papa nketo,papa nketo,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi,papa nketo,papa nketo,bakhomba,mama nleki,ngwa khazi,papa nkulutu,bakhomba,mama nkulutu,papa nketo,bakhomba,bana bakhazi,bakhomba,papa nketo,bana bakhazi,ngwa khazi,mama nkulutu,mama nleki,bakhomba,papa nketo,ngwa khazi,baphangi,baphangi,bana bakhazi,papa nleki,papa nkulutu,mama nleki,papa nketo,ngwa khazi,bana bakhazi,papa nketo,bana bakhazi,papa nkulutu,papa nketo,ngwa khazi,ngwa khazi,ngwa khazi,ngwa khazi,bakhomba,mama nleki,mama,tata,papa nkulutu,tata,mama nkulutu,papa nleki,ngwa khazi,ngwa khazi,papa nketo,mama nleki,papa nleki,papa nketo,mama,ngwa khazi,papa nketo,papa nkulutu,ngwa khazi,ngwa khazi,papa nketo,papa nketo,mama nleki,ngwa khazi,mama nkulutu,papa nketo
6,0.48196564426203437,1.9393520239008935,1.457386379638859,ngwa khazi,papa nketo,papa nleki,bakhomba,ngwa khazi,ngwa khazi,mama nkulutu,mama nkulutu,ngwa khazi,mama nleki,papa nketo,bana bakhazi,bakhomba,papa nketo,papa nkulutu,bakhomba,papa nketo,bana bakhazi,papa nkulutu,papa nketo,bana bakhazi,bana bakhazi,ngwa khazi,papa nketo,ngwa khazi,bana bakhazi,ngwa khazi,ngwa khazi,bana bakhazi,ngwa khazi,mama nkulutu,bakhomba,ngwa khazi,papa nketo,papa nleki,ngwa khazi,mama nkulutu,bakhomba,bana bakhazi,ngwa khazi,papa nketo,papa nleki,papa nketo,papa nketo,ngwa khazi,mama nleki,papa nketo,papa nketo,ngwa khazi,papa nketo,ngwa khazi,papa nketo,ngwa khazi,bana bakhazi,bakhomba,papa nketo,bana bakhazi,bana bakhazi,bakhomba,papa nketo,ngwa khazi,bakhomba,bakhomba,papa nketo,baphangi,papa nleki,ngwa khazi,bana bakhazi,baphangi,bana bakhazi,ngwa khazi,mama nleki,papa nkulutu,mama nleki,papa nkulutu,papa nketo,papa nketo,tata,ngwa khazi,mama nkulutu,tata,papa nkulutu,ngwa khazi,mama,mama,papa nketo,papa nketo,papa nleki,mama nleki,papa nkulutu,ngwa khazi,mama nleki,papa nketo,papa nketo,papa nleki,mama nkulutu,papa nketo,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi
7,0.528276105932149,1.9508177999486365,1.4225416940164874,papa nleki,ngwa khazi,bana bakhazi,ngwa khazi,ngwa khazi,mama nleki,bana bakhazi,bakhomba,papa nkulutu,bakhomba,ngwa khazi,ngwa khazi,bana bakhazi,papa nleki,bakhomba,papa nketo,bana bakhazi,ngwa khazi,papa nketo,ngwa khazi,mama nkulutu,papa nketo,papa nketo,bakhomba,ngwa khazi,bana bakhazi,ngwa khazi,papa nketo,mama nkulutu,papa nkulutu,bana bakhazi,ngwa khazi,papa nleki,papa nkulutu,papa nleki,baphangi,mama nleki,papa nkulutu,mama nkulutu,bana bakhazi,bakhomba,ngwa khazi,ngwa khazi,bakhomba,papa nketo,bana bakhazi,papa nketo,papa nketo,papa nketo,papa nketo,ngwa khazi,ngwa khazi,papa nketo,ngwa khazi,bana bakhazi,ngwa khazi,papa nketo,papa nketo,bakhomba,papa nketo,papa nketo,papa nketo,papa nketo,ngwa khazi,bana bakhazi,ngwa khazi,papa nketo,mama nkulutu,mama nleki,bakhomba,mama nleki,bana bakhazi,baphangi,bakhomba,bana bakhazi,ngwa khazi,papa nketo,papa nketo,ngwa khazi,papa nketo,mama,papa nleki,papa nketo,papa nleki,papa nkulutu,papa nketo,ngwa khazi,papa nketo,ngwa khazi,papa nkulutu,mama nkulutu,tata,mama nleki,ngwa khazi,mama nleki,ngwa khazi,mama,mama nkulutu,ngwa khazi,tata,papa nketo
8,0.5086538736684705,1.9928425666239082,1.4841886929554378,papa nketo,bakhomba,bana bakhazi,bana bakhazi,ngwa khazi,mama nkulutu,ngwa khazi,ngwa khazi,bakhomba,mama nleki,papa nketo,ngwa khazi,bana bakhazi,mama nkulutu,ngwa khazi,ngwa khazi,bakhomba,papa nketo,bana bakhazi,papa nkulutu,papa nketo,bakhomba,bakhomba,papa nkulutu,ngwa khazi,papa nketo,papa nketo,papa nketo,ngwa khazi,papa nleki,ngwa khazi,mama nkulutu,bana bakhazi,papa nleki,bana bakhazi,papa nkulutu,ngwa khazi,papa nleki,bakhomba,ngwa khazi,mama nleki,ngwa khazi,bana bakhazi,ngwa khazi,bana bakhazi,bana bakhazi,bana bakhazi,papa nketo,ngwa khazi,bakhomba,papa nketo,papa nketo,mama nkulutu,ngwa khazi,papa nketo,papa nketo,papa nketo,papa nketo,papa nketo,papa nketo,baphangi,papa nleki,papa nketo,ngwa khazi,mama nleki,bakhomba,ngwa khazi,ngwa khazi,baphangi,papa nketo,mama nleki,papa nkulutu,bana bakhazi,ngwa khazi,bana bakhazi,bakhomba,papa nketo,papa nleki,ngwa khazi,papa nkulutu,tata,ngwa khazi,papa nkulutu,tata,papa nketo,papa nketo,papa nketo,ngwa khazi,mama,mama nkulutu,mama nleki,papa nketo,mama nleki,papa nketo,ngwa khazi,ngwa khazi,papa nketo,mama nkulutu,mama,ngwa khazi,papa nleki
9,0.39920611357269964,1.9968774814382355,1.5976713678655359,papa nketo,mama nkulutu,bakhomba,bakhomba,bana bakhazi,papa nketo,bana bakhazi,ngwa khazi,papa nleki,bana bakhazi,ngwa khazi,ngwa khazi,papa nketo,papa nketo,ngwa khazi,papa nketo,ngwa khazi,papa nkulutu,bakhomba,papa nkulutu,ngwa khazi,ngwa khazi,bana bakhazi,bana bakhazi,papa nketo,papa nketo,papa nketo,ngwa khazi,ngwa khazi,papa nketo,ngwa khazi,ngwa khazi,papa nketo,ngwa khazi,papa nleki,baphangi,baphangi,ngwa khazi,papa nleki,papa nkulutu,ngwa khazi,bakhomba,bana bakhazi,mama nleki,papa nketo,ngwa khazi,papa nketo,bakhomba,papa nketo,papa nketo,bakhomba,mama nleki,bakhomba,mama nleki,bana bakhazi,bana bakhazi,bana bakhazi,bakhomba,mama nleki,mama nkulutu,bakhomba,papa nleki,ngwa khazi,mama nkulutu,bana bakhazi,ngwa khazi,papa nketo,papa nketo,mama nkulutu,papa nketo,papa nketo,bana bakhazi,papa nketo,ngwa khazi,bana bakhazi,papa nkulutu,ngwa khazi,tata,mama,papa nkulutu,papa nketo,papa nketo,ngwa khazi,ngwa khazi,mama nleki,ngwa khazi,ngwa khazi,tata,papa nleki,mama nleki,ngwa khazi,mama,mama nkulutu,ngwa khazi,mama nkulutu,papa nkulutu,papa nketo,papa nketo,papa nketo,papa nketo,papa nleki
