simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11445658688103899,1.7026439157035536,1.5881873288225146,baba,genge,genge,baba,baba,genge,genge,pangi,pangi,pangi,genge,baba,genge,genge,baba,genge,baba,baba,baba,baba,pangi,genge,genge,baba,baba,genge,genge,baba,baba,pangi,baba,genge,genge,genge,genge,genge,baba,baba,baba,genge,genge,genge,pangi,baba,genge,pangi,baba,baba,baba,baba,baba,genge,baba,baba,genge,genge,pangi,baba,baba,genge,baba,genge,baba,genge,baba,baba,genge,baba,genge,baba,baba,baba,baba,genge,baba,genge,pangi,genge,genge,genge,genge,baba,genge,pangi,pangi,genge,pangi,baba,genge,genge,tata,ngola muota,fatata,ngola muota,fatata,fatata,fatata,yaya,ngola muota,yaya,yaya,fatata,mai,tata,ngola muota,ngola muota,baba,baba,baba,mai,baba,ngola muota,yaya,yaya,baba,baba,fatata,yaya
1,0.09729081991882516,1.6704998345144029,1.5732090145955777,genge,baba,genge,genge,pangi,baba,baba,genge,baba,baba,genge,baba,baba,genge,baba,genge,baba,genge,baba,genge,baba,pangi,genge,pangi,genge,baba,baba,genge,genge,pangi,genge,baba,baba,baba,genge,baba,baba,genge,pangi,baba,genge,genge,genge,genge,baba,baba,pangi,genge,baba,pangi,baba,genge,genge,genge,genge,genge,baba,baba,baba,genge,pangi,genge,genge,pangi,baba,baba,genge,genge,baba,genge,pangi,baba,baba,baba,baba,baba,genge,baba,baba,genge,genge,baba,pangi,baba,genge,genge,pangi,genge,genge,baba,baba,yaya,mai,fatata,ngola muota,baba,mai,yaya,fatata,tata,fatata,ngola muota,yaya,yaya,ngola muota,ngola muota,fatata,baba,ngola muota,baba,yaya,yaya,tata,baba,fatata,fatata,ngola muota,baba
2,0.05475464037194455,1.6958007734156277,1.6410461330436832,pangi,genge,pangi,genge,genge,genge,genge,baba,baba,baba,baba,baba,genge,baba,baba,genge,baba,baba,genge,baba,pangi,genge,genge,baba,genge,genge,baba,genge,pangi,genge,pangi,genge,baba,baba,genge,pangi,baba,pangi,baba,genge,pangi,baba,genge,baba,genge,baba,genge,baba,baba,baba,baba,baba,pangi,baba,genge,genge,baba,genge,genge,baba,baba,baba,baba,genge,genge,baba,genge,genge,pangi,genge,genge,genge,baba,genge,genge,genge,genge,genge,baba,baba,baba,baba,genge,pangi,genge,baba,pangi,baba,genge,baba,fatata,yaya,mai,ngola muota,ngola muota,mai,baba,tata,ngola muota,baba,ngola muota,ngola muota,baba,yaya,baba,fatata,yaya,ngola muota,fatata,yaya,yaya,fatata,baba,fatata,fatata,yaya,baba,tata
3,0.054976232473231024,1.629558515352974,1.574582282879743,genge,pangi,genge,baba,baba,baba,genge,baba,genge,baba,genge,baba,genge,pangi,pangi,genge,genge,genge,genge,pangi,baba,genge,genge,baba,genge,pangi,genge,genge,genge,genge,genge,baba,genge,baba,pangi,baba,genge,genge,baba,baba,baba,genge,pangi,genge,baba,baba,genge,baba,genge,baba,pangi,genge,genge,pangi,baba,baba,genge,baba,baba,baba,baba,baba,baba,pangi,baba,baba,genge,baba,genge,genge,genge,genge,baba,baba,baba,baba,genge,genge,baba,baba,baba,baba,genge,pangi,pangi,genge,baba,genge,genge,baba,ngola muota,baba,ngola muota,yaya,ngola muota,yaya,baba,fatata,baba,tata,ngola muota,fatata,ngola muota,fatata,baba,mai,ngola muota,yaya,yaya,yaya,baba,fatata,baba,fatata,yaya,tata,fatata,mai
4,0.04924551952651868,1.6878464777684927,1.638600958241974,baba,baba,genge,pangi,pangi,genge,baba,genge,genge,genge,baba,genge,baba,genge,baba,genge,baba,pangi,baba,genge,genge,pangi,pangi,baba,baba,genge,genge,genge,baba,baba,genge,baba,baba,genge,genge,genge,genge,genge,pangi,genge,pangi,genge,baba,genge,genge,baba,baba,genge,genge,baba,pangi,baba,baba,baba,baba,pangi,genge,baba,genge,baba,genge,baba,baba,genge,baba,genge,genge,genge,genge,baba,baba,pangi,baba,pangi,genge,baba,genge,baba,genge,pangi,baba,genge,genge,baba,baba,baba,genge,baba,baba,baba,baba,ngola muota,fatata,yaya,fatata,yaya,baba,yaya,ngola muota,baba,baba,yaya,ngola muota,mai,baba,tata,tata,fatata,ngola muota,ngola muota,yaya,fatata,ngola muota,yaya,baba,fatata,fatata,mai
5,0.08980778772329656,1.6727674316902474,1.5829596439669509,genge,baba,baba,pangi,genge,genge,pangi,baba,genge,baba,pangi,baba,genge,baba,pangi,genge,genge,baba,genge,baba,baba,genge,genge,genge,baba,genge,baba,genge,genge,genge,pangi,baba,baba,baba,pangi,baba,baba,genge,genge,baba,baba,genge,genge,baba,genge,genge,genge,genge,baba,genge,baba,baba,pangi,baba,genge,baba,baba,genge,pangi,genge,genge,genge,baba,pangi,baba,baba,baba,genge,baba,genge,genge,pangi,genge,genge,genge,baba,baba,genge,baba,genge,pangi,baba,baba,genge,genge,pangi,baba,baba,baba,baba,ngola muota,fatata,ngola muota,mai,yaya,fatata,tata,yaya,yaya,fatata,baba,fatata,tata,ngola muota,baba,ngola muota,baba,ngola muota,baba,fatata,baba,yaya,baba,mai,ngola muota,yaya,yaya,fatata
6,0.07714331095374938,1.67595970649464,1.5988163955408907,baba,genge,pangi,baba,genge,pangi,genge,baba,baba,baba,genge,baba,genge,genge,genge,baba,genge,baba,pangi,genge,baba,genge,genge,baba,genge,baba,baba,genge,genge,pangi,genge,genge,baba,genge,baba,baba,genge,pangi,baba,baba,genge,genge,pangi,baba,genge,genge,genge,pangi,pangi,genge,baba,baba,baba,genge,baba,genge,baba,pangi,baba,pangi,baba,genge,baba,genge,genge,genge,genge,baba,genge,baba,genge,baba,baba,genge,baba,genge,genge,baba,baba,baba,baba,baba,baba,pangi,baba,pangi,genge,genge,genge,baba,ngola muota,ngola muota,yaya,mai,ngola muota,yaya,baba,baba,tata,fatata,fatata,ngola muota,baba,ngola muota,fatata,tata,yaya,yaya,yaya,fatata,fatata,yaya,ngola muota,baba,baba,mai,fatata,baba
7,0.13476814605480336,1.692981097403059,1.5582129513482557,baba,genge,baba,baba,genge,genge,genge,genge,baba,pangi,genge,genge,genge,genge,genge,baba,genge,pangi,genge,baba,baba,genge,pangi,genge,baba,genge,pangi,genge,baba,baba,baba,baba,genge,genge,genge,baba,genge,baba,genge,baba,genge,baba,baba,genge,baba,genge,genge,baba,baba,baba,baba,pangi,pangi,genge,pangi,baba,genge,pangi,genge,genge,pangi,baba,genge,pangi,baba,baba,baba,baba,baba,pangi,genge,baba,baba,genge,genge,genge,genge,baba,pangi,genge,baba,baba,baba,baba,genge,baba,genge,baba,baba,genge,mai,yaya,baba,fatata,ngola muota,fatata,baba,baba,ngola muota,baba,fatata,mai,baba,yaya,fatata,fatata,tata,ngola muota,yaya,baba,ngola muota,tata,fatata,ngola muota,yaya,ngola muota,yaya,yaya
8,0.03583519324346973,1.6785192745327526,1.642684081289283,baba,pangi,genge,genge,baba,baba,pangi,baba,baba,genge,pangi,genge,pangi,genge,genge,pangi,genge,genge,baba,baba,genge,baba,genge,pangi,baba,pangi,genge,genge,genge,baba,genge,baba,baba,genge,genge,baba,baba,genge,pangi,genge,baba,baba,baba,baba,genge,pangi,genge,baba,baba,baba,baba,baba,genge,baba,pangi,baba,genge,baba,genge,baba,genge,genge,genge,genge,baba,genge,baba,genge,pangi,baba,genge,genge,baba,genge,baba,baba,genge,baba,baba,baba,genge,baba,genge,genge,genge,pangi,genge,genge,baba,baba,baba,ngola muota,ngola muota,baba,yaya,tata,baba,fatata,tata,yaya,ngola muota,yaya,mai,fatata,ngola muota,baba,baba,fatata,yaya,fatata,baba,yaya,ngola muota,fatata,fatata,ngola muota,mai,yaya
9,0.05079260835224009,1.7113068079494083,1.6605141995971682,genge,genge,baba,baba,genge,pangi,genge,baba,baba,pangi,genge,baba,baba,baba,pangi,genge,genge,baba,genge,genge,pangi,genge,genge,baba,baba,genge,baba,baba,genge,genge,genge,baba,genge,baba,baba,baba,genge,genge,pangi,baba,genge,genge,baba,pangi,genge,genge,pangi,baba,baba,genge,baba,baba,genge,genge,baba,baba,genge,genge,genge,baba,pangi,baba,baba,baba,baba,baba,pangi,baba,baba,baba,genge,baba,baba,baba,genge,genge,baba,genge,genge,genge,genge,genge,pangi,pangi,genge,baba,genge,genge,baba,pangi,yaya,fatata,ngola muota,yaya,yaya,fatata,mai,baba,yaya,fatata,baba,fatata,fatata,ngola muota,fatata,mai,tata,ngola muota,baba,tata,yaya,ngola muota,ngola muota,baba,ngola muota,baba,baba,yaya
