simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mMZeS,mMZyS,fFBeD,fFByD,fMZeD,fMZyD,mF,mM,fF,fM
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,luto,toboro,aiber,aiber,toboro,luto,toboro,aiber,aiber,toboro,luto,luto,toboro,aiber,aiber,tumla,kina,tumla,kina
1,0.08878194993480437,0.6829081047004717,0.5941261547656673,toboro,toboro,luto,aiber,aiber,aiber,aiber,aiber,toboro,luto,toboro,aiber,luto,toboro,luto,kina,kina,tumla,tumla
2,0.014032215111297486,0.6829081047004717,0.6688758895891742,toboro,aiber,luto,aiber,luto,luto,toboro,toboro,aiber,luto,aiber,aiber,toboro,toboro,aiber,kina,kina,tumla,tumla
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,toboro,toboro,luto,aiber,luto,aiber,luto,luto,aiber,toboro,toboro,aiber,toboro,aiber,aiber,kina,tumla,tumla,kina
4,0.08878194993480437,0.6829081047004717,0.5941261547656673,aiber,toboro,toboro,toboro,aiber,aiber,toboro,luto,aiber,luto,aiber,luto,aiber,luto,toboro,kina,kina,tumla,tumla
5,0.21207426669985324,0.6829081047004717,0.47083383800061845,aiber,aiber,luto,toboro,aiber,luto,toboro,luto,toboro,toboro,toboro,aiber,aiber,luto,aiber,kina,kina,tumla,tumla
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,aiber,aiber,luto,aiber,toboro,aiber,aiber,toboro,toboro,aiber,luto,toboro,luto,toboro,luto,kina,tumla,kina,tumla
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,aiber,aiber,aiber,toboro,luto,toboro,toboro,aiber,luto,toboro,toboro,aiber,luto,luto,aiber,tumla,kina,tumla,kina
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,aiber,toboro,aiber,aiber,aiber,luto,aiber,toboro,luto,aiber,luto,toboro,luto,toboro,toboro,tumla,kina,tumla,kina
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,toboro,aiber,toboro,aiber,toboro,luto,luto,luto,aiber,aiber,toboro,luto,aiber,aiber,toboro,tumla,kina,kina,tumla
