simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fB,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mB,mZ,fZ,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB
0,1.0969967044255307,2.206257704130638,1.1092609997051075,mamapiḷḷai,tankai,appi,taṅkai,ammankār,maccini,attai-pillai,tambi,mamapiḷḷai,koḻunti,maccinaṉ,maccinaṉ,aṇṇi,attankār,cakōtari,thampi,attān,aṇṇi,maccini,attai-pillai,tampi,mamapiḷḷai,aṇṇi,tampi,aṇṇā,aṇṇi,mamapiḷḷai,ammankār,ayyan,ammankār,cakōtaraṉ,attai-pillai,aṇṇā,mamapiḷḷai,ammankār,tangai,attankār,maccinaṉ,attai-pillai,attankār,maccinaṉ,cakōtari,tangai,attankār,akkā,ammankār,aṇṇā,attān,attai-pillai,attān,thampi,taṅkai,koḻunti,ayyan,akkā,attai-pillai,aṇṇā,tambi,akkā,ammankār,mamapiḷḷai,cakōtaraṉ,attankār,akkā,appi,attankār,attān,periammā,māmā,attai,cittāppā,tāy,māmā,māmā,kunji,tāy,appā,kunji,periappā,cittāppā,periattai,kunjattai,attai,māmā,periammā,māmā,periattai,kunjattai,appā,māmā,periappā
1,1.0952472801210311,2.1355430739780497,1.0402957938570185,koḻunti,aṇṇi,attankār,cakōtari,attān,attankār,koḻunti,attai-pillai,maccinaṉ,aṇṇi,mamapiḷḷai,ayyan,tambi,akkā,aṇṇi,aṇṇā,aṇṇā,maccini,tambi,tangai,cakōtaraṉ,appi,ammankār,ammankār,maccinaṉ,ammankār,ammankār,ammankār,maccini,tankai,attān,akkā,aṇṇā,thampi,aṇṇi,attai-pillai,mamapiḷḷai,attai-pillai,mamapiḷḷai,ammankār,taṅkai,thampi,attankār,mamapiḷḷai,cakōtaraṉ,attān,akkā,ayyan,maccinaṉ,tampi,attankār,tangai,attān,attai-pillai,attankār,aṇṇā,attai-pillai,appi,akkā,mamapiḷḷai,cakōtari,attai-pillai,maccinaṉ,tampi,taṅkai,mamapiḷḷai,attankār,māmā,māmā,māmā,appā,periappā,māmā,periappā,attai,kunjattai,tāy,cittāppā,periattai,periattai,kunji,tāy,kunji,cittāppā,māmā,periammā,attai,māmā,kunjattai,periammā,appā
2,1.0462101449166752,2.2175843065836647,1.1713741616669895,attai-pillai,aṇṇi,cakōtari,cakōtaraṉ,attankār,aṇṇi,attai-pillai,attankār,appi,akkā,taṅkai,tampi,maccinaṉ,aṇṇi,ammankār,koḻunti,ammankār,attankār,attankār,attān,attai-pillai,aṇṇi,attān,attai-pillai,tangai,ammankār,aṇṇā,mamapiḷḷai,maccini,aṇṇā,ayyan,attai-pillai,attān,mamapiḷḷai,ammankār,tangai,tambi,appi,tankai,maccinaṉ,cakōtari,koḻunti,attai-pillai,aṇṇā,akkā,akkā,attān,ayyan,mamapiḷḷai,tambi,attankār,tampi,cakōtaraṉ,aṇṇā,maccini,mamapiḷḷai,thampi,mamapiḷḷai,ammankār,attankār,maccinaṉ,thampi,akkā,taṅkai,mamapiḷḷai,ammankār,maccinaṉ,periammā,periappā,kunjattai,māmā,periattai,kunjattai,cittāppā,kunji,periammā,tāy,tāy,appā,attai,periattai,māmā,attai,māmā,kunji,periappā,cittāppā,appā,māmā,māmā,māmā
3,1.0733965599150923,2.1018656720736417,1.0284691121585494,mamapiḷḷai,ammankār,mamapiḷḷai,aṇṇi,akkā,attankār,attān,tankai,attankār,attai-pillai,attān,aṇṇi,cakōtari,cakōtaraṉ,attān,ammankār,tambi,mamapiḷḷai,thampi,attān,maccinaṉ,mamapiḷḷai,aṇṇā,appi,maccinaṉ,mamapiḷḷai,cakōtaraṉ,akkā,tangai,aṇṇi,aṇṇā,maccinaṉ,ayyan,koḻunti,taṅkai,tangai,ammankār,attankār,ayyan,maccini,attankār,maccini,attai-pillai,ammankār,ammankār,maccinaṉ,appi,cakōtari,akkā,attai-pillai,attankār,thampi,tampi,attai-pillai,aṇṇi,ammankār,aṇṇā,attai-pillai,attai-pillai,tambi,taṅkai,mamapiḷḷai,tampi,akkā,aṇṇā,attankār,koḻunti,māmā,periappā,māmā,kunjattai,periammā,appā,tāy,periattai,kunji,cittāppā,periattai,māmā,kunjattai,māmā,appā,cittāppā,kunji,māmā,attai,attai,tāy,periappā,periammā,māmā
4,1.0817167556509095,2.1131922745266682,1.0314755188757587,cakōtaraṉ,akkā,tankai,aṇṇi,aṇṇā,ammankār,aṇṇā,aṇṇi,ayyan,attankār,tampi,attai-pillai,mamapiḷḷai,attankār,aṇṇi,attankār,akkā,taṅkai,aṇṇā,aṇṇi,cakōtaraṉ,thampi,attai-pillai,maccini,tangai,attai-pillai,appi,akkā,attān,attān,aṇṇā,koḻunti,attai-pillai,attān,akkā,ammankār,maccinaṉ,tangai,ammankār,attai-pillai,attān,appi,tambi,attai-pillai,maccinaṉ,maccinaṉ,mamapiḷḷai,tampi,ammankār,ayyan,maccinaṉ,attankār,maccini,koḻunti,thampi,tambi,attankār,cakōtari,mamapiḷḷai,cakōtari,mamapiḷḷai,attankār,mamapiḷḷai,ammankār,mamapiḷḷai,ammankār,taṅkai,kunji,appā,māmā,māmā,kunjattai,cittāppā,tāy,appā,cittāppā,periammā,māmā,periammā,periappā,māmā,kunji,periattai,māmā,kunjattai,periappā,tāy,attai,periattai,attai,māmā
5,1.1726614108276805,2.2000602614773554,1.027398850649675,tangai,tampi,attankār,tampi,ayyan,appi,akkā,attai-pillai,aṇṇi,attān,mamapiḷḷai,attankār,maccinaṉ,cakōtari,tangai,ammankār,attankār,mamapiḷḷai,attai-pillai,maccinaṉ,maccinaṉ,thampi,akkā,attankār,mamapiḷḷai,koḻunti,aṇṇā,tankai,taṅkai,maccini,ammankār,attankār,thampi,attān,mamapiḷḷai,maccinaṉ,attai-pillai,attān,cakōtaraṉ,aṇṇi,mamapiḷḷai,attai-pillai,cakōtari,cakōtaraṉ,attai-pillai,attai-pillai,mamapiḷḷai,tambi,maccini,akkā,attān,tambi,aṇṇā,akkā,appi,aṇṇā,taṅkai,ammankār,ammankār,aṇṇi,koḻunti,ammankār,aṇṇā,ammankār,aṇṇi,attankār,ayyan,māmā,periappā,māmā,periattai,appā,attai,attai,māmā,periammā,kunji,kunjattai,periattai,periammā,tāy,periappā,māmā,cittāppā,māmā,cittāppā,kunjattai,kunji,māmā,appā,tāy
6,1.0554591247457925,2.1660104641299243,1.1105513393841318,appi,taṅkai,ayyan,tampi,mamapiḷḷai,maccinaṉ,maccini,akkā,cakōtari,cakōtaraṉ,aṇṇi,tangai,ammankār,attān,mamapiḷḷai,attankār,mamapiḷḷai,tampi,attankār,ammankār,attai-pillai,aṇṇā,aṇṇi,cakōtaraṉ,aṇṇi,aṇṇā,attai-pillai,cakōtari,attān,aṇṇā,tambi,attān,akkā,maccinaṉ,tankai,attankār,maccinaṉ,ammankār,attān,taṅkai,mamapiḷḷai,attankār,ammankār,akkā,maccini,koḻunti,aṇṇā,aṇṇi,tangai,ammankār,attankār,attai-pillai,thampi,ammankār,attai-pillai,koḻunti,attankār,ayyan,tambi,thampi,appi,attai-pillai,mamapiḷḷai,attai-pillai,maccinaṉ,akkā,mamapiḷḷai,kunjattai,periammā,māmā,māmā,māmā,attai,kunjattai,māmā,tāy,kunji,māmā,tāy,cittāppā,periattai,periappā,periattai,māmā,periammā,attai,appā,periappā,cittāppā,appā,kunji
7,1.1729081676662947,2.1660049438820335,0.9930967762157387,taṅkai,attai-pillai,ayyan,ammankār,mamapiḷḷai,akkā,attān,tangai,attankār,aṇṇi,appi,koḻunti,attankār,tankai,attai-pillai,ammankār,mamapiḷḷai,attai-pillai,maccini,attān,attankār,attankār,mamapiḷḷai,maccinaṉ,maccinaṉ,thampi,appi,thampi,attān,mamapiḷḷai,mamapiḷḷai,aṇṇā,ammankār,maccinaṉ,attai-pillai,aṇṇi,ayyan,attankār,ammankār,cakōtari,taṅkai,koḻunti,ammankār,ammankār,attai-pillai,tangai,cakōtaraṉ,akkā,aṇṇi,tambi,cakōtaraṉ,attankār,aṇṇi,attān,akkā,mamapiḷḷai,akkā,maccinaṉ,tampi,aṇṇā,tambi,aṇṇā,aṇṇā,tampi,cakōtari,attai-pillai,maccini,māmā,appā,periammā,attai,periattai,kunjattai,māmā,kunji,māmā,tāy,periappā,appā,cittāppā,māmā,cittāppā,periattai,kunji,māmā,attai,māmā,periammā,tāy,kunjattai,periappā
8,1.1257847732908945,2.2257786376557998,1.0999938643649052,akkā,attankār,thampi,attai-pillai,aṇṇā,cakōtari,attai-pillai,tampi,maccinaṉ,ammankār,attankār,taṅkai,appi,cakōtaraṉ,attai-pillai,aṇṇi,maccinaṉ,ammankār,maccini,koḻunti,cakōtari,taṅkai,ammankār,tambi,aṇṇi,attankār,aṇṇā,ammankār,ammankār,akkā,mamapiḷḷai,attān,tambi,maccinaṉ,attankār,tangai,mamapiḷḷai,ammankār,aṇṇā,attai-pillai,maccini,attai-pillai,tankai,appi,ayyan,mamapiḷḷai,mamapiḷḷai,akkā,cakōtaraṉ,ayyan,aṇṇā,maccinaṉ,attān,tampi,aṇṇi,attān,attankār,koḻunti,aṇṇi,mamapiḷḷai,attai-pillai,mamapiḷḷai,akkā,thampi,tangai,attān,attankār,attai,appā,periattai,māmā,cittāppā,periappā,māmā,māmā,kunjattai,māmā,cittāppā,māmā,periammā,tāy,tāy,māmā,periattai,attai,kunji,kunji,periappā,periammā,appā,kunjattai
9,1.1584952609410952,2.182419711514836,1.0239244505737406,aṇṇā,cakōtari,attankār,mamapiḷḷai,koḻunti,akkā,mamapiḷḷai,tambi,tampi,taṅkai,mamapiḷḷai,attān,tampi,ammankār,attai-pillai,akkā,attai-pillai,maccini,mamapiḷḷai,mamapiḷḷai,appi,attankār,cakōtari,ammankār,aṇṇā,attai-pillai,tangai,cakōtaraṉ,attankār,ammankār,aṇṇi,ammankār,attān,attai-pillai,koḻunti,attai-pillai,aṇṇi,attān,attankār,tankai,ayyan,attankār,aṇṇi,appi,maccini,attai-pillai,aṇṇā,maccinaṉ,maccinaṉ,tangai,akkā,attankār,ayyan,tambi,mamapiḷḷai,thampi,taṅkai,attān,thampi,ammankār,ammankār,akkā,aṇṇi,maccinaṉ,aṇṇā,maccinaṉ,cakōtaraṉ,māmā,kunji,kunji,periattai,periammā,appā,periappā,appā,cittāppā,māmā,māmā,cittāppā,tāy,attai,māmā,kunjattai,māmā,attai,kunjattai,tāy,periappā,periattai,māmā,periammā
