simulation_number,mutual_information,entropy,conditional_entropy,myZ,fB,fyZ,myB,fyB,meB,feB,mZ,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meZ,mF,mM,fF,fM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.6757106723800101,1.7759724587031547,1.1002617863231445,we shit,wanyũ,wanyũ,kipít,da ũ,da ũ ũ,o djorit,da ũ,o köt,da ũ,wanyũ,we shĩ,o köt,da ũ,da ũ,o-waŋṍ,o kit pit,w-əiʃĩ́t,da ũ,da ũ,da ũ,da ũ,o köt,we shit,da ũ,wanyũ,we shit,da ũ,wanyũ yũ,wanyũ,o kit pit,da ũ,wanyũ yũ,da ũ,we shĩ,da ũ,wanyũ,o köt,we shit,wanyũ,o-kibḭt,kítpit,o köt,da ũ,da ũ,o köt,kipit,adjung djung,ai Ĩ,adjung djung,o-kibitaap,o djorit,we bai,-ši,ai Ĩ,adjung djung,we bai,o-kibitaap,o djorit,-ši,ai Ĩ,o-kibitaap,o djorit
1,0.6286898494778608,1.6867776109023893,1.0580877614245285,we shĩ,o köt,wanyũ,da ũ,we shit,da ũ ũ,da ũ,o köt,wanyũ,wanyũ,da ũ,da ũ,kítpit,we shit,da ũ,wanyũ,we shit,kipít,wanyũ yũ,da ũ,da ũ,da ũ,o köt,da ũ,wanyũ,o djorit,we shĩ,da ũ,o köt,o kit pit,o köt,o köt,da ũ,da ũ,wanyũ,da ũ,o-kibḭt,o-waŋṍ,wanyũ,da ũ,da ũ,we shit,w-əiʃĩ́t,kipit,o kit pit,da ũ,wanyũ yũ,adjung djung,o djorit,o djorit,ai Ĩ,-ši,adjung djung,we bai,o djorit,o-kibitaap,adjung djung,-ši,ai Ĩ,we bai,o-kibitaap,ai Ĩ,o-kibitaap
2,0.7422982084930261,1.7152963463404598,0.9729981378474337,da ũ,we shit,o djorit,wanyũ,da ũ,da ũ,da ũ,o köt,kipít,we shit,o kit pit,kítpit,wanyũ,da ũ,o köt,wanyũ,da ũ,o köt,wanyũ,wanyũ yũ,we shit,o köt,w-əiʃĩ́t,o köt,da ũ,da ũ,wanyũ,we shit,wanyũ yũ,wanyũ,da ũ,o-waŋṍ,da ũ ũ,kipit,wanyũ,da ũ,da ũ,da ũ,o köt,da ũ,da ũ,o kit pit,we shĩ,da ũ,we shĩ,o-kibḭt,da ũ,we bai,o djorit,o djorit,ai Ĩ,adjung djung,adjung djung,o djorit,o-kibitaap,o-kibitaap,o-kibitaap,we bai,ai Ĩ,-ši,ai Ĩ,adjung djung,-ši
3,0.7243322361196032,1.7456687286409214,1.0213364925213182,da ũ,w-əiʃĩ́t,o köt,da ũ ũ,da ũ,da ũ,wanyũ,o-waŋṍ,da ũ,o köt,kipit,wanyũ,o köt,we shĩ,da ũ,we shit,da ũ,o köt,da ũ,we shĩ,o-kibḭt,o köt,da ũ,da ũ,kítpit,we shit,da ũ,wanyũ,o kit pit,wanyũ,wanyũ yũ,da ũ,da ũ,wanyũ,da ũ,we shit,da ũ,wanyũ,wanyũ yũ,we shit,da ũ,kipít,wanyũ,da ũ,o kit pit,o djorit,o köt,ai Ĩ,o-kibitaap,we bai,-ši,ai Ĩ,we bai,adjung djung,adjung djung,-ši,ai Ĩ,o djorit,o-kibitaap,o djorit,o-kibitaap,o djorit,adjung djung
4,0.5085056150755267,1.6500660939341485,1.1415604788586218,we shit,da ũ,da ũ,da ũ,kipít,wanyũ,kítpit,o köt,o djorit,o-kibḭt,da ũ,da ũ,da ũ,da ũ,da ũ ũ,w-əiʃĩ́t,we shit,we shĩ,da ũ,kipit,da ũ,o köt,we shit,wanyũ,wanyũ yũ,da ũ,o kit pit,da ũ,wanyũ,da ũ,o köt,da ũ,da ũ,wanyũ,da ũ,wanyũ,o kit pit,da ũ,o köt,o köt,wanyũ,o köt,we shit,wanyũ,we shĩ,o-waŋṍ,wanyũ yũ,o-kibitaap,we bai,we bai,o djorit,ai Ĩ,o djorit,o-kibitaap,-ši,ai Ĩ,adjung djung,ai Ĩ,o djorit,o-kibitaap,-ši,adjung djung,adjung djung
5,0.7274635102810806,1.694901304090607,0.9674377938095263,da ũ,o köt,w-əiʃĩ́t,da ũ,da ũ,wanyũ,da ũ,kipít,da ũ,da ũ,wanyũ yũ,da ũ,da ũ,o djorit,o köt,wanyũ,wanyũ,da ũ ũ,wanyũ,da ũ,o kit pit,we shit,kipit,o-kibḭt,da ũ,o köt,wanyũ,wanyũ,we shit,wanyũ,kítpit,o köt,da ũ,we shĩ,da ũ,da ũ,da ũ,o kit pit,o-waŋṍ,o köt,o köt,we shĩ,da ũ,wanyũ yũ,we shit,we shit,da ũ,ai Ĩ,o-kibitaap,adjung djung,we bai,ai Ĩ,adjung djung,ai Ĩ,-ši,adjung djung,we bai,-ši,o djorit,o-kibitaap,o djorit,o-kibitaap,o djorit
6,0.7509433134858727,1.7674210545974791,1.0164777411116064,o kit pit,o köt,da ũ,we shĩ,wanyũ,wanyũ,we shit,kipit,o-kibḭt,da ũ,da ũ,da ũ,o köt,da ũ,o djorit,da ũ,o kit pit,da ũ,wanyũ,da ũ ũ,wanyũ,da ũ,da ũ,kipít,w-əiʃĩ́t,wanyũ yũ,o köt,we shit,da ũ,kítpit,wanyũ,wanyũ yũ,wanyũ,da ũ,o köt,we shĩ,da ũ,o köt,da ũ,o-waŋṍ,da ũ,da ũ,wanyũ,o köt,da ũ,we shit,we shit,adjung djung,we bai,-ši,adjung djung,o djorit,-ši,adjung djung,o-kibitaap,ai Ĩ,o-kibitaap,ai Ĩ,o djorit,o-kibitaap,we bai,ai Ĩ,o djorit
7,0.6975057277001414,1.5775972512217304,0.880091523521589,da ũ,da ũ,o köt,o djorit,da ũ,da ũ,we shit,wanyũ yũ,kipit,w-əiʃĩ́t,da ũ,we shit,kipít,wanyũ,o kit pit,we shit,wanyũ yũ,we shĩ,o köt,da ũ,o köt,o-waŋṍ,da ũ,da ũ,wanyũ,da ũ,o kit pit,o-kibḭt,we shit,da ũ,wanyũ,da ũ,da ũ,o köt,we shĩ,da ũ,da ũ ũ,da ũ,kítpit,wanyũ,o köt,wanyũ,o köt,wanyũ,wanyũ,da ũ,da ũ,o-kibitaap,o-kibitaap,o djorit,ai Ĩ,o djorit,-ši,we bai,o djorit,we bai,ai Ĩ,ai Ĩ,o-kibitaap,-ši,adjung djung,adjung djung,adjung djung
8,0.5980532194031261,1.7474329326215499,1.1493797132184238,da ũ,da ũ,o-kibḭt,wanyũ,o kit pit,da ũ,we shĩ,da ũ,wanyũ,da ũ,we shĩ,da ũ,wanyũ,kipít,wanyũ,o djorit,wanyũ yũ,we shit,da ũ,da ũ ũ,wanyũ,da ũ,o köt,da ũ,da ũ,kítpit,we shit,o-waŋṍ,da ũ,o köt,o köt,wanyũ yũ,we shit,da ũ,wanyũ,we shit,w-əiʃĩ́t,da ũ,da ũ,da ũ,o köt,da ũ,o kit pit,wanyũ,kipit,o köt,o köt,o-kibitaap,adjung djung,o djorit,ai Ĩ,ai Ĩ,o djorit,we bai,o-kibitaap,adjung djung,adjung djung,-ši,we bai,o djorit,-ši,o-kibitaap,ai Ĩ
9,0.8978608584879886,1.7660637708907738,0.8682029124027852,o köt,da ũ,da ũ,o kit pit,da ũ,kítpit,w-əiʃĩ́t,wanyũ yũ,we shĩ,da ũ,we shit,wanyũ,we shit,kipit,wanyũ,da ũ,da ũ,wanyũ,wanyũ,wanyũ,o kit pit,o köt,wanyũ,da ũ,da ũ,da ũ,da ũ,kipít,da ũ,we shit,da ũ,da ũ,o köt,da ũ,o köt,da ũ,we shit,o djorit,o köt,we shĩ,da ũ,da ũ ũ,o köt,o-waŋṍ,o-kibḭt,wanyũ yũ,wanyũ,ai Ĩ,ai Ĩ,o djorit,we bai,adjung djung,o-kibitaap,o djorit,-ši,-ši,o-kibitaap,adjung djung,we bai,o djorit,adjung djung,ai Ĩ,o-kibitaap
