simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,feB,feZ,fyZ,myB,fyB,mZ,fB,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB,mF,fF,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ
0,0.42175135846410616,1.3862943611198906,0.9645430026557844,nyenga,tuutu,nkolo,yaaya,nkasa,nkasa,nkasa,nkolo,nkolo,mansewa mu-ishio,mansewa mu-ishio,mankaji,táátu,mansewa mu-ishio,mankaji,baaba mwååkunyi,táátu mukulu,mansewa mu-ishio,mansewa mu-ishio,tata,mankaji,táátu mwååkunyi,táátu mwååkunyi,baaba mwååkunyi,baaba,mankaji,mankaji,baaba mukulu,táátu mukulu,ina,baaba,mansewa mu-ishio,baaba mukulu,mankaji,tata,táátu,ina
1,0.5198603854199589,1.0397207708399179,0.5198603854199589,nkolo,nyenga,nkasa,nkasa,nkasa,yaaya,nkolo,tuutu,nkolo,mansewa mu-ishio,mankaji,baaba mwååkunyi,mansewa mu-ishio,baaba,mankaji,táátu,baaba mukulu,mankaji,mankaji,ina,ina,mansewa mu-ishio,táátu mukulu,mansewa mu-ishio,mankaji,mankaji,tata,baaba,baaba mukulu,táátu mwååkunyi,tata,mansewa mu-ishio,táátu mwååkunyi,baaba mwååkunyi,táátu,táátu mukulu,mansewa mu-ishio
2,0.3095442394795662,1.0397207708399179,0.7301765313603517,yaaya,nkasa,nkolo,nkolo,nkolo,tuutu,nkasa,nkasa,nyenga,mankaji,baaba,táátu,mankaji,baaba mwååkunyi,ina,baaba mukulu,mankaji,táátu mwååkunyi,mansewa mu-ishio,mansewa mu-ishio,mansewa mu-ishio,mankaji,tata,mansewa mu-ishio,baaba mwååkunyi,mankaji,tata,baaba,táátu mukulu,táátu,táátu mwååkunyi,ina,táátu mukulu,mankaji,mansewa mu-ishio,mansewa mu-ishio,baaba mukulu
3,0.7427612273295321,1.3862943611198906,0.6435331337903585,nkasa,tuutu,yaaya,nkolo,nkolo,nkasa,nyenga,nkasa,nkolo,tata,baaba mukulu,baaba mwååkunyi,táátu mwååkunyi,mankaji,baaba mwååkunyi,mansewa mu-ishio,baaba mukulu,mansewa mu-ishio,ina,mansewa mu-ishio,mankaji,táátu,táátu mukulu,mansewa mu-ishio,mankaji,mankaji,mansewa mu-ishio,ina,tata,mansewa mu-ishio,táátu mwååkunyi,táátu,táátu mukulu,mankaji,mankaji,baaba,baaba
4,0.3095442394795662,1.0397207708399179,0.7301765313603517,nkasa,nkolo,nkolo,yaaya,nkasa,tuutu,nyenga,nkolo,nkasa,mansewa mu-ishio,mankaji,táátu mukulu,baaba,mansewa mu-ishio,baaba mwååkunyi,mansewa mu-ishio,mankaji,táátu mwååkunyi,baaba mukulu,tata,baaba,ina,baaba mukulu,mansewa mu-ishio,ina,tata,táátu,mansewa mu-ishio,baaba mwååkunyi,mankaji,táátu,táátu mukulu,mankaji,mankaji,mansewa mu-ishio,mankaji,táátu mwååkunyi
5,0.30240495190882877,1.3862943611198906,1.0838894092110618,nkasa,nkasa,nyenga,nkasa,nkolo,nkolo,nkolo,tuutu,yaaya,táátu mwååkunyi,táátu mukulu,mankaji,baaba mukulu,baaba mwååkunyi,táátu,táátu mukulu,mankaji,mankaji,mankaji,baaba,mansewa mu-ishio,mansewa mu-ishio,táátu,ina,tata,mankaji,mansewa mu-ishio,mansewa mu-ishio,baaba mukulu,baaba mwååkunyi,mansewa mu-ishio,táátu mwååkunyi,mankaji,mansewa mu-ishio,tata,baaba,ina
6,0.28116757230940415,1.0397207708399179,0.7585531985305137,tuutu,yaaya,nkolo,nkolo,nyenga,nkolo,nkasa,nkasa,nkasa,mansewa mu-ishio,mankaji,ina,táátu mwååkunyi,mankaji,tata,mansewa mu-ishio,mansewa mu-ishio,táátu,táátu mwååkunyi,táátu mukulu,baaba mukulu,ina,mankaji,baaba mwååkunyi,mankaji,baaba mwååkunyi,táátu,mansewa mu-ishio,mansewa mu-ishio,mankaji,mansewa mu-ishio,baaba,táátu mukulu,mankaji,baaba mukulu,baaba,tata
7,0.5083947560340993,1.3862943611198906,0.8778996050857912,nkasa,nkolo,nkolo,tuutu,nkolo,nyenga,yaaya,nkasa,nkasa,tata,mankaji,mankaji,táátu mukulu,mansewa mu-ishio,táátu mwååkunyi,mankaji,mansewa mu-ishio,mansewa mu-ishio,mansewa mu-ishio,baaba,táátu mwååkunyi,mankaji,táátu mukulu,mankaji,baaba,ina,mankaji,ina,tata,mansewa mu-ishio,baaba mwååkunyi,baaba mukulu,táátu,mansewa mu-ishio,baaba mukulu,baaba mwååkunyi,táátu
8,0.19019783292428893,1.0397207708399179,0.8495229379156289,nkolo,nkasa,nkasa,nkolo,nkolo,yaaya,nyenga,nkasa,tuutu,mankaji,mansewa mu-ishio,táátu mwååkunyi,tata,baaba mukulu,tata,mankaji,mankaji,baaba mwååkunyi,táátu,mansewa mu-ishio,ina,baaba,mankaji,táátu,táátu mukulu,baaba mwååkunyi,mankaji,mansewa mu-ishio,mansewa mu-ishio,mankaji,ina,mansewa mu-ishio,baaba,baaba mukulu,mansewa mu-ishio,táátu mukulu,táátu mwååkunyi
9,0.31387058129468837,1.0397207708399179,0.7258501895452295,nkolo,tuutu,nkasa,nkolo,nkasa,nyenga,nkolo,yaaya,nkasa,mansewa mu-ishio,mansewa mu-ishio,tata,mankaji,baaba mukulu,ina,mansewa mu-ishio,mansewa mu-ishio,ina,baaba mukulu,baaba,mansewa mu-ishio,táátu,mansewa mu-ishio,tata,táátu mukulu,táátu mukulu,mankaji,baaba mwååkunyi,táátu,mankaji,baaba mwååkunyi,táátu mwååkunyi,baaba,táátu mwååkunyi,mankaji,mankaji,mankaji
