simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2878080715624043,1.6580312013972496,1.3702231298348453,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,"òō, ɟìbāχō","òō, cīāχō",òō,òō,òō,ɡǂùā-ʔō,"òō, cīā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō","òō, ɟìbā-χō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,"òō, ɟìbāχō","òō, cīāχō",òō,òō,òō,ɡǂùā-ʔō,òō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,"òō, cīā-χō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō","òō, cīāχō","òō, cīāχō","òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō",òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄ / ɟìē,cīāǁū / máá,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄ / bàā,cīāǁū / páábà
1,0.14282053620655089,1.6170329894738213,1.4742124532672705,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīāχō","òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",òō,òō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīā-χō","òō, ɟìbāχō",òō,òō,òō,òō,òō,"òō, cīāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō",òō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō","òō, ɟìbā-χō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō","òō, cīāχō",ɡǂùā-ʔō,"òō, cīā-χō","òō, cīā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,cīāǁū / páábà,ǁūũ̄ / ɟìē,cīāǁū / páábà,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄ / ɟìē,cīāǁū / páábà,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá
2,0.3512618234719751,1.6754784469641253,1.3242166234921502,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,òō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīā-χō",òō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō","òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō","òō, cīā-χō","òō, cīā-χō","òō, ɟìbāχō","òō, ɟìbāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīāχō","òō, cīāχō","òō, cīāχō",òō,ɡǂùā-ʔō,òō,òō,"òō, ɟìbāχō","òō, cīāχō",ɡǂùā-ʔō,òō,"òō, cīāχō",òō,òō,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄ / bàā,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,cīāǁū / máá,cīāǁū / máá,ǁūũ̄ / ɟìē,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà
3,0.2755661745968303,1.6170329894738213,1.341466814876991,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,òō,òō,ɡǂùā-ʔō,òō,"òō, cīāχō",ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,"òō, cīāχō",òō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō","òō, ɟìbāχō","òō, ɟìbā-χō",ɡǂùā-ʔō,"òō, cīāχō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīā-χō",òō,"òō, cīā-χō",ɡǂùā-ʔō,"òō, cīā-χō","òō, cīāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,"òō, cīāχō","òō, cīāχō",òō,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,"òō, ɟìbā-χō",òō,ɡǂùā-ʔō,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / páábà,ǁūũ̄ / ɟìē,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄ / ɟìē,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá
4,0.4752702970073397,1.6170329894738213,1.1417626924664817,"òō, cīā-χō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,òō,"òō, cīā-χō",ɡǂùā-ʔō,òō,"òō, cīāχō","òō, cīāχō",ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō","òō, cīā-χō","òō, ɟìbāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,òō,"òō, cīāχō",òō,òō,"òō, ɟìbāχō","òō, ɟìbāχō","òō, cīāχō",òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,òō,ɡǂùā-ʔō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / máá,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄ / bàā,ǁūũ̄ / ɟìē,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄ / ɟìē,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄ / bàā,cīāǁū / máá
5,0.31440765760223566,1.6754784469641253,1.3610707893618896,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",òō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,"òō, cīā-χō",òō,"òō, ɟìbāχō","òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,"òō, cīāχō","òō, ɟìbā-χō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,"òō, ɟìbāχō",òō,òō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,"òō, ɟìbā-χō",òō,"òō, cīā-χō",ɡǂùā-ʔō,"òō, cīāχō","òō, cīā-χō",ɡǂùā-ʔō,"òō, ɟìbāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,ǁūũ̄ / bàā,ǁūũ̄ / ɟìē,cīāǁū / máá,ǁūũ̄ / ɟìē,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / páábà
6,0.21251377990168474,1.642491316978911,1.4299775370772263,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīā-χō",ɡǂùā-ʔō,"òō, ɟìbāχō","òō, cīāχō",òō,"òō, ɟìbā-χō","òō, cīāχō","òō, ɟìbā-χō",ɡǂùā-ʔō,òō,"òō, ɟìbāχō",òō,òō,òō,"òō, ɟìbāχō","òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō","òō, ɟìbāχō","òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīā-χō",òō,òō,ɡǂùā-ʔō,òō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,"òō, cīāχō","òō, cīā-χō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō","òō, ɟìbā-χō","òō, ɟìbāχō",òō,òō,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà/ bàā-ǀùà,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄ / bàā,ǁūũ̄-ǀùà/ bàā-ǀùà
7,0.3546329990044641,1.6434177197931796,1.2887847207887155,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō","òō, cīāχō",òō,ɡǂùā-ʔō,òō,"òō, cīā-χō",ɡǂùā-ʔō,"òō, cīāχō",òō,"òō, cīāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbāχō","òō, ɟìbā-χō","òō, cīāχō","òō, ɟìbā-χō",òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,"òō, cīā-χō",ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,cīāǁū / máá,ǁūũ̄ / bàā,cīāǁū / máá,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / páábà,ǁūũ̄ / bàā,cīāǁū / máá,cīāǁū / páábà,cīāǁū / máá,cīāǁū / máá,cīāǁū / páábà,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / páábà,cīāǁū / páábà
8,0.267855765212323,1.6580312013972496,1.3901754361849266,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīā-χō",òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō","òō, cīāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō","òō, cīāχō",ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",òō,ɡǂùā-ʔō,òō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīāχō",òō,ɡǂùā-ʔō,"òō, ɟìbāχō",òō,"òō, cīāχō","òō, ɟìbāχō",ɡǂùā-ʔō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,"òō, cīāχō","òō, ɟìbā-χō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīā-χō",òō,òō,"òō, ɟìbā-χō",ɡǂùā-ʔō,"òō, cīā-χō",òō,òō,"òō, ɟìbāχō",ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,cīāǁū / páábà,ǁūũ̄ / bàā,cīāǁū / páábà,ǁūũ̄-ǀùà / ɟìē-ǀùà,cīāǁū / máá,cīāǁū / máá,cīāǁū / máá,ǁūũ̄ / ɟìē,cīāǁū / máá,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / páábà,cīāǁū / máá,cīāǁū / máá,ǁūũ̄ / ɟìē,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / páábà
9,0.2388624277075111,1.642491316978911,1.4036288892714,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,"òō, cīāχō",òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,"òō, cīā-χō",òō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, ɟìbā-χō","òō, ɟìbā-χō",òō,òō,òō,ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,ɡǂùā-ʔō,"òō, cīāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīāχō",òō,ɡǂùā-ʔō,"òō, cīāχō","òō, ɟìbāχō",ɡǂùā-ʔō,ɡǂùā-ʔō,òō,"òō, cīā-χō","òō, cīā-χō",ɡǂùā-ʔō,ɡǂùā-ʔō,"òō, cīāχō",òō,"òō, ɟìbāχō",ɡǂùā-ʔō,òō,ɡǂùā-ʔō,òō,òō,òō,cīāǁū / máá,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / máá,ǁūũ̄ / ɟìē,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄ / bàā,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / páábà,cīāǁū / páábà,cīāǁū / páábà,ǁūũ̄ / ɟìē,cīāǁū / páábà,cīāǁū / máá,cīāǁū / máá,ǁūũ̄ / bàā,cīāǁū / máá,ǁūũ̄-ǀùà / ɟìē-ǀùà,ǁūũ̄-ǀùà/ bàā-ǀùà,cīāǁū / máá
