simulation_number,mutual_information,entropy,conditional_entropy,feB,mB,mZ,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08818975983728616,1.083823285909609,0.9956335260723229,cousine,cousin,frère,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,soeur,cousine,cousine,cousine,soeur,cousine,cousin,cousin,cousin,cousin,cousine,cousine,frère,cousin,cousin,ainée,cousin,frère,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,soeur,cousin,cousin,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousine,ainée,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousine,cousin,frère,cousin,cousine,cousine,cousin,cousin,soeur,cousine,cousin,ainé,cousin,cousine,tante,oncle,oncle,tante,papa,tante,tante,tante,maman,oncle,tante,papa,tante,tante,oncle,oncle,tante,oncle,tante,oncle,oncle,oncle,maman,tante,oncle,tante,oncle,oncle
1,0.0820184402617381,1.078656715038949,0.9966382747772109,cousine,cousine,cousine,cousine,soeur,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousine,cousin,cousin,frère,cousin,soeur,cousin,cousine,cousine,cousin,frère,cousine,cousin,cousine,cousine,ainée,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousine,ainé,cousin,cousine,cousine,cousin,soeur,soeur,cousin,cousine,cousin,cousine,cousine,cousin,frère,cousine,cousin,cousine,ainée,cousine,cousin,cousine,cousin,frère,cousin,cousin,cousin,cousin,cousin,cousin,oncle,oncle,maman,tante,tante,oncle,tante,oncle,oncle,oncle,oncle,papa,tante,tante,oncle,oncle,tante,tante,tante,tante,tante,oncle,maman,tante,oncle,papa,oncle,tante
2,0.06369314643976676,1.1014002396047478,1.037707093164981,cousine,cousine,cousine,cousin,cousin,cousin,cousine,soeur,cousin,frère,cousin,cousine,cousine,cousine,cousin,frère,cousine,cousin,cousine,cousine,cousine,cousin,cousin,soeur,cousine,cousine,cousine,cousin,cousin,ainée,cousin,cousine,cousine,cousin,ainé,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousin,soeur,cousin,cousin,cousin,cousin,cousin,cousine,cousine,cousin,cousine,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousine,soeur,cousin,cousin,frère,cousin,cousine,cousine,ainée,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousin,frère,cousin,cousine,oncle,oncle,oncle,maman,tante,tante,tante,oncle,oncle,tante,tante,oncle,tante,oncle,papa,oncle,oncle,tante,oncle,tante,tante,tante,tante,oncle,oncle,tante,maman,papa
3,0.07878984176179937,1.0805042880624136,1.0017144463006142,cousine,cousin,cousine,cousin,frère,cousin,cousine,cousine,cousin,cousine,cousine,frère,cousin,cousine,ainé,cousine,cousine,cousine,cousin,soeur,cousin,soeur,cousin,cousin,cousine,ainée,cousin,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousin,soeur,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousine,cousin,frère,cousine,cousine,cousine,cousine,soeur,cousin,cousine,cousine,cousin,cousin,cousine,ainée,cousin,cousin,cousine,cousine,cousin,frère,tante,tante,oncle,tante,tante,tante,papa,oncle,oncle,oncle,oncle,tante,tante,oncle,oncle,tante,oncle,tante,oncle,maman,oncle,oncle,tante,tante,papa,tante,oncle,maman
4,0.09943028388664277,1.124137770760189,1.0247074868735462,cousine,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousin,cousine,cousin,cousin,cousin,cousin,cousin,cousine,ainé,cousin,frère,cousine,ainée,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousine,soeur,cousine,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousine,soeur,cousine,soeur,cousine,cousin,frère,cousin,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousin,frère,cousine,ainée,cousin,cousine,cousin,cousine,cousin,cousin,cousin,soeur,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousine,frère,oncle,tante,oncle,tante,oncle,oncle,tante,tante,oncle,oncle,papa,tante,tante,tante,tante,oncle,tante,maman,maman,oncle,tante,oncle,oncle,oncle,oncle,tante,papa,tante
5,0.10719585851852154,1.0805042880624136,0.9733084295438921,cousin,cousine,soeur,cousin,cousin,cousin,cousin,cousin,cousine,ainé,cousin,cousine,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousin,ainée,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousine,frère,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousine,cousin,cousine,cousin,cousine,ainée,cousin,cousin,cousine,cousin,soeur,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousin,soeur,cousin,cousine,cousine,cousine,cousine,cousin,cousine,cousin,soeur,frère,cousine,cousin,cousine,cousine,frère,frère,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,tante,tante,tante,oncle,tante,maman,oncle,oncle,tante,oncle,papa,oncle,tante,tante,tante,oncle,tante,oncle,oncle,tante,oncle,oncle,oncle,maman,papa,tante,oncle,tante
6,0.09064952487714417,1.0411491007837876,0.9504995759066435,soeur,cousine,cousin,cousine,cousin,cousin,soeur,cousine,cousine,soeur,cousine,cousine,cousin,cousine,cousin,frère,cousine,cousine,cousin,ainé,cousine,cousin,soeur,cousine,cousine,ainée,cousin,cousine,cousine,cousin,frère,cousin,cousin,cousin,cousine,frère,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,frère,cousine,cousin,cousine,cousin,cousine,cousine,cousine,cousin,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousine,cousin,cousine,ainée,cousin,cousine,cousine,cousin,cousin,oncle,tante,oncle,maman,oncle,tante,oncle,tante,oncle,tante,oncle,tante,maman,tante,oncle,oncle,tante,tante,tante,tante,papa,papa,oncle,tante,oncle,oncle,oncle,tante
7,0.08018273242086082,1.1328155139249492,1.0526327815040883,cousin,cousine,cousine,cousine,frère,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousin,frère,cousine,cousine,cousin,cousine,ainée,cousine,cousin,cousine,cousin,frère,cousin,cousin,cousin,cousine,cousine,cousine,cousin,ainée,cousine,cousin,cousine,cousin,cousine,soeur,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,soeur,cousin,cousin,cousin,cousine,cousin,frère,cousine,cousine,cousin,cousin,cousine,cousine,soeur,cousine,cousin,cousine,cousin,cousine,cousine,soeur,cousine,cousine,cousin,ainé,cousin,cousine,cousine,cousine,cousine,cousin,cousine,cousin,cousin,cousin,oncle,papa,oncle,oncle,tante,tante,tante,tante,tante,oncle,oncle,oncle,oncle,oncle,maman,oncle,tante,tante,oncle,maman,tante,tante,papa,tante,oncle,oncle,tante,tante
8,0.0837012590457924,1.1030774734855335,1.0193762144397411,cousin,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousine,soeur,cousine,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousin,soeur,cousine,cousin,cousin,frère,cousine,cousin,cousine,cousin,frère,cousine,ainée,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousine,cousine,cousin,cousin,cousin,soeur,ainée,cousine,cousine,cousin,cousine,cousine,cousine,cousine,cousine,cousin,frère,ainé,cousine,cousin,soeur,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,frère,cousine,cousin,papa,maman,oncle,oncle,tante,oncle,tante,papa,tante,oncle,tante,oncle,maman,tante,tante,oncle,tante,tante,tante,oncle,oncle,oncle,tante,tante,tante,oncle,oncle,oncle
9,0.13201561947302132,1.1477994722842948,1.0157838528112735,cousin,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousin,cousin,cousine,soeur,cousin,cousine,cousin,cousin,cousine,frère,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,frère,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousin,ainé,cousine,frère,cousine,ainée,cousin,frère,cousine,cousine,cousine,cousine,cousin,cousine,cousine,soeur,cousine,soeur,cousin,ainée,soeur,cousine,cousin,cousin,cousin,oncle,tante,oncle,tante,oncle,tante,tante,tante,oncle,tante,oncle,tante,oncle,tante,maman,tante,oncle,oncle,maman,papa,oncle,oncle,oncle,papa,oncle,tante,tante,tante
